Gene,14_C5_N_S3,38_D8_N_S6,49_A11_N_S8,10_E3_S1,14_C5_S12,32_C12_S7,34_A3_T_S1,38_D8_S8,39_B7_2_S9,40_G4_T_S9,44_C14_S11,49_A11_S2,11_E4_N_S2,30_C12_N_S4,31_A8_N_S5,48_A3_N_S7,51_B3_N_S9,3_B5_S7,5_E8_S9,6_C8_2_S4,8_D4_S10,11_E4_S5,13_C1_S11,15_C13_2_S6,20_F6_S1,21_C6_S7,23_B7_S1,24_A14_S2,25_B26_S6,26_F10_S3,27_D8_S7,28_C5_S8,29_E6_S4,30_C12_S5,31_A8_S6,36_E5_S2,43_C10_S10,45_C6_S12,46_B13_S2,48_A3_S1,51_B3_S3,52_C11_S3,53_F6_2_S3,55_B9_S4,58_F9_S4,60_A6_S5,62_D7_S5,63_B10_S6
ENSG00000000003,67.67714367,0,9.691865558,54.48955674,27.8115721,13.87582008,9.881413144,2.367455636,57.56091998,32.15755198,47.14643868,11.06754155,0,14.122715,4.925258858,51.38125369,32.09614934,26.50889827,21.51429069,29.2065875,30.08673721,72.756329,12.62124704,15.98625332,32.96760027,20.33546867,15.51526048,12.35997342,0,31.69021467,24.52656689,0,21.456875,9.208654831,52.89316663,7.323393196,46.71135476,18.2340563,79.37135457,50.72522909,32.09614934,61.07963655,8.940152732,65.66620235,41.84448754,16.02214006,50.00554966,63.09947903
ENSG00000000005,142.1220017,15.06708502,208.3751095,1.720722844,8.939433889,0,15.81026103,0.789151879,5.154709252,39.7584279,50.88821953,7.788269983,0,23.53785834,44.32732972,43.47644543,15.45370154,0,1.22938804,9.919218396,1.367578964,14.5512658,8.834872927,0,5.887071478,2.541933584,2.42425945,15.44996678,208.6331671,5.281702446,15.60781529,0,2.258618421,2.877704635,37.42441035,23.01637862,25.81416973,10.72591547,31.00443538,10.04933784,15.45370154,8.466484274,2.554329352,0,13.94816251,3.56047557,26.19338316,10.63214665
ENSG00000000419,145.5058589,216.9660243,159.9157817,152.5707589,118.6958166,148.0087475,163.3726973,85.22840289,36.08296476,192.3606291,95.7895897,85.26106087,108.3215525,195.3642242,73.87888287,134.3817404,146.2157915,100.7338134,306.7323159,51.80036273,148.3823176,131.7697959,165.9693986,102.5784588,176.6121443,109.3031441,95.51582232,80.85482613,0,128.3453694,118.916688,0,88.0861184,113.9571035,155.1865549,127.6362814,124.153864,92.24287305,155.0221769,144.5190489,146.2157915,186.262654,171.7786489,103.7525997,143.0978154,179.8040163,95.24866603,241.3035022
ENSG00000000457,1488.897161,352.5697895,1647.617145,126.7599162,242.8546206,178.6511835,681.1587461,302.2451695,347.0837563,76.59344198,318.7997282,158.6347623,375.1624501,1033.311981,2083.384497,691.6707227,728.7014648,493.0655079,261.2449584,371.9706898,341.894741,388.0337547,307.9584277,368.3499203,329.6760027,542.2791646,302.5475793,303.3343477,1585.61207,195.9511607,582.691771,1705.697771,260.8704276,301.0079048,353.7854259,547.1620916,666.2514284,328.2130134,605.2065786,287.1239383,728.7014648,313.864667,747.7799178,355.9108167,324.9405267,224.3099609,475.0527218,377.9034733
ENSG00000000460,1191.117729,888.9580162,2815.486944,74.56465659,187.7281117,76.31701044,603.4249627,285.67298,270.6222357,251.998271,283.6269883,159.8644891,647.2873259,1033.311981,2103.085532,1043.43469,463.6110461,448.8840108,196.7020863,145.4818698,217.4450553,151.1714836,343.9289818,271.7663065,300.2406454,216.9116658,222.5470175,244.1094751,143.0627432,144.1904768,445.1943505,2290.204796,155.2800164,134.6765769,239.5162263,341.0608831,420.4021928,389.3507316,287.7211603,221.5639724,463.6110461,243.1090484,286.0848874,384.8039458,228.3365863,117.4956938,546.4892213,268.3461361
ENSG00000000938,0,18.08050202,14.53779834,181.249473,93.86405583,142.2271558,21.73910892,62.34299841,64.43386565,129.2148907,44.153014,267.2606331,26.41989085,82.38250418,88.65465944,3.95240413,115.3083884,159.0533896,180.1053478,139.4201252,108.7225276,101.8588606,299.1235548,3.330469442,191.329823,210.1331763,412.6089583,334.2342813,0,140.4932851,69.12032488,116.9014049,111.8016118,434.2456294,364.2642608,150.65266,208.9718502,84.73473222,69.44993525,164.1391847,115.3083884,139.6969905,146.2353554,111.632544,179.7763168,336.4649413,96.43927435,151.8547902
ENSG00000000971,416.2144336,602.6834008,164.7617145,1862.395692,1717.861212,457.3239035,2169.958326,650.2611479,561.0041902,975.8355318,1253.496584,2020.441197,470.2740572,1428.748001,630.4331338,292.4779056,1296.922183,3036.152482,1056.65902,1492.842369,849.2665366,907.8373052,2258.572158,887.9031532,1572.436792,1453.98601,1733.345507,1748.42124,304.0083292,2355.111121,2099.622772,499.4878209,1367.593454,2703.891275,2412.626987,824.4048341,2079.884533,1519.862222,1298.465754,2255.358535,1296.922183,1677.573384,1539.622017,1850.473582,2024.03336,799.3267654,1441.826682,3365.305548
ENSG00000001036,189.4960023,165.7379352,276.2181684,142.8199961,163.3929861,130.0858132,147.5624363,107.3246555,136.5997952,175.9895117,370.4363039,115.184414,103.0375743,414.2663067,315.2165669,494.0505162,215.1630752,166.1224292,336.2376288,110.7646054,344.6298989,167.3395567,174.1732091,230.4684854,229.0070805,173.6987949,220.6076099,207.0295548,244.3988529,152.6412007,263.1031721,228.4891096,181.2541283,191.0795877,340.3126381,182.0386309,244.6199894,176.9776053,313.764886,394.3168752,215.1630752,307.2124294,303.9651929,260.0381613,268.1146794,115.715456,252.408965,290.0726966
ENSG00000001084,94.74800113,259.1538623,111.4564539,79.72682513,188.2247469,112.7410381,96.17908794,227.275741,220.7933796,1083.41716,155.6580833,168.8824859,216.643105,122.3968634,78.80414173,391.2880088,213.974329,213.8384461,336.8523228,226.48882,224.2829501,139.0454288,316.7933007,161.8608149,255.4989021,301.6427853,279.7595405,228.1445094,172.8674813,150.5285197,165.7401338,0,285.7152302,503.5983111,297.8983064,121.3590872,242.161497,324.9952388,275.3193862,246.9265869,213.974329,260.042017,299.4951165,432.0836115,231.9527766,145.9794984,321.4642478,397.3186976
ENSG00000001167,155.6574304,3.013417004,116.3023867,175.5137301,153.956917,68.80094123,126.4820882,231.2215004,197.597188,102.3194836,134.7041105,220.1211043,158.5193451,101.2127909,123.1314714,55.33365782,183.0669259,199.700367,273.5388388,268.9210321,226.3343185,341.9547463,198.1535785,235.1311426,207.8136232,308.4212748,247.2744639,301.789351,0,280.4583999,179.8614905,239.11651,276.1161019,166.9068688,226.5424307,108.8046989,244.6199894,197.3568447,179.8257252,214.3858739,183.0669259,251.5755327,212.0093362,187.8053387,200.9568599,65.86879804,185.7348988,218.6524072
