"sample","condition"
"GSM5028927","Cancer"
"GSM5028928","Cancer"
"GSM5028929","Normal"
"GSM5028930","Cancer"
"GSM5028931","Normal"
"GSM5028932","Cancer"
"GSM5028933","Normal"
"GSM5028934","Cancer"
"GSM5028935","Cancer"
"GSM5028936","Normal"
"GSM5028937","Cancer"
"GSM5028938","Normal"
"GSM5028939","Cancer"
"GSM5028940","Normal"
"GSM5028941","Cancer"
"GSM5028942","Normal"
"GSM5028943","Cancer"
"GSM5028944","Cancer"
"GSM5028945","Normal"
"GSM5028946","Cancer"
"GSM5028947","Normal"
"GSM5028948","Cancer"
"GSM5028950","Cancer"
"GSM5028951","Cancer"
"GSM5028953","Normal"
"GSM5028954","Cancer"
"GSM5028955","Normal"
"GSM5028956","Cancer"
"GSM5028957","Cancer"
"GSM5028958","Normal"
"GSM5028959","Cancer"
"GSM5028960","Cancer"
"GSM5028961","Normal"
"GSM5028962","Cancer"
"GSM5028963","Normal"
"GSM5028964","Cancer"
"GSM5028965","Normal"
"GSM5028966","Cancer"
"GSM5028967","Normal"
"GSM5028968","Cancer"
"GSM5028969","Cancer"
"GSM5028970","Normal"
"GSM5028971","Cancer"
"GSM5028972","Normal"
"GSM5028973","Cancer"
"GSM5028974","Normal"
"GSM5028975","Cancer"
"GSM5028976","Cancer"
"GSM5028977","Cancer"
"GSM5028978","Normal"
"GSM5028979","Cancer"
"GSM5028980","Normal"
"GSM5028981","Cancer"
"GSM5028982","Normal"
"GSM5028983","Cancer"
"GSM5028984","Normal"
"GSM5028985","Cancer"
"GSM5028986","Normal"
"GSM5028987","Cancer"
"GSM5028988","Normal"
"GSM5028989","Cancer"
"GSM5028990","Cancer"
"GSM5028991","Cancer"
"GSM5028992","Normal"
"GSM5028993","Cancer"
"GSM5028994","Normal"
"GSM5028995","Cancer"
"GSM5028996","Normal"
"GSM5028997","Cancer"
"GSM5028998","Normal"
"GSM5028999","Cancer"
"GSM5029000","Normal"
"GSM5029001","Cancer"
"GSM5029002","Normal"
"GSM5029003","Cancer"
"GSM5029004","Normal"
"GSM5029005","Cancer"
"GSM5029006","Normal"
"GSM5029007","Cancer"
"GSM5029008","Cancer"
"GSM5029009","Normal"
