sample,condition
GSM5857798,Normal
GSM5857799,Cancer
GSM5857800,Normal
GSM5857801,Cancer
GSM5857802,Normal
GSM5857803,Cancer
GSM5857804,Normal
GSM5857805,Cancer
GSM5857806,Normal
GSM5857807,Cancer
GSM5857808,Normal
GSM5857809,Cancer
GSM5857810,Normal
GSM5857811,Cancer
GSM5857812,Normal
GSM5857813,Cancer
GSM5857814,Normal
GSM5857815,Cancer
GSM5857816,Normal
GSM5857817,Cancer
GSM5857818,Normal
GSM5857819,Cancer
GSM5857820,Normal
GSM5857821,Cancer
GSM5857822,Normal
GSM5857823,Cancer
GSM5857824,Normal
GSM5857825,Cancer
GSM5857826,Normal
GSM5857827,Cancer
GSM5857828,Normal
GSM5857829,Cancer
GSM5857830,Normal
GSM5857831,Cancer
GSM5857832,Normal
GSM5857833,Cancer
GSM5857834,Normal
GSM5857835,Cancer
GSM5857836,Normal
GSM5857837,Cancer
GSM5857838,Normal
GSM5857839,Cancer
