GeneID	GSM2676189	GSM2676190	GSM2676191	GSM2676192	GSM2676193	GSM2676194	GSM2676195	GSM2676196	GSM2676197	GSM2676198	GSM2676199	GSM2676200	GSM2676201	GSM2676202	GSM2676203	GSM2676204	GSM2676205	GSM2676206	GSM2676207	GSM2676208	GSM2676209	GSM2676210	GSM2676211
100287102	0	2	0	1	2	2	0	1	3	2	0	0	0	0	1	2	0	0	1	2	1	1	0
653635	246	251	158	200	50	120	136	317	170	213	110	128	61	124	496	232	470	150	143	148	472	317	290
102466751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985730	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	10	31	24	21	42	11	2	18	95	12	10	4	3	8	2	27	1	25	28	1	1	0	1
79501	210	856	286	408	1106	349	123	424	2509	613	164	414	16	113	1299	1113	127	389	638	292	519	43	74
100996442	4	0	1	2	1	3	2	2	2	3	2	1	0	2	3	2	4	2	0	5	1	3	1
729737	102	67	75	149	15	170	21	80	27	49	42	31	20	29	60	32	86	55	29	75	37	36	30
102725121	0	5	0	2	10	3	0	2	6	3	0	0	0	0	5	6	0	0	1	2	1	0	1
102723897	141	138	78	118	31	116	178	185	115	94	64	71	15	25	219	99	182	53	47	64	184	183	144
102465909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985721	0	0	0	0	2	2	0	1	2	6	0	1	0	0	0	2	0	0	1	1	0	0	0
112268260	0	2	1	2	7	2	1	3	5	3	1	2	0	0	1	1	1	1	4	1	0	1	0
729759	29	110	37	133	288	93	55	90	451	225	39	71	5	35	178	212	26	68	163	49	89	8	22
100132287	30	46	12	34	21	38	3	74	55	40	10	10	8	13	58	27	32	5	17	10	39	26	18
105378947	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	0	0	0	0	1	1	1	23	9	26	1	2	0	1	0	1	0	0	1	1	2	2	2
81399	29	110	39	137	290	92	54	98	450	228	38	69	6	36	167	228	27	67	162	48	97	10	20
100133331	15	18	13	11	12	9	6	15	30	7	8	4	3	9	22	21	16	6	12	4	25	34	6
107984841	78	74	48	82	55	71	22	210	60	112	28	29	34	44	94	56	79	24	27	61	41	54	45
107984847	64	110	40	53	18	22	23	99	50	39	23	29	15	27	83	53	75	42	52	63	38	31	33
107984849	16	17	8	16	19	10	1	18	45	3	8	3	3	1	2	14	1	6	11	2	1	4	1
100288069	77	83	49	56	24	55	37	102	34	33	52	35	26	24	119	50	75	20	61	26	97	80	89
105378580	0	0	0	0	0	0	0	3	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0
400728	0	0	0	0	1	1	1	0	1	0	0	2	0	0	0	1	0	0	0	1	1	0	0
79854	88	232	88	111	208	88	110	249	801	249	70	123	27	88	283	267	72	83	217	67	175	39	30
