GeneID	GSM4075467	GSM4075468	GSM4075469	GSM4075470	GSM4075471	GSM4075473	GSM4075474	GSM4075475	GSM4075476	GSM4075477	GSM4075478	GSM4075479	GSM4075480	GSM4075481	GSM4075482	GSM4075466	GSM4075472	GSM4075483
100287102	3	5	10	6	2	6	2	2	5	13	5	4	1	4	8	2	10	6
653635	507	584	646	669	492	606	410	446	740	992	426	603	436	536	1457	448	671	960
102466751	6	14	9	8	6	5	4	6	13	7	5	9	6	4	19	5	10	16
107985730	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
645520	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	3	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	21	23	32	13	5	24	9	14	55	45	8	25	35	9	13	22	6	21
729737	171	725	1053	171	199	526	126	174	528	1300	190	276	662	643	595	136	228	371
102725121	1	11	16	4	2	5	1	0	0	3	2	1	1	1	1	0	6	2
102723897	558	655	703	750	562	656	475	518	759	899	490	661	499	646	1571	504	827	966
102465909	4	6	4	6	5	4	3	4	3	6	4	7	4	3	11	3	7	15
107985721	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1
112268260	3	9	9	10	9	11	3	4	11	10	4	11	10	5	8	5	4	7
729759	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
100132287	196	505	630	221	148	353	148	211	396	599	174	412	401	455	414	149	202	429
105378947	0	2	1	0	1	1	1	2	2	2	1	1	1	1	1	2	0	1
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	5688	9958	8458	14774	8471	6597	5879	5028	50972	12518	27027	5690	4113	19187	110456	6436	17047	6566
81399	2	5	5	3	4	6	2	0	2	3	2	4	2	0	2	2	1	2
100133331	189	449	507	226	143	287	141	208	350	466	179	409	325	348	355	134	185	438
107984841	24	78	80	49	23	41	26	46	37	38	24	65	48	14	5	30	27	91
107984847	29	134	156	78	39	81	33	66	55	74	56	146	65	25	15	35	51	159
107984849	3	32	30	10	6	18	6	8	14	29	11	28	12	1	1	4	4	22
100288069	23	57	72	27	18	27	23	38	44	34	18	46	42	5	4	22	13	55
105378580	12	13	19	8	14	11	12	8	16	17	6	19	9	7	11	7	4	11
400728	3	9	8	3	10	4	7	5	10	15	3	12	8	8	6	4	3	10
79854	26	41	50	17	55	43	39	29	28	53	26	35	20	20	27	25	26	48
643837	158	160	148	377	171	199	178	233	247	160	112	226	241	288	139	191	139	272
107984850	12	8	7	0	12	2	12	9	0	1	0	0	1	1	0	9	1	47
284593	1	0	0	1	0	2	1	1	2	2	0	1	1	2	0	0	0	5
284600	8	7	3	5	0	2	1	2	8	3	13	19	12	5	0	11	3	16
100130417	11	20	13	43	1	8	4	3	44	37	45	25	4	6	43	11	36	76
107985728	22	45	11	42	2	12	4	6	71	74	52	36	7	13	15	17	28	106
148398	334	296	276	237	185	438	256	331	302	679	203	396	378	739	390	303	173	446
26155	2146	1255	1785	797	1489	3168	2323	3212	817	1875	440	1963	3347	4109	1008	1888	587	1312
339451	175	172	257	98	163	244	172	229	190	276	131	279	551	500	173	204	145	293
84069	97	112	104	47	56	162	93	128	10	264	19	192	220	164	13	140	41	120
84808	16	21	19	17	5	39	18	21	6	77	3	41	43	53	5	27	9	23
57801	840	304	249	514	403	359	299	328	586	642	154	579	1370	2715	485	1063	332	670
9636	1021	1273	580	6654	176	2310	520	412	411	575	1110	863	1166	1823	2740	1313	9901	337
375790	8040	4671	4428	1961	1518	6270	3009	6275	2023	8421	1934	6396	6052	6371	2254	6040	3246	6644
100288175	9	5	5	3	26	22	10	3	10	19	8	12	5	12	34	7	12	18
112267874	35	18	10	10	46	44	15	15	34	36	19	27	11	16	103	25	43	42
105378948	17	29	10	15	84	76	13	11	72	85	29	31	7	18	147	25	34	74
401934	32	82	43	11	54	94	70	68	78	145	16	150	60	56	44	35	97	56
54991	402	295	318	220	380	528	592	528	372	487	254	579	490	611	669	382	334	488
254099	11	20	38	1	9	11	1	12	17	32	23	48	2	2	25	7	15	33
406984	4	7	12	2	4	2	0	1	10	4	4	9	3	0	8	0	6	57
406983	3	7	10	1	9	1	2	0	10	7	6	7	2	0	4	0	2	33
554210	8	45	33	17	34	15	0	6	51	32	32	62	14	9	49	4	40	152
100506376	2	6	9	2	0	2	2	5	21	12	5	6	1	2	3	7	4	1
254173	26	30	31	4	8	15	5	4	40	49	6	42	7	1	23	23	26	7
8784	83	63	36	5	27	22	47	52	25	33	21	46	59	143	125	84	50	117
7293	170	141	121	31	50	58	116	119	103	162	29	124	122	318	136	254	54	414
51150	4494	3479	3641	2452	3418	3360	4825	4905	4241	3156	3231	4474	4238	5608	5030	4198	4220	3113
126792	487	351	432	232	308	441	421	443	187	475	91	446	445	848	277	346	164	382
388581	42	89	32	80	22	20	26	15	409	50	360	120	15	22	634	47	333	44
118424	882	706	673	771	947	1046	1483	1303	830	730	568	885	1014	1560	1399	953	802	732
101928895	22	20	15	79	1	4	16	14	17	8	9	4	10	15	10	21	26	21
6339	67	30	35	127	7	26	60	75	65	42	38	82	38	47	76	35	90	67
116983	1235	947	1064	1487	671	1322	1128	1540	1491	1692	902	991	1356	2048	1498	1004	1258	1381
102465434	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1
109623456	1	2	1	6	1	1	1	3	6	2	4	1	3	7	1	1	1	1
126789	340	193	254	122	438	567	674	577	161	341	133	305	548	879	299	476	208	244
54973	1726	1085	1355	1201	1581	1727	1888	2015	1079	1643	866	1417	1894	1973	1371	1539	1084	1471
102465435	1	3	5	4	1	6	3	2	4	5	5	5	6	2	8	2	3	4
80772	1136	793	795	814	721	1238	1234	1417	1234	953	1077	1168	593	690	2146	827	1989	555
83756	44	32	24	25	29	69	48	32	40	94	25	26	25	33	45	40	33	16
1855	1750	1609	2152	1489	1600	2284	1966	2545	1117	2095	611	2103	2625	2755	1395	1302	1157	1929
102466740	4	1	4	1	1	1	2	3	2	1	1	4	3	1	2	1	2	5
54587	1498	2363	1558	2621	348	815	960	1545	1622	5097	519	1451	2470	6814	846	1940	1502	4753
54998	2136	1045	1227	1170	1791	2420	3285	2625	1687	1544	1071	1796	2189	3549	2850	2035	1654	1024
81669	2022	2655	3153	2246	2641	2378	2344	2506	2797	3529	1774	2468	3612	3231	2646	1923	1715	4362
148413	307	196	249	164	257	347	327	295	181	242	151	255	308	403	321	238	182	238
55052	1018	430	572	635	747	959	1255	1049	548	740	331	890	1082	1726	859	1116	586	651
107984868	1	5	4	20	0	4	0	1	6	5	2	2	1	4	2	5	1	6
441869	29	56	32	253	10	20	16	30	90	82	26	16	24	72	61	48	106	59
105378585	2	5	1	32	3	1	0	1	8	8	5	3	4	8	6	2	16	7
643965	1	1	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0
102724312	1	4	11	56	25	18	14	6	10	6	10	6	16	14	10	4	23	76
107985729	2	7	4	43	17	9	3	9	5	4	3	5	13	11	0	4	8	44
64856	788	1802	2474	3449	1943	2377	1473	1426	1310	2123	786	1935	3130	5582	1835	1018	1551	3109
219293	35	83	127	69	40	225	48	60	38	101	20	48	79	93	63	28	19	172
83858	663	480	703	323	731	1658	1044	1199	496	956	267	1018	1431	1639	746	691	299	1107
55210	1110	602	984	273	757	1551	1303	1645	277	730	170	1056	1571	1947	577	879	317	713
339453	11	6	10	44	9	16	5	8	18	23	1	8	17	21	10	18	26	7
29101	1825	1215	1412	933	1955	2176	2252	2124	1288	1774	631	1554	1705	2447	1510	1814	1129	912
643988	61	173	235	54	112	870	243	192	52	351	34	296	216	419	152	71	83	219
105378586	1	13	17	4	14	46	19	21	3	16	1	19	20	16	8	7	5	20
142678	834	1203	1216	1205	968	1057	523	672	1701	1896	1097	1208	1126	1751	1885	654	1449	1497
8510	118	103	82	170	94	142	76	84	214	241	115	112	149	348	294	101	124	356
984	1072	1094	1108	1324	931	1416	1157	1775	1364	1385	1202	1509	1420	1472	1671	889	1394	1366
728661	650	1310	1411	1791	1538	1102	1247	1814	1581	1123	1418	1618	1015	930	886	547	1361	1419
8511	47	38	26	78	61	61	27	20	133	116	58	49	75	198	107	50	57	190
728642	1015	1067	1096	1018	889	1038	1107	1676	1336	1332	1045	1132	1256	1322	1538	874	1079	1474
9906	828	956	1118	846	575	569	432	653	726	526	567	582	352	367	637	649	928	631
112268218	173	158	164	159	196	138	215	217	221	210	153	173	187	228	434	146	249	132
65220	1926	1713	1822	1272	1860	1375	2170	2512	2091	1417	1595	2203	2314	2000	2126	1771	2550	1419
2782	6614	5497	5698	5121	4159	5863	6371	7266	5276	4562	4234	7481	8126	9867	5202	6689	5551	5367
105378949	8	18	14	1	9	4	8	9	4	8	8	19	12	16	7	10	5	8
163688	4	2	2	4	1	2	2	2	8	2	6	2	5	4	16	1	3	6
339456	39	52	159	4	85	164	116	73	13	159	9	56	159	137	65	42	29	75
85452	2	8	5	2	0	4	3	5	3	53	2	2	3	0	0	1	22	3
107984872	1	2	4	0	0	0	0	0	0	150	1	0	0	0	1	0	1	4
105378589	3	2	5	1	6	23	3	1	0	10	1	5	1	3	2	5	0	11
2563	27	10	20	5	9	18	12	24	11	74	1	23	20	34	11	20	3	93
105378590	0	1	1	1	0	2	0	0	7	2	2	0	0	0	2	0	12	0
105378591	1	0	1	2	0	1	0	0	0	1	2	1	0	0	0	0	0	0
5590	547	849	990	418	576	1203	619	732	631	904	736	811	376	495	967	452	1100	410
100506504	5	41	42	44	8	18	20	19	65	60	33	29	18	23	37	12	46	37
199990	1040	733	836	664	891	1658	1003	788	562	1471	464	732	957	1672	1187	970	672	679
112268219	31	62	44	67	53	49	46	51	50	59	30	55	55	72	75	36	53	55
105378593	3	7	2	10	4	12	0	0	11	10	3	4	2	0	15	2	4	6
6497	1841	1774	1879	3032	738	1278	923	1967	1486	2150	771	1702	1946	1647	515	1139	1032	2444
79906	63	56	54	80	67	67	94	80	65	66	43	77	107	89	70	58	73	65
100129534	22	25	19	36	63	44	10	11	43	21	18	5	23	19	47	7	30	38
11079	2193	1727	1693	1623	2191	2610	3406	2941	2244	1724	1897	2338	2726	3676	3818	2106	2467	1396
5192	733	488	608	353	515	801	674	698	373	506	286	487	580	635	741	659	324	418
9651	278	103	65	91	252	34	39	62	121	171	118	83	74	34	74	173	144	89
55229	339	274	346	417	411	367	497	581	384	342	236	431	554	555	348	405	393	471
388585	4	3	4	10	3	9	5	4	18	52	6	7	4	6	24	7	14	9
115110	824	984	684	519	411	598	442	550	1468	792	765	1281	423	328	1452	888	1159	581
8764	2659	1817	1856	1418	2014	1132	1629	1510	2820	2120	1973	2642	1503	1853	3811	2970	2490	2567
