GeneID	GSM4101866	GSM4101867	GSM4101868	GSM4101869	GSM4101870	GSM4101871	GSM4101872	GSM4101873	GSM4101874	GSM4101875	GSM4101876	GSM4101877	GSM4101878	GSM4101879	GSM4101880	GSM4101881
100287102	19	6	6	10	4	12	5	5	4	1	4	7	4	12	3	7
653635	473	372	342	447	635	432	447	237	153	190	182	252	244	251	191	120
102466751	15	15	13	18	26	19	16	9	3	4	3	9	15	10	9	5
107985730	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
645520	0	1	0	0	0	2	0	0	0	1	0	0	1	0	1	0
79501	0	1	0	0	0	0	0	1	0	10	0	0	1	0	0	0
100996442	76	64	39	54	71	59	95	66	71	98	60	50	83	85	100	41
729737	88	48	51	85	142	91	232	115	71	67	58	53	60	75	92	63
102725121	20	3	8	8	6	10	3	7	5	2	2	7	8	17	4	5
102723897	377	419	403	413	508	401	313	267	144	218	182	209	205	194	132	125
102465909	11	9	9	6	8	12	7	8	5	3	5	3	5	3	4	2
107985721	1	0	0	2	2	0	2	1	1	2	0	1	1	2	2	1
112268260	23	24	16	23	10	26	15	24	25	35	26	32	26	50	25	24
729759	0	3	2	2	1	3	1	2	3	0	1	4	1	2	0	0
100132287	137	69	63	137	137	104	137	79	63	68	85	58	83	105	88	56
105378947	2	4	0	3	1	5	4	2	3	2	0	2	1	3	3	1
101928626	1	0	2	2	2	0	1	1	0	1	1	1	1	1	1	1
113219467	45	49	45	52	36	123	84	301	415	244	296	276	298	477	187	409
81399	5	11	5	9	4	18	10	9	14	11	14	17	12	39	16	8
100133331	137	58	61	171	117	124	111	105	77	82	101	78	92	168	92	79
107984841	84	48	41	133	111	92	124	99	43	60	64	80	79	148	112	76
107984847	103	73	65	185	120	108	201	142	72	75	109	129	99	190	217	133
107984849	23	28	18	44	34	18	49	19	19	19	25	20	24	41	36	20
100288069	233	113	96	201	196	184	225	138	112	139	118	112	158	225	239	106
105378580	133	108	57	104	110	144	102	79	314	285	194	247	329	415	411	256
400728	71	45	20	49	57	56	59	47	52	76	58	50	67	106	73	44
79854	63	39	29	67	25	40	41	24	43	57	44	55	68	84	102	33
643837	445	449	362	577	534	399	594	465	339	391	329	192	319	339	549	250
107984850	2	2	0	13	4	6	3	2	0	3	1	3	4	1	1	0
284593	0	0	0	1	3	0	0	4	1	6	1	1	1	2	0	0
284600	16	23	19	24	11	36	147	15	2	8	5	6	12	6	71	2
100130417	27	34	32	29	22	41	22	20	13	7	12	20	15	6	23	9
107985728	29	66	74	47	31	90	86	45	15	25	28	16	13	30	6	9
148398	238	280	326	317	225	337	229	158	71	151	80	61	71	52	74	75
26155	1779	1104	1741	2433	2575	2196	1255	1056	676	985	743	665	456	544	646	612
