GeneID	GSM5013470	GSM5013471	GSM5013472	GSM5013473	GSM5013474	GSM5013475	GSM5013476	GSM5013477	GSM5013478	GSM5013479	GSM5013480	GSM5013481	GSM5013482	GSM5013483	GSM5013484
100287102	1	1	8	12	34	9	1	1	1	16	3	3	0	1	4
653635	269	322	636	615	978	1145	277	277	234	882	449	447	251	319	332
102466751	13	12	3	1	2	10	11	11	15	1	15	18	9	16	0
107985730	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
79501	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	24	15	1	2	1	11	18	19	13	2	26	66	9	14	4
729737	108	134	67	97	6	142	176	283	408	19	258	1291	255	600	45
102725121	0	0	0	0	1	1	0	1	1	0	2	2	0	0	1
102723897	254	322	569	522	667	1145	249	255	239	735	483	429	252	342	355
102465909	6	6	1	1	0	5	7	8	14	1	15	14	7	12	1
107985721	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
112268260	4	4	0	1	3	2	6	4	4	1	4	7	5	6	2
729759	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
100132287	96	133	64	66	11	129	149	185	203	29	141	466	137	302	20
105378947	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	2677	3168	21853	20115	9977	16583	1914	2981	1906	21385	3369	760	1687	2764	15259
81399	1	1	0	0	0	0	2	1	3	0	0	5	0	1	0
100133331	76	128	60	53	15	101	137	162	182	35	97	313	110	227	23
107984841	37	35	1	0	3	3	49	25	28	0	17	84	10	10	1
107984847	53	54	1	0	2	13	95	27	29	0	35	134	11	17	2
107984849	10	8	0	0	0	0	15	5	11	0	4	33	1	6	0
100288069	21	9	3	3	1	2	27	17	18	1	15	64	6	9	6
105378580	17	16	2	5	0	7	14	11	12	7	16	24	7	9	0
400728	10	5	0	0	0	2	11	4	5	0	1	5	4	0	0
79854	22	26	7	6	1	17	22	19	20	6	38	39	18	35	7
643837	165	208	28	29	22	178	170	118	110	38	159	164	88	167	20
107984850	0	1	0	1	5	9	4	21	12	6	8	5	0	4	1
284593	1	0	1	0	0	2	4	1	0	0	1	1	0	1	1
284600	51	105	3	6	7	150	119	2	5	1	81	81	3	15	3
100130417	14	41	46	114	217	77	49	12	39	46	41	9	23	61	10
107985728	18	24	0	1	2	0	43	6	20	0	10	26	3	27	0
148398	63	142	303	493	697	736	145	104	125	877	157	88	137	332	232
26155	437	595	512	644	761	1698	734	860	804	1230	726	674	851	1198	456
339451	66	93	54	37	50	154	137	103	100	69	105	172	137	142	28
84069	10	19	23	28	24	70	44	22	8	34	38	36	70	105	20
84808	2	2	8	9	11	30	4	4	3	21	2	4	8	23	8
57801	26	157	315	265	209	91	54	141	65	130	90	278	140	379	34
9636	127	275	2311	1019	2053	232	170	188	81	589	254	741	1245	1430	652
375790	684	755	322	315	251	1134	1282	1075	822	738	1273	1514	1584	2296	209
100288175	1	5	8	2	4	16	4	5	7	10	11	7	7	15	2
112267874	1	11	17	10	5	26	11	10	9	21	9	6	3	9	2
105378948	10	23	11	6	7	25	34	32	44	14	39	24	22	36	2
401934	1	22	19	9	11	77	23	24	11	35	22	28	14	14	5
54991	89	167	312	380	558	463	172	178	192	592	132	114	169	251	169
254099	7	9	30	17	38	71	27	37	18	54	19	19	22	27	4
406984	3	10	0	1	3	3	31	30	34	8	12	7	7	7	1
406983	5	10	2	1	3	4	59	49	46	2	32	6	17	15	0
554210	8	27	8	3	4	74	62	65	70	19	50	17	40	29	3
100506376	1	3	5	0	9	1	5	3	2	0	1	2	2	3	6
254173	5	10	7	4	7	11	10	3	8	13	1	8	8	37	6
8784	47	95	170	421	385	68	50	24	26	176	62	32	61	88	45
7293	57	48	92	161	135	48	59	17	39	66	88	76	110	189	38
51150	1900	2016	1376	1278	705	2468	1715	1815	1497	1643	1735	1285	1715	2255	473
126792	96	115	196	250	173	453	120	153	122	416	148	265	206	368	142
388581	112	133	466	395	721	72	69	36	23	162	39	24	124	76	57
118424	363	378	559	582	428	1010	394	385	328	821	337	360	426	494	263
101928895	13	12	11	19	20	6	16	7	4	5	3	4	3	8	3
6339	42	30	37	97	93	12	27	15	16	28	32	23	18	53	4
116983	366	644	653	694	1160	805	621	467	397	755	403	638	428	991	149
102465434	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0
109623456	1	3	1	0	0	1	4	4	4	0	2	5	4	4	0
126789	86	97	185	259	349	381	104	139	104	410	77	109	114	191	101
54973	658	809	1042	1070	1003	1695	750	892	789	1588	706	705	766	1289	490
102465435	4	5	2	4	2	7	6	4	4	5	3	3	4	3	1
80772	305	431	500	520	374	530	267	279	195	470	192	167	226	325	90
83756	36	70	37	47	52	42	89	31	10	59	46	46	32	34	8
1855	461	633	466	361	245	1109	534	836	548	732	508	561	827	913	269
102466740	1	2	1	0	0	0	1	1	0	0	1	2	2	1	0
54587	284	338	292	247	187	143	253	203	167	133	937	946	392	1927	56
54998	529	898	2998	3308	4319	3557	657	808	627	4528	663	434	874	1010	1252
81669	1381	1717	635	426	178	1503	1937	1842	1947	648	2153	2045	1553	2636	324
148413	183	198	370	310	341	560	211	281	175	549	228	149	249	250	151
55052	471	587	1093	736	555	2176	492	700	479	1480	709	414	807	918	688
107984868	2	8	0	0	2	2	1	2	1	0	2	0	1	1	0
441869	16	38	25	22	9	5	12	7	17	11	37	23	36	39	3
105378585	0	2	2	0	0	0	3	0	1	0	3	1	1	2	0
643965	0	0	0	0	2	0	1	0	0	1	0	0	0	2	0
102724312	6	10	26	29	26	29	25	5	10	42	7	3	16	11	3
107985729	1	3	0	1	2	2	19	2	10	2	1	11	4	4	1
64856	212	388	288	355	154	748	606	413	484	572	446	473	656	1044	210
219293	18	19	36	153	75	16	24	13	10	36	203	51	25	96	75
83858	230	357	481	489	574	1080	440	433	441	911	436	455	510	619	373
55210	199	227	361	421	562	945	310	323	294	1036	334	411	416	671	430
339453	5	6	17	9	3	18	3	10	2	7	14	14	9	29	6
29101	721	869	1092	827	565	2513	787	937	760	1353	783	737	1040	1599	588
643988	28	14	56	113	157	196	87	33	44	415	34	52	51	161	35
105378586	4	2	0	0	0	4	14	5	6	1	3	7	4	16	0
142678	496	902	1377	1561	1642	1379	780	777	794	1877	605	632	619	1168	335
8510	49	59	148	185	125	197	39	34	18	121	69	59	64	131	37
984	962	874	414	248	173	1035	750	765	665	362	800	648	724	928	229
728661	967	847	178	152	70	393	1239	1035	1026	170	552	986	569	845	90
8511	21	33	80	150	102	59	17	17	8	72	30	33	27	88	13
728642	713	689	396	273	194	908	579	656	663	364	631	549	660	923	202
9906	361	353	109	127	119	293	540	591	677	182	311	370	292	526	75
112268218	55	129	183	155	62	304	95	104	90	224	85	64	98	127	73
65220	808	940	474	359	325	981	1038	935	747	638	677	725	843	867	188
2782	3654	2254	968	674	199	1894	1872	2025	1710	919	2166	2441	2159	3109	436
105378949	8	9	11	6	4	8	2	5	1	3	2	6	1	3	4
163688	3	11	7	12	10	22	14	10	10	10	8	4	15	22	1
339456	8	7	26	28	18	75	19	22	12	35	17	6	30	64	24
85452	2	0	0	1	2	1	0	1	1	1	1	13	2	22	2
107984872	2	0	1	0	0	1	0	0	0	0	0	13	0	85	0
105378589	1	1	0	1	0	2	4	0	0	1	8	3	0	22	4
2563	0	5	2	3	0	14	14	1	1	21	24	16	11	23	8
105378590	10	0	8	0	2	0	0	0	0	0	0	0	0	4	2
105378591	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0
5590	405	331	495	618	1408	761	300	416	272	877	208	229	266	404	158
100506504	35	44	19	12	8	14	34	61	39	9	29	50	26	72	3
199990	216	244	1087	1532	2447	1558	235	312	213	2243	243	216	389	487	375
112268219	32	35	43	63	99	92	34	41	36	93	47	47	45	51	14
105378593	1	5	4	5	2	13	5	3	3	7	3	0	4	6	1
6497	359	272	41	45	40	134	434	372	316	61	361	594	372	545	55
79906	37	42	49	48	53	78	62	65	59	55	23	43	33	51	14
100129534	13	23	21	38	33	22	32	17	29	18	10	11	24	11	3
11079	1464	1637	1421	887	442	2197	1219	1504	1100	1208	1177	924	1433	1688	526
5192	163	246	343	320	183	471	214	316	225	377	246	179	292	388	102
9651	66	84	46	56	4	46	55	70	65	25	77	31	64	100	7
55229	205	210	83	58	21	137	202	244	206	55	171	155	220	264	25
388585	0	16	36	38	69	173	20	23	32	116	2	4	5	5	2
115110	912	625	699	845	1129	584	517	402	343	496	228	206	409	563	125
8764	1235	1539	2330	2310	2162	2022	1193	1131	983	2522	995	674	1075	1395	437
100996583	8	61	66	38	20	56	44	38	57	58	22	9	25	28	11
127281	589	461	468	372	429	718	548	718	427	658	373	555	669	719	236
79258	135	120	122	48	34	279	113	144	93	128	106	84	146	244	53
105378597	1	3	1	1	0	1	0	0	0	0	0	0	0	1	1
100287898	3	5	1	5	3	5	12	10	4	3	5	7	7	15	3
105378603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440556	8	12	30	69	62	11	6	0	4	14	2	2	18	15	0
63976	40	17	8	6	2	19	11	2	7	5	5	2	23	59	0
100422968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378606	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
107984909	8	9	2	1	0	0	0	1	0	0	0	0	7	9	1
105378605	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
105378604	42	22	28	21	31	503	223	323	260	168	119	183	194	281	54
27237	769	862	905	634	514	1198	592	732	606	719	562	363	657	677	194
1953	90	194	88	103	80	147	288	319	256	185	319	562	217	783	85
105378608	3	3	2	3	4	0	3	3	4	0	19	8	4	19	0
693135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127262	836	980	988	926	755	1333	678	641	551	1109	555	489	586	986	340
49856	228	223	114	66	28	403	196	271	174	135	235	229	273	322	88
7161	17	17	19	12	19	43	23	7	11	19	30	8	14	10	6
105378610	0	0	1	1	0	3	1	1	0	4	0	0	0	0	0
105378609	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
57212	148	118	45	51	19	11	80	94	76	12	118	107	61	136	4
148870	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0
388588	6	11	20	36	25	15	9	22	2	11	17	6	14	13	4
57470	425	475	282	244	139	720	446	606	407	468	448	507	519	764	158
9731	285	201	86	70	60	228	300	296	259	110	176	304	220	317	54
1677	96	102	23	11	4	77	120	136	140	27	101	131	144	170	21
107984910	1	5	0	1	1	4	3	5	4	0	2	1	4	9	1
339448	154	243	92	54	19	168	276	308	305	80	158	251	318	389	57
100133612	11	17	6	3	2	9	20	12	15	2	10	22	10	24	1
728716	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
105376672	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
105376673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55966	24	15	4	0	1	5	22	2	1	1	1	75	5	7	1
105376680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984911	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100616421	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0
261734	74	89	23	15	9	44	128	89	100	20	110	139	93	166	36
8514	184	174	66	104	48	44	149	58	71	33	302	362	153	489	81
26038	2	10	9	5	6	2	1	2	2	0	5	8	2	20	1
105376687	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
6146	3848	5362	6689	4416	1780	12406	4056	8802	4914	6959	5832	3235	5617	6894	4103
107985733	43	63	19	17	4	61	50	82	50	26	40	43	54	76	31
102724450	7	8	8	13	18	27	9	12	6	26	1	4	3	2	1
388591	158	218	86	69	62	209	201	224	225	79	92	82	160	178	16
23463	856	714	332	159	74	867	877	833	685	318	591	927	686	1130	180
148645	2	3	2	0	0	0	0	2	0	1	2	1	1	5	1
390992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387509	311	406	181	101	52	331	237	351	336	193	275	581	171	557	34
11332	740	493	374	244	193	861	366	391	321	417	301	363	297	556	269
54626	110	287	155	98	109	414	230	275	367	195	116	266	87	193	77
83715	538	528	1127	768	1247	505	172	310	182	511	106	450	178	611	229
100422975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8718	219	352	430	193	210	445	221	408	346	198	286	307	275	480	115
57449	170	257	86	41	46	99	266	415	365	41	145	538	164	381	36
79707	163	165	115	87	57	323	200	267	185	166	114	143	149	226	65
80835	1	2	2	2	0	0	0	1	3	5	0	0	1	1	0
107984912	0	1	1	2	0	0	0	0	1	1	0	0	0	0	0
3104	209	301	604	662	761	513	221	299	207	497	216	173	194	327	135
9903	160	171	29	20	5	97	219	184	169	33	185	315	113	330	33
107984913	2	1	3	4	3	1	0	3	3	1	0	7	2	5	0
148479	90	84	47	27	8	91	94	112	98	51	120	186	81	219	39
90326	189	301	522	491	458	758	278	330	236	702	261	191	229	381	186
55735	462	570	361	317	322	606	628	646	507	478	349	427	364	575	148
100505887	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
110841581	0	5	15	13	1	20	6	3	2	13	2	3	1	10	10
23261	231	280	244	116	54	495	247	274	223	214	283	218	204	324	136
105376692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
101928836	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0
105376691	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
105376689	10	2	2	6	1	13	5	20	13	4	28	21	14	59	6
9341	892	1005	458	229	62	866	932	1030	702	409	941	888	713	1137	185
8863	85	145	28	8	4	17	65	85	19	31	37	130	24	87	23
10911	1	40	59	12	10	5	43	71	22	68	0	27	60	19	27
3604	39	5	1	6	4	2	17	6	6	8	35	26	22	29	3
11315	1098	1261	1416	802	423	2962	1204	1806	1296	1433	1603	1125	1606	2297	1143
54206	1579	499	111	30	5	165	264	283	127	60	861	1268	844	986	72
107984915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724539	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
105376695	2	1	1	0	0	0	0	0	0	0	0	0	0	4	0
50651	10	10	7	11	2	2	5	3	2	2	10	10	6	20	4
473	901	1049	321	205	129	807	1048	1051	925	318	704	1028	431	1076	124
102724552	5	6	9	5	2	14	5	3	2	6	3	2	2	4	2
106632271	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2023	6710	5796	4305	2652	1340	13124	7006	8415	6539	7712	6160	6166	7325	8312	4186
102465436	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0
100505975	3	4	3	1	0	1	4	3	4	3	1	4	1	6	1
112268261	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
765	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1
155184	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0
6518	764	72	117	48	43	9	31	14	19	12	111	18	40	72	11
80045	79	90	44	37	11	138	117	111	82	63	135	350	101	166	52
106614088	67	57	16	16	9	114	100	185	175	41	235	165	103	132	7
407040	1	1	0	0	0	0	2	3	3	0	1	2	1	0	0
102724571	6	2	2	2	5	10	8	12	13	12	14	3	1	3	0
9563	881	568	314	525	230	677	867	795	809	613	648	715	353	1025	169
80176	342	196	53	95	46	78	131	79	102	60	312	386	179	637	31
100506022	7	5	2	1	0	1	4	4	0	2	6	4	1	5	0
84275	81	101	60	41	13	148	97	100	91	58	77	103	89	177	64
199953	54	88	48	44	43	106	104	132	121	97	71	134	83	160	48
107985734	1	6	19	22	20	26	4	6	3	39	4	4	6	15	11
105376712	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0
5293	248	230	358	561	419	453	147	122	157	483	182	145	201	218	48
644997	2	1	2	5	0	2	1	0	1	0	0	0	1	0	0
101929074	5	8	10	13	21	5	6	0	0	2	7	1	20	15	5
22883	1460	2203	904	774	524	1752	1883	2232	1685	1097	1440	1027	1383	1611	299
56998	158	218	130	94	35	323	235	277	216	174	374	133	154	289	66
105376717	20	9	4	5	2	15	17	19	13	6	23	13	11	23	3
84328	491	473	378	232	102	540	452	491	386	351	299	378	337	543	144
64802	257	242	188	98	56	251	259	213	175	137	137	155	146	165	62
113391335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100847055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116362	15	20	16	18	8	13	4	4	8	3	31	5	9	21	8
10277	512	350	130	101	48	454	551	666	650	165	358	406	238	436	74
23095	613	365	109	120	44	284	587	458	356	110	243	519	267	384	66
105376725	0	1	6	0	0	1	4	3	1	1	0	3	0	3	0
5226	1278	889	670	576	402	1708	1357	1670	1037	1286	1312	1068	1068	2149	360
100526739	43	39	20	10	5	64	61	62	69	21	43	30	36	75	14
378708	46	41	35	15	4	92	72	71	75	51	45	30	42	88	19
1325	5	7	11	7	4	19	5	6	2	9	3	2	8	6	3
1676	367	322	179	112	136	361	390	547	319	238	293	479	268	518	117
5195	204	214	120	96	52	232	172	222	151	109	172	166	123	215	46
54897	593	400	144	135	98	290	417	363	389	128	130	237	233	248	49
105376733	16	5	1	3	5	3	18	10	8	7	1	0	7	0	0
105376735	0	0	0	1	0	25	14	1	3	7	0	0	7	5	0
148345	7	14	13	25	7	0	5	8	1	2	5	7	7	4	1
23435	1602	1467	1134	826	522	1808	1554	2164	1722	1057	1441	2084	1493	2002	665
10747	56	42	23	8	2	36	47	58	50	16	30	13	9	26	3
6723	136	154	211	246	163	726	241	196	205	554	389	319	336	647	317
5394	544	618	314	162	56	654	625	859	639	270	563	627	472	727	145
105376736	18	14	2	2	0	5	18	25	23	3	3	23	7	16	1
2475	676	451	126	74	18	389	706	523	530	128	377	693	318	559	91
100873935	9	3	1	0	0	0	8	8	7	0	3	9	3	6	1
10218	26	32	2	0	0	0	0	1	2	0	3	6	0	32	0
29914	128	152	55	85	81	186	197	215	149	100	157	212	142	267	50
105376737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376740	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
57540	3	3	3	5	5	3	8	3	1	0	2	8	5	8	2
112268221	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
101929181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26232	16	15	9	21	3	5	7	7	7	7	9	25	7	63	5
93611	125	138	93	177	105	200	75	107	78	98	149	104	111	227	50
26270	81	87	38	19	46	98	107	111	64	49	97	95	109	114	33
10459	93	69	104	106	89	321	102	134	107	190	142	149	224	314	112
374946	4	3	2	4	5	6	8	3	3	2	5	11	6	8	1
57085	148	143	192	237	186	543	217	293	195	476	286	241	317	412	263
284498	94	59	15	16	27	10	70	45	44	21	27	31	42	45	5
102724659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4524	390	245	351	713	1651	383	313	185	168	579	143	147	201	248	78
1185	181	163	40	34	19	99	156	146	162	50	115	216	127	225	26
100379251	29	30	7	6	0	9	30	25	31	3	15	26	20	25	2
4878	11	11	11	19	10	16	7	7	12	15	8	3	4	10	3
4879	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
26829	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
90231	1407	1293	1287	1104	887	1492	789	1017	685	1234	655	785	1139	1245	463
5351	745	472	380	563	327	1084	598	572	445	824	863	978	827	1437	297
9927	1327	1270	331	183	83	582	1105	1120	822	261	522	824	863	994	142
60672	116	163	407	487	893	657	159	187	142	858	271	186	241	349	298
102466982	0	0	1	0	1	1	2	1	1	0	1	2	3	3	0
943	8	3	1	5	0	3	5	3	4	5	13	8	18	16	3
102465836	16	8	0	0	0	0	6	8	5	0	4	9	6	7	0
7133	833	519	388	758	545	696	387	332	330	605	446	529	659	664	176
100616438	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
107984917	0	2	0	0	1	1	2	1	0	1	0	5	1	1	0
55187	637	581	210	184	91	533	741	544	526	229	339	581	414	447	94
677885	3	7	1	0	0	2	3	3	3	0	2	3	5	8	5
105376744	3	0	0	0	0	0	2	0	3	0	1	1	1	0	0
9249	671	849	908	820	532	1478	451	863	597	917	578	364	697	885	150
102466722	1	1	1	0	0	0	0	3	2	0	1	1	3	1	0
343066	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
126767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93190	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
390999	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
65121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
