sample,condition
GSM3731534,Normal
GSM3731535,Cancer
GSM3731536,Normal
GSM3731537,Cancer
GSM3731538,Normal
GSM3731539,Cancer
GSM3731540,Normal
GSM3731541,Cancer
GSM3731542,Normal
GSM3731543,Cancer
GSM3731544,Normal
GSM3731545,Cancer
GSM3731546,Normal
GSM3731547,Cancer
GSM3731548,Normal
GSM3731549,Cancer
GSM3731550,Normal
GSM3731551,Cancer
GSM3731552,Normal
GSM3731553,Cancer
GSM3731554,Normal
GSM3731555,Cancer
GSM3731556,Normal
GSM3731557,Cancer
GSM3731558,Normal
GSM3731559,Cancer
GSM4094341,Normal
GSM4094342,Cancer
GSM4094343,Normal
GSM4094344,Cancer
GSM4094345,Normal
GSM4094347,Normal
GSM4094348,Cancer
GSM4094349,Normal
GSM4094350,Cancer
GSM4094351,Normal
GSM4094352,Cancer
GSM4094353,Normal
GSM4094354,Cancer
GSM4094355,Normal
GSM4094356,Cancer
GSM4094357,Normal
GSM4094358,Cancer
GSM4094359,Normal
GSM4094360,Cancer
GSM4094346,Cancer
