"sample","condition"
"GSM7462045","Cancer"
"GSM7462047","Normal"
"GSM7462046","Normal"
"GSM7462033","Cancer"
"GSM7462043","Cancer"
"GSM7462042","Cancer"
"GSM7462041","Normal"
"GSM7462040","Cancer"
"GSM7462039","Normal"
"GSM7462049","Normal"
"GSM7462037","Normal"
"GSM7462036","Cancer"
"GSM7462031","Cancer"
"GSM7462028","Cancer"
"GSM7462027","Normal"
"GSM7462026","Cancer"
"GSM7462025","Normal"
"GSM7462024","Cancer"
"GSM7462023","Normal"
"GSM7462022","Normal"
"GSM7462020","Cancer"
"GSM7462019","Normal"
"GSM7462018","Cancer"
"GSM7462010","Cancer"
"GSM7462012","Normal"
"GSM7462014","Normal"
"GSM7462015","Cancer"
"GSM7462016","Normal"
"GSM7462017","Normal"
"GSM7462007","Normal"
"GSM7462008","Cancer"
"GSM7462009","Normal"
