GeneID	GSM3374665	GSM3374666	GSM3374667	GSM3374668	GSM3374669	GSM3374670	GSM3374671	GSM3374672
100287102	3	1	3	2	11	4	3	3
653635	846	731	633	681	1712	685	595	666
102466751	21	15	22	17	58	22	22	17
107985730	0	0	0	0	2	1	0	1
100302278	0	0	0	0	1	0	0	1
645520	0	4	1	2	3	0	1	3
79501	0	0	0	0	0	0	0	0
100996442	40	43	50	40	67	38	96	73
729737	1304	1368	1414	655	2437	1162	1674	652
102725121	0	2	0	2	2	6	2	0
102723897	840	851	699	837	1767	883	662	719
102465909	12	7	9	8	21	13	8	5
107985721	0	0	0	2	3	2	1	1
112268260	66	66	36	43	39	10	38	27
729759	0	0	0	0	0	0	0	0
100132287	499	594	480	525	2411	897	834	425
105378947	6	2	1	1	1	2	2	0
101928626	0	0	0	0	0	0	0	0
113219467	4361	3077	2323	2384	4202	3104	3036	1672
81399	6	8	6	7	10	7	27	7
100133331	498	489	404	540	2028	685	721	371
107984841	56	91	113	59	237	77	110	40
107984847	116	155	214	81	561	124	180	62
107984849	46	52	44	34	141	32	63	24
100288069	59	46	64	54	102	64	114	62
105378580	19	13	17	14	36	20	33	25
400728	12	11	5	19	5	6	12	14
79854	28	35	73	42	71	38	73	29
643837	268	340	551	338	337	393	561	268
107984850	0	0	0	0	1	2	0	0
284593	4	1	2	4	3	1	9	2
284600	7	3	80	7	99	35	108	4
100130417	53	6	2	35	95	16	18	11
107985728	37	11	9	41	57	15	10	4
148398	348	248	212	235	964	617	355	181
26155	1691	1818	1707	1859	3886	3490	3183	1252
339451	357	192	179	194	667	191	369	158
84069	1505	1289	1249	1208	100	61	335	142
84808	420	266	260	237	38	22	77	36
57801	418	192	380	294	543	543	403	196
9636	5102	235	356	205	214	833	312	1385
375790	2343	1809	1466	1811	10739	7988	5498	2466
100288175	138	56	94	95	39	18	15	9
112267874	174	106	158	108	24	3	35	6
105378948	507	245	371	274	61	20	55	22
401934	607	483	485	423	8	24	44	12
54991	312	299	240	274	1050	438	345	192
254099	0	0	0	0	10	4	1	1
406984	1	4	4	2	6	1	1	0
406983	6	4	6	0	2	2	0	0
554210	35	12	19	12	73	11	30	3
100506376	4	3	2	1	6	9	3	1
254173	13	9	7	6	73	75	276	21
8784	41	93	102	67	775	779	1087	502
7293	38	80	68	98	138	93	189	155
51150	1887	2400	2072	2399	5454	4553	5468	2788
126792	198	311	249	276	1596	760	765	232
388581	7	13	10	5	446	155	298	60
118424	1182	1104	998	1259	2384	1542	1908	931
101928895	17	30	23	25	86	7	57	12
6339	120	79	96	81	442	85	154	52
116983	1769	1380	1020	1505	1094	1588	1905	791
102465434	1	0	0	1	0	2	2	0
109623456	2	5	2	3	3	4	6	3
126789	385	349	420	464	409	414	417	160
54973	1410	1386	1381	1600	3561	1786	1987	1106
102465435	5	6	8	12	9	11	7	0
80772	1363	937	1110	1195	954	620	909	466
83756	62	54	40	74	4	30	164	47
1855	1908	1719	2160	1893	1989	1977	2698	1054
102466740	2	2	2	1	3	1	2	1
54587	1194	900	460	765	1790	1861	1147	1043
54998	1429	1338	1218	1517	2396	1992	1859	1068
81669	4861	3694	3162	3881	12643	3558	4336	2299
148413	342	494	348	435	914	494	740	339
55052	1226	1397	1216	1593	1978	1748	1823	881
107984868	8	25	24	18	69	15	50	47
441869	509	494	230	491	851	363	667	428
105378585	57	41	27	50	191	59	107	37
643965	4	9	10	11	3	5	4	0
102724312	49	56	44	35	58	32	21	20
107985729	23	29	21	32	36	25	13	10
64856	1737	1867	1782	1970	2754	3280	2730	1297
219293	90	72	53	92	75	80	111	60
83858	498	573	705	623	1830	1031	1107	437
55210	596	665	647	661	1653	1436	1345	527
