GeneID	GSM4998462	GSM4998463	GSM4998464	GSM4998465	GSM4998466	GSM4998467	GSM4998468	GSM4998469	GSM4998470	GSM4998471	GSM4998475	GSM4998476	GSM4998477
100287102	6	7	9	5	15	13	16	15	12	14	3	3	9
653635	256	226	265	317	439	273	294	317	360	517	284	194	574
102466751	27	25	22	23	40	28	26	16	35	41	33	17	41
107985730	1	0	0	0	0	0	0	2	0	1	1	1	2
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	1	1	3	1	10	1	3	0	1	1	0	1	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	1
100996442	84	62	41	66	156	125	78	71	28	105	85	60	113
729737	373	208	93	243	723	572	105	206	127	464	313	129	453
102725121	6	4	11	4	22	24	23	16	7	9	3	2	7
102723897	363	261	389	432	595	480	390	373	331	437	536	273	471
102465909	10	5	7	6	13	5	9	6	11	12	6	9	12
107985721	3	1	2	1	1	2	5	3	2	1	2	0	2
112268260	47	17	23	21	64	50	47	51	23	12	16	19	21
729759	2	2	1	1	1	1	2	2	3	3	1	2	1
100132287	181	174	152	142	274	243	125	138	303	269	311	109	205
105378947	9	3	3	4	6	12	11	7	8	5	1	7	4
101928626	0	0	1	1	1	2	1	2	1	1	1	2	2
113219467	25	22	11	13	25	20	29	17	40	45	33	22	14
81399	12	13	10	12	12	8	25	14	13	13	5	16	8
100133331	140	163	129	141	201	231	137	146	264	271	294	131	209
107984841	82	52	57	63	119	108	85	79	105	118	126	54	92
107984847	50	55	67	61	120	96	54	69	123	101	159	39	88
107984849	23	28	16	19	53	32	15	34	38	45	44	11	35
100288069	120	109	65	111	138	186	178	129	114	279	228	123	141
105378580	113	75	116	77	151	143	156	214	112	127	95	65	117
400728	55	20	47	17	48	41	71	69	36	59	45	37	43
79854	36	41	64	61	59	60	51	60	68	116	61	30	83
643837	204	716	745	600	403	295	502	311	348	537	302	345	279
107984850	0	1	1	5	1	1	0	0	0	1	0	1	1
284593	1	5	1	1	2	1	3	1	0	1	2	2	1
284600	13	30	27	13	11	24	11	6	104	181	16	19	17
100130417	34	75	113	32	41	57	38	28	16	71	22	19	18
107985728	34	112	148	54	57	71	58	18	26	95	28	46	45
148398	110	292	346	181	233	175	185	128	177	399	217	178	151
26155	1254	796	1053	1194	2221	1418	1113	1134	2206	3410	2101	1313	1575
339451	159	110	70	53	143	176	95	89	324	210	183	144	107
84069	934	19	12	31	1043	1570	440	549	756	679	50	145	262
84808	151	21	6	67	210	236	58	90	170	111	4	10	46
57801	149	367	272	295	160	149	184	151	399	577	272	220	223
9636	80	343	216	223	187	194	158	321	3070	768	430	707	4183
375790	2609	1650	1671	882	2395	2051	1516	3271	8284	15882	12412	4088	11811
100288175	86	4	3	5	60	109	62	68	33	30	10	6	34
112267874	153	1	2	3	118	144	81	107	21	11	2	8	28
105378948	365	5	3	3	284	404	233	283	36	18	8	14	41
401934	271	4	0	2	294	294	219	200	52	26	0	10	58
54991	231	105	127	87	234	272	169	173	337	379	325	127	277
254099	10	0	0	0	1	1	2	8	0	0	1	0	5
406984	10	0	0	0	15	27	6	12	11	7	4	0	27
406983	25	0	0	0	13	14	5	28	10	20	7	2	24
554210	46	0	0	0	31	41	10	29	15	11	6	2	21
100506376	23	0	1	1	27	32	9	26	42	53	17	2	30
254173	50	9	2	4	38	57	16	30	130	322	26	20	196
8784	37	23	10	9	33	17	14	47	179	404	97	98	258
7293	22	105	25	14	27	24	12	42	107	141	106	137	129
51150	1733	1893	1802	2155	1923	1708	1729	1898	2156	5387	3937	2382	3614
126792	186	157	193	131	212	183	192	231	450	889	810	311	302
388581	27	13	30	13	19	14	28	12	92	63	188	54	105
118424	513	374	393	350	709	516	461	508	648	924	739	474	636
101928895	52	59	68	45	35	29	40	37	89	269	16	25	35
6339	78	71	88	44	50	49	64	79	192	361	14	61	67
116983	1730	1172	1550	1069	2308	2356	1492	1264	1648	4365	845	1143	2172
102465434	1	2	0	0	1	3	2	2	2	5	2	1	1
109623456	8	6	9	3	14	13	6	3	12	22	4	2	7
126789	394	120	138	147	421	457	234	276	237	454	230	180	252
54973	1271	1023	1360	1140	1360	1153	1109	1022	1618	3229	1411	912	1318
102465435	12	6	11	2	10	11	4	7	8	21	9	4	5
80772	493	100	164	158	571	593	293	501	406	569	253	221	361
83756	144	20	64	39	127	173	103	119	73	163	20	75	81
1855	1572	835	972	988	1594	1612	995	1121	1744	3219	1138	1124	1097
102466740	2	3	2	0	2	1	2	2	8	4	1	2	3
54587	1199	1280	870	1345	1187	1736	976	855	775	2002	1830	2492	1220
54998	569	436	541	710	922	828	602	619	764	1202	1044	661	911
81669	2629	2077	2613	1778	2593	2872	2496	2643	3772	5932	4600	2282	4367
148413	229	128	206	159	280	205	215	245	244	494	367	230	310
55052	483	404	504	610	691	515	628	545	507	859	744	441	586
107984868	11	12	14	9	8	17	12	11	7	13	8	19	9
441869	245	205	206	217	327	353	270	214	101	412	192	207	393
105378585	35	15	15	26	29	30	35	22	14	37	19	13	14
643965	8	4	14	6	10	7	16	12	4	26	0	9	27
102724312	30	61	74	90	39	27	83	44	31	59	14	34	21
107985729	31	69	68	83	45	35	72	23	46	70	10	37	19
64856	865	2836	1976	3292	1342	842	1870	1022	950	2134	706	1658	1475
219293	57	67	47	158	79	55	40	53	52	116	49	48	47
83858	628	491	528	601	779	553	537	462	1335	2334	1159	701	773
55210	417	320	332	393	618	513	330	382	854	1914	1216	621	594
339453	11	45	63	64	17	16	42	26	44	25	21	27	13
29101	1012	661	716	821	1299	1304	856	1027	1589	2360	1202	823	1255
643988	61	13	13	12	96	75	36	88	163	373	175	35	88
105378586	13	3	1	3	10	11	10	6	20	61	16	6	15
142678	1385	1103	1261	943	1545	1233	1104	1068	2212	3270	1557	1000	2131
8510	43	151	97	132	62	49	121	58	55	160	160	160	88
984	592	798	1038	1077	1014	697	796	622	1220	1659	1135	668	1134
728661	1433	1030	1345	1351	1468	1308	1135	1993	1197	2095	2186	871	1619
8511	19	113	61	95	29	29	85	46	19	114	105	121	64
728642	511	672	801	756	700	546	556	561	1216	1778	972	475	1034
9906	638	341	593	486	576	615	818	905	589	1138	1048	528	755
112268218	101	103	104	125	99	76	85	90	152	198	122	101	150
65220	847	830	778	932	855	692	807	834	1483	1810	1081	969	1432
2782	3589	4113	4808	5273	3939	3269	4416	3908	4934	10098	7381	5852	5968
105378949	28	12	8	19	9	22	8	16	26	72	27	16	25
163688	10	6	2	1	14	17	17	19	12	84	2	4	30
