GeneID	GSM5828359	GSM5828360	GSM5828361	GSM5828362	GSM5828363	GSM5828364	GSM5828365	GSM5828366	GSM5828367	GSM5828368	GSM5828369	GSM5828370
100287102	0	11	4	7	4	7	6	6	1	10	4	14
653635	179	179	195	354	133	189	331	241	164	270	212	216
102466751	4	7	8	6	7	4	12	6	3	7	7	10
107985730	0	0	1	0	0	0	0	0	0	1	1	0
100302278	0	0	0	0	0	0	0	0	0	1	0	0
645520	0	0	0	0	0	1	0	0	0	0	2	1
79501	0	0	0	0	0	0	0	0	0	0	0	4
100996442	77	80	95	146	159	103	244	130	96	170	51	123
729737	92	69	175	336	206	161	408	235	111	173	79	139
102725121	0	4	1	9	5	6	9	7	1	14	5	19
102723897	194	239	285	390	129	205	307	225	191	265	263	284
102465909	1	1	2	3	2	2	7	2	1	2	5	6
107985721	0	2	2	1	1	3	1	1	0	1	0	1
112268260	11	59	19	37	29	71	38	29	46	49	23	39
729759	1	1	1	1	3	1	4	1	5	5	5	3
100132287	57	56	116	142	176	101	206	117	85	80	61	74
105378947	0	11	4	5	1	4	3	2	6	5	7	8
101928626	0	0	3	0	1	0	0	0	1	3	0	0
113219467	10	11	32	13	12	2	21	3	10	18	18	17
81399	12	19	7	14	28	19	26	15	39	25	28	27
100133331	49	57	80	83	128	57	114	68	71	73	58	59
107984841	51	30	81	89	77	51	95	70	65	58	35	23
107984847	57	37	128	129	97	56	141	122	93	71	37	50
107984849	17	7	37	32	40	18	48	30	26	14	12	13
100288069	109	90	177	160	186	129	156	135	112	148	114	106
105378580	51	208	100	180	70	132	118	116	48	165	99	138
400728	21	40	55	66	19	56	51	60	15	66	28	60
79854	33	54	49	51	35	34	39	46	31	40	62	42
643837	265	356	650	563	186	446	426	707	454	397	664	539
107984850	0	1	0	0	1	0	0	6	2	1	0	0
284593	0	2	3	0	1	0	6	0	0	0	2	0
284600	2	5	131	58	31	8	88	86	4	15	2	1
100130417	1	29	25	23	5	51	4	8	8	25	2	25
107985728	6	50	51	101	19	81	14	35	28	57	6	63
148398	119	126	255	277	84	170	115	131	151	128	140	165
26155	2056	1123	2301	1426	911	1107	1890	1207	2444	1053	2312	1450
339451	184	100	161	152	96	85	267	124	97	65	230	173
84069	204	483	189	1322	95	625	295	581	153	395	276	738
84808	19	91	35	152	15	382	38	72	52	413	29	106
57801	406	166	354	271	205	443	409	264	597	294	940	207
9636	3154	191	474	227	1173	656	1993	157	5362	426	2194	173
375790	13207	3094	11963	3175	4427	3462	8796	2754	7475	3006	6258	2661
100288175	18	67	19	121	4	102	21	79	7	30	27	68
112267874	27	139	13	183	5	89	20	162	7	54	28	115
105378948	32	147	26	404	7	183	43	212	5	118	29	196
401934	47	183	61	649	2	421	115	578	39	185	124	301
54991	183	140	258	223	122	106	164	151	167	106	279	200
254099	1	0	2	0	1	4	4	0	0	0	0	1
406984	9	9	6	14	0	10	10	6	7	1	3	13
406983	3	12	2	17	2	12	5	6	7	5	2	14
554210	1	22	6	15	1	7	6	11	6	4	17	16
100506376	0	3	7	4	4	6	1	4	1	1	1	6
254173	13	12	36	18	21	5	51	13	17	17	13	12
8784	237	60	346	22	323	69	649	39	288	77	186	40
7293	192	29	87	35	92	56	109	36	64	59	184	35
51150	2208	1202	3333	1924	1302	1808	1793	1604	2365	1452	2292	1603
126792	560	279	534	359	374	358	405	260	551	373	729	353
388581	298	11	143	10	10	13	318	22	87	19	20	25
118424	861	608	1046	823	676	689	1003	696	930	707	941	822
101928895	9	29	27	49	8	31	30	23	17	34	80	39
