GeneID	GSM8315917	GSM8315918	GSM8315919	GSM8315920	GSM8315921	GSM8315922	GSM8315923	GSM8315924	GSM8315925	GSM8315926	GSM8315927	GSM8315928	GSM8315929	GSM8315930	GSM8315931	GSM8315932	GSM8315933	GSM8315934	GSM8315935	GSM8315936
1	105	28	4	14	44	60	285	109	52	136	12	54	295	280	174	497	63	128	118	252
10	4	0	3	0	0	13	15	0	0	0	0	6	22	0	3	2	0	0	1	9
100	1193	709	1842	718	2499	2003	2389	1692	934	1782	576	2898	3617	1622	1961	1411	4132	2660	2084	6831
1000	48	934	242	298	32	23	180	230	142	42	0	552	115	1786	758	228	9	10	0	282
10000	337	732	427	335	2391	148	5454	984	1193	1327	136	469	989	576	2853	3128	851	566	5964	8919
100008586	0	798	0	0	0	0	0	2	0	0	0	0	4	0	0	140	1	0	0	0
100009676	304	792	499	784	340	299	602	170	392	227	599	374	1277	549	374	2046	522	513	1065	810
10001	649	2022	961	1396	795	710	1004	1064	2266	1056	1473	1116	2612	1183	2623	3888	2860	1601	2530	1440
10002	0	0	6	6	5	9	4	4	8	9	2	9	33	2	27	1466	6	21	8	4
10003	7	44	15	29	72	8	22	106	16	31	15	15	9	14	161	384	97	12	63	147
100033411	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	2	0
100033422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
100033437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033450	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033802	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
100033803	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
100033804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033808	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
100033809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100033818	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
100033819	137	9152	5	3	645	23	896	17	287	481	8900	125	19	5	7	8	19625	3	9144	140
100033822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100036564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100036565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100037417	3193	3944	3697	1571	6192	2995	5819	4785	3072	4217	5275	4136	10525	3859	10937	16103	4557	5091	19460	7278
100038246	0	34	0	2	4	0	0	0	121	8	23	2	0	0	0	8	0	0	0	6
10004	68	19	100	24	19	55	55	33	19	21	8	27	205	3	38	20	12	169	45	58
100048912	281	195	283	0	0	308	2280	0	0	61	19	77	448	3053	3	1581	0	355	5771	8
100049587	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
100049716	193	340	198	153	94	321	491	256	464	512	172	326	688	537	191	1457	1887	253	1303	316
10005	909	2593	1005	1598	799	1029	1540	955	1264	1145	1647	948	2845	1121	1560	2923	1664	1745	2652	1441
10006	4335	7032	6450	5451	2827	4415	3096	1250	6143	4138	4463	1780	15549	3159	2794	9258	8396	13548	5237	7095
10007	920	2754	2110	1937	2209	1395	2318	2823	2390	3163	3789	2482	4880	4021	5175	5558	5247	2467	6470	4307
