GeneID	GSM2486697	GSM2486698	GSM2486699	GSM2486700	GSM2486701	GSM2486702	GSM2486703	GSM2486704	GSM2486705	GSM2486706	GSM2486707	GSM2486708	GSM2486709	GSM2486710	GSM2486711	GSM2486712	GSM2486713	GSM2486714	GSM2486715	GSM2486716	GSM2486717	GSM2486718	GSM2486719	GSM2486720	GSM2486721	GSM2486722	GSM2486723	GSM2486724	GSM2486725	GSM2486726	GSM2486727	GSM2486728	GSM2486729	GSM2486730	GSM2486731	GSM2486732	GSM2486733	GSM2486734	GSM2486735	GSM2486736	GSM2486737	GSM2486738	GSM2486739	GSM2486740	GSM2486741	GSM2486742	GSM2486743	GSM2486744	GSM2486745	GSM2486746	GSM2486747	GSM2486748	GSM2486749	GSM2486750	GSM2486751	GSM2486752	GSM2486753	GSM2486754	GSM2486755	GSM2486756	GSM2486757	GSM2486758	GSM2486759	GSM2486760	GSM2486761	GSM2486762	GSM2486763	GSM2486764	GSM2486765	GSM2486766	GSM2486767	GSM2486768	GSM2486769	GSM2486770	GSM2486771	GSM2486772	GSM2486773	GSM2486774	GSM2486775	GSM2486776
100287102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
653635	0	1	0	3	0	0	0	0	0	1	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	0	0	0	1	0
102466751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
107985730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	2	5	3	1	1	2	2	1	1	0	3	1	1	1	6	5	6	5	1	1	0	3	5	1	3	4	1	1	5	0	1	2	1	1	4	4	10	1	4	1	3	1	3	1	3	2	6	3	2	1	7	5	4	5	9	6	1	0	12	0	5	3	8	1	10	1	0	1	5	1	0	10	13	0	11	0	0	2	26	3
729737	0	1	1	3	0	4	0	0	0	1	0	0	0	4	0	1	1	2	2	0	0	0	1	0	0	1	0	0	2	1	1	0	0	0	0	0	3	0	3	1	2	0	1	1	0	2	0	2	2	0	1	0	0	1	3	2	0	0	2	0	0	0	1	0	1	0	0	2	0	0	0	7	0	0	2	0	0	0	19	0
102725121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
102723897	0	1	0	3	0	1	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	1	0	2	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0
102465909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112268260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100132287	0	1	1	3	0	5	1	0	0	0	0	0	0	1	1	2	2	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	1	5	0
105378947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	4	3	5	17	2	32	1	1	0	5	6	3	4	11	5	5	0	3	5	3	3	1	3	2	6	5	2	3	5	4	3	20	0	8	13	11	8	2	5	4	3	5	7	6	1	3	6	7	2	1	5	6	6	3	5	3	2	0	23	5	2	2	5	1	7	3	1	12	0	1	0	10	0	0	6	3	0	2	9	2
81399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
