Sample,Condition
GSM3619137,tumor
GSM3619138,tumor
GSM3619139,tumor
GSM3619140,tumor
GSM3619141,tumor
GSM3619142,tumor
GSM3619143,tumor
GSM3619144,tumor
GSM3619145,tumor
GSM3619146,tumor
GSM3619147,tumor
GSM3619148,tumor
GSM3619149,tumor
GSM3619150,tumor
GSM3619151,tumor
GSM3619152,tumor
GSM3619153,tumor
GSM3619154,tumor
GSM3619155,tumor
GSM3619156,tumor
GSM3619157,tumor
GSM3619158,tumor
GSM3619159,tumor
GSM3619160,tumor
GSM3619161,tumor
GSM3619162,tumor
GSM3619163,tumor
GSM3619164,tumor
GSM3619165,tumor
GSM3619166,tumor
GSM3619167,tumor
GSM3619168,tumor
GSM3619169,tumor
GSM3619170,tumor
GSM3619171,tumor
GSM3619172,tumor
GSM3619173,tumor
GSM3619174,tumor
GSM3619175,tumor
GSM3619176,tumor
GSM3619177,tumor
GSM3619178,tumor
GSM3619179,tumor
GSM3619180,tumor
GSM3619181,tumor
GSM3619182,tumor
GSM3619183,tumor
GSM3619184,tumor
GSM3619185,tumor
GSM3619186,tumor
GSM3619187,tumor
GSM3619188,tumor
GSM3619189,tumor
GSM3619190,tumor
GSM3619191,tumor
GSM3619192,normal
GSM3619193,normal
GSM3619194,normal
GSM3619195,normal
GSM3619196,normal
GSM3619197,normal
GSM3619198,normal
GSM3619199,normal
GSM3619200,normal
GSM3619201,normal
GSM3619202,normal
