Sample ,Condition
GSM8042761,tumor
GSM8042760,tumor
GSM8042759,normal
GSM8042758,normal
GSM8042757,normal
GSM8042756,normal
GSM8042755,tumor
GSM8042752,tumor
GSM8042751,tumor
GSM8042750,tumor
GSM8042749,tumor
GSM8042748,tumor
GSM8042747,normal
GSM8042746,normal
GSM8042745,normal
GSM8042742,normal
GSM8042741,normal
GSM8042740,normal
GSM8042739,tumor
GSM8042738,tumor
GSM8042737,tumor
GSM8042736,tumor
GSM8042735,tumor
GSM8042734,normal
GSM8042733,normal
GSM8042732,tumor
GSM8042731,tumor
GSM8042730,tumor
GSM8042729,tumor
GSM8042728,tumor
GSM8042727,tumor
GSM8042726,tumor
GSM8042725,tumor
GSM8042722,tumor
GSM8042721,tumor
GSM8042720,tumor
GSM8042719,tumor
GSM8042718,tumor
GSM8042715,tumor
GSM8042714,tumor
GSM8042713,tumor
GSM8042712,tumor
GSM8042711,tumor
GSM8042754,tumor
GSM8042753,tumor
GSM8042744,normal
GSM8042743,normal
GSM8042724,tumor
GSM8042723,tumor
GSM8042717,tumor
GSM8042716,tumor
GSM8042710,tumor
GSM8042709,tumor
GSM8042708,tumor
GSM8042707,tumor
GSM8042706,tumor
GSM8042705,tumor
