GeneID	GSM3533490	GSM3533491	GSM3533492	GSM3533493	GSM3533494	GSM3533495
100287102	5	5	6	7	3	5
653635	345	124	288	203	224	217
102466751	37	9	24	7	12	14
107985730	0	0	1	0	0	1
100302278	0	0	0	0	0	1
645520	2	0	0	0	2	2
79501	0	0	0	0	2	0
100996442	55	10	42	44	51	88
729737	100	35	61	33	103	73
102725121	7	5	10	3	6	5
102723897	389	149	246	200	195	235
102465909	17	4	16	5	8	10
107985721	1	0	0	1	2	4
112268260	2	0	10	5	17	17
729759	0	0	0	0	0	1
100132287	109	35	74	33	96	76
105378947	1	0	4	0	1	2
101928626	0	0	0	0	0	3
113219467	1727	105	2930	1521	1365	91
81399	1	0	5	3	11	7
100133331	118	62	75	34	105	60
107984841	105	6	107	36	54	129
107984847	114	5	126	31	75	118
107984849	33	4	21	5	7	12
100288069	132	12	109	63	54	109
105378580	320	3	246	221	181	459
400728	16	8	18	1	7	6
79854	37	6	33	18	30	31
643837	187	57	232	87	159	231
107984850	1	0	0	0	1	2
284593	0	0	5	1	2	0
284600	75	11	93	9	14	8
100130417	166	1	100	6	73	21
107985728	203	7	237	20	201	62
148398	313	27	283	44	319	85
26155	886	240	727	842	569	743
339451	267	74	182	123	132	232
84069	44	171	38	120	60	115
84808	222	295	64	88	71	11
57801	152	1634	144	265	139	236
9636	14	51	47	104	15	41
375790	7464	2819	11441	15745	7711	10386
100288175	6	0	5	8	9	11
112267874	21	5	21	8	19	13
105378948	38	5	43	17	26	31
401934	8	6	17	2	5	3
54991	111	41	138	121	130	161
254099	41	0	36	0	59	10
406984	33	0	17	0	63	5
406983	18	0	12	1	38	2
554210	14	0	7	1	23	11
100506376	9	0	5	0	31	2
254173	5	0	6	0	56	6
8784	0	6	3	52	4	19
7293	7	25	15	171	28	138
51150	2328	530	1931	1506	1469	1925
126792	244	211	214	272	168	265
388581	78	13	72	110	48	23
118424	455	110	347	519	370	450
101928895	128	36	105	61	65	95
6339	335	93	213	210	142	201
116983	1386	927	1173	1633	997	990
102465434	1	0	0	0	1	0
109623456	20	27	39	20	7	18
126789	153	71	102	169	113	147
54973	890	288	803	846	709	831
102465435	4	3	8	12	11	11
80772	460	61	396	279	340	275
83756	158	43	123	104	98	158
1855	1449	453	952	1393	900	1098
102466740	1	1	1	3	1	1
54587	1087	1090	1148	575	1019	1063
54998	549	322	413	398	362	232
81669	675	201	849	584	744	783
148413	1201	166	947	634	471	686
55052	101	20	109	51	107	112
107984868	2	1	1	9	2	7
441869	53	38	69	6	49	32
105378585	2	3	2	0	2	2
643965	7	0	31	0	20	0
102724312	6	1	6	15	19	29
107985729	21	2	38	38	38	85
64856	1558	715	1982	1568	1145	3024
219293	282	4	178	42	193	20
83858	548	250	876	3905	569	854
55210	368	160	328	505	308	298
339453	25	50	26	9	25	25
29101	210	40	178	110	186	140
643988	22	32	27	39	31	12
105378586	2	6	4	6	8	7
142678	2124	955	1582	744	1217	1947
8510	20	25	65	20	35	91
984	635	176	513	386	482	536
728661	970	308	960	859	998	1397
8511	9	10	18	5	17	23
728642	486	177	418	282	422	403
9906	425	140	398	380	424	704
112268218	39	21	35	35	20	34
65220	1259	331	671	1226	691	1028
2782	4007	495	4095	4607	2388	5933
105378949	27	13	16	14	12	8
163688	14	2	8	9	10	3
339456	6	3	1	1	6	1
85452	1	113	5	9	1	27
107984872	3	17	1	1	0	6
105378589	0	4	0	3	0	3
2563	6	4004	10	128	5	161
105378590	0	9	1	0	3	0
105378591	3	0	0	0	4	0
5590	448	82	339	93	383	201
100506504	39	11	49	12	43	49
199990	384	179	436	346	272	266
112268219	120	48	133	102	81	141
105378593	69	4	42	5	21	41
6497	1218	831	1170	2264	1683	2095
79906	502	63	380	161	257	458
100129534	32	1	23	6	38	35
11079	608	191	722	538	598	528
5192	452	73	474	432	269	392
9651	2157	23	856	282	678	327
55229	464	193	388	260	349	496
388585	7	2141	6	7	4	107
115110	801	72	430	457	336	1319
8764	3527	696	1939	1510	1173	3804
100996583	15	2	7	9	3	38
127281	668	99	540	456	317	717
79258	88	15	70	43	35	78
105378597	1	0	0	0	1	7
100287898	78	9	53	10	36	68
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
