GeneID	GSM4760254	GSM4760255	GSM4760256	GSM4760257	GSM4760258	GSM4760259	GSM4760260	GSM4760261	GSM4760262	GSM4760263	GSM4760264	GSM4760265	GSM4760266	GSM4760267	GSM4760268	GSM4760269	GSM4760271	GSM4760272	GSM4760273	GSM4760274	GSM4760275	GSM4760276	GSM4760277	GSM4760278	GSM4760279
100287102	5	4	5	25	18	4	11	1	6	10	6	7	2	8	13	11	6	16	11	9	1	1	3	1	5
653635	1203	1065	681	2002	1164	707	1819	431	446	859	957	1178	861	1528	885	1571	733	1674	748	1000	828	1205	871	1066	801
102466751	50	47	23	60	56	39	61	13	19	38	35	54	35	61	52	73	34	50	36	51	47	52	35	56	20
107985730	4	2	1	4	16	1	1	2	0	3	1	2	0	4	7	0	1	4	1	1	1	0	1	2	0
100302278	1	1	1	1	7	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	2	1	0	0
645520	0	1	2	3	5	0	0	10	1	0	5	0	1	0	9	2	1	4	1	1	0	5	10	6	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	142	43	60	89	72	25	73	55	41	67	44	34	20	36	63	39	63	77	70	65	53	40	75	86	17
729737	838	1394	1587	1867	1699	225	401	768	438	375	423	330	323	866	1250	396	230	930	473	477	271	228	822	1512	343
102725121	8	1	14	20	35	1	11	2	8	18	9	1	0	1	26	20	13	9	14	25	2	0	2	1	1
102723897	1235	902	670	1610	1259	745	1389	434	423	991	972	834	565	1046	937	1154	862	1308	877	1088	989	1725	863	1115	943
102465909	23	22	12	36	38	11	30	10	10	20	17	33	27	39	23	33	19	26	16	20	15	19	16	21	11
107985721	1	3	2	6	34	6	2	6	0	5	3	3	0	3	7	1	4	5	1	3	1	1	2	3	0
112268260	34	30	51	62	24	1	76	25	9	16	19	23	20	31	19	26	16	50	21	11	49	23	34	31	19
729759	2	1	2	1	1	0	3	2	1	2	1	1	0	0	1	0	0	0	1	0	1	2	1	1	0
100132287	709	1069	870	1001	1115	300	1070	503	383	458	368	454	315	1072	771	937	384	499	424	532	468	369	527	826	168
105378947	2	1	4	2	2	0	21	3	1	1	0	7	1	7	3	3	2	0	3	2	4	2	0	0	0
101928626	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	8671	4860	5033	13475	3033	42689	3155	8853	5880	4740	5147	3015	3127	4184	4660	10797	5278	43924	5236	6998	6069	38458	12332	17883	69320
81399	19	7	9	9	6	0	39	11	3	8	7	23	2	5	5	11	3	2	12	9	6	12	8	3	4
100133331	705	913	963	1015	1007	355	1262	477	391	487	316	342	299	899	698	1080	408	501	447	579	439	371	566	885	199
107984841	134	143	221	144	95	36	108	61	55	88	49	65	48	160	136	89	79	44	68	106	74	37	83	171	29
107984847	169	95	257	250	111	47	93	93	61	94	54	62	39	168	104	81	73	55	78	123	55	46	154	226	32
107984849	49	29	56	64	22	8	56	23	11	25	11	13	5	34	18	41	15	11	15	20	18	6	36	67	5
100288069	134	40	73	46	71	16	169	47	45	82	49	41	17	50	101	91	63	37	56	96	50	45	38	59	4
105378580	51	12	15	100	54	7	48	33	19	53	42	10	21	31	37	26	23	16	54	47	23	8	39	37	19
400728	24	6	9	2	5	6	23	2	3	8	7	7	7	6	3	15	9	10	5	12	4	3	3	9	2
79854	97	96	81	163	191	28	499	71	137	81	56	89	71	204	217	373	91	37	123	102	54	32	167	187	17
643837	428	231	538	417	794	154	749	217	327	307	211	382	187	504	757	521	243	201	334	327	185	319	239	311	75
107984850	1	1	1	0	4	10	2	0	4	0	0	4	0	1	6	2	1	0	0	1	0	4	0	1	0
284593	9	3	6	1	11	0	5	4	2	4	3	1	2	3	7	6	2	5	10	9	5	5	3	3	1
284600	21	17	63	203	181	70	98	60	184	70	44	16	7	55	163	136	62	49	93	175	56	24	165	160	7
100130417	165	8	75	141	274	251	31	92	141	140	35	21	9	81	185	82	66	285	79	116	86	159	105	80	100
107985728	110	1	35	34	97	117	6	48	50	68	19	10	2	33	150	16	52	117	65	56	41	41	13	14	22
148398	448	493	341	267	1056	476	574	420	396	298	238	553	167	507	798	496	288	545	296	373	263	543	339	332	171
26155	1575	4976	2135	1525	3073	625	4124	1674	2014	1488	1584	3976	1467	2479	3539	3475	1614	1379	1863	1920	877	1339	1753	2044	467
339451	194	414	435	563	568	91	971	252	305	301	349	349	205	318	395	653	307	225	338	529	238	244	266	438	84
84069	35	81	437	545	634	13	724	238	2	28	377	170	179	209	509	590	9	22	7	12	158	70	268	466	6
84808	16	17	77	131	132	7	123	48	0	6	70	50	33	53	86	112	1	21	0	2	36	32	60	82	4
