GeneID	GSM6304365	GSM6304366	GSM6304367	GSM6304368	GSM6304369	GSM6304371	GSM6304372	GSM6304374
100287102	4	3	6	3	2	4	3	3
653635	10	13	14	5	4	10	8	15
102466751	0	0	0	0	0	0	0	0
107985730	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0
645520	0	1	0	0	0	0	0	0
79501	0	0	0	0	0	1	0	0
100996442	1	1	1	0	0	1	1	1
729737	4	6	0	2	3	17	2	2
102725121	1	1	0	0	1	0	1	0
102723897	24	22	27	12	19	24	38	18
102465909	0	0	0	0	0	0	0	0
107985721	0	1	2	1	0	3	0	0
112268260	2	4	2	0	1	1	0	1
729759	0	0	0	0	0	0	0	0
100132287	4	8	1	6	3	3	2	1
105378947	0	0	0	0	0	0	0	0
101928626	0	0	0	0	0	0	0	0
113219467	124	143	102	103	83	449	160	113
81399	0	0	0	0	0	0	0	0
100133331	3	8	2	6	3	3	2	2
107984841	0	1	0	0	0	1	0	0
107984847	0	0	0	0	0	0	0	0
107984849	0	0	0	0	0	0	0	0
100288069	0	1	1	0	1	1	1	0
105378580	4	4	8	4	1	5	8	4
400728	0	1	1	5	3	1	4	0
79854	6	4	10	2	3	9	10	3
643837	6	15	13	13	4	4	19	13
107984850	1	0	0	0	0	4	0	0
284593	0	0	0	0	0	0	0	0
284600	0	2	1	0	0	0	0	0
100130417	4	0	3	3	0	0	0	0
107985728	2	0	0	0	0	0	0	0
148398	12	19	21	12	6	6	10	7
26155	12	14	23	12	8	8	10	7
339451	2	2	8	9	6	13	9	4
84069	1	3	5	3	2	1	0	5
84808	1	0	1	3	0	0	0	0
57801	3	1	3	3	0	4	6	1
9636	3	9	7	19	9	9	5	6
375790	61	94	64	57	40	60	91	36
100288175	0	0	1	1	0	0	0	0
112267874	9	7	10	7	1	0	5	7
105378948	5	7	10	7	1	0	5	7
401934	0	0	1	1	0	0	0	0
54991	10	0	0	11	1	6	6	3
254099	0	0	0	3	0	0	2	0
406984	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0
100506376	0	2	0	1	1	0	0	0
254173	0	0	0	0	0	0	0	0
8784	0	0	0	0	0	0	0	0
7293	1	0	0	0	0	1	0	1
51150	129	155	204	132	215	208	342	187
126792	23	34	26	25	37	11	77	59
388581	0	0	0	4	0	0	0	0
118424	42	48	42	21	32	19	71	43
101928895	1	0	1	0	0	3	3	0
6339	13	23	16	6	3	13	15	11
116983	17	7	13	13	9	3	18	6
102465434	0	0	0	0	0	0	0	0
109623456	0	0	0	0	0	0	0	0
126789	7	11	11	4	5	8	20	3
54973	6	11	19	17	11	7	34	13
102465435	0	0	0	0	0	0	0	0
80772	22	33	35	22	52	34	88	67
83756	14	18	16	13	20	23	41	18
1855	28	37	41	19	52	48	88	43
102466740	0	0	0	0	0	0	0	0
54587	28	77	109	31	2	17	28	0
54998	82	121	82	67	77	69	150	152
81669	150	244	174	120	93	105	142	119
148413	53	92	95	56	39	53	93	70
55052	68	120	128	79	54	63	133	97
107984868	1	1	8	4	0	3	1	4
441869	4	15	7	16	4	9	4	5
105378585	0	0	0	0	0	0	0	1
643965	0	0	0	0	0	0	0	0
102724312	4	14	1	0	0	3	0	0
107985729	0	0	0	0	0	0	0	0
64856	12	5	29	16	23	13	24	28
219293	31	40	51	39	21	12	15	8
83858	6	15	4	12	4	4	5	2
55210	15	2	10	4	9	13	26	7
339453	2	0	4	0	0	7	0	1
29101	92	160	96	97	73	90	173	94
643988	0	9	2	6	27	1	34	40
105378586	0	0	0	0	0	0	0	0
142678	24	45	50	25	29	21	42	37
8510	1	5	3	5	2	5	3	2
984	53	115	76	59	33	62	59	42
728661	12	116	36	34	31	60	18	56
8511	1	2	2	4	1	3	0	0
728642	25	57	56	43	14	37	51	24
9906	93	108	105	53	107	65	281	129
112268218	3	2	4	1	2	4	2	4
65220	8	15	10	6	6	17	24	14
2782	196	186	213	154	245	261	442	206
105378949	0	0	0	2	2	0	0	1
163688	0	0	0	0	0	0	0	3
339456	4	0	0	1	1	0	0	0
85452	0	0	0	0	0	0	0	0
107984872	0	0	0	0	0	0	0	0
105378589	0	0	0	0	0	0	0	0
2563	1	3	0	0	1	2	0	1
105378590	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0
5590	29	54	31	38	15	15	40	12
100506504	0	0	0	0	0	1	1	1
199990	43	72	49	47	32	27	61	25
112268219	5	5	5	8	4	3	9	5
105378593	1	4	0	0	0	0	0	0
6497	34	62	57	42	36	93	46	32
79906	2	4	0	8	2	2	1	0
100129534	1	0	3	0	1	2	1	2
11079	115	69	95	80	84	110	155	103
5192	27	11	26	15	31	23	44	28
9651	21	20	7	23	0	2	2	3
55229	0	0	0	0	0	0	1	2
388585	0	1	0	0	0	2	0	2
115110	4	8	7	7	42	49	74	27
8764	52	71	52	33	141	261	296	122
100996583	0	0	0	0	0	0	0	0
127281	28	51	59	37	26	70	33	27
79258	1	0	1	0	0	4	0	0
105378597	1	3	6	18	1	35	2	4
100287898	9	7	4	4	4	1	7	2
105378603	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0
105378598	0	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0
440556	20	29	53	95	32	0	66	41
63976	39	49	58	66	48	2	83	68
100422968	0	0	0	0	0	0	0	0
105378606	0	0	0	0	0	0	2	0
107984909	5	5	2	1	0	0	2	0
105378605	9	9	11	18	17	0	34	22
105378604	0	8	0	0	2	0	1	3
27237	16	11	22	12	9	0	6	5
1953	2	28	12	10	0	3	1	5
105378608	0	0	0	0	0	0	0	0
693135	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0
127262	126	250	168	168	99	124	274	101
49856	6	5	7	8	10	7	13	3
7161	1	7	7	0	1	5	5	5
105378610	2	0	0	6	0	8	0	0
105378609	0	0	0	0	0	0	0	0
57212	3	2	8	10	1	9	15	7
148870	0	0	0	0	0	0	0	0
388588	20	9	18	13	12	18	37	7
57470	161	154	164	173	123	223	280	191
9731	154	291	170	131	90	118	234	85
1677	1	1	0	6	2	5	5	2
107984910	0	0	0	0	0	0	0	0
339448	4	2	1	2	1	1	4	8
100133612	0	2	0	0	0	0	0	0
728716	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0
55966	31	54	58	5	1	43	2	2
105376680	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0
100616421	0	0	0	0	0	0	0	0
261734	2	5	4	0	0	1	1	3
8514	33	19	26	3	4	81	5	1
26038	5	5	3	26	52	158	22	6
105376687	2	0	0	3	4	12	1	0
6146	824	744	924	666	952	1350	1585	887
107985733	0	0	0	0	1	1	0	1
102724450	2	0	5	2	9	1	8	8
388591	15	11	15	10	10	14	16	6
23463	14	23	20	14	17	24	40	19
148645	0	0	0	0	0	0	0	0
390992	0	0	0	0	0	0	0	0
387509	3	7	4	2	3	6	3	4
11332	40	38	18	33	7	6	11	9
54626	13	6	1	0	0	2	2	0
83715	33	41	30	11	3	9	4	6
100422975	0	0	0	0	0	0	0	0
8718	1	1	5	6	1	8	3	6
57449	10	26	16	15	5	15	18	10
79707	56	77	60	40	39	44	74	59
80835	0	0	6	0	0	4	0	3
107984912	0	0	0	0	0	0	0	0
3104	6	0	13	4	1	0	7	3
9903	31	45	65	63	78	246	152	122
107984913	0	0	3	0	0	0	1	0
148479	8	5	12	7	17	15	8	10
90326	35	54	26	49	56	63	80	56
55735	30	43	25	44	48	44	48	57
100505887	0	0	0	0	0	0	0	0
110841581	0	6	5	3	3	0	9	3
23261	46	85	84	46	68	38	75	68
105376692	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0
101928836	0	0	0	0	0	0	0	0
105376691	0	0	0	0	0	0	0	0
105376689	4	6	6	1	3	8	7	3
9341	47	50	34	28	65	78	63	44
8863	46	37	47	51	29	42	49	23
10911	0	0	7	3	1	2	1	0
3604	0	0	0	0	1	2	1	0
11315	201	163	196	175	169	205	346	254
54206	221	264	116	106	4	6	20	9
107984915	0	0	0	0	0	0	0	0
102724539	0	0	0	0	0	0	0	0
105376695	1	3	0	0	0	0	0	0
50651	1	13	5	1	0	0	0	0
473	188	258	251	182	113	164	217	192
102724552	0	0	0	0	0	0	0	0
106632271	0	0	0	0	0	0	0	0
2023	794	895	838	1078	781	855	1199	870
102465436	0	0	0	0	0	0	0	0
100505975	0	0	2	1	0	0	0	0
112268261	0	0	0	0	0	0	0	0
765	0	0	0	0	0	0	0	0
155184	0	0	0	0	0	0	0	0
6518	22	27	12	13	1	4	1	2
80045	16	27	25	16	75	23	121	45
106614088	0	1	0	2	2	31	4	1
407040	0	0	0	0	0	0	0	0
102724571	2	7	1	0	0	6	2	0
9563	63	138	76	92	54	71	75	68
80176	9	15	13	4	6	2	16	5
100506022	7	5	2	2	0	0	3	2
84275	16	21	17	15	23	11	25	18
199953	13	9	8	4	13	24	23	15
107985734	0	5	1	1	1	2	2	2
105376712	0	0	0	0	0	0	0	0
5293	79	79	58	62	46	115	119	84
644997	0	0	0	0	0	0	0	0
101929074	5	6	4	7	0	1	2	2
22883	148	100	156	96	109	191	202	162
56998	8	30	18	2	13	19	15	19
105376717	4	23	22	4	2	3	2	5
84328	121	173	150	102	59	90	95	89
64802	18	52	36	33	22	32	53	40
113391335	0	0	0	0	0	0	0	0
100847055	0	0	0	0	0	0	0	0
116362	4	7	6	37	10	40	17	20
10277	42	51	41	30	46	47	92	31
23095	150	237	215	158	143	106	251	134
105376725	5	19	2	9	6	5	11	10
5226	35	59	27	38	58	68	116	94
100526739	28	46	29	23	13	18	25	14
378708	37	55	37	23	22	23	27	19
1325	3	8	4	3	1	1	3	3
1676	177	271	156	168	115	154	215	149
5195	11	24	13	13	20	14	41	32
54897	23	43	43	32	28	14	34	47
105376733	0	0	0	1	0	0	0	0
105376735	0	0	0	0	0	0	0	0
148345	0	0	0	0	0	0	0	1
23435	121	134	107	66	63	102	110	93
10747	0	1	1	0	0	0	1	0
6723	23	19	21	17	43	57	98	44
5394	19	17	26	25	27	20	39	21
105376736	0	0	0	0	1	0	0	1
2475	45	55	43	27	38	26	45	53
100873935	4	3	1	3	3	3	6	4
10218	3	1	2	0	1	0	0	0
29914	28	40	36	15	24	10	44	35
105376737	0	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0
105376740	0	0	0	0	0	0	0	0
57540	0	0	0	3	0	0	0	1
112268221	0	0	0	0	0	0	0	0
101929181	0	0	0	0	0	0	0	0
26232	25	2	17	19	6	14	24	15
93611	17	30	48	35	50	87	144	65
26270	2	0	0	2	0	5	2	0
10459	11	5	18	7	16	11	11	6
374946	0	3	4	3	1	3	0	1
57085	19	12	16	25	13	19	22	16
284498	2	0	3	0	1	2	1	3
102724659	0	0	0	2	0	1	0	3
4524	90	98	102	86	43	44	80	36
1185	4	9	8	2	5	10	4	8
100379251	0	2	0	1	0	0	1	0
4878	0	0	0	0	0	0	2	0
4879	0	0	0	0	0	0	0	0
26829	0	0	2	0	0	0	0	0
90231	33	56	70	44	38	35	86	56
5351	52	52	27	39	28	48	49	26
9927	106	158	101	135	133	88	181	162
60672	6	2	13	7	1	8	7	7
102466982	0	0	0	0	0	0	0	0
943	0	4	1	2	0	3	0	0
102465836	0	0	0	0	0	0	0	0
7133	25	41	29	30	35	257	143	47
100616438	0	0	0	0	0	0	0	0
107984917	0	0	0	0	3	0	0	2
55187	104	111	91	120	173	105	233	141
677885	0	1	1	1	0	0	0	0
105376744	2	11	0	2	1	4	0	1
9249	221	341	279	190	209	107	341	237
102466722	0	0	0	0	0	0	0	0
343066	0	0	0	0	0	0	0	0
126767	0	0	0	0	0	0	0	0
93190	0	0	0	0	0	0	0	0
390999	0	0	0	0	0	0	0	0
65121	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0
343069	0	0	0	0	0	0	0	0
65122	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0
649330	0	0	0	0	0	0	0	0
441873	0	0	0	0	0	0	0	0
649324	0	0	0	0	0	0	0	0
440563	0	1	0	0	0	0	0	0
645354	0	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0
101060301	0	1	0	0	0	0	0	0
343070	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0
343068	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0
645382	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0	0
729528	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0
126755	0	0	0	0	0	0	0	0
102724856	0	0	0	0	0	0	0	0
107984918	0	0	0	0	0	0	0	0
10630	0	3	1	5	0	10	1	1
107984919	0	0	0	0	0	0	0	0
105378612	0	0	0	0	0	0	0	0
105376756	0	0	0	0	0	0	0	0
7799	75	109	87	56	83	78	152	73
23254	75	111	93	98	52	82	84	50
107985467	1	17	6	3	4	39	20	12
107985468	0	0	0	0	0	1	0	0
105376762	2	2	5	16	9	16	21	5
105376759	18	19	8	21	2	29	8	4
107985469	2	0	0	1	0	2	2	2
200197	5	11	8	10	8	10	16	11
55092	130	189	149	95	187	306	432	293
727684	2	12	4	6	7	4	12	1
114827	5	5	0	3	0	0	1	0
101927417	8	1	0	2	0	3	1	0
101927441	0	2	0	0	2	0	0	0
79180	2	5	4	8	8	30	30	8
11330	0	0	0	0	0	3	0	0
63036	0	0	0	0	0	0	0	0
105376767	0	0	0	0	0	0	0	0
51032	0	0	0	0	0	0	0	0
842	1	10	9	3	4	4	11	3
