GeneID	GSM6716400	GSM6716401	GSM6716402	GSM6716403	GSM6716404	GSM6716405	GSM6716406	GSM6716407	GSM6716408	GSM6716409	GSM6716410	GSM6716411	GSM6716412	GSM6716413	GSM6716414	GSM6716415	GSM6716416	GSM6716417	GSM6716418	GSM6716419
100287102	0	1	1	4	0	1	0	0	6	0	2	8	1	8	0	4	1	1	4	2
653635	537	512	650	785	458	606	514	315	435	284	593	985	938	789	619	655	312	382	349	594
102466751	9	6	21	22	3	9	5	4	5	5	10	11	14	13	12	8	3	6	3	8
107985730	3	3	1	5	1	1	2	0	2	0	2	5	1	1	1	0	0	0	0	0
100302278	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
645520	1	0	2	2	1	1	0	0	1	0	2	1	9	3	6	1	0	4	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	42	73	14	83	29	38	33	17	6	5	33	44	29	34	26	5	15	20	28	19
729737	76	149	1025	538	115	165	85	95	125	303	46	466	198	265	205	77	56	81	83	62
102725121	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	3	1
102723897	529	643	848	709	455	587	583	398	467	361	592	1119	1048	731	670	615	306	448	459	599
102465909	3	5	16	15	3	8	6	3	9	2	4	11	17	10	7	10	4	5	3	3
107985721	1	1	3	1	2	2	4	1	0	0	1	0	0	5	2	0	1	3	0	0
112268260	11	19	24	26	11	13	11	5	7	6	5	17	19	4	11	4	5	6	5	2
729759	0	0	0	1	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	1
100132287	116	194	341	354	117	145	77	115	236	165	105	301	234	253	176	90	77	119	114	124
105378947	3	2	0	4	0	6	4	6	0	1	1	4	0	2	0	5	0	1	0	4
101928626	0	0	0	3	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0
113219467	947	1646	6968	7380	1920	2730	2920	1287	10703	1978	6145	12401	7610	11228	4498	14609	6181	6311	6081	10447
81399	2	2	0	7	0	9	4	1	2	0	4	10	1	1	1	2	3	5	0	5
100133331	164	205	237	324	99	159	134	120	240	148	123	288	216	245	186	102	106	143	115	153
107984841	45	80	2	63	14	41	46	26	30	62	31	71	7	30	48	17	29	36	4	67
107984847	52	116	3	79	26	40	60	27	26	113	24	114	13	25	30	6	27	34	14	67
107984849	3	31	0	29	1	11	6	6	10	14	5	19	3	11	8	0	3	9	2	7
100288069	48	109	10	49	25	33	14	36	6	26	18	49	8	22	40	8	11	29	8	20
105378580	19	39	3	44	4	16	11	14	15	32	13	26	34	8	16	10	10	21	6	17
400728	14	48	4	5	6	8	7	12	4	5	9	4	0	8	3	0	5	5	3	6
79854	82	87	7	109	29	47	38	47	40	50	31	52	91	46	34	14	29	51	36	41
643837	268	432	94	348	198	450	327	221	188	374	188	398	197	184	289	80	192	274	366	222
107984850	0	1	2	0	1	2	1	11	0	0	0	2	0	0	4	0	0	6	0	7
284593	1	2	1	3	2	1	1	0	3	1	1	3	1	0	0	0	0	1	0	2
284600	5	109	1	10	1	0	3	3	0	441	22	189	16	21	37	1	6	9	15	86
100130417	82	57	1	58	24	74	22	18	104	6	154	232	273	145	280	34	31	61	104	73
107985728	217	187	3	97	31	160	34	38	35	2	166	317	55	145	372	28	32	113	84	57
148398	425	405	106	456	163	444	169	144	238	177	652	1274	468	595	843	74	143	240	366	320
26155	1228	1379	460	1011	930	1088	1130	829	392	1208	1122	1518	751	822	1047	241	712	702	824	896
339451	237	222	240	308	132	186	164	106	231	240	151	259	397	157	203	115	83	158	116	137
84069	43	110	77	94	66	56	43	62	51	217	15	49	115	19	24	6	2	15	1	33
84808	34	163	32	26	12	175	21	53	52	35	36	31	44	22	41	17	4	28	4	27
57801	1463	916	624	1594	1296	1779	849	645	827	347	734	1533	1358	451	480	159	105	163	925	362
9636	841	737	408	1688	1363	1131	782	349	671	937	408	727	1041	382	579	153	172	122	976	334
375790	21886	22420	7124	21577	12520	15390	9380	14871	2455	2422	14403	17463	7772	7664	16841	1057	4293	5492	2578	9213
100288175	10	6	15	14	8	8	12	13	12	41	17	37	37	16	17	5	5	22	0	25
112267874	5	5	12	4	4	5	4	8	7	6	11	42	17	13	24	1	4	14	0	9
105378948	24	23	26	12	23	25	20	10	14	50	46	123	56	43	71	15	21	47	0	78
401934	0	0	0	0	2	2	1	0	0	0	5	62	2	4	8	1	1	5	0	3
54991	227	245	217	325	133	165	154	97	218	249	196	333	374	199	217	66	87	121	223	207
254099	1	16	0	1	2	5	3	1	0	3	7	30	7	16	10	0	1	4	0	11
406984	1	0	0	0	0	1	0	0	0	0	5	13	5	6	5	4	0	4	0	3
