GeneID	GSM8003764	GSM8003765	GSM8003766	GSM8003767	GSM8003768	GSM8003771	GSM8003773	GSM8003774	GSM8003776	GSM8003777	GSM8003780	GSM8003781
100287102	17	35	5	5	20	98	11	26	21	51	42	33
653635	2046	2655	2702	2617	2497	5184	11308	4896	10055	12991	4452	5577
102466751	33	40	19	46	33	91	13	84	2	12	80	89
107985730	0	0	0	0	0	0	0	0	0	0	0	0
100302278	2	1	0	2	1	7	0	0	0	0	0	1
645520	4	3	4	5	28	20	4	3	5	2	7	17
79501	22	13	11	15	5	97	1	1	2	10	5	5
100996442	17	82	45	75	21	94	64	18	17	1	71	62
729737	669	3398	4192	2311	2079	4696	4221	1878	1718	1947	4323	6670
102725121	16	27	5	4	17	75	25	26	28	55	40	32
102723897	2541	3012	3480	3688	2903	5200	10875	5736	10431	11821	4628	6946
102465909	29	45	31	50	42	111	18	107	3	14	92	128
107985721	0	0	0	0	0	1	0	0	0	0	0	1
112268260	1	12	0	2	5	23	0	3	0	0	5	13
729759	31	74	65	79	104	184	24	36	12	10	128	170
100132287	1057	4575	2102	2229	2969	7753	1723	1969	1355	1752	5286	6498
105378947	0	0	0	0	0	0	0	0	0	0	1	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0
113219467	14	43	5	28	38	16	26	31	46	15	52	66
81399	41	100	76	97	130	222	35	59	15	19	168	213
100133331	1290	6423	2355	3066	3564	8449	2905	1866	1763	2878	6648	9814
107984841	754	1460	703	1389	3947	1789	276	779	135	1196	1468	2633
107984847	1037	1640	846	1330	4775	1257	344	966	160	1596	1258	3276
107984849	183	589	328	438	1065	861	72	275	27	252	775	815
100288069	44	92	29	54	70	78	17	55	19	33	118	95
105378580	33	56	8	35	103	40	14	20	11	23	55	45
400728	1	1	0	3	8	0	1	0	0	0	2	1
79854	34	54	40	44	95	59	51	14	48	50	69	114
643837	12	27	13	20	44	31	6	19	0	12	27	25
107984850	0	0	0	1	0	0	0	0	0	0	0	0
284593	0	0	0	1	6	1	8	0	0	6	3	4
284600	0	0	1	0	3	0	0	1	0	0	0	2
100130417	0	0	0	0	1	0	0	1	0	0	1	2
107985728	0	0	0	1	2	2	6	2	0	0	4	4
148398	23	11	77	46	72	83	302	136	126	206	123	266
26155	1162	2764	2729	2034	2085	2101	5171	3493	5297	4893	1929	2248
339451	95	181	161	125	111	199	366	150	118	130	145	202
84069	21	129	70	33	21	150	101	688	8	4	13	28
84808	20	36	59	62	31	813	3	222	11	7	28	26
57801	98	201	120	147	285	167	68	990	48	37	110	152
9636	92	76	104	111	112	87	27	49	3	7	52	39
375790	10950	10840	15125	10545	8958	10509	9616	9917	3362	4516	8960	7328
100288175	1	2	1	1	0	4	0	7	3	1	4	3
112267874	0	1	1	0	0	1	1	5	0	0	2	2
105378948	1	2	1	1	0	4	0	8	3	1	4	3
401934	0	0	0	0	0	0	0	18	1	0	0	1
54991	65	131	78	77	69	135	75	261	29	48	88	170
254099	1	1	0	1	1	4	0	0	0	0	7	4
406984	5	1	7	1	0	1	1	33	0	1	2	11
406983	0	0	10	1	0	1	5	48	5	0	3	6
554210	1	0	4	0	0	0	5	32	4	2	5	8
100506376	10	1	6	26	11	31	1329	763	1587	696	135	219
254173	5	1	5	13	8	7	118	182	202	70	45	66
8784	1	17	19	47	4	28	19	9	1	1	1	6
7293	19	16	88	85	60	25	7	4	0	0	4	9
51150	1438	2506	3113	2186	1940	1354	2989	1442	3199	2544	1411	1231
126792	13	12	17	17	22	8	0	10	3	1	8	10
388581	1	14	16	10	14	9	26	11	5	7	15	23
118424	166	571	274	287	498	335	486	396	263	249	414	335
101928895	0	1	0	0	1	0	0	0	0	0	1	2
6339	50	38	46	40	45	98	37	61	29	25	72	89
116983	366	546	546	607	479	983	1125	1371	751	616	667	1096
102465434	2	2	3	4	2	7	7	5	1	4	4	7
109623456	0	0	0	0	0	0	0	2	0	0	0	2
126789	43	53	54	50	47	100	333	158	311	424	69	153
54973	606	1425	1151	928	1091	1313	3254	1675	3227	3468	1162	1589
102465435	1	1	1	1	1	1	0	2	0	1	2	2
80772	50	85	70	75	86	37	48	77	72	51	123	52
83756	16	21	42	30	34	46	61	57	22	18	35	88
1855	473	1172	888	599	687	779	1780	1231	1550	1635	948	836
102466740	1	2	1	1	0	2	0	5	4	5	1	0
54587	677	2026	605	890	329	405	385	707	258	300	347	556
54998	185	320	266	218	350	152	319	257	309	418	357	193
81669	1051	4498	2540	1964	2645	4922	9167	5426	7867	4449	3579	6402
148413	41	78	105	70	94	90	67	122	18	16	90	83
55052	360	617	685	621	806	367	352	606	317	365	517	365
107984868	0	0	0	0	0	0	0	0	0	0	0	0
441869	0	3	8	15	3	0	11	199	18	8	9	11
105378585	0	0	0	1	1	0	2	2	0	0	0	0
643965	0	1	0	3	0	0	1	1	3	1	0	0
102724312	0	0	0	1	1	1	0	0	0	0	1	0
107985729	0	0	0	1	0	1	0	0	0	0	1	0
64856	220	420	582	335	527	187	102	171	17	18	97	108
219293	81	149	140	119	93	253	196	196	104	90	95	207
83858	677	1204	1545	1111	782	1887	9351	2875	7897	5792	1673	3052
55210	596	1215	1062	1305	794	1090	4108	1477	2651	2447	1068	1683
339453	6	5	14	12	20	11	19	11	6	3	11	20
29101	257	712	529	641	741	498	1327	810	844	1432	945	650
643988	1	1	2	2	2	1	0	3	1	0	4	1
105378586	1	1	2	2	2	1	0	3	1	0	2	1
142678	392	820	775	525	539	738	1548	970	1076	1175	644	927
8510	21	29	51	38	33	110	280	268	80	95	42	132
984	1542	3602	3323	2718	3080	3414	13872	5517	10160	11579	3033	3723
728661	873	2659	1673	1654	1816	2551	3098	2882	1579	1783	3052	2668
8511	22	28	49	33	32	100	269	258	80	84	39	122
728642	1153	3212	3077	2475	3073	3580	18617	5602	19177	15271	3121	3059
9906	755	2440	1648	1409	1427	1864	2840	2423	938	1597	2327	1816
112268218	3	4	0	1	4	1	0	15	0	0	3	2
65220	418	1070	809	735	643	800	1317	1027	608	1064	678	794
2782	3132	7536	7383	5656	7230	3866	2568	3147	1034	2350	3998	2600
105378949	0	1	0	0	2	0	2	0	0	2	1	0
163688	2	1	5	5	4	7	7	11	4	11	11	8
339456	5	4	2	6	4	4	14	5	7	13	6	10
85452	22	84	54	55	123	163	4	27	26	10	3	1
107984872	1	7	1	1	6	10	0	1	0	0	0	1
105378589	0	1	0	0	2	1	0	0	0	0	0	0
2563	369	288	661	555	795	270	8	5	16	13	8	17
105378590	0	0	0	0	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0	0	0	0	0
5590	332	454	364	379	665	433	1139	786	1375	1720	1004	684
100506504	3	1	0	1	3	1	1	2	4	0	3	2
199990	142	380	182	217	278	339	500	318	452	512	358	310
112268219	20	26	4	9	19	13	10	16	3	17	11	31
105378593	0	0	0	0	0	1	0	0	0	0	0	0
6497	1362	2088	3588	2526	2479	1711	3474	3137	1867	1845	1221	1460
79906	259	785	433	388	537	433	885	546	968	940	717	716
100129534	3	9	2	4	8	5	6	11	0	19	13	6
11079	1445	2480	1292	1613	2261	1196	639	1589	212	364	1359	964
5192	181	234	213	171	195	110	253	248	115	85	176	159
9651	173	115	134	516	203	563	457	2550	2908	4380	1453	211
55229	298	623	509	448	652	669	1100	670	891	1372	853	992
388585	2	5	0	0	2	0	1	5	2	1	0	0
115110	169	168	185	200	167	224	451	278	637	283	178	287
8764	886	1163	993	1111	990	1336	1318	1277	1469	878	893	1409
100996583	0	0	0	0	0	0	0	0	0	0	0	0
127281	40	79	62	65	60	60	56	112	10	18	97	55
