GeneID	GSM2127795	GSM2127796	GSM2127797	GSM2127798	GSM2127799	GSM2127800	GSM2127801	GSM2127802	GSM2127803	GSM2127804	GSM2127805	GSM2127806	GSM2127807	GSM2127808	GSM2127809
100287102	2	0	1	1	4	2	3	2	4	0	0	2	0	0	1
653635	125	95	151	174	307	223	150	290	354	142	342	282	75	170	150
102466751	3	3	15	8	10	12	6	16	12	4	17	20	5	9	3
107985730	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
100996442	8	10	7	13	21	5	17	21	21	5	14	12	5	12	10
729737	56	53	43	67	86	51	95	77	58	45	166	91	31	89	42
102725121	1	0	0	1	3	1	3	2	6	1	0	4	1	0	1
102723897	151	119	144	217	372	254	190	318	401	159	398	300	100	164	133
102465909	5	4	6	3	4	5	3	8	9	5	11	8	4	6	3
107985721	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1
112268260	7	3	3	4	11	4	11	6	10	7	5	3	1	5	3
729759	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
100132287	44	50	40	54	68	50	62	58	72	31	98	60	19	55	28
105378947	2	1	1	0	1	0	1	0	1	1	0	0	1	1	0
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	2864	2345	3383	3273	11136	6065	4474	2981	2768	1357	3917	3048	873	1227	1278
81399	4	1	1	1	1	1	1	0	2	1	0	1	0	1	1
100133331	48	65	63	52	75	68	63	70	77	35	113	73	26	52	28
107984841	11	8	11	12	17	19	10	11	14	5	13	14	5	4	11
107984847	23	17	19	16	21	34	17	18	26	13	30	15	8	6	12
107984849	3	4	2	2	4	4	2	2	5	4	2	3	0	1	4
100288069	6	14	8	9	18	15	11	9	13	6	12	12	9	10	9
105378580	3	4	2	6	4	4	8	8	8	3	10	5	2	6	2
400728	0	0	0	7	6	2	1	2	3	0	7	4	3	3	7
79854	6	3	10	16	18	15	9	21	23	6	13	15	4	17	2
643837	119	85	155	100	154	97	62	92	84	34	143	120	31	58	106
107984850	0	0	0	0	17	1	1	0	0	0	1	0	0	0	3
284593	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0
284600	1	1	1	0	8	6	1	3	0	1	3	2	1	1	4
100130417	9	12	15	33	29	25	3	27	25	8	23	13	17	3	71
107985728	14	8	4	36	31	35	2	30	26	10	23	17	7	2	83
148398	42	24	33	82	125	68	41	100	56	25	101	57	84	49	134
26155	371	291	355	314	809	332	348	385	541	233	654	429	201	416	235
339451	38	27	44	54	79	54	38	56	73	26	79	53	38	45	30
84069	11	5	3	3	32	15	25	31	26	6	22	8	21	37	7
84808	2	1	1	4	4	2	9	13	6	1	4	1	6	10	0
57801	13	10	11	33	99	11	41	53	26	12	25	27	18	27	10
9636	137	83	118	52	104	143	129	196	59	82	576	87	272	96	77
375790	630	366	538	1527	4159	2479	1353	2272	1498	384	966	653	363	489	375
100288175	2	0	2	7	19	7	6	5	2	1	2	2	2	3	1
112267874	1	3	2	18	26	7	8	3	2	1	10	2	3	2	1
105378948	9	3	6	32	64	28	24	14	7	11	17	15	7	5	7
401934	1	0	1	2	7	5	14	1	1	1	3	1	3	6	1
54991	32	27	39	44	84	31	46	46	44	28	87	51	36	37	49
254099	0	0	2	2	8	6	2	0	0	1	4	4	0	1	0
406984	0	0	0	0	2	3	0	0	0	0	6	1	0	0	0
406983	0	0	0	0	4	5	0	0	0	0	1	3	1	0	0
554210	1	0	1	1	11	7	3	0	2	5	12	6	1	4	0
100506376	2	1	0	4	2	2	2	0	0	0	1	0	0	0	0
254173	1	0	1	6	12	5	7	2	1	0	3	1	1	2	1
8784	1	3	3	1	4	4	22	16	8	7	48	18	14	8	4
7293	9	5	6	9	13	9	25	57	22	16	25	9	12	5	9
51150	1251	781	953	781	2374	1278	793	1016	1129	1005	2244	1531	365	701	522
126792	84	48	60	57	119	75	74	86	115	38	92	48	27	73	38
388581	7	11	16	9	20	48	5	25	4	37	90	99	3	17	7
118424	169	114	158	149	414	186	173	230	217	146	387	285	74	186	79
101928895	12	15	21	15	11	22	10	31	19	10	39	39	3	3	11
6339	44	50	67	53	37	58	43	62	41	62	101	81	16	5	19
116983	222	156	226	229	440	258	159	280	318	202	571	368	108	138	164
102465434	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
109623456	2	2	2	3	2	4	1	0	3	2	2	6	0	0	2
126789	31	20	30	27	104	32	51	44	24	17	58	42	27	31	16
54973	361	312	364	492	861	442	415	473	628	386	1002	711	166	346	291
102465435	1	1	2	1	2	0	2	2	1	1	1	1	1	1	1
80772	313	198	225	190	430	153	134	131	227	143	414	226	43	69	47
83756	12	6	9	7	9	10	17	7	15	15	35	16	8	32	4
1855	484	299	415	340	644	335	424	348	914	296	724	484	192	300	164
102466740	1	3	4	2	1	1	2	1	1	1	2	1	1	1	1
54587	148	84	87	169	296	223	569	242	128	115	418	237	137	165	146
54998	358	258	324	272	958	360	298	302	473	225	590	363	107	249	147
81669	884	780	1007	706	1104	913	877	1342	1450	720	1776	1680	372	811	773
148413	173	105	143	150	286	133	156	141	148	54	187	135	49	91	58
55052	393	278	370	302	903	375	386	395	457	188	529	455	143	334	224
107984868	3	8	4	59	40	24	215	48	13	13	40	48	10	7	12
441869	25	8	20	71	53	30	379	36	24	9	56	61	6	4	7
105378585	1	2	1	2	4	3	2	1	1	0	2	4	1	0	0
643965	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
102724312	2	4	11	4	11	6	13	6	3	5	10	10	1	2	3
107985729	2	4	2	4	4	2	8	4	3	1	3	5	1	4	2
64856	405	328	271	284	725	317	459	716	322	99	325	240	116	175	141
219293	40	24	51	52	111	56	42	43	60	9	24	15	12	8	6
83858	145	160	154	154	269	170	133	165	227	127	293	192	100	142	92
55210	138	110	134	105	287	96	163	117	200	100	261	160	92	147	82
339453	2	4	1	6	6	1	3	2	0	0	3	5	3	0	5
29101	463	328	398	415	1278	465	549	433	599	371	898	697	187	490	274
643988	10	7	8	9	16	16	41	27	117	21	32	19	10	5	28
105378586	1	0	0	0	4	0	3	2	13	2	2	0	0	0	1
142678	282	181	266	291	508	289	238	358	469	213	476	373	93	175	149
8510	13	6	10	14	22	11	21	20	13	14	38	28	9	16	17
984	322	234	264	281	665	322	307	425	414	362	866	674	185	299	205
728661	308	244	232	497	649	379	400	424	545	403	808	784	164	198	176
8511	7	4	4	10	9	5	12	9	4	6	18	9	7	6	7
728642	270	236	227	229	412	245	288	344	294	384	756	510	147	237	154
9906	154	118	121	293	368	193	236	311	291	289	542	415	84	120	190
112268218	50	32	38	20	44	28	40	27	19	30	63	47	14	19	16
65220	641	552	557	253	568	328	417	303	300	331	816	639	172	274	230
2782	1568	1083	1356	1831	5354	2158	1812	2147	3726	2082	4593	3602	1011	1576	1365
105378949	3	2	3	1	4	0	2	4	2	1	10	3	1	1	0
163688	8	5	15	4	5	12	1	1	6	2	4	8	1	0	0
339456	7	9	9	3	8	5	6	2	8	6	27	19	1	2	2
85452	34	11	21	1	7	3	3	6	2	0	3	8	0	0	0
107984872	1	1	1	0	0	0	0	0	0	5	6	11	0	0	0
105378589	0	0	1	0	1	1	1	5	5	0	0	0	1	1	1
2563	6	3	0	1	1	0	11	55	11	0	0	4	7	3	6
105378590	9	3	15	0	0	3	0	2	1	5	4	5	0	0	0
105378591	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5590	138	77	136	187	376	252	147	117	360	276	594	453	63	73	187
100506504	10	3	11	20	21	13	13	11	21	17	57	43	6	10	7
199990	127	80	126	146	404	185	162	185	220	97	220	151	52	111	73
112268219	28	23	33	30	38	33	12	30	21	9	22	19	8	15	12
105378593	8	7	8	4	9	16	0	6	4	0	2	1	0	0	2
6497	295	179	189	327	512	345	247	397	246	149	512	327	183	219	278
79906	32	23	23	44	104	80	18	59	39	20	44	39	6	19	18
100129534	8	7	7	38	43	22	15	13	28	6	11	18	11	8	9
11079	938	561	824	590	2035	752	611	751	825	606	1422	1148	280	583	350
5192	173	103	175	136	404	182	163	192	215	80	202	144	53	100	80
9651	42	53	67	67	126	461	26	141	25	36	97	62	15	11	22
55229	122	130	118	131	275	130	105	92	347	81	246	163	80	63	80
388585	1	1	0	1	1	0	0	3	0	0	2	0	2	0	0
115110	126	93	131	118	202	129	252	286	407	526	936	705	74	76	55
8764	473	311	465	361	728	574	491	1305	1093	744	1668	1159	243	278	207
100996583	2	2	4	5	5	0	6	8	4	10	9	11	5	5	3
127281	109	65	101	218	518	222	246	203	205	283	674	463	85	169	104
79258	20	13	16	39	74	27	69	35	33	96	172	160	7	29	15
105378597	0	1	0	1	4	3	19	4	0	1	1	1	1	1	1
100287898	7	3	6	24	13	23	6	20	6	4	10	3	1	3	5
105378603	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378598	0	0	0	6	0	6	0	1	0	0	0	1	0	0	0
107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440556	56	46	64	1576	1229	415	57	43	425	88	217	175	13	21	18
63976	27	14	21	292	309	156	38	25	355	160	256	230	6	15	10
100422968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378606	1	0	1	6	25	2	1	0	0	0	3	2	1	0	0
107984909	2	1	0	5	8	2	1	0	2	6	12	17	0	2	1
105378605	5	9	14	168	151	56	58	3	230	13	11	8	0	5	7
105378604	3	3	0	3	16	7	1	1	4	15	34	20	8	49	15
27237	105	42	94	204	458	278	160	240	140	454	822	608	50	140	85
1953	106	58	111	102	163	102	45	229	57	63	153	96	124	48	56
105378608	1	0	1	0	0	0	0	0	1	0	1	6	1	1	4
693135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127262	713	433	638	383	1392	674	313	401	443	412	958	823	148	246	305
49856	75	44	63	69	127	65	87	74	102	73	188	147	56	59	60
7161	8	2	7	1	8	3	41	13	6	6	13	8	19	10	5
105378610	1	0	0	0	0	0	1	0	0	2	1	1	0	1	1
105378609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57212	125	88	154	209	257	199	167	204	333	79	199	162	54	93	109
148870	0	0	0	3	0	0	2	1	0	0	1	0	0	0	1
388588	12	8	17	3	42	29	10	11	10	4	4	2	1	0	1
57470	341	265	323	296	628	309	287	282	412	163	496	341	125	225	153
9731	176	170	185	197	457	279	179	158	370	142	304	264	69	135	115
1677	26	28	43	42	40	60	78	40	33	50	130	109	25	25	31
107984910	1	1	2	4	4	2	2	1	1	3	3	8	1	2	1
339448	106	85	125	116	185	136	153	130	139	124	238	192	56	95	79
100133612	2	1	3	0	2	2	2	17	6	7	5	8	1	0	0
728716	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
105376672	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
105376673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55966	14	9	6	161	147	137	7	39	7	4	14	9	3	1	8
105376680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984911	0	0	0	4	1	2	1	0	0	0	0	1	0	0	0
105376686	0	0	0	7	9	2	1	0	0	1	0	0	0	0	0
100616421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
261734	48	35	40	64	116	93	43	69	65	30	113	63	24	40	40
8514	153	92	183	65	749	676	100	325	64	75	185	126	110	100	109
26038	7	9	6	18	28	26	34	1	235	2	16	17	2	2	5
105376687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6146	2441	1770	2010	2269	7245	2357	3824	3752	4886	1703	4348	3392	942	2969	1285
107985733	21	11	23	16	50	16	25	20	33	8	38	26	9	14	9
102724450	3	1	1	3	15	17	7	4	3	2	7	6	1	3	2
388591	103	69	98	151	222	153	127	149	194	75	266	180	74	58	98
23463	350	230	336	540	1518	721	442	426	640	332	900	798	211	419	333
148645	1	3	14	2	2	1	1	2	1	2	4	3	3	2	0
390992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387509	78	30	58	19	122	68	94	40	21	101	270	267	88	75	163
11332	203	126	184	133	1667	803	131	510	246	308	679	447	171	231	242
54626	4	4	6	7	75	22	8	16	2	16	30	39	40	39	4
83715	599	270	563	189	851	687	159	202	41	361	682	535	62	68	39
100422975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8718	37	18	30	43	91	72	91	100	32	104	241	140	61	57	38
57449	59	47	51	112	152	156	119	143	51	107	215	162	104	106	69
79707	73	84	93	90	118	102	92	119	131	72	151	159	56	88	68
80835	0	0	1	2	3	3	19	0	0	0	3	1	0	0	0
107984912	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
3104	162	130	116	129	194	152	89	192	158	98	218	192	49	77	47
9903	220	203	160	546	663	348	352	233	649	99	295	222	127	101	118
107984913	1	0	0	5	5	4	1	3	3	1	2	9	2	1	0
148479	126	73	111	118	258	108	124	93	85	56	132	110	60	49	84
90326	109	78	109	229	349	151	117	154	182	63	230	155	44	70	51
55735	347	265	287	854	1100	629	226	291	552	273	680	499	141	223	184
100505887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110841581	0	1	1	4	5	2	2	2	3	1	5	3	0	1	2
23261	207	123	190	180	680	236	183	245	352	133	369	339	95	108	162
105376692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928836	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
105376691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376689	3	4	4	15	18	17	12	24	93	2	4	1	15	6	26
9341	373	242	373	425	1210	480	408	560	676	425	909	703	299	351	370
8863	258	67	413	287	239	147	96	158	321	152	405	291	52	61	93
10911	0	0	1	0	1	0	0	11	0	0	3	1	1	4	0
3604	8	3	4	3	8	4	16	142	16	5	12	7	19	5	5
