GeneID	GSM2359144	GSM2359145	GSM2359146	GSM2359147	GSM2359148	GSM2359149	GSM2359150	GSM2359151	GSM2359152	GSM2359153	GSM2359154	GSM2359155	GSM2359156
100287102	14	5	14	9	7	10	41	13	52	19	7	12	12
653635	506	258	577	271	425	268	106	204	55	279	753	373	466
102466751	22	14	29	13	12	4	9	4	7	7	18	21	9
107985730	3	1	2	3	1	1	8	2	9	4	2	3	0
100302278	1	2	0	1	0	0	14	0	11	4	1	0	0
645520	5	3	3	4	6	1	38	7	42	6	8	2	2
79501	4	1	4	5	3	2	16	2	19	4	2	1	0
100996442	106	167	154	172	74	109	111	47	110	70	140	130	111
729737	72	186	320	358	60	192	62	78	97	227	158	219	174
102725121	11	6	8	13	10	13	86	15	90	35	6	10	13
102723897	457	271	547	266	466	317	105	202	49	287	812	455	497
102465909	11	7	16	8	10	3	2	3	1	6	18	15	9
107985721	5	4	6	6	7	6	93	8	94	23	5	5	3
112268260	30	53	30	46	60	68	130	29	152	60	56	17	14
729759	1	5	2	4	12	4	7	3	15	3	5	3	4
100132287	168	128	249	172	131	94	56	61	82	131	194	250	186
105378947	1	7	5	6	5	11	19	8	22	9	5	6	6
101928626	1	2	3	4	5	3	16	6	38	6	1	0	0
113219467	13155	4907	2555	3182	24133	9256	1081	6926	146	1257	39333	2832	9233
81399	29	81	32	57	86	43	182	33	212	42	71	21	12
100133331	157	120	206	147	128	84	54	55	78	114	229	213	222
107984841	42	64	57	67	55	41	25	22	19	44	68	76	47
107984847	33	76	52	73	109	71	19	35	14	57	170	57	76
107984849	5	18	18	14	29	13	16	7	14	10	16	16	7
100288069	189	155	205	146	183	90	53	45	45	59	169	149	96
105378580	139	182	97	96	417	231	76	115	69	57	293	115	104
400728	78	40	39	27	133	31	27	24	33	15	99	59	27
79854	85	38	67	27	87	37	32	21	37	23	64	31	34
643837	195	295	300	159	315	256	167	181	133	194	462	216	194
107984850	0	2	4	4	5	2	17	5	38	11	4	0	0
284593	4	9	12	12	4	5	25	5	24	14	9	2	9
284600	10	8	4	4	5	6	35	15	36	21	26	138	57
100130417	38	17	11	4	42	14	12	28	14	12	83	52	110
107985728	74	43	22	14	55	33	27	39	44	25	188	83	203
148398	184	132	150	66	161	214	44	234	46	97	401	193	276
26155	550	782	1808	569	635	743	260	763	114	643	1276	506	609
339451	95	130	198	134	71	100	58	68	38	87	186	163	133
84069	9	45	188	47	8	42	55	19	54	103	28	21	16
84808	15	5	23	9	23	3	39	9	25	33	32	2	24
57801	83	85	311	143	59	165	70	84	41	209	141	79	158
9636	53	775	3331	598	58	581	57	148	34	1525	232	161	144
375790	3560	7857	12117	5919	2747	1830	1087	3708	793	6077	8520	10414	6578
100288175	8	13	24	28	9	37	21	16	7	36	18	10	7
112267874	7	11	16	8	8	8	15	9	13	34	13	12	10
105378948	24	39	49	29	18	28	27	32	17	44	45	29	50
401934	6	4	39	1	5	3	5	5	4	75	8	5	13
54991	111	90	239	108	100	93	49	67	33	102	200	117	120
254099	23	11	1	3	13	1	19	9	25	10	37	8	21
406984	8	0	5	0	3	0	2	3	3	1	8	7	5
406983	4	3	1	4	3	1	2	6	3	0	6	2	14
554210	3	7	0	2	9	0	2	2	0	0	18	3	7
100506376	10	4	13	4	1	2	30	5	27	19	1	2	33
254173	11	5	22	6	11	8	48	13	45	37	16	24	33
8784	0	6	95	119	2	139	21	4	12	23	2	46	1
7293	5	19	91	60	9	107	23	19	29	21	30	110	23
51150	1214	1743	2495	2298	1921	1468	613	1751	166	1281	2891	1001	1238
126792	186	248	349	422	297	287	98	222	49	263	444	252	191
388581	37	17	13	31	56	5	9	38	21	117	84	19	10
118424	467	818	834	687	515	478	149	593	68	331	930	369	420
101928895	67	39	25	73	64	57	16	18	14	35	122	34	71
6339	137	50	40	93	129	91	42	46	26	55	218	105	101
116983	608	590	1014	624	618	248	109	368	86	407	916	589	716
102465434	1	2	1	0	0	0	1	0	0	1	1	1	1
109623456	7	3	5	5	3	1	1	1	0	4	9	7	9
126789	90	145	414	198	130	132	36	90	19	101	175	95	166
54973	732	663	1468	917	667	828	203	619	81	645	1512	687	890
102465435	2	2	2	4	3	1	3	1	2	2	2	3	3
80772	298	266	567	333	382	215	69	405	49	221	835	257	463
83756	51	31	72	54	33	38	17	23	22	23	65	75	57
1855	530	497	2885	1622	641	793	230	754	108	545	1204	675	819
102466740	0	1	3	1	1	1	1	0	0	0	1	0	3
54587	738	361	335	194	511	1248	441	575	200	590	1414	509	602
54998	490	686	958	604	801	692	161	1108	90	340	1227	322	674
81669	3160	3391	3853	3343	2856	1846	521	1049	125	2082	4571	2570	2319
148413	167	225	271	266	311	263	83	241	45	137	502	178	188
55052	447	573	1052	641	759	868	222	518	36	342	1205	240	411
107984868	1	11	3	12	26	15	36	12	45	31	11	18	3
441869	19	27	11	21	40	37	24	63	34	211	58	38	46
105378585	1	6	4	2	11	3	5	7	6	29	9	3	6
