condition,sample 
Normal,GSM6287622
Normal,GSM6287621
Normal,GSM6287620
Normal,GSM6287619
Normal,GSM6287618
Normal,GSM6287617
Normal,GSM6287616
Normal,GSM6287615
Normal,GSM6287628
Normal,GSM6287627
Normal,GSM6287626
Normal,GSM6287625
Normal,GSM6287624
Normal,GSM6287623
Cancer,GSM6287598
Cancer,GSM6287597
Cancer,GSM6287596
Cancer,GSM6287595
Cancer,GSM6287594
Cancer,GSM6287593
Cancer,GSM6287592
Cancer,GSM6287591
Normal,GSM6287614
Normal,GSM6287613
Normal,GSM6287612
Normal,GSM6287611
Normal,GSM6287610
Normal,GSM6287609
Normal,GSM6287608
Normal,GSM6287607
Cancer,GSM6287590
Cancer,GSM6287588
Cancer,GSM6287587
Cancer,GSM6287586
Cancer,GSM6287585
Cancer,GSM6287584
Cancer,GSM6287583
Cancer,GSM6287582
Normal,GSM6287606
Normal,GSM6287605
Normal,GSM6287604
Normal,GSM6287603
Normal,GSM6287602
Cancer,GSM6287601
Cancer,GSM6287600
Cancer,GSM6287599
Cancer,GSM6287581
Cancer,GSM6287580
Cancer,GSM6287579
Cancer,GSM6287578
Cancer,GSM6287577
Cancer,GSM6287576
Cancer,GSM6287575
Cancer,GSM6287589
