"sample","condition"
"sample_4187","Normal"
"sample_4293","Normal"
"sample_4455","Normal"
"sample_4512","Normal"
"sample_4658","Normal"
"sample_4699","Normal"
"sample_4742","Normal"
"sample_4983","Normal"
"sample_5126","Normal"
"sample_5136","Normal"
"sample_5150","Normal"
"sample_5231","Normal"
"sample_5233","Normal"
"sample_3008","Cancer"
"sample_3114","Cancer"
"sample_3339","Cancer"
"sample_3441","Cancer"
"sample_3345","Cancer"
"sample_3460","Cancer"
"sample_3570","Cancer"
"sample_3661","Cancer"
"sample_3702","Cancer"
"sample_3746","Cancer"
"sample_3750","Cancer"
"sample_3780","Cancer"
"sample_3814","Cancer"
"sample_3833","Cancer"
"sample_3845","Cancer"
"sample_3902","Cancer"
"sample_3983","Cancer"
"sample_4097","Cancer"
"sample_4126","Cancer"
"sample_4321","Cancer"
"sample_4343","Cancer"
"sample_4404","Cancer"
"sample_4469","Cancer"
"sample_4610","Cancer"
"sample_4636","Cancer"
"sample_4646","Cancer"
"sample_4687","Cancer"
"sample_4716","Cancer"
"sample_4737","Cancer"
"sample_4845","Cancer"
"sample_4877","Cancer"
"sample_4896","Cancer"
"sample_4956","Cancer"
"sample_4971","Cancer"
"sample_5007","Cancer"
"sample_5025","Cancer"
"sample_5097","Cancer"
"sample_5108","Cancer"
"sample_5142","Cancer"
"sample_5171","Cancer"
"sample_5181","Cancer"
"sample_5221","Cancer"
"sample_5229","Cancer"
"sample_5258","Cancer"
"sample_5294","Cancer"
"sample_5312","Cancer"
"sample_5317","Cancer"
"sample_4398","Cancer"
"sample_3234","Cancer"
"sample_4889","Cancer"
"sample_4177","Cancer"
"sample_2855","Cancer"
"sample_2643","Cancer"
"sample_5116","Cancer"
"sample_3748","Cancer"
"sample_3112","Cancer"
