condition,sample
Normal,GSM8198626
Normal,GSM8198627
Normal,GSM8198628
Normal,GSM8198629
Normal,GSM8198631
Normal,GSM8198632
Normal,GSM8198633
Normal,GSM8198634
Normal,GSM8198635
Normal,GSM8198636
Normal,GSM8198637
Normal,GSM8198638
Normal,GSM8198639
Normal,GSM8198640
Normal,GSM8198641
Normal,GSM8198642
Normal,GSM8198643
Normal,GSM8198644
Normal,GSM8198645
Normal,GSM8198646
Normal,GSM8198647
Normal,GSM8198648
Normal,GSM8198650
Normal,GSM8198652
Cancer,GSM8198653
Cancer,GSM8198654
Cancer,GSM8198655
Cancer,GSM8198656
Cancer,GSM8198657
Cancer,GSM8198658
Cancer,GSM8198660
Cancer,GSM8198661
Cancer,GSM8198662
Cancer,GSM8198663
Cancer,GSM8198664
Cancer,GSM8198665
Cancer,GSM8198666
Cancer,GSM8198667
Cancer,GSM8198668
Cancer,GSM8198669
Cancer,GSM8198670
Cancer,GSM8198671
Cancer,GSM8198672
Cancer,GSM8198673
Cancer,GSM8198674
Cancer,GSM8198675
Cancer,GSM8198676
Cancer,GSM8198677
Cancer,GSM8198678
Cancer,GSM8198679
Cancer,GSM8198680
Cancer,GSM8198681
Cancer,GSM8198682
Cancer,GSM8198683
Cancer,GSM8198684
Cancer,GSM8198685
Cancer,GSM8198686
Cancer,GSM8198687
Cancer,GSM8198688
Cancer,GSM8198689
Cancer,GSM8198690
Cancer,GSM8198691
Cancer,GSM8198692
Cancer,GSM8198693
Cancer,GSM8198694
Cancer,GSM8198695
Cancer,GSM8198697
Cancer,GSM8198698
Cancer,GSM8198699
Cancer,GSM8198700
Cancer,GSM8198701
Cancer,GSM8198702
Cancer,GSM8198703
Cancer,GSM8198704
Cancer,GSM8198705
Cancer,GSM8198706
Cancer,GSM8198708
Cancer,GSM8198709
Cancer,GSM8198710
Cancer,GSM8198711
Cancer,GSM8198712
Cancer,GSM8198713
Cancer,GSM8198714
Cancer,GSM8198715
Cancer,GSM8198716
Cancer,GSM8198717
Cancer,GSM8198718
Cancer,GSM8198719
Cancer,GSM8198720
Cancer,GSM8198721
Cancer,GSM8198722
Cancer,GSM8198723
Cancer,GSM8198724
Cancer,GSM8198725
Cancer,GSM8198726
Cancer,GSM8198727
Cancer,GSM8198728
Cancer,GSM8198729
Cancer,GSM8198730
Cancer,GSM8198731
Cancer,GSM8198732
Cancer,GSM8198733
Cancer,GSM8198734
Cancer,GSM8198735
Cancer,GSM8198736
Cancer,GSM8198737
Cancer,GSM8198738
Cancer,GSM8198739
Cancer,GSM8198740
Cancer,GSM8198741
Cancer,GSM8198742
Cancer,GSM8198743
Cancer,GSM8198744
Cancer,GSM8198745
Cancer,GSM8198746
Cancer,GSM8198747
Cancer,GSM8198748
Cancer,GSM8198749
Cancer,GSM8198750
Cancer,GSM8198751
Cancer,GSM8198752
Cancer,GSM8198753
Cancer,GSM8198754
Cancer,GSM8198755
Cancer,GSM8198758
Cancer,GSM8198759
Cancer,GSM8198760
Cancer,GSM8198761
Cancer,GSM8198762
Cancer,GSM8198763
Cancer,GSM8198764
Cancer,GSM8198765
Cancer,GSM8198766
Cancer,GSM8198767
Cancer,GSM8198768
Cancer,GSM8198769
Cancer,GSM8198771
Cancer,GSM8198772
Cancer,GSM8198773
Cancer,GSM8198774
Cancer,GSM8198775
Cancer,GSM8198776
Cancer,GSM8198777
Cancer,GSM8198778
Cancer,GSM8198779
Cancer,GSM8198780
Cancer,GSM8198781
Cancer,GSM8198782
Cancer,GSM8198783
Cancer,GSM8198784
Cancer,GSM8198785
Cancer,GSM8198786
Cancer,GSM8198787
Cancer,GSM8198788
Cancer,GSM8198789
Cancer,GSM8198790
Cancer,GSM8198791
Cancer,GSM8198792
Cancer,GSM8198793
Cancer,GSM8198794
Cancer,GSM8198795
Cancer,GSM8198796
Cancer,GSM8198797
Cancer,GSM8198798
Cancer,GSM8198799
Cancer,GSM8198800
Cancer,GSM8198801
Cancer,GSM8198802
Cancer,GSM8198803
Cancer,GSM8198804
Cancer,GSM8198805
Cancer,GSM8198806
Cancer,GSM8198807
Cancer,GSM8198808
Cancer,GSM8198809
Cancer,GSM8198810
Cancer,GSM8198811
Cancer,GSM8198812
Cancer,GSM8198813
Cancer,GSM8198814
Cancer,GSM8198815
Cancer,GSM8198816
Cancer,GSM8198817
Cancer,GSM8198818
Cancer,GSM8198819
Cancer,GSM8198820
Cancer,GSM8198821
Cancer,GSM8198822
Cancer,GSM8198824
Cancer,GSM8198825
Cancer,GSM8198826
Cancer,GSM8198827
Cancer,GSM8198828
Cancer,GSM8198829
Cancer,GSM8198832
Cancer,GSM8198833
Cancer,GSM8198834
Cancer,GSM8198835
Cancer,GSM8198836
Cancer,GSM8198837
Cancer,GSM8198838
Cancer,GSM8198839
Cancer,GSM8198840
Cancer,GSM8198841
Cancer,GSM8198842
Cancer,GSM8198843
Cancer,GSM8198844
Cancer,GSM8198845
Cancer,GSM8198846
Cancer,GSM8198847
Cancer,GSM8198848
Cancer,GSM8198849
Cancer,GSM8198850
Cancer,GSM8198851
Cancer,GSM8198852
Cancer,GSM8198853
Cancer,GSM8198854
Cancer,GSM8198855
Cancer,GSM8198856
Cancer,GSM8198857
Cancer,GSM8198858
Cancer,GSM8198859
Cancer,GSM8198860
Cancer,GSM8198861
Cancer,GSM8198862
Cancer,GSM8198863
Cancer,GSM8198864
Cancer,GSM8198865
Cancer,GSM8198866
Cancer,GSM8198867
Cancer,GSM8198868
