sample,condition
GSM8391526,Normal
GSM8391525,Normal
GSM8391524,Normal
GSM8391523,Normal
GSM8391522,Normal
GSM8391521,Cancer
GSM8391520,Cancer
GSM8391519,Cancer
GSM8391518,Cancer
GSM8391517,Cancer
GSM8391516,Cancer
GSM8391515,Cancer
GSM8391514,Cancer
GSM8391513,Cancer
GSM8391512,Cancer
GSM8391511,Cancer
GSM8391510,Cancer
GSM8391509,Cancer
GSM8391508,Cancer
GSM8391507,Cancer
GSM8391506,Cancer
GSM8391505,Cancer
GSM8391504,Cancer
GSM8391503,Cancer
GSM8391502,Cancer
GSM8391500,Cancer
GSM8391498,Cancer
GSM8391496,Cancer
GSM8391494,Cancer
GSM8391492,Cancer
GSM8391490,Cancer
GSM8391488,Cancer
GSM8391486,Cancer
GSM8391484,Cancer
GSM8391482,Cancer
GSM8391480,Cancer
GSM8391478,Cancer
GSM8391477,Cancer
GSM8391476,Cancer
GSM8391475,Cancer
GSM8391474,Cancer
GSM8391473,Cancer
GSM8391472,Cancer
GSM8391471,Cancer
GSM8391470,Cancer
GSM8391469,Cancer
GSM8391468,Cancer
GSM8391467,Cancer
GSM8391466,Cancer
GSM8391465,Cancer
GSM8391464,Cancer
GSM8391463,Cancer
GSM8391462,Cancer
GSM8391461,Cancer
GSM8391460,Cancer
GSM8391459,Cancer
GSM8391458,Cancer
GSM8391457,Cancer
GSM8391456,Cancer
GSM8391455,Cancer
GSM8391454,Cancer
GSM8391453,Cancer
GSM8391452,Cancer
GSM8391451,Cancer
GSM8391450,Cancer
GSM8391449,Cancer
GSM8391448,Cancer
GSM8391447,Cancer
GSM8391446,Cancer
GSM8391445,Cancer
GSM8391444,Cancer
