GeneID	GSM6134590	GSM6134591	GSM6134592	GSM6134593	GSM6134594	GSM6134595	GSM6134596	GSM6134597	GSM6134598	GSM6134599	GSM6134600	GSM6134601	GSM6134602	GSM6134603	GSM6134604	GSM6134605	GSM6134606	GSM6134607	GSM6134608	GSM6134609
100287102	5	7	1	0	0	4	2	3	3	3	2	1	1	1	0	0	12	4	3	2
653635	279	523	100	117	115	150	119	197	218	313	63	83	78	53	216	74	306	282	339	412
102466751	7	16	1	1	2	2	7	2	5	8	1	2	0	1	5	0	4	11	8	16
107985730	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
645520	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
79501	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
100996442	21	25	9	25	8	56	8	39	7	30	8	19	17	44	13	15	25	39	30	83
729737	80	77	47	22	15	61	61	12	50	111	2	24	9	4	30	9	63	254	377	180
102725121	5	9	1	0	0	7	2	8	4	4	3	2	1	2	0	0	6	5	1	1
102723897	273	524	107	121	141	186	107	214	253	348	62	105	102	68	275	92	310	311	406	460
102465909	5	12	1	2	2	1	3	2	3	4	1	2	1	1	3	0	3	3	7	12
107985721	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0
112268260	10	28	4	69	3	116	3	72	8	47	7	32	14	57	6	4	13	12	10	28
729759	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	2	0	2
100132287	88	86	31	24	20	66	36	19	62	89	6	14	12	8	21	9	81	158	264	257
105378947	2	5	0	12	0	14	0	3	2	15	1	10	3	12	2	1	1	2	3	8
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	20123	15949	24180	14387	16655	2980	11365	5591	8723	6958	12615	10405	16783	16451	5863	5677	14998	7923	4952	1404
81399	1	4	1	2	0	51	1	6	1	7	0	18	1	3	0	3	3	19	2	28
100133331	96	72	37	23	21	66	31	26	56	61	8	20	12	5	22	12	88	142	237	263
107984841	7	4	3	2	2	4	2	5	5	10	0	3	2	3	1	3	9	13	25	41
107984847	10	7	4	6	1	7	5	7	6	10	0	3	3	0	4	2	12	15	26	34
107984849	2	1	1	0	2	1	0	1	1	1	0	1	0	0	0	0	4	11	6	8
100288069	15	14	2	4	4	12	4	9	7	15	2	15	4	2	4	2	7	22	20	59
105378580	3	7	3	2	4	9	9	13	6	9	4	7	7	2	9	2	7	7	5	23
400728	1	8	2	5	1	6	0	8	5	4	0	1	6	2	12	2	5	7	5	5
79854	18	17	3	6	1	11	21	14	16	14	1	1	3	4	30	9	14	20	21	121
643837	379	229	404	241	120	151	150	175	127	320	94	145	285	104	263	212	372	805	322	999
107984850	0	0	0	0	0	6	0	0	0	0	1	0	1	0	0	0	0	0	1	0
284593	1	2	0	2	0	1	1	0	0	1	0	0	1	0	2	1	1	0	1	9
284600	2	10	1	0	0	0	0	0	1	0	0	0	2	1	3	0	2	1	1	0
100130417	42	127	3	2	9	0	15	0	54	0	10	0	29	0	37	0	22	0	37	0
107985728	17	30	3	0	2	0	18	0	23	0	1	0	6	0	21	0	21	0	21	3
148398	142	332	51	49	106	92	150	47	229	73	53	36	130	10	141	29	258	94	205	134
26155	847	1155	453	517	616	2186	540	1583	871	1311	340	938	576	249	549	840	1469	1558	1133	1488
339451	59	123	25	13	36	25	28	39	93	101	14	11	13	2	63	10	96	103	122	165
84069	17	40	2	2	2	2	1	26	10	14	2	1	5	2	26	0	45	18	19	17
84808	5	19	2	0	2	2	1	7	5	2	0	0	2	2	1	0	8	0	6	2
57801	26	128	33	25	3	10	9	9	81	9	1	1	20	3	91	8	155	109	63	43
9636	449	786	218	138	266	164	1535	806	11050	341	189	145	505	164	890	196	860	584	664	439
375790	2024	2568	368	488	349	708	388	681	2129	1078	201	179	531	263	785	311	4115	4266	1193	1672
100288175	26	30	4	18	8	13	18	6	28	19	19	0	20	12	25	1	55	10	46	5
112267874	6	3	1	4	2	2	12	1	3	2	4	0	6	2	4	1	5	2	14	1
105378948	23	32	5	19	9	8	20	5	23	11	21	0	24	11	26	2	36	5	36	4
401934	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
54991	77	125	19	18	34	53	11	50	87	162	8	19	10	5	48	15	157	199	179	212
254099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
554210	4	0	1	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0
100506376	2	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	1	1	0	0
254173	0	3	0	1	0	1	0	0	2	2	0	0	0	0	1	1	1	1	0	1
8784	7	32	1	7	1	4	5	6	25	21	0	1	4	0	42	6	7	8	16	5
7293	5	61	0	12	6	10	0	13	60	36	2	5	4	0	50	8	21	30	23	15
51150	3716	2703	1361	1370	2019	2808	1480	3112	2504	3995	1069	1263	1072	1146	1868	1483	5336	6693	2930	3280
126792	293	369	145	134	173	279	126	156	202	219	148	314	282	97	337	303	485	400	266	336
388581	4	7	3	0	4	2	0	5	3	11	1	6	1	0	6	1	19	13	17	4
118424	420	563	299	235	285	518	274	530	471	434	237	451	460	272	477	515	782	698	482	694
101928895	34	28	8	16	5	14	5	14	22	38	0	9	3	1	14	2	31	80	65	160
6339	119	103	42	48	48	33	47	8	71	87	1	12	19	2	21	3	142	173	256	588
116983	322	544	180	136	160	581	102	205	322	269	67	130	136	69	186	193	604	554	428	1562
102465434	0	2	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0	1
109623456	2	2	2	0	1	1	0	0	2	1	0	0	0	0	0	0	3	2	1	23
126789	101	121	72	42	125	175	40	127	110	124	23	35	25	18	62	68	202	164	129	179
54973	938	1095	450	353	623	1575	325	1105	954	1036	181	351	384	151	671	441	1239	1223	1099	1717
102465435	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	3
80772	796	411	292	129	563	395	205	313	638	453	158	101	100	82	197	56	1376	1767	843	1167
83756	11	33	7	7	11	10	2	1	40	11	14	1	6	0	14	5	32	17	25	18
1855	588	644	306	185	497	622	241	300	741	664	102	161	94	59	250	156	1481	2060	1145	1432
102466740	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	4
54587	356	1746	106	315	84	44	88	25	580	37	41	45	276	26	499	91	361	388	314	63
54998	1283	1073	1118	517	1541	1118	480	779	1353	1104	396	537	414	186	533	414	2321	1885	1414	2029
81669	2607	3359	1369	900	895	899	1477	2043	1678	2772	886	1768	1286	675	2014	1371	3530	6532	4695	5791
148413	607	525	310	217	304	548	301	623	393	634	362	535	425	220	306	342	600	543	462	1207
55052	1321	1194	1031	597	937	1333	549	1371	851	981	1165	1916	1267	529	1009	1267	1317	1301	1069	1359
107984868	3	14	0	0	0	1	0	0	1	3	1	6	3	17	0	0	0	2	0	0
441869	28	231	10	22	8	3	0	6	10	3	17	86	34	275	7	4	33	16	8	4
105378585	4	33	0	1	0	0	0	1	0	0	2	55	7	9	5	0	4	1	0	3
643965	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
102724312	26	22	12	7	19	8	4	0	42	84	1	14	8	9	17	12	28	46	20	16
107985729	6	5	0	2	0	5	4	2	2	18	0	5	1	2	3	1	4	4	6	5
