Gene_Symbol,tumor1,tumor2,tumor3,tumor4,tumor5,tumor6,tumor7,nontumor1,nontumor2,nontumor3,nontumor4,nontumor5,nontumor6,nontumor7,nontumor8
DDX11L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASH7P,7,5,11,5,6,4,3,2,3,2,2,2,5,1,5
MIR6859-1,3,3,21,5,19,10,7,1,3,12,3,4,5,7,6
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.16,0,0,0,4,0,1,2,0,0,0,0,2,1,0,1
RP11-34P13.14,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0
RP11-34P13.13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
RNU6-1100P,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
RP11-34P13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FO538757.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FO538757.1,5,4,9,4,6,5,5,1,2,2,3,2,3,2,4
MIR6859-2,7,1,7,2,6,9,3,3,1,2,0,3,5,2,2
AP006222.2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
RPL23AP21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-669L17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-669L17.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBP1LP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEPT14P13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-669L17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P23,207,385,74,214,2738,204,113,8471,176,271,196,183,204,155,283
MTND2P28,14320,14193,3170,16424,2668,3962,3868,10045,5549,7855,5155,4457,7595,7177,21523
MTCO1P12,104,385,133,124,145,271,94,216,222,255,205,275,210,209,109
MIR6723,75,128,132,87,139,178,79,118,165,152,141,182,170,139,86
MTCO2P12,73,56,40,94,18,21,58,48,84,38,101,71,129,61,80
MTATP8P1,311,162,108,318,161,220,159,648,243,302,241,293,310,298,307
MTATP6P1,8211,10399,2904,7650,4379,4917,4498,12295,6756,8820,7169,7754,7584,6107,7181
MTCO3P12,233,256,77,222,98,68,121,523,177,76,175,184,77,130,224
WBP1LP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CICP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
