Gene_Symbol,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank
CLCA1,-1,-9.72415192912163,-11.6835597201333,-7.76474413810992,2.31513958694374e-22,0,1,94.6128210865713,2.31513958694374e-22,FALSE,1
APOA1,-1,-9.72374039968998,-11.7139630227276,-7.73351777665237,1.00969979654225e-21,0,1,91.6979393569438,1.00969979654225e-21,FALSE,2
APOA4,-1,-9.72559926931525,-11.7729819264536,-7.67821661217693,1.27426340310834e-20,0,1,86.6823913335077,1.27426340310835e-20,FALSE,3
TMPRSS15,-1,-9.32367922769443,-11.5389341486897,-7.10842430669919,1.59461630120108e-16,0,1,68.0492603886272,1.5946163012011e-16,FALSE,4
FABP1,-1,-8.87105540767794,-10.8759327730616,-6.86617804229431,4.23383305836981e-18,0,1,75.2092296101219,4.23383305836983e-18,FALSE,5
FGB,1,9.30389806798465,6.87358097285558,11.7342151631137,6.22491073337281e-14,0,1,56.2989358320779,6.22491073337284e-14,FALSE,6
ALPI,-1,-8.59825386934233,-10.745523827969,-6.45098391071569,4.21950791941475e-15,0,1,61.5947097940783,4.21950791941473e-15,FALSE,7
FABP2,-1,-7.66754423372165,-9.44109298915364,-5.89399547828966,2.38191077063579e-17,0,1,71.7996783159996,2.38191077063582e-17,FALSE,8
CHP2,-1,-8.06409125416786,-10.1442957741844,-5.9838867341513,3.0081551572883e-14,0,1,57.729125396901,3.00815515728829e-14,FALSE,9
OR8D4,-1,-7.59990820484413,-9.60196336686324,-5.59785304282502,1.00587901945073e-13,0,1,55.3555024178817,1.00587901945073e-13,FALSE,10
ITLN1,-1,-7.47425278453583,-9.58124625474793,-5.36725931432373,3.58393091535786e-12,0,1,48.3398575733351,3.58393091535787e-12,FALSE,11
GUCA1C,-1,-6.90350638130242,-8.90851911378262,-4.89849364882222,1.49486451221507e-11,0,1,45.5408753008536,1.49486451221507e-11,FALSE,12
