Gene_Symbol,signcon,randomSummary,randomCi.lb,randomCi.ub,randomP,het_QE,het_QEp,het_QM,het_QMp,error,rank
PTF1A,-4,-4.35849282562447,-5.49706286233513,-3.21992278891381,6.24580722435615e-14,4.52533922281599,0.210041192128944,56.2923464660515,6.24580722435615e-14,FALSE,20
IZUMO1,-3,-3.78409394913874,-4.65329722330179,-2.91489067497569,1.42918365132665e-17,0.984395262777926,0.611281545472975,72.8076972382724,1.42918365132666e-17,FALSE,21
ANKRD62,-4,-3.61046141813072,-4.40573636007296,-2.81518647618847,5.68504826156123e-19,2.7289439477818,0.435330961927355,79.1748048584828,5.68504826156121e-19,FALSE,22
SPX,-4,-3.4900533576429,-4.7357613662031,-2.24434534908271,3.99308039765833e-08,5.68725365150608,0.127858008195927,30.1528107875577,3.99308039765833e-08,FALSE,32
PLAAT5,-4,-2.48069344717575,-3.24959689490359,-1.71178999944791,2.55900513608004e-10,1.23952411285698,0.743541231476307,39.9851532080284,2.55900513608004e-10,FALSE,40
MYPN,-3,-2.84862260944707,-3.83928936135521,-1.85795585753893,1.7424951484893e-08,2.69980152858545,0.259265987813016,31.7622193356507,1.7424951484893e-08,FALSE,41
GRPR,-3,-2.78136113535171,-3.77116351266384,-1.79155875803958,3.63900558360368e-08,1.19097834109001,0.551292823687223,30.3329019043959,3.63900558360367e-08,FALSE,45
ANLN,7,1.85335382621257,1.33241713293754,2.3742905194876,3.10188310438859e-12,6.60578161959434,0.358846238921774,48.6231355930011,3.1018831043886e-12,FALSE,47
RIMS1,-6,-2.08220355881604,-2.74793222097862,-1.41647489665346,8.77735263100619e-10,5.34990547763183,0.374685040652612,37.5792441003753,8.77735263100618e-10,FALSE,50
FAM107A,-7,-1.72921317039207,-2.27450197391075,-1.1839243668734,5.11895802619456e-10,6.03403931989287,0.419387802262197,38.6313682763167,5.11895802619459e-10,FALSE,57
VIPR2,-7,-1.91759413993886,-2.57444196795754,-1.26074631192017,1.05341323709669e-08,9.09864340788994,0.16810596739493,32.7401023978088,1.05341323709669e-08,FALSE,58
ADGRF1,6,2.06298991144734,1.31064048505952,2.81533933783515,7.68612567978883e-08,3.89434552589824,0.564725827961122,28.8835920217251,7.68612567978884e-08,FALSE,61
RTKN2,7,1.68842956484689,1.12964837948901,2.24721075020476,3.17499776391462e-09,3.81428425218072,0.701791830586134,35.0734533724186,3.17499776391463e-09,FALSE,65
CMA1,-3,-2.37701529676968,-3.32087635962277,-1.43315423391659,7.97557565100056e-07,0.137596589852036,0.933514955792702,24.3637421271691,7.97557565100056e-07,FALSE,66
ITGA2,7,1.54883814169818,1.06079632504891,2.03687995834745,4.96850635535757e-10,7.17323194080026,0.305123641675722,38.6895948619328,4.96850635535758e-10,FALSE,67
