Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
148398,SAMD11,sterile alpha motif domain containing 11,protein_coding,74.4814684716831,0.00298358971524051,0.278863116099189,0.0106991191842641,0.991463500852811,0.996317880137676
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,protein_coding,859.409527939115,-0.41096690612672,0.147979607180847,-2.7771860863536,0.00548317766577307,0.0316463711835204
339451,KLHL17,kelch like family member 17,protein_coding,77.882649641584,-0.0469417642558207,0.284962068750866,-0.16472986900183,0.869156606075955,0.930179539550416
84069,PLEKHN1,pleckstrin homology domain containing N1,protein_coding,34.1812315597567,-0.0128861131282712,0.679221687174507,-0.0189718811569109,0.984863536957889,0.992852238692781
57801,HES4,hes family bHLH transcription factor 4,protein_coding,85.5035463560816,-0.117498506307103,0.309066507610426,-0.380172239352469,0.703817564728624,0.8253202476148
9636,ISG15,ISG15 ubiquitin like modifier,protein_coding,354.712308198602,0.346147057962581,0.533467882151565,0.648862039391223,0.516427553018488,0.687341072144054
375790,AGRN,agrin,protein_coding,1370.11599787176,-0.517151904054533,0.225368945893041,-2.29469016685187,0.0217508867276273,0.0829639750322188
401934,RNF223,ring finger protein 223,protein_coding,22.1264217523668,-0.388312234542894,0.385120174121303,-1.00828847885955,0.31331599232149,0.499379378272621
54991,C1orf159,chromosome 1 open reading frame 159,protein_coding,124.916857770858,0.465266323977087,0.239806129311546,1.94017694757349,0.0523581890732112,0.152214810279115
254173,TTLL10,tubulin tyrosine ligase like 10,protein_coding,16.3601166900332,0.428172659342833,0.493378344698884,0.867838371795895,0.385482820511106,0.571474302192179
8784,TNFRSF18,TNF receptor superfamily member 18,protein_coding,17.68984620969,0.608684043858099,0.43932032414186,1.38551305370873,0.165895643802075,0.33155187527416
7293,TNFRSF4,TNF receptor superfamily member 4,protein_coding,19.4760895471221,0.146473342243007,0.335459304128651,0.436635205642808,0.662375926440662,0.796066480401162
51150,SDF4,stromal cell derived factor 4,protein_coding,2057.03859274337,-0.055329466337038,0.118931564656048,-0.465221041168102,0.641773172147109,0.782795568830353
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",protein_coding,191.144153894136,-0.551604814720431,0.180604081293472,-3.05422120458122,0.00225645634823785,0.0166006141196762
388581,C1QTNF12,C1q and TNF related 12,protein_coding,44.7644415624452,-0.103834784437832,0.338950564418059,-0.306341972364333,0.759344285010507,0.862577509369485
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2,protein_coding,483.985257280942,0.160223708299537,0.118108906142359,1.35657600711682,0.174915969581034,0.343802799902381
6339,SCNN1D,sodium channel epithelial 1 subunit delta,protein_coding,28.8860137349032,0.697692548731272,0.403690170322518,1.72828718661608,0.0839367491461886,0.210009768027656
116983,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",protein_coding,587.903304151468,0.560670472568735,0.225694432336336,2.48420161173142,0.0129842273194484,0.058004193380061
126789,PUSL1,pseudouridine synthase like 1,protein_coding,165.617676765424,-0.289470162323475,0.175820079824076,-1.64639990274784,0.0996814531054941,0.237073603141477
54973,INTS11,integrator complex subunit 11,protein_coding,761.836655533976,0.148557129843296,0.145597305931754,1.02032883707978,0.307572531342929,0.493562012719476
80772,CPTP,ceramide-1-phosphate transfer protein,protein_coding,360.696963572628,0.399296091736047,0.145710112544972,2.74034577807911,0.00613745777311109,0.0344385731791581
83756,TAS1R3,taste 1 receptor member 3,protein_coding,52.1709938979591,0.0882634454704959,0.354095155068456,0.249264764589711,0.80315598502453,0.892456914125149
1855,DVL1,dishevelled segment polarity protein 1,protein_coding,850.659232349515,-0.162282999055355,0.14565489584659,-1.11416096322831,0.265210138996561,0.450779882175294
54587,MXRA8,matrix remodeling associated 8,protein_coding,391.518115178693,0.626727496985999,0.215478686070819,2.90853591329223,0.00363125466223636,0.0234675884638128
54998,AURKAIP1,aurora kinase A interacting protein 1,protein_coding,1004.87643199744,-0.13799269069134,0.160656779485875,-0.858928525350357,0.39037995052985,0.576530048817241
81669,CCNL2,cyclin L2,protein_coding,1602.52268445192,0.259344033192234,0.186807377127322,1.38829652865086,0.1650467688382,0.330550185458982
55052,MRPL20,mitochondrial ribosomal protein L20,protein_coding,549.558147093845,-0.206634598320652,0.156628523796409,-1.31926543973077,0.187080387539869,0.359404930006241
441869,ANKRD65,ankyrin repeat domain 65,protein_coding,38.8154717476225,1.27125936328267,0.525158439512916,2.42071585950664,0.0154899796466471,0.0651029103379998
64856,VWA1,von Willebrand factor A domain containing 1,protein_coding,710.319502326804,-0.326760682304804,0.307644543373082,-1.06213709732059,0.288173450981117,0.473804856480826
219293,ATAD3C,ATPase family AAA domain containing 3C,protein_coding,70.7701504099447,-0.159425528122983,0.22394616384229,-0.711892203856884,0.476531530200054,0.653394151875435
83858,ATAD3B,ATPase family AAA domain containing 3B,protein_coding,494.86882578484,-0.0496926469981512,0.231238562915622,-0.214897750494513,0.829847038766937,0.907039936160411
55210,ATAD3A,ATPase family AAA domain containing 3A,protein_coding,490.15071079845,-0.315973559251257,0.188033375067224,-1.68041210310826,0.0928771628280288,0.225850048025815
29101,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase",protein_coding,933.497650545466,-0.109833295956476,0.13459080152369,-0.816053509698016,0.41446953198819,0.597125075016711
643988,FNDC10,fibronectin type III domain containing 10,protein_coding,31.5576406270725,0.230636337098877,0.459247532349206,0.50220484782813,0.615523433209357,0.764079035870814
142678,MIB2,MIB E3 ubiquitin protein ligase 2,protein_coding,594.075837162142,0.501223463764679,0.202551907708487,2.47454328836064,0.0133406652542149,0.0590252893538838
8510,MMP23B,matrix metallopeptidase 23B,protein_coding,37.2562650121703,0.588001936369344,0.292120012106278,2.0128779679614,0.0441274689086168,0.135456517922777
984,CDK11B,cyclin dependent kinase 11B,protein_coding,755.21025429994,0.302206868587198,0.156827493790395,1.92700183675132,0.0539794010329213,0.155621208509484
728661,SLC35E2B,solute carrier family 35 member E2B,protein_coding,846.854075539352,0.438326225478261,0.168190103863158,2.60613564894929,0.00915701887963002,0.0454704626793453
728642,CDK11A,cyclin dependent kinase 11A,protein_coding,664.977727138915,0.375828314682829,0.163261963432018,2.30199555844079,0.0213354226556295,0.0818786964464262
65220,NADK,NAD kinase,protein_coding,1104.55456014892,0.237717108803489,0.126657822514067,1.87684506242863,0.0605393322833689,0.169028884549245
2782,GNB1,G protein subunit beta 1,protein_coding,3493.19021656709,-0.0569622932357298,0.124007780808054,-0.459344509389287,0.645986789839902,0.785080667047955
339456,TMEM52,transmembrane protein 52,protein_coding,23.0738787803031,-0.733199692713415,0.380322532499524,-1.92783658621208,0.0538754554053495,0.155391505537945
5590,PRKCZ,protein kinase C zeta,protein_coding,518.932101112141,0.192366436997755,0.147876420059001,1.30085944007167,0.193306571629112,0.367119820782869
199990,FAAP20,FA core complex associated protein 20,protein_coding,225.134989912333,0.200801332944983,0.162677961282412,1.23434871793351,0.217072989442158,0.396216448814213
6497,SKI,SKI proto-oncogene,protein_coding,768.820387956634,0.172603867848626,0.169541409281475,1.01806318928296,0.308647927508775,0.494709075695921
79906,MORN1,MORN repeat containing 1,protein_coding,128.5752362493,0.387207684260359,0.15939665715298,2.42920831074104,0.0151318354411276,0.0640838850005642
11079,RER1,retention in endoplasmic reticulum sorting receptor 1,protein_coding,1357.11469484492,-0.107997013559359,0.150619627291541,-0.71701819677404,0.473362868757187,0.650706132973932
5192,PEX10,peroxisomal biogenesis factor 10,protein_coding,242.663788133355,0.0822434699694447,0.149057215665068,0.551757723384865,0.581114355898001,0.737152913645017
9651,PLCH2,phospholipase C eta 2,protein_coding,97.6257449374211,-0.0131327100686864,0.313349073722608,-0.0419107990735985,0.966569807547499,0.982584701590337
55229,PANK4,pantothenate kinase 4 (inactive),protein_coding,298.15449858382,0.651323713969358,0.143617848622895,4.5351167714507,5.75716241806273e-06,0.000223311929238937
388585,HES5,hes family bHLH transcription factor 5,protein_coding,14.9335639856961,1.24766968536494,0.50681196912861,2.46179996007223,0.0138241746071991,0.0603768241005128
8764,TNFRSF14,TNF receptor superfamily member 14,protein_coding,1018.22705449934,0.640000492461391,0.168192208290669,3.80517325365836,0.000141704966852302,0.00231455425217559
127281,PRXL2B,peroxiredoxin like 2B,protein_coding,589.986870834396,-0.218999914559065,0.19921716490272,-1.09930243544026,0.271636170420525,0.456921921925485
79258,MMEL1,membrane metalloendopeptidase like 1,protein_coding,78.8984277833123,-0.158070391725263,0.204778955093123,-0.77190740451518,0.440169271497154,0.621293625898676
100287898,TTC34,tetratricopeptide repeat domain 34,protein_coding,16.7736800282562,1.28853619466872,0.440303781593432,2.92647087882278,0.00342831600407413,0.0224888469415476
63976,PRDM16,PR/SET domain 16,protein_coding,32.1303226418431,-0.891698456767218,0.546042146313521,-1.63302130208687,0.102464516539819,0.241382994735602
27237,ARHGEF16,Rho guanine nucleotide exchange factor 16,protein_coding,1105.76836375448,-0.185647349084524,0.197183402405106,-0.94149581972989,0.346450830483261,0.533781606159968
1953,MEGF6,multiple EGF like domains 6,protein_coding,216.060988910829,-0.161304500664277,0.381659941542289,-0.422639326549295,0.672558429262919,0.803176028737263
127262,TPRG1L,tumor protein p63 regulated 1 like,protein_coding,745.32657712944,0.21192135194054,0.212462609051861,0.997452459452809,0.318544938706116,0.505727912842629
49856,WRAP73,"WD repeat containing, antisense to TP73",protein_coding,204.970106819995,-0.103625913691872,0.120716789437252,-0.858421717268552,0.390659639889541,0.576723452233185
7161,TP73,tumor protein p73,protein_coding,26.8030914871957,-1.51387325228394,0.563583181166202,-2.6861576123534,0.00722789845433019,0.0385939122094612
57470,LRRC47,leucine rich repeat containing 47,protein_coding,580.493003430796,0.059807539580341,0.134470593931788,0.444762961415036,0.656491063616797,0.791807790746997
9731,CEP104,centrosomal protein 104,protein_coding,629.116294565068,0.116235365208096,0.140372039274253,0.828052123550048,0.4076409815499,0.591358139207848
1677,DFFB,DNA fragmentation factor subunit beta,protein_coding,156.908209022343,-0.135983586140523,0.176564359340376,-0.770164412843806,0.441202370884643,0.622250344501019
339448,C1orf174,chromosome 1 open reading frame 174,protein_coding,243.72535806301,-0.18651750527074,0.135451248977136,-1.3770083825674,0.16850965619533,0.335186746108039
55966,AJAP1,adherens junctions associated protein 1,protein_coding,23.7757180942855,0.478409331326957,0.552667247719459,0.865637204486204,0.386689146316324,0.572750184270093
261734,NPHP4,nephrocystin 4,protein_coding,167.609022115636,0.184436273073229,0.215640015350136,0.855297068931098,0.392386709791511,0.578436247676233
8514,KCNAB2,potassium voltage-gated channel subfamily A regulatory beta subunit 2,protein_coding,130.598090355809,-0.32034421672288,0.290228057031206,-1.10376722360938,0.269694126268526,0.455274681767016
6146,RPL22,ribosomal protein L22,protein_coding,4466.5322041807,-0.264259458891861,0.182324139843749,-1.4493936958558,0.147227668211476,0.306917880802416
388591,RNF207,ring finger protein 207,protein_coding,232.863007439693,0.663231055150243,0.317137776757635,2.09130259387895,0.0365009474540531,0.11873831698644
23463,ICMT,isoprenylcysteine carboxyl methyltransferase,protein_coding,1037.20514846354,-0.0337406425836724,0.150412506743564,-0.224320725145525,0.822507750757089,0.903756320299146
387509,GPR153,G protein-coupled receptor 153,protein_coding,388.670601761953,-0.525294444296426,0.317427797429004,-1.6548470189159,0.0979555335724803,0.23411758936184
11332,ACOT7,acyl-CoA thioesterase 7,protein_coding,407.416125285471,0.141204756438163,0.169004731197451,0.835507712936101,0.403431906073677,0.587305736218385
54626,HES2,hes family bHLH transcription factor 2,protein_coding,219.746752774335,-0.315397978904407,0.31758444732681,-0.99311531644321,0.320653760647182,0.508200332318182
