Symbol,Drug,Approved,InteractionType,Sources,Score,PMIDs
SLC22A4,USTEKINUMAB,TRUE,"",PharmGKB,2.61018992794428,27977334
SLC22A4,LEVOCARNITINE PROPIONATE,FALSE,"",TdgClinicalTrial,3.26273740993035,""
MET,MK-2461,FALSE,inhibitor,TTD; MyCancerGenome; ChEMBL,0.0627449501909682,""
MET,PF-04217903,FALSE,inhibitor,MyCancerGenome; DTC; ChEMBL; COSMIC,0.669279468703661,""
MET,CABOZANTINIB S-MALATE,TRUE,inhibitor,ClearityFoundationClinicalTrial; CGI; TTD; MyCancerGenomeClinicalTrial; MyCancerGenome; CIViC; TdgClinicalTrial; ClearityFoundationBiomarkers; OncoKB; CancerCommons; TALC; ChEMBL,0.273796146287861,""
MET,CAPMATINIB,TRUE,inhibitor,TTD; MyCancerGenome; CIViC; PharmGKB; OncoKB; CancerCommons; TALC; ChEMBL; COSMIC,1.50587880458324,""
MET,GLESATINIB,FALSE,inhibitor,MyCancerGenome; TdgClinicalTrial; CancerCommons; TALC; ChEMBL,0.250979800763873,""
MET,CRIZOTINIB,TRUE,inhibitor,CGI; TTD; MyCancerGenomeClinicalTrial; MyCancerGenome; CIViC; DoCM; TdgClinicalTrial; ClearityFoundationBiomarkers; PharmGKB; OncoKB; TALC; ChEMBL; COSMIC,0.401567681222196,10417759; 11750879; 9826708; 25157968; 12460923; 17483355; 1104268
MET,TEPOTINIB,TRUE,inhibitor,TTD; MyCancerGenome; CIViC; PharmGKB; DTC; ChEMBL,0.878429302673555,25736998
MET,AMUVATINIB,FALSE,inhibitor,MyCancerGenome; TdgClinicalTrial; TALC; ChEMBL,0.286834058015855,""
MET,ANTI-C-MET MONOCLONAL ANTIBODY SAIT301,FALSE,"",CIViC,0.501959601527746,""
MET,BMS-777607,FALSE,inhibitor,TTD; MyCancerGenome; ChEMBL,0.752939402291618,""
MET,CMX-2043,FALSE,"",TTD,0.250979800763873,""
MET,AMG-337,FALSE,inhibitor,ChEMBL,0.501959601527746,""
MET,DACTOLISIB,FALSE,"",DTC,0.0104574916984947,""
MET,MET TYROSINE KINASE INHIBITOR SGX523,FALSE,inhibitor,TTD; TdgClinicalTrial; TALC,1.50587880458324,""
MET,ERLOTINIB,TRUE,"",PharmGKB; OncoKB; DTC,0.0358542572519818,21487324
MET,FORETINIB,FALSE,inhibitor,TTD; MyCancerGenome; CIViC; TdgClinicalTrial; CancerCommons; TALC; ChEMBL,0.18493248477338,""
MET,AMG-208,FALSE,inhibitor,ChEMBL,0.501959601527746,""
MET,ONARTUZUMAB,FALSE,inhibitor; antibody,MyCancerGenome; CIViC; TdgClinicalTrial; CancerCommons; TALC; ChEMBL,3.01175760916647,""
MET,TIVANTINIB,FALSE,inhibitor,TTD; MyCancerGenomeClinicalTrial; MyCancerGenome; TdgClinicalTrial; CancerCommons; TALC; ChEMBL,3.51371721069422,""
