ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0006261,DNA-templated DNA replication,161,-0.701472512838109,-2.48498438316519,1e-10,1.62243243243243e-08,1.36955903271693e-08,3025,"tags=50%, list=19%, signal=41%",253714/4361/54962/11232/10926/222229/26271/3980/51750/56897/5557/80174/1663/64318/5001/1763/8317/5111/79733/54108/4174/5424/8882/29980/983/57418/10721/9093/4796/11169/92667/545/672/5982/675/84515/79892/146956/5984/378708/23649/641/898/5422/8914/5888/81620/10293/5423/11073/54107/4172/56652/3978/1602/5425/5591/7083/5558/90381/9156/84296/5983/23594/142/9837/4176/4171/1017/4173/6240/144455/4175/990/4998/6742/8318/2237/55388/55159
GO:0042254,ribosome biogenesis,311,-0.648322952224218,-2.46921757187011,1e-10,1.62243243243243e-08,1.36955903271693e-08,3470,"tags=59%, list=22%, signal=47%",85395/6228/6125/51001/60314/2068/85865/6208/5303/6229/11056/54913/4809/6217/54680/84549/22907/51729/25983/55006/6206/6193/3921/54700/6135/55794/54663/25926/6210/3692/6209/57109/6175/51018/387338/51441/57602/55695/55299/51010/83743/10514/56342/79050/153443/6165/54606/26284/134430/51491/6194/6155/113000/27292/22803/6191/8568/55341/57647/51042/6230/51068/54512/51116/708/9775/57418/23246/54433/11224/84881/84154/29777/84128/6227/23212/29081/6130/9326/23195/26155/51118/163859/50628/81691/6233/51106/79039/1662/84294/2091/84864/26164/6152/51154/6201/9136/55720/22984/55813/88745/65083/51602/29889/81875/26574/55035/79954/4839/84135/81887/54955/10248/23076/83732/57696/55027/55651/114049/23404/6839/51096/51504/10885/10969/11340/9875/54552/54475/10799/705/9045/64434/28987/23481/27340/56902/51202/10813/55661/6207/29960/9790/29102/51388/5591/55636/64216/84916/55759/9188/115416/23016/4869/11137/92856/27042/10528/23560/6129/9816/8602/55646/7520/1736/10171/56915/10360/64794/9221/55127/55003/285855/55226/23160/51121/5036/8451/25879/5901/8886/2971
GO:0022613,ribonucleoprotein complex biogenesis,456,-0.628533213491127,-2.46348900236808,1e-10,1.62243243243243e-08,1.36955903271693e-08,3470,"tags=54%, list=22%, signal=43%",85395/6228/6125/51001/60314/55164/8668/2068/85865/6208/5303/6229/6636/11338/11056/54913/4809/6217/54680/84549/22907/51729/25983/55006/728689/6206/6193/3921/51639/54700/6135/55794/54663/54960/11218/25926/6210/3692/6209/57109/6175/51018/387338/51441/8663/1975/57602/11171/10978/55695/55299/51010/1207/25804/83743/8666/10514/56342/79050/153443/6165/24148/54606/26284/8664/3646/134430/51491/51634/6194/103/6155/6880/6431/113000/27292/22803/6191/8568/55341/57647/51042/6895/6230/51068/54512/8683/51116/708/6632/9775/57418/9733/23246/84844/54433/11224/84881/84154/29777/84128/6227/23212/29081/6130/8487/9326/23195/26155/25980/51118/163859/50628/81691/10480/6233/51106/79039/1662/84294/6732/2091/84864/545/26164/9879/6152/51154/6201/9136/55720/22984/55813/88745/3320/65083/51602/29889/81875/26574/55035/79954/27161/6633/4839/84135/81887/54955/96764/10248/23020/23076/8662/83732/57696/55027/10856/6629/55651/114049/23404/6839/51096/26747/10713/51504/10885/1660/10969/11340/9875/54552/54475/10799/705/10419/9045/64434/28987/23481/27340/56902/51202/57819/10813/55661/27339/6207/29960/9790/29102/6635/51388/79084/5591/6628/6637/55636/64216/84916/55759/9188/115416/23016/4869/25929/11137/92856/27042/10528/23560/6129/9816/8602/55646/7520/3326/1736/10171/79833/56915/10360/64794/9221/55127/8667/55003/285855/8607/55226/10946/23160/51121/23450/5036/6627/8451/25879/5901/8886/2971/1968/6631/8894
GO:0016072,rRNA metabolic process,267,-0.647629838119738,-2.42724748369033,1e-10,1.62243243243243e-08,1.36955903271693e-08,3342,"tags=58%, list=21%, signal=47%",2068/221830/6208/5303/6229/11056/54913/4809/6217/54680/84549/64768/51729/25983/55006/6135/54663/25926/3692/162394/6209/57109/51018/387338/51441/57602/55695/55299/51010/1663/56342/79050/153443/6165/54606/134430/6194/7150/6155/113000/9014/27292/22803/8568/57647/6230/9330/54512/9775/57418/23246/54433/11224/84881/84154/29777/84128/6227/23212/6949/29081/6130/9326/51118/163859/50628/81691/51106/79039/1662/84294/2091/6597/51154/6201/9136/55720/22984/55813/88745/9555/65083/51602/64425/55035/4691/79954/4839/84135/4141/81887/10248/23076/7157/83732/53918/10849/57696/55651/114049/23404/6839/51096/51504/10885/10969/11340/9875/10799/705/9045/28987/23481/27340/51202/10813/55661/29960/9790/29102/5591/55636/64216/84916/55759/9188/23016/9329/11137/92856/27042/10528/23560/6129/8602/55646/1736/10171/56915/10360/9221/25885/55127/55003/285855/55226/23160/4609/84365/5036/51082/25879/8886/2971/84172
GO:0006364,rRNA processing,220,-0.649669986327355,-2.38061840890857,1e-10,1.62243243243243e-08,1.36955903271693e-08,3300,"tags=60%, list=20%, signal=48%",6208/5303/6229/11056/54913/4809/6217/54680/84549/51729/25983/55006/6135/54663/25926/3692/6209/57109/51018/387338/51441/57602/55695/55299/51010/56342/79050/153443/6165/54606/134430/6194/6155/113000/27292/22803/8568/57647/6230/54512/9775/57418/23246/54433/11224/84881/84154/29777/84128/6227/23212/29081/6130/9326/51118/163859/50628/81691/51106/79039/1662/84294/2091/51154/6201/9136/55720/22984/55813/88745/65083/51602/55035/79954/4839/84135/81887/10248/23076/83732/57696/55651/114049/23404/6839/51096/51504/10885/10969/11340/9875/10799/705/9045/28987/23481/27340/51202/10813/55661/29960/9790/29102/5591/55636/64216/84916/55759/9188/23016/11137/92856/27042/10528/23560/6129/8602/55646/1736/10171/56915/10360/9221/55127/55003/285855/55226/23160/5036/25879/8886
GO:0006260,DNA replication,276,-0.630226156804766,-2.36845605895373,1e-10,1.62243243243243e-08,1.36955903271693e-08,3103,"tags=45%, list=19%, signal=37%",79596/4361/84464/27101/54962/11232/10926/222229/1027/7270/26271/11198/3980/51750/56897/5557/80174/1663/7465/64318/83743/5001/1763/8317/7150/9401/5111/10036/93973/79733/54108/79913/4174/5424/8882/29980/983/57418/7126/5931/10721/890/9093/4796/11169/163859/92667/86/545/672/5982/675/4678/246243/1111/84515/79892/63922/6418/146956/6119/7157/5984/378708/116028/23649/10856/641/898/5422/8914/1660/5888/81620/10293/5423/11073/54107/4172/56652/3978/8208/6118/116447/1602/5425/5591/7083/92675/5558/90381/51659/9768/6749/2069/9156/23560/84296/51514/5983/23594/79075/142/8607/10535/64769/9837/4176/4171/993/1017/9767/4173/6240/64785/144455/4175/990/6282/4998/6742/8318/2237/55388/55159
GO:0098813,nuclear chromosome segregation,300,-0.607486411832344,-2.31560394308755,1e-10,1.62243243243243e-08,1.36955903271693e-08,2623,"tags=37%, list=16%, signal=32%",6603/1642/83903/81610/4733/259266/5977/9787/64105/84057/23636/151648/79598/9639/6602/56647/9735/54984/9183/983/9928/23212/51433/92421/225689/29117/56992/86/605/5347/83540/11200/3837/8243/6597/81930/55055/7153/150465/4439/51143/220134/9031/7283/10783/147841/10459/22919/991/701/116028/1894/10460/898/1063/9232/699/55143/81620/6599/9055/55920/10615/11130/54908/9184/5885/51203/221150/4751/51776/9133/29128/146909/24137/9212/4085/9493/9700/2491/2177/84722/57520/11004/3619/891/57820/51434/1104/54892/4605/9918/9319/332/23397/64682/11065/90417/11044/79980/22974/3833/8193/23310/990/9897/25879/5901/29127/91272/6790/8881
GO:0007059,chromosome segregation,407,-0.59109629705394,-2.29833826294982,1e-10,1.62243243243243e-08,1.36955903271693e-08,2623,"tags=40%, list=16%, signal=34%",4361/8086/55706/57405/440145/10403/79019/64151/26271/83990/49856/10300/157313/81929/27229/54801/6603/1642/83903/81610/115106/55732/4733/259266/5977/9787/64105/84057/23636/7150/151648/79598/9639/6602/55559/56647/127829/9735/54984/9183/983/9928/23212/51433/6188/92421/64793/225689/29117/54069/56992/86/605/5347/83540/6732/11200/3837/55142/672/8243/6597/28989/81930/55055/7153/150465/4439/51143/220134/9031/7283/10783/401541/64946/147841/10459/7329/6491/378708/22919/991/701/116028/1894/23354/10460/898/1063/9232/79172/699/9698/55143/79023/81620/6599/9055/55920/10615/11130/54908/9184/5885/11339/51203/221150/4751/51776/9133/29128/146909/24137/348995/9212/10426/56852/4085/9493/79080/1459/81624/4288/9700/203068/2491/2177/84722/57520/29899/11004/3619/891/57820/55839/51434/1104/54892/4605/9918/9319/332/23397/64682/11065/90417/387103/11044/79980/55355/22974/3833/8193/23310/990/9897/25879/5901/29127/91272/6790/8881/91687
GO:0000819,sister chromatid segregation,230,-0.620315947886031,-2.29395435782954,1e-10,1.62243243243243e-08,1.36955903271693e-08,2510,"tags=40%, list=16%, signal=34%",4733/5977/9787/64105/23636/79598/9639/6602/56647/9735/54984/9183/983/9928/23212/51433/92421/225689/29117/56992/86/605/5347/83540/11200/3837/8243/6597/81930/55055/7153/51143/220134/9031/7283/10783/147841/10459/22919/991/701/116028/10460/1063/699/55143/81620/6599/9055/10615/11130/54908/9184/5885/51203/221150/4751/51776/29128/146909/24137/9212/4085/9493/9700/2491/84722/57520/11004/3619/891/51434/1104/54892/4605/9918/9319/332/23397/64682/11065/90417/11044/22974/3833/8193/23310/990/5901/29127/91272/8881
GO:0006403,RNA localization,194,-0.631825087340254,-2.28331548339079,1e-10,1.62243243243243e-08,1.36955903271693e-08,2429,"tags=38%, list=15%, signal=33%",79902/65110/29074/55308/23636/9804/6432/8570/10212/399664/10694/55110/26097/9775/65125/9972/4076/6950/2091/3837/545/87178/6428/9887/23225/4116/10643/65083/51602/6396/4234/7979/23511/4904/1069/10574/10856/55651/1660/79023/54888/3178/84321/6780/10189/29107/11260/7884/9688/7203/57122/4928/348995/8480/1736/57510/23279/8607/9818/10204/23165/11097/908/10576/9793/10575/22948/144983/55795/9631/5901/55746/22916/636
