ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,200,-0.785438246842198,-2.83542323934327,1e-10,1e-09,4.8421052631579e-10,2368,"tags=65%, list=15%, signal=56%",9238/197335/5111/79733/10212/4174/5424/3161/29980/9183/983/84844/5931/5511/4436/4001/3609/3070/1503/9972/5347/5889/11200/672/8243/5982/7153/675/4678/7374/7283/2146/1111/147841/6941/10248/6119/7157/991/701/3014/23649/10460/898/3149/6839/9232/8914/55143/10635/11340/10615/3148/4172/5885/3978/6118/29089/7884/1033/57122/1164/9133/5425/5591/146909/24137/7083/6628/1786/5558/9833/9212/3925/4085/6749/81624/4288/10528/5810/5631/9700/203068/84296/5983/55646/23594/27338/10606/11004/994/79075/9221/10549/7037/1434/10535/9125/64858/83461/4605/9918/9837/9319/332/1019/4176/4609/4171/29028/993/5902/3015/5036/6241/23165/4173/4830/64785/11113/55723/4175/1163/10797/5901/3838/29127/3159/6790/3930
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,200,-0.74759206065271,-2.69879893275568,1e-10,1e-09,4.8421052631579e-10,2485,"tags=60%, list=15%, signal=51%",6626/8664/51491/7965/6128/6194/10971/5111/6432/5634/5887/4174/2079/708/6632/821/51690/890/6188/10921/1973/5713/10155/1503/6732/6950/2091/3837/6428/1933/10146/8454/9136/2058/6418/790/6723/6633/3183/2107/1478/5496/8662/7416/5984/328/6187/2739/3615/10574/991/3068/10856/6629/55651/5230/5688/6599/3178/9045/9184/54107/26156/57819/11260/52/7203/3735/5425/5707/6637/9188/23016/4869/4085/5690/11137/10528/3251/3326/26986/10054/9221/3376/10549/7027/3329/1019/4176/4609/4171/26354/23450/5902/3015/1017/10213/5036/4173/4830/6627/6240/3939/5478/4175/65005/10576/10575/22948/6742/5901/8886/8318/4953/3838/5683/3608/22916/5682/8894
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,198,-0.694938326182421,-2.51047085143845,1e-10,1e-09,4.8421052631579e-10,2462,"tags=54%, list=15%, signal=46%",6558/5001/11104/8317/7150/10036/10212/5887/4174/3161/9462/983/6632/10721/890/4001/3609/56992/5347/3837/8243/10146/8454/7153/675/4678/2146/1111/4691/5933/6491/991/3014/23649/10460/3149/6839/1063/9232/699/1869/6599/9055/10293/10419/10024/9184/8140/4172/5885/6118/51203/4751/51776/1033/899/1164/9133/24137/4928/5558/9212/3925/51659/4085/9493/4957/4288/9156/9700/1871/23594/27338/8438/1736/1841/11004/994/9221/7027/3619/1058/4605/3312/332/1019/4609/4171/993/11065/3015/11044/6541/8451/22974/4175/990/595/1163/6713/8318/4953/3838/29127/3159/6790/3930
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,58,-0.781236135932649,-2.41122391059447,1e-10,1e-09,4.8421052631579e-10,3087,"tags=86%, list=19%, signal=70%",6573/11335/54663/10733/3336/83743/10514/56342/79050/1844/51491/7965/9238/4174/23223/6949/5347/23082/51154/9136/79711/7374/2193/6723/4839/81887/80324/10244/705/23481/27340/51388/10196/64216/4869/92856/10528/10171/56915/9221/3329/27346/23160/1019/4609/26354/6652/5036/4173/8886
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,200,-0.644331760185962,-2.32603040916759,1e-10,1e-09,4.8421052631579e-10,2550,"tags=46%, list=16%, signal=40%",30001/81873/6917/10622/5719/8833/3949/5693/1719/7277/10212/5860/6513/2821/821/23760/811/871/10452/3313/10682/3145/5347/4199/5052/8503/9415/10197/6510/9136/4074/6781/2058/7453/7374/80777/6515/7283/6509/2107/4860/60481/586/10963/5230/2023/3992/26747/699/31/6184/8140/2965/56902/6319/47/5684/899/8553/6533/5701/3309/26227/2717/3251/2597/7037/23657/3329/27346/4171/57761/3638/993/6652/10213/6241/23165/4173/6472/3939/5478/908/1717/5464/440/10797/6713/6715/6790/29968/8894/5723
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,112,-0.64417057069405,-2.21780760776251,3.96885122106084e-10,3.3073760175507e-09,1.60146628218245e-09,3300,"tags=49%, list=20%, signal=39%",6208/55738/55802/10897/28972/2521/1965/1981/1051/54541/27257/25804/30001/4800/10954/10113/8570/54512/9775/11015/811/1973/10525/3313/50628/1662/9136/7422/79094/6509/3014/55651/23404/55033/8140/8614/11260/8815/3309/55770/4869/1978/10528/8602/58477/1736/56915/9221/3376/10130/6897/440/1163/10797/29968
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,150,-0.56583835648765,-1.9841006470728,1.71120760419367e-08,1.22229114585262e-07,5.91846239044427e-08,3462,"tags=46%, list=21%, signal=36%",6621/1854/5438/6878/2068/6883/7298/23204/9883/4833/353/2071/8086/10134/5432/10978/5557/4350/5898/1642/1716/3704/6827/29927/10959/6880/6431/5111/5435/100/6895/5424/5436/11047/5142/5982/1069/6119/4860/7157/5984/3615/23649/5422/5433/5888/10623/5423/11130/10309/2965/3978/30834/6118/10189/2967/8480/6749/3251/5983/51497/9533/10946/7372/4830/51082/2237/155382/22916
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,198,-0.46113086767551,-1.66583933909267,3.01862907599802e-05,0.000188664317249876,9.13532483525717e-05,2715,"tags=33%, list=17%, signal=28%",3485/6372/4015/5351/5159/4017/1282/7070/5329/79709/4060/5479/1281/1278/5817/1893/1294/1311/1004/64175/871/6678/1009/5054/1277/4323/4487/7171/822/7052/7422/25878/1290/7058/1303/8985/131578/2919/4982/1462/8038/5270/7474/6696/51330/633/3918/7076/1301/374/2191/4314/56937/4232/115908/7045/813/960/4176/3624/4312/3673/6641/3576/3685
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,195,0.474929461410643,1.68324622032418,4.24825765667467e-05,0.000236014314259704,0.000114280615325751,2845,"tags=31%, list=18%, signal=26%",134147/112/51/8780/5236/6239/2053/35/5264/8802/11343/58472/1891/400916/50/54884/27250/1376/4259/948/3033/10989/10449/26994/54996/6453/84173/1384/27069/8082/3977/84895/7263/2878/483/80760/3419/1666/6623/57017/10162/7384/8436/334/23187/29796/4056/1580/79071/26275/11176/6390/539/2167/5168/1629/65124/6342/5468/9936
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,194,-0.437271199739109,-1.58053595204833,0.000205656031682151,0.00102828015841076,0.000497904076704156,2899,"tags=35%, list=18%, signal=29%",11285/1289/7295/8704/5917/5704/2239/2806/6120/2539/54982/10456/5033/26035/5373/2584/54541/4191/2288/5351/30001/55586/126792/3161/10058/10616/983/11015/79644/2530/26330/4199/7264/22976/56052/6888/6781/4678/8870/7422/79586/5315/4282/5230/2023/51728/1462/55276/6662/8614/50814/140838/9456/10007/3309/3925/5631/375790/7045/1058/10112/960/3939/5478/6790/1944/90161/4233
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,197,-0.426329077364356,-1.54131560424144,0.000263842466715187,0.00119928393961449,0.000580705907602804,3147,"tags=31%, list=20%, signal=26%",10769/51561/10725/24147/8877/6385/1326/1051/5341/2526/6372/5743/1844/9120/7097/5329/3552/6890/3949/9308/3383/79693/80149/3601/9242/5054/5142/7130/5209/50486/8870/7422/6515/2920/8061/2114/5328/24145/2919/2921/8744/7262/7050/374/1846/8553/6648/56937/4973/3976/597/960/4609/3624/55332/3553/8767/595/6373/22822/3627/941
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,148,0.467720259794859,1.62305825860143,0.000321650855267768,0.00134021189694903,0.000648944707996374,1749,"tags=30%, list=11%, signal=27%",58476/10455/364/2168/51/6584/37/912/3032/6389/7358/35/4128/762/3248/1374/8802/51170/11343/1891/50/3155/54884/2110/1376/948/3033/10449/224/3158/57515/8801/760/1384/2271/9588/216/2954/30/210/5465/126/1666/2052
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,199,0.42942854975753,1.52655868988112,0.000466703116456828,0.00179501198637242,0.000869163698664538,3129,"tags=34%, list=19%, signal=27%",8604/518/37/3030/3032/6389/23530/788/1374/5264/8802/9377/1891/4719/50/54884/2110/5166/4259/10989/7417/10449/38/498/51660/10939/56898/840/2271/30/4720/7386/2108/23479/3419/4729/1666/4707/51318/515/7384/506/6392/4129/51382/29796/4717/4724/4723/5018/4694/6390/1347/7385/539/10632/4329/1329/36/4700/1352/5250/9927/211/8402/291/4722
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,185,0.423661023850002,1.49579754632009,0.00139083968005214,0.00496728457161478,0.0024052114767819,3246,"tags=37%, list=20%, signal=30%",6583/220972/9429/3321/4601/8991/115201/3045/8780/23530/66008/51092/23608/6535/64122/55532/25893/10133/4259/6536/54855/8850/4779/760/682/80148/51573/759/210/51646/23052/8031/2908/56674/23112/2039/80344/535/831/1870/4005/118/2145/4059/10181/2235/25901/8867/23365/6006/10107/114625/4329/54977/2995/1193/6886/847/26020/23002/6622/3386/25897/2532/2035/51218/3005/5091/51274
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,35,-0.639902370766104,-1.79507951830401,0.0015370986146608,0.00512366204886932,0.00248093109734725,2725,"tags=43%, list=17%, signal=36%",5196/6372/4060/1281/4487/5747/3714/6781/7422/1290/1462/6696/7076/4973/3685
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,150,-0.41694283736741,-1.46200154854844,0.00281402417934884,0.00879382556046512,0.00425806290296206,2524,"tags=31%, list=16%, signal=26%",3337/8804/9392/9296/6890/2326/3383/4885/10105/7277/51083/2907/7301/4323/1515/4487/1138/8692/80777/988/2920/8836/27161/5984/3014/10963/3301/898/6184/54107/637/6648/9188/80273/7037/9818/5471/4067/10280/1017/1875/6897/440/1968/2237/725
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,74,-0.476578062274145,-1.53719737388373,0.00712506920159106,0.0201757210502484,0.00976929650854131,1876,"tags=28%, list=12%, signal=25%",26270/5329/3949/4598/10682/9415/1499/58191/51330/6319/50814/2194/493869/27346/57761/308/1717/6282/6713/51478/2224
