ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa03008,Ribosome biogenesis in eukaryotes,75,-0.74818719162065,-2.37346021055745,1e-10,7.06e-09,4.90526315789474e-09,2263,"tags=55%, list=14%, signal=47%",22803/55341/51068/54433/84128/6949/23195/81691/2091/55813/65083/51602/29889/55131/84135/10248/83732/55651/51096/10885/54552/10799/28987/29107/10813/9790/29102/84916/1459/92856/10528/23560/1736/10171/55127/55226/25996/23160/26354/10940/5901
hsa03010,Ribosome,169,-0.648125552367646,-2.29729897659786,1e-10,7.06e-09,4.90526315789474e-09,4096,"tags=62%, list=25%, signal=47%",6158/6142/6171/7311/6218/6169/6137/64976/6202/6157/65003/6141/65993/6223/6228/6125/740/6208/6229/6204/10399/28973/6217/4736/56945/100529239/6134/6206/6193/3921/6124/6132/25873/6135/6160/6210/6143/6168/6209/6175/6183/116832/6165/64951/28957/122704/54948/6161/29074/6128/6194/11222/6159/6155/6224/64949/6191/9349/6138/6222/6230/51073/6147/51116/11224/6227/64979/6130/6188/29088/6233/6152/6201/60488/51642/55052/6156/100529097/9553/28998/6136/84311/6187/29093/51258/64983/6173/9045/51253/6207/7818/200916/51373/6170/6167/6129/10240/64960/23107/51649/51121/51263/63875/57129/65005
hsa03013,Nucleocytoplasmic transport,104,-0.693226763673097,-2.28388869534982,1e-10,7.06e-09,4.90526315789474e-09,3221,"tags=50%, list=20%, signal=40%",9883/3839/129401/8086/55706/100101267/81929/51194/55161/79902/65110/55308/23636/51068/55110/9775/5905/10921/9972/23534/3837/23225/79711/4116/6396/7329/23511/79023/84321/10189/29107/10284/11260/9688/57122/4928/55705/348995/8480/57510/23279/64328/1434/9818/23165/11097/9631/5901/55746/3838/3843/22916
hsa04110,Cell cycle,157,-0.646674089262875,-2.26684930061083,1e-10,7.06e-09,4.90526315789474e-09,2444,"tags=41%, list=15%, signal=35%",5001/8317/151648/10971/5111/27085/4174/983/890/51433/5347/11200/545/8243/55869/8454/1111/10459/995/5933/7532/7157/991/701/10393/898/9232/699/1869/81620/9184/4172/5885/9133/5591/113130/9088/9212/90381/4085/9700/1871/23594/994/1022/7027/891/51434/9319/1019/4176/4609/4171/64682/993/1017/1875/6502/4173/4175/990/595/4998/8318/8881
hsa03040,Spliceosome,143,-0.62942355840188,-2.17750858591417,1e-10,7.06e-09,4.90526315789474e-09,3966,"tags=54%, list=25%, signal=41%",57461/79228/26121/9129/10523/10450/10915/8175/7919/9416/84811/10992/7307/22827/102724594/9939/6434/3192/6636/11338/51503/4809/51729/1659/2521/4670/6427/51639/1665/25804/24148/6626/51634/3190/6431/27316/6432/8683/55110/6632/9775/55696/84844/51690/56259/23658/6428/9879/988/4116/8896/6633/3183/9343/23020/6629/10465/10713/6100/9410/3178/84321/10189/57819/27339/6635/6628/6637/9128/10946/3312/23450/6627/144983/51645/6631/22916
hsa03030,DNA replication,36,-0.783333608897826,-2.14428839974142,9.571477780479e-08,5.63121942751514e-06,3.91255144359931e-06,2436,"tags=69%, list=15%, signal=59%",1763/5111/4174/5424/79621/5982/246243/6119/5984/23649/5422/54107/4172/3978/6118/5425/5558/5983/10535/4176/4171/4173/4175/6742/2237
hsa04976,Bile secretion,72,0.673738483373715,2.09191060944381,1.91832030644987e-07,9.67381525966864e-06,6.72133280304993e-06,2111,"tags=47%, list=13%, signal=41%",6548/8647/112/343/9429/54579/123264/54577/54659/9971/54575/54578/200931/54658/54576/54657/54600/6344/115/111/760/6256/8671/5243/8714/483/7366/2052/482/6550/5567/477/7367/6554
hsa05204,Chemical carcinogenesis - DNA adducts,53,0.725887699638414,2.11688007833511,2.72921264317956e-07,1.20426507880298e-05,8.36719139290575e-06,2417,"tags=49%, list=15%, signal=42%",6799/2948/54579/27306/54577/2949/54659/54575/54578/2946/54658/54576/54657/4259/54600/6818/445329/1646/2944/7366/2052/2947/7367/79799/9/1562
hsa03460,Fanconi anemia pathway,54,-0.694912144357183,-2.06968976905916,6.35607001237456e-07,2.30188328876026e-05,1.59934040936675e-05,3285,"tags=50%, list=20%, signal=40%",84126/2176/84464/2187/83990/5395/2188/91442/2175/2178/5889/545/672/675/79728/100526739/146956/6119/378708/116028/641/2189/5888/6118/29089/55215/2177
hsa04080,Neuroactive ligand-receptor interaction,231,0.500371957333625,1.81544269938867,6.52091583218204e-07,2.30188328876026e-05,1.59934040936675e-05,2064,"tags=28%, list=13%, signal=25%",2903/2898/2846/1268/7068/4852/8620/2900/153/2893/2899/5734/1134/10022/150/5729/9340/1902/5023/7433/623/5025/2696/5029/6344/1511/6751/2892/5697/1908/2641/7432/154/5540/1269/100996758/2150/9127/255061/2894/624/10316/7253/2562/3363/2908/2796/9934/116443/5028/5745/7442/6752/140/5443/1910/6750/5368/3001/5732/2690/10800/10424/1139/3360
hsa03050,Proteasome,44,-0.729979272874544,-2.0800494161145,9.46020384152133e-07,3.0358654145973e-05,2.10930860772677e-05,3581,"tags=66%, list=22%, signal=51%",5691/5717/9491/5704/5710/5695/5689/5714/23198/5719/5693/5692/5721/5713/11047/5698/51371/10197/9861/7979/5688/5686/5684/5707/5701/5690/10213/5683/5682
hsa00970,Aminoacyl-tRNA biosynthesis,44,-0.716612024103498,-2.04195992640642,2.63092619205822e-06,7.73930788163793e-05,5.37724388376812e-05,2300,"tags=48%, list=14%, signal=41%",51067/55157/80222/92935/2058/7453/2193/79587/4141/283459/16/124454/23395/7407/3735/8565/79731/1615/3376/6897/2617
hsa04020,Calcium signaling pathway,211,0.475864368578472,1.71667027360164,9.1495927534881e-06,0.000248446633998561,0.000172619847090099,2429,"tags=29%, list=15%, signal=25%",2277/2903/2263/5333/153/815/2767/113026/57118/51196/53373/489/80310/5023/5137/623/5025/6786/7417/4916/115/3706/2185/2254/778/6261/154/2774/9127/5136/624/5579/3363/801/5979/1956/116443/4915/5336/5156/817/6263/255231/1910/7039/2261/490/5533/2668/5567/10800/1139/3360/6547/2064/8911/773/2776/3270/845/91860/1133
hsa00982,Drug metabolism - cytochrome P450,58,0.649676543219987,1.92428530096243,1.79664944199329e-05,0.000422811502015753,0.000293767943848727,2282,"tags=43%, list=14%, signal=37%",2948/54579/27306/54577/2949/4128/54659/54575/54578/2946/54658/54576/54657/4259/54600/125/2329/2944/7366/126/2947/7367/2330/4129/79799
