ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006814,sodium ion transport,74/1961,204/14533,0.362745098039216,2.68830928597854,9.59087999152633,1.24245773578044e-16,6.91054992641081e-13,5.64991307218053e-13,SLC22A4/SLC9A1/TRPV3/GRIN2A/SCNN1G/SLC38A5/SLC23A1/TESC/TRPM4/CHP1/SLC22A5/SLC6A7/SLC10A4/SLC6A20/EDNRA/ANK3/SCN9A/AGT/FXYD5/SLC6A8/SCN4B/PCSK9/SLC6A6/SLC6A19/P2RX4/SLC5A6/SLC4A10/SCNN1B/ASIC1/GUCA2B/SLC17A4/SLC4A11/SERPINE2/CLCNKB/SLC4A4/NEDD4L/OSR1/SCN7A/SLC9A9/PER1/SCN3A/SLC9A2/FXYD1/SCN11A/ATP1B2/SLC9A3/ATP1A2/KCNK3/SLC8A3/SGK1/SLC10A1/SLC6A14/FXYD3/SLC17A1/SLC13A3/DRD2/CNTN1/SLC13A2/GRIN1/SPTBN4/SLC12A2/SLC5A11/SCN2B/CNGA1/NKAIN3/SLC28A3/SLC5A12/DMD/SLC38A4/CNGA3/FXYD6/SLC17A8/SLC6A4/SCN3B,74
GO:0010817,regulation of hormone levels,130/1961,476/14533,0.273109243697479,2.02401664388346,8.9714672214905,4.05430112007556e-16,1.12750114149301e-12,9.21820044143497e-13,PCSK2/TG/PDX1/EFNA5/TNFSF11/HSD17B2/IL1RN/ANPEP/TRPM4/DHRS9/DHRS11/GNA11/PCSK5/AKR1B10/IL1B/INHBA/SLCO4A1/LIF/UGT1A7/AGT/ADRA2A/SHH/LTBP4/UGT1A3/BMP5/NR1H4/RDH5/SOX4/RETSAT/UGT1A1/UGT1A8/BMP2/GIPR/UGT1A9/DGAT2/CTSG/SCNN1B/ABCC8/SMPD3/VSNL1/SLC17A4/SSTR5/SPP1/STC2/ADH1B/AKR1B15/SLC7A5/SRI/HCAR2/ADCY5/SLCO1C1/CHGA/AKR1C2/PAPSS2/TFR2/EDN3/GCG/VIP/OSM/ABCB1/GCNT4/NR0B2/SNAP25/F2/NR5A2/NMU/MEP1A/TPO/PRKCB/NR3C1/CMA1/MLXIPL/CYP46A1/NMB/RASL10B/P2RY1/UGT2B15/ADH1C/DUOXA2/DUOXA1/STX1A/CEL/CCL5/VGF/GHR/BLK/F2RL2/UGT2B17/IL11/SULT1B1/FAM3D/GAL/ACVR1C/TRPV6/CYP2W1/DRD2/CYP26B1/CYP2C18/DIO2/C1QTNF12/GPER1/TRPV4/HSD3B2/UCN3/APLN/CORIN/DHRS2/INHBB/NEUROD1/GNAO1/RFX6/ADH1A/MME/CYP3A4/CYP21A2/ADH6/BCHE/HPN/DUOX2/PCSK1N/ECRG4/SLC26A7/CACNA1H/CRHBP/IL6/KCNB1/KLK6/KCNA5/RDH16/ABCA12,130
GO:0035725,sodium ion transmembrane transport,58/1961,148/14533,0.391891891891892,2.90431660625439,9.19632655705605,4.76061370124877e-15,8.82617780211522e-12,7.21608813662972e-12,SLC9A1/TRPV3/GRIN2A/SCNN1G/SLC38A5/SLC23A1/TESC/TRPM4/CHP1/SLC6A7/SLC6A20/SCN9A/AGT/FXYD5/SLC6A8/SCN4B/PCSK9/SLC6A6/SLC6A19/SLC5A6/SLC4A10/SCNN1B/ASIC1/SLC17A4/SLC4A11/SLC4A4/NEDD4L/OSR1/SCN7A/SLC9A9/SCN3A/SLC9A2/FXYD1/SCN11A/ATP1B2/SLC9A3/ATP1A2/KCNK3/SLC8A3/SLC6A14/FXYD3/SLC17A1/SLC13A3/SLC13A2/GRIN1/SLC12A2/SLC5A11/SCN2B/CNGA1/SLC28A3/SLC5A12/DMD/SLC38A4/CNGA3/FXYD6/SLC17A8/SLC6A4/SCN3B,58
GO:0006959,humoral immune response,69/1961,206/14533,0.33495145631068,2.48233019610561,8.4625303759117,1.27673515697369e-13,1.77530023577191e-10,1.45144628371746e-10,REG1B/CXCL10/MMP7/C4BPB/CXCL8/CXCL11/NPY/C4BPA/DEFB1/IL1B/CXCL5/BCL2/HAMP/EXO1/CFD/CCL23/CTSG/CXCL9/LGALS4/C2/CCL14/SPNS2/CXCL3/CXCL1/VIP/CFB/TREM1/F2/CCL24/MEF2C/POU2AF1/CXCL12/LEAP2/CXCL2/C7/CR2/CCL28/JCHAIN/S100A9/XCL2/CCL5/REG3A/REG1A/FCER2/CCL3L3/SLC11A1/CLU/WFDC2/CFI/KLK3/CXCL6/DEFA6/PF4/CCL21/FCN3/SPON2/H2BC10/MS4A1/ELANE/CCL8/WFDC10B/CCL20/C8G/IFNK/IL6/C6/CCL19/COLEC10/PRSS2,69
GO:0019730,antimicrobial humoral response,45/1961,111/14533,0.405405405405405,3.00446545474592,8.37233553341954,1.34159634601669e-12,1.49239177530897e-09,1.22014657153518e-09,REG1B/CXCL10/MMP7/CXCL8/CXCL11/NPY/DEFB1/CXCL5/HAMP/CCL23/CTSG/CXCL9/LGALS4/CCL14/CXCL3/CXCL1/VIP/F2/CCL24/CXCL12/LEAP2/CXCL2/CCL28/JCHAIN/S100A9/XCL2/CCL5/REG3A/REG1A/CCL3L3/SLC11A1/WFDC2/KLK3/CXCL6/DEFA6/PF4/CCL21/SPON2/H2BC10/ELANE/CCL8/WFDC10B/CCL20/CCL19/PRSS2,45
GO:0042445,hormone metabolic process,66/1961,205/14533,0.321951219512195,2.38598524893969,7.89299917591617,3.39840955255806e-12,3.15032565522132e-09,2.57563671351769e-09,PCSK2/TG/HSD17B2/ANPEP/DHRS9/DHRS11/PCSK5/AKR1B10/INHBA/UGT1A7/SHH/UGT1A3/BMP5/RDH5/RETSAT/UGT1A1/UGT1A8/BMP2/UGT1A9/DGAT2/CTSG/SCNN1B/SPP1/STC2/ADH1B/AKR1B15/SLCO1C1/AKR1C2/PAPSS2/GCNT4/NR5A2/MEP1A/TPO/NR3C1/CMA1/CYP46A1/UGT2B15/ADH1C/DUOXA2/DUOXA1/CEL/GHR/UGT2B17/SULT1B1/GAL/CYP2W1/CYP26B1/CYP2C18/DIO2/HSD3B2/CORIN/DHRS2/ADH1A/MME/CYP3A4/CYP21A2/ADH6/BCHE/HPN/DUOX2/PCSK1N/SLC26A7/CACNA1H/CRHBP/KLK6/RDH16,66
GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,38/1961,89/14533,0.426966292134831,3.16425350514814,8.08832695138099,1.13585672484114e-11,9.02519300509487e-09,7.37879857340408e-09,REG1B/CXCL10/MMP7/CXCL8/CXCL11/NPY/DEFB1/CXCL5/HAMP/CCL23/CXCL9/LGALS4/CCL14/CXCL3/CXCL1/VIP/F2/CCL24/CXCL12/LEAP2/CXCL2/CCL28/S100A9/XCL2/CCL5/REG3A/REG1A/CCL3L3/KLK3/CXCL6/DEFA6/PF4/CCL21/H2BC10/ELANE/CCL8/CCL20/CCL19,38
GO:0043269,regulation of monoatomic ion transport,96/1961,367/14533,0.26158038147139,1.93857607543279,7.19247230648084,4.64965498955173e-11,3.23267263148584e-08,2.64296178353467e-08,CXCL10/TRPV3/GRIN2A/CXCL11/TESC/CHP1/VAMP2/CAMK2A/EDNRA/ANK3/BCL2/AGT/ADRA2A/F2R/FXYD5/GRIN2D/HAMP/SCN4B/P2RX1/CEMIP/PCSK9/GSTM2/RGS9/P2RX4/KCNG3/HOMER1/ABCC8/CXCL9/MMP9/P2RY12/STC2/AHNAK/DPP10/SRI/CA7/SERPINE2/CA2/EDN3/JPH1/GCG/GRIN2B/JPH4/ABCB1/OPRD1/NEDD4L/F2/LRRC26/OSR1/CXCL12/PER1/ANK2/FXYD1/STC1/P2RY1/KCNG1/ATP8B1/CCL5/ATP1B2/ATP1A2/KCNIP4/FXYD3/PDZK1/PRKG2/GAL/DRD2/HRC/CASQ2/CNTN1/GPER1/GRIN1/THY1/SPTBN4/PLPP4/FHL1/SCN2B/FCRL3/CD19/LCN2/PLN/NKAIN3/CHRM1/MS4A1/DMD/MYLK/FXYD6/AKAP7/AKAP6/KCNJ15/PACSIN3/SLC6A4/CAMK2B/DPP6/KCNIP3/JPH2/ADCYAP1R1/SCN3B,96
GO:0050804,modulation of chemical synaptic transmission,110/1961,445/14533,0.247191011235955,1.83193623982261,7.03954650279861,7.66002664095424e-11,4.73389646410972e-08,3.87032925016635e-08,LGI1/GRIN2A/GRIK2/CACNG8/NRXN1/SLITRK4/CELF4/NPY/INA/KIT/GRIK4/ADGRB1/LRP8/VAMP2/CAMK2A/PRRT1/LRRTM1/PLCL2/GRIA4/SYT12/IL1B/ARHGAP44/PRRT2/GRIK3/SLC7A11/CHRNA1/NEURL1/ADRA2A/F2R/PCDH17/GRIN2D/NEFL/P2RX1/CACNG4/FAM107A/SLC6A6/PRKAR2B/HOMER1/SLC4A10/SCTR/FRRS1L/PDE9A/ASIC1/MPP2/SYP/ITPKA/FBXO2/CNTN4/CA7/GRIA3/WNT5A/SERPINE2/CA2/CDC20/GRIN2B/JPH4/SNAP25/CNR2/NMU/MEF2C/PRKCB/CALB2/CYP46A1/NTRK2/PTN/P2RY1/NLGN4X/RIMS4/EPHA7/ACHE/CHRDL1/SYNGR1/ADORA3/SNCG/GRM8/STX1A/VGF/ATP1A2/CHRNA7/SLC8A3/PRKCG/S100B/CACNA1A/LZTS1/RELN/DRD2/IGF1/GPER1/PMCH/GRIN1/SLC12A2/CBLN2/EPHB1/GNAO1/TMEM108/CHRM1/SV2B/MME/BCHE/GLRA2/CNTN2/AKAP7/GRIK5/SLITRK5/NGFR/SLC6A4/CAMK2B/SYT5/NXPH4/KCNB1,110
GO:0099177,regulation of trans-synaptic signaling,110/1961,446/14533,0.246636771300448,1.82782875946426,7.01290551033858,8.85389470418434e-11,4.92453623446733e-08,4.0261921181133e-08,LGI1/GRIN2A/GRIK2/CACNG8/NRXN1/SLITRK4/CELF4/NPY/INA/KIT/GRIK4/ADGRB1/LRP8/VAMP2/CAMK2A/PRRT1/LRRTM1/PLCL2/GRIA4/SYT12/IL1B/ARHGAP44/PRRT2/GRIK3/SLC7A11/CHRNA1/NEURL1/ADRA2A/F2R/PCDH17/GRIN2D/NEFL/P2RX1/CACNG4/FAM107A/SLC6A6/PRKAR2B/HOMER1/SLC4A10/SCTR/FRRS1L/PDE9A/ASIC1/MPP2/SYP/ITPKA/FBXO2/CNTN4/CA7/GRIA3/WNT5A/SERPINE2/CA2/CDC20/GRIN2B/JPH4/SNAP25/CNR2/NMU/MEF2C/PRKCB/CALB2/CYP46A1/NTRK2/PTN/P2RY1/NLGN4X/RIMS4/EPHA7/ACHE/CHRDL1/SYNGR1/ADORA3/SNCG/GRM8/STX1A/VGF/ATP1A2/CHRNA7/SLC8A3/PRKCG/S100B/CACNA1A/LZTS1/RELN/DRD2/IGF1/GPER1/PMCH/GRIN1/SLC12A2/CBLN2/EPHB1/GNAO1/TMEM108/CHRM1/SV2B/MME/BCHE/GLRA2/CNTN2/AKAP7/GRIK5/SLITRK5/NGFR/SLC6A4/CAMK2B/SYT5/NXPH4/KCNB1,110
