ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030312,external encapsulating structure,136/2070,434/15297,0.313364055299539,2.31571495358312,11.0001059938789,1.93261908602873e-22,1.09772764086432e-19,9.29691497173822e-20,MMP7/HPSE2/EFNA5/MATN2/CHI3L1/MMP28/VWC2/GDF15/MMP1/MUC5AC/EDIL3/L1CAM/TGFBI/AGT/SHH/CTHRC1/LTBP4/MMP12/MMP10/CLEC3B/VWA2/MMP3/NCAM1/ABI3BP/COL11A1/TNXB/CTSG/FGL2/TIMP1/COL19A1/MMP9/LAMC2/BGN/ANOS1/WNT2/VIT/F12/ADAMTS12/P3H2/WNT5A/SERPINE2/LGALS4/HAPLN3/SULF1/SRPX2/TINAG/COL4A5/TNFRSF11B/ADAMTS6/HMCN2/EGFL6/MMP11/COL4A6/MFAP4/F2/COL12A1/ACAN/ADAMDEC1/DPT/WNT3/SFRP1/THBS2/SRPX/NTN1/WNT6/CXCL12/COL28A1/COL5A2/CMA1/MFAP2/ITIH5/PKHD1L1/FBLN1/COLEC12/HAPLN1/TPSAB1/ANGPTL1/ACHE/S100A9/WNT11/TPSB2/COL8A1/SPON1/FCGBP/CCN4/COL1A1/ADAMTS1/SERPINE1/SPARC/COL21A1/SERPINH1/CCN5/ADAMTS2/MUC4/OGN/CILP/ESM1/LAMA1/RELN/COMP/COL7A1/COL1A2/OLFML2B/F13A1/MMRN1/PRELP/FBLN2/ADAMTSL3/PTPRZ1/CCDC80/COL4A1/OTOGL/LOXL2/COL10A1/PF4/SFRP2/FCN3/S100A8/SPON2/MFAP5/OMD/CCBE1/ELANE/MGP/MATN3/AMBP/FREM2/MUC2/ANGPTL7/COL22A1/COL2A1/MMP13/VTN/F7/ADAMTS18/PRSS2,136
GO:0031012,extracellular matrix,135/2070,433/15297,0.311778290993072,2.30399638517923,10.8891986527964,4.66951391279444e-22,1.32614195123362e-19,1.12314097797214e-19,MMP7/HPSE2/EFNA5/MATN2/CHI3L1/MMP28/VWC2/GDF15/MMP1/MUC5AC/EDIL3/L1CAM/TGFBI/AGT/SHH/CTHRC1/LTBP4/MMP12/MMP10/CLEC3B/VWA2/MMP3/NCAM1/ABI3BP/COL11A1/TNXB/CTSG/FGL2/TIMP1/COL19A1/MMP9/LAMC2/BGN/ANOS1/WNT2/VIT/F12/ADAMTS12/P3H2/WNT5A/SERPINE2/LGALS4/HAPLN3/SULF1/SRPX2/TINAG/COL4A5/TNFRSF11B/ADAMTS6/HMCN2/EGFL6/MMP11/COL4A6/MFAP4/F2/COL12A1/ACAN/ADAMDEC1/DPT/WNT3/SFRP1/THBS2/SRPX/NTN1/WNT6/CXCL12/COL28A1/COL5A2/CMA1/MFAP2/ITIH5/FBLN1/COLEC12/HAPLN1/TPSAB1/ANGPTL1/ACHE/S100A9/WNT11/TPSB2/COL8A1/SPON1/FCGBP/CCN4/COL1A1/ADAMTS1/SERPINE1/SPARC/COL21A1/SERPINH1/CCN5/ADAMTS2/MUC4/OGN/CILP/ESM1/LAMA1/RELN/COMP/COL7A1/COL1A2/OLFML2B/F13A1/MMRN1/PRELP/FBLN2/ADAMTSL3/PTPRZ1/CCDC80/COL4A1/OTOGL/LOXL2/COL10A1/PF4/SFRP2/FCN3/S100A8/SPON2/MFAP5/OMD/CCBE1/ELANE/MGP/MATN3/AMBP/FREM2/MUC2/ANGPTL7/COL22A1/COL2A1/MMP13/VTN/F7/ADAMTS18/PRSS2,135
GO:0016324,apical plasma membrane,110/2070,358/15297,0.307262569832402,2.27062586025423,9.62369549858629,1.19086816007728e-17,2.25471038307965e-15,1.90956754089585e-15,SLC22A4/SLC9A1/SLC36A1/ABCB11/SCNN1G/CNTFR/DSG1/CEACAM1/SLC23A1/AQP8/CLDN1/CYP4F12/PTPRH/ABCG2/SLC26A2/IL6R/SLC22A5/SLC26A3/NHERF4/SLC6A20/CDHR5/FRMD1/CEACAM6/AMN/ABCB5/CD44/SLC7A11/CDHR2/SPTBN2/CRIPTO/NAALADL1/SAPCD2/SLC6A8/CA4/SLC39A10/SLC6A6/SLC6A19/CD36/SLC5A6/CEACAM7/SLC4A10/SCNN1B/CA12/SLC17A4/SLC29A1/TRPM6/SLC4A11/SLC7A5/GABRP/SHROOM4/GPR143/PLPP1/CYBRD1/CLCA4/LRRC15/ABCB1/SLC2A5/NEDD4L/MYO1A/CLIC5/PDPN/SLC22A3/ANK2/ATP6V0D2/SLC9A2/FXYD1/DPEP1/PROM2/STC1/P2RY1/PTH1R/ATP8B1/ATP1B2/SLC9A3/SLC2A13/F2RL2/SLC6A14/PDZK1/SLC2A1/SLC17A1/GPIHBP1/PRKG2/ABCC2/NRG1/TRPV4/SLC13A2/KCNMA1/THY1/SLC12A2/ASPM/SLC15A1/SLC5A11/ITLN1/SLC28A2/MAL/SI/SLC28A3/GP2/SLC5A12/HPN/FOLR1/AKAP7/DUOX2/PAPPA2/ECRG4/SLC26A7/NPC1L1/KCNB1/IGSF5/KCNA5,110
GO:0045177,apical part of cell,121/2070,455/15297,0.265934065934066,1.96521420608377,8.26849795606786,4.72151663225982e-14,6.70455361780894e-12,5.67824500248088e-12,SLC22A4/SLC9A1/SLC36A1/ABCB11/SCNN1G/CNTFR/DSG1/CEACAM1/SLC23A1/AQP8/CLDN1/CYP4F12/PTPRH/ABCG2/SLC26A2/IL6R/SLC22A5/SLC26A3/ITGA8/NHERF4/SLC6A20/CDHR5/FRMD1/CEACAM6/AMN/ABCB5/CD44/SLC7A11/CDHR2/SPTBN2/CRIPTO/NAALADL1/SAPCD2/SLC6A8/CA4/SCIN/SLC39A10/FAP/SLC6A6/SLC6A19/CD36/SLC5A6/HOMER1/CEACAM7/SLC4A10/SCNN1B/CA12/SLC17A4/CHL1/SLC29A1/TRPM6/SLC4A11/SLC7A5/GABRP/SHROOM4/GPR143/BYSL/PLPP1/CA2/CYBRD1/CLCA4/LRRC15/ABCB1/SLC2A5/NEDD4L/MYO1A/CLIC5/PDPN/SLC22A3/ANK2/ATP6V0D2/SLC9A2/FXYD1/DPEP1/PROM2/STC1/P2RY1/PTH1R/DUOXA2/ATP8B1/ATP1B2/SLC9A3/SLC2A13/F2RL2/EDAR/SLC6A14/PDZK1/SLC2A1/SLC17A1/GPIHBP1/PRKG2/ABCC2/NRG1/TRPV4/SLC13A2/FABP2/KCNMA1/THY1/SLC12A2/ASPM/SLC15A1/SLC5A11/ITLN1/SLC28A2/MAL/SI/SLC28A3/GP2/SLC5A12/MME/HPN/FOLR1/AKAP7/DUOX2/PAPPA2/ECRG4/SLC26A7/NPC1L1/KCNB1/IGSF5/KCNA5,121
GO:0045211,postsynaptic membrane,76/2070,252/15297,0.301587301587302,2.22868645042558,7.78016265860289,3.8268043742149e-12,4.34724976910813e-10,3.68178862950781e-10,GRIN2A/GRIK2/CACNG8/IGSF9/GRIK4/LRP8/MUSK/PRRT1/LRRTM1/ITGA8/GRIA4/ANK3/VWC2/PRRT2/GRIK3/CHRNA1/KCNH1/ADRA2A/ADGRL3/F2R/PCDH17/LPAR1/GRIN2D/CTNNA2/P2RX1/CACNG4/RGS9/SLC6A6/ASIC1/NTRK3/FBXO2/GRIA3/LRRC7/SSPN/GRIN2B/OPRD1/CNR2/P2RX6/PRR7/NSG2/GABRB3/LRRC4B/ANK2/P2RY1/NLGN4X/EPHA7/STX1A/CHRNA7/ADGRB3/SLC8A3/DRD2/CNTN1/DDN/CHRM5/GRIN1/KCNMA1/LHFPL4/CNKSR2/GNAO1/TMEM108/CHRM1/DMD/DGKB/GLRA2/FXYD6/CNTN2/GRIK5/SLITRK5/LRFN5/SLC6A4/GABRD/TENM2/CSMD2/SLITRK3/ELFN1/KCNB1,76
GO:0097060,synaptic membrane,96/2070,360/15297,0.266666666666667,1.97062801932367,7.37251758889936,1.75435730004606e-11,1.66079157737694e-09,1.40656365986149e-09,GRIN2A/GRIK2/CACNG8/NRXN1/IGSF9/CNR1/GRIK4/LRP8/MUSK/PRRT1/LRRTM1/ITGA8/SLC6A7/GRIA4/ANK3/VWC2/PRRT2/GRIK3/CHRNA1/KCNH1/ADRA2A/ADGRL3/F2R/PCDH17/LPAR1/GRIN2D/KCNQ5/CTNNA2/P2RX1/CACNG4/RGS9/SLC6A6/ABCC8/ASIC1/PCDH9/SYP/NTRK3/FBXO2/GRIA3/LRRC7/SRPX2/SSPN/SNAP91/GRIN2B/OPRD1/SNAP25/CNR2/P2RX6/PRR7/NSG2/GABRB3/LRRC4B/ANK2/P2RY1/NLGN4X/RIMS4/EPHA7/CADM3/ADORA3/PNOC/STX1A/CHRNA7/ADGRB3/SLC8A3/PRKCG/PDE2A/DRD2/CNTN1/DDN/CHRM5/GPER1/GRIN1/KCNMA1/PALM/CRYAB/LHFPL4/CNKSR2/GNAO1/TMEM108/CHRM1/DMD/DGKB/GLRA2/FXYD6/CNTN2/GRIK5/SLITRK5/LRFN5/SLC6A4/GPM6A/GABRD/TENM2/CSMD2/SLITRK3/ELFN1/KCNB1,96
GO:0009897,external side of plasma membrane,91/2070,336/15297,0.270833333333333,2.0014190821256,7.34257892294668,2.38831052883186e-11,1.93794340053786e-09,1.64129009274611e-09,LY6G6D/CCR8/CXCL10/SCNN1G/CNTFR/EFNA5/GFRA3/ANPEP/ABCG2/KIT/IL13RA2/IL6R/AZGP1/ITGA2/ULBP3/GFRA1/CD1D/CD163L1/IL11RA/GFRA2/CA4/P2RX1/PCSK9/SLAMF9/ACKR2/CD36/NCAM1/SCNN1B/CXCL9/SCUBE1/TNFRSF13C/SLC7A5/MS4A2/CLEC4F/BTNL8/FCRL2/BTNL3/TFR2/LIFR/HHLA2/PLAU/ABCB1/F2/ASTN1/FCGR3B/FCGR3A/CXCL12/FCER1A/LY9/CD209/CD79A/ATP1B2/CCR10/FCRLA/GHR/KLRC4/FCER2/FOLR2/TCN2/GPIHBP1/CLEC10A/CD22/KLRC3/THY1/CD79B/RTN4RL2/FCRL3/CXCR2/ASGR1/CLEC4E/KLRC2/CD19/FCN3/HLA-G/CLEC17A/GP2/FCGR1A/MS4A1/FCRL4/FOLR1/FCRL1/LY6G6C/ULBP2/KLRC1/SELE/CXCR1/SLC2A4/CCR9/RAET1L/COLEC10/CD1A,91
GO:0099634,postsynaptic specialization membrane,43/2070,117/15297,0.367521367521368,2.7159296420166,7.37055099114183,2.07019896294167e-10,1.46984126368858e-08,1.24484332376887e-08,GRIN2A/GRIK2/CACNG8/IGSF9/GRIK4/LRP8/PRRT1/LRRTM1/ITGA8/GRIA4/PRRT2/GRIK3/CHRNA1/KCNH1/ADRA2A/GRIN2D/CACNG4/RGS9/ASIC1/GRIA3/GRIN2B/OPRD1/P2RX6/PRR7/NSG2/GABRB3/LRRC4B/NLGN4X/EPHA7/STX1A/ADGRB3/GRIN1/CNKSR2/TMEM108/CHRM1/GLRA2/GRIK5/SLITRK5/LRFN5/CSMD2/SLITRK3/ELFN1/KCNB1,43
GO:0098839,postsynaptic density membrane,37/2070,99/15297,0.373737373737374,2.76186502708242,6.95729543349138,2.1788997213807e-09,1.37512782416026e-07,1.1646282721298e-07,GRIN2A/GRIK2/CACNG8/IGSF9/GRIK4/LRP8/PRRT1/ITGA8/GRIA4/PRRT2/GRIK3/KCNH1/ADRA2A/GRIN2D/CACNG4/RGS9/ASIC1/GRIA3/GRIN2B/OPRD1/PRR7/NSG2/LRRC4B/NLGN4X/EPHA7/STX1A/ADGRB3/GRIN1/CNKSR2/TMEM108/CHRM1/GRIK5/SLITRK5/LRFN5/CSMD2/SLITRK3/ELFN1,37
GO:0034702,monoatomic ion channel complex,73/2070,282/15297,0.25886524822695,1.91297666769452,6.12160070030101,1.82725434713666e-08,1.03788046917362e-06,8.79005512254159e-07,GRIN2A/GRIK2/CACNG8/SCNN1G/CLIC6/KCNA6/TRPM4/GRIK4/VAMP2/GRIA4/SCN9A/VWC2/TMEM37/KCNH8/GRIK3/CHRNA1/KCNH1/PACC1/GRIN2D/KCNQ5/SCN4B/CACNG4/BEST4/LRRC8E/KCNG3/SCNN1B/ABCC8/TTYH3/DPP10/GABRP/GRIA3/CLCNKB/GRIN2B/RYR1/SNAP25/LRRC26/CLIC5/SCN7A/GABRB3/SCN3A/SCN11A/KCNG1/BEST2/RYR3/STX1A/CHRNA7/KCNK10/KCNH4/KCNIP4/CACNA1A/TRPV6/KCNA3/CASQ2/GRIN1/KCNMA1/SCN2B/CNGA1/CNGA3/GLRA2/TRPC7/AKAP6/GRIK5/KCNJ15/CLCN1/SLC17A8/CACNA1H/DPP6/GABRD/KCNIP3/KCNMB1/KCNB1/SCN3B/KCNA5,73
