ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030545,signaling receptor regulator activity,139/2000,426/15085,0.326291079812207,2.46105046948357,11.9592581752548,1.06743148626091e-25,1.11226360868386e-22,8.74170206643141e-23,LGI1/LY6G6D/VEGFD/CXCL10/TG/CXCL8/EFNA5/TNFSF11/CXCL11/IL1RN/TNFSF15/NPY/SEMA6A/PRRT1/GUCA2A/IL1B/GDF15/INHBA/GREM2/CXCL5/SEMA3G/LIF/MACC1/INSL5/AGT/CRIPTO/SHH/BMP5/PDGFD/HAMP/BMP3/EREG/SEMA6D/PCSK9/BMP2/AREG/CCL23/CTSG/TIMP1/CXCL9/SPP1/STC2/LY6E/SEMA3E/WNT2/TNFSF9/PYY/WNT5A/ALKAL2/FGF9/NECTIN4/CCL14/BMP7/TNFRSF11B/EDN3/CXCL3/GCG/CXCL1/VIP/MIF/OSM/PLAU/ENHO/GPR15LG/F2/SECTM1/WNT3/CCL24/WNT6/CXCL12/IL33/CXCL2/NMB/GDF7/PTN/PSCA/STC1/P2RY1/CCL28/EPHA7/WNT11/JAG2/XCL2/SST/PNOC/CCL5/REG3A/VGF/REG1A/F2RL2/CHGB/IL11/CRIPTO3/CCL3L3/FAM3D/GAL/OGN/CLU/RELN/C1QTNF9/IGF1/C1QTNF12/EDN2/ESR2/NRG1/PMCH/IL1A/SCG2/UCN3/SEMA3D/TMEM35A/APLN/FGF10/ALKAL1/CXCL6/PF4/SFRP2/INHBB/CCL21/FGF18/ERFE/RETNLB/TAFA5/WNT9A/IL23A/CCL8/NRG2/CCL20/TTR/ULBP2/UCHL1/ECRG4/LYNX1/IFNK/AMH/IL6/DKK2/CCL19/COLEC10,139
GO:0048018,receptor ligand activity,128/2000,386/15085,0.33160621761658,2.50113989637306,11.6803893897944,1.87366581492302e-24,9.76179889574895e-22,7.67216844215848e-22,LGI1/VEGFD/CXCL10/TG/CXCL8/EFNA5/TNFSF11/CXCL11/IL1RN/TNFSF15/NPY/SEMA6A/GUCA2A/IL1B/GDF15/INHBA/GREM2/CXCL5/SEMA3G/LIF/MACC1/INSL5/AGT/CRIPTO/SHH/BMP5/PDGFD/HAMP/BMP3/EREG/SEMA6D/BMP2/AREG/CCL23/CTSG/TIMP1/CXCL9/SPP1/STC2/SEMA3E/WNT2/TNFSF9/PYY/WNT5A/ALKAL2/FGF9/NECTIN4/CCL14/BMP7/TNFRSF11B/EDN3/CXCL3/GCG/CXCL1/VIP/MIF/OSM/PLAU/ENHO/GPR15LG/F2/SECTM1/WNT3/CCL24/WNT6/CXCL12/IL33/CXCL2/NMB/GDF7/PTN/STC1/CCL28/EPHA7/WNT11/JAG2/XCL2/SST/PNOC/CCL5/REG3A/VGF/REG1A/F2RL2/CHGB/IL11/CRIPTO3/CCL3L3/FAM3D/GAL/OGN/CLU/RELN/C1QTNF9/IGF1/C1QTNF12/EDN2/NRG1/PMCH/IL1A/SCG2/UCN3/SEMA3D/APLN/FGF10/ALKAL1/CXCL6/PF4/SFRP2/INHBB/CCL21/FGF18/ERFE/RETNLB/TAFA5/WNT9A/IL23A/CCL8/NRG2/CCL20/TTR/ULBP2/ECRG4/IFNK/AMH/IL6/CCL19/COLEC10,128
GO:0030546,signaling receptor activator activity,128/2000,395/15085,0.324050632911392,2.44415189873418,11.370692676378,1.97927317758914e-23,6.87467550349295e-21,5.40306853391e-21,LGI1/VEGFD/CXCL10/TG/CXCL8/EFNA5/TNFSF11/CXCL11/IL1RN/TNFSF15/NPY/SEMA6A/GUCA2A/IL1B/GDF15/INHBA/GREM2/CXCL5/SEMA3G/LIF/MACC1/INSL5/AGT/CRIPTO/SHH/BMP5/PDGFD/HAMP/BMP3/EREG/SEMA6D/BMP2/AREG/CCL23/CTSG/TIMP1/CXCL9/SPP1/STC2/SEMA3E/WNT2/TNFSF9/PYY/WNT5A/ALKAL2/FGF9/NECTIN4/CCL14/BMP7/TNFRSF11B/EDN3/CXCL3/GCG/CXCL1/VIP/MIF/OSM/PLAU/ENHO/GPR15LG/F2/SECTM1/WNT3/CCL24/WNT6/CXCL12/IL33/CXCL2/NMB/GDF7/PTN/STC1/CCL28/EPHA7/WNT11/JAG2/XCL2/SST/PNOC/CCL5/REG3A/VGF/REG1A/F2RL2/CHGB/IL11/CRIPTO3/CCL3L3/FAM3D/GAL/OGN/CLU/RELN/C1QTNF9/IGF1/C1QTNF12/EDN2/NRG1/PMCH/IL1A/SCG2/UCN3/SEMA3D/APLN/FGF10/ALKAL1/CXCL6/PF4/SFRP2/INHBB/CCL21/FGF18/ERFE/RETNLB/TAFA5/WNT9A/IL23A/CCL8/NRG2/CCL20/TTR/ULBP2/ECRG4/IFNK/AMH/IL6/CCL19/COLEC10,128
GO:0005125,cytokine activity,63/2000,165/15085,0.381818181818182,2.87986363636364,9.49227482906251,5.99527452295651e-16,1.56176901323017e-13,1.22745357338425e-13,CXCL10/CXCL8/TNFSF11/CXCL11/IL1RN/TNFSF15/IL1B/GDF15/INHBA/GREM2/CXCL5/LIF/BMP5/BMP3/BMP2/AREG/CCL23/TIMP1/CXCL9/SPP1/WNT2/TNFSF9/WNT5A/ALKAL2/CCL14/BMP7/TNFRSF11B/CXCL3/CXCL1/MIF/OSM/GPR15LG/SECTM1/WNT3/CCL24/WNT6/CXCL12/IL33/CXCL2/GDF7/CCL28/WNT11/XCL2/CCL5/IL11/CCL3L3/FAM3D/NRG1/IL1A/SCG2/ALKAL1/CXCL6/PF4/INHBB/CCL21/TAFA5/WNT9A/IL23A/CCL8/CCL20/IFNK/IL6/CCL19,63
GO:0017171,serine hydrolase activity,60/2000,156/15085,0.384615384615385,2.90096153846154,9.33053757978245,1.99741069574765e-15,4.16260388993811e-13,3.27154846587721e-13,PCSK2/MMP7/TPSG1/PCSK5/MMP1/TMPRSS5/MMP12/MMP10/PRSS22/PCSK9/TMPRSS3/CFD/MMP3/FAP/GZMB/CTSG/MMP9/KLK11/KLK10/DPP10/F12/C2/PRSS12/MMP11/CFB/PLAU/F2/CMA1/TPSAB1/ACHE/TLL1/TPSB2/PRSS33/CTSV/PRRG3/RHBDL2/PRSS54/RELN/KLK1/TPSD1/TMPRSS13/CFI/KLK15/NAALAD2/KLK3/CORIN/HTRA3/GZMM/ELANE/KLKB1/HPN/OVCH1/KLK12/DPP6/MMP13/KLK6/F7/AADAC/LPA/PRSS2,60
GO:0015081,sodium ion transmembrane transporter activity,54/2000,133/15085,0.406015037593985,3.06236842105263,9.33961174538002,3.41350937603993e-15,5.7779766887779e-13,4.54113128989717e-13,SLC9A1/TRPV3/GRIK2/SCNN1G/SLC38A5/SLC23A1/TRPM4/CHP1/GRIK4/SLC6A7/SLC10A4/SLC6A20/SCN9A/GRIK3/SLC6A8/SCN4B/SLC6A6/SLC5A6/SLC4A10/SCNN1B/ASIC1/SLC17A4/SLC29A1/SLC4A11/SLC4A4/SCN7A/SLC9A9/SCN3A/SLC9A2/SCN11A/SLC9A3/ATP1A2/KCNK3/SLC8A3/SLC10A1/SLC6A14/SLC17A1/SLC13A3/SLC13A2/GRIN1/SLC12A2/SLC5A11/SCN2B/CNGA1/SLC28A2/SLC28A3/SLC5A12/SLC38A4/CNGA3/GRIK5/SLC17A8/SLC6A4/SLC18A1/SCN3B,54
GO:0046873,metal ion transmembrane transporter activity,103/2000,358/15085,0.287709497206704,2.17004888268156,8.75940833781469,4.34102395570704e-15,5.7779766887779e-13,4.54113128989717e-13,SLC9A1/TRPV3/GRIN2A/GRIK2/CACNG8/SCNN1G/SLC38A5/SLC23A1/KCNA6/TRPM4/CHP1/GRIK4/SLC6A7/SLC10A4/SLC6A20/SCN9A/TMEM37/KCNH8/GRIK3/KCNH1/PKD1L2/SLC6A8/ATP2A3/SLC30A10/GRIN2D/KCNQ5/SCN4B/P2RX1/SLC39A10/CACNG4/SLC6A6/P2RX4/SLC5A6/KCNG3/SLC4A10/SLC30A4/SCNN1B/ABCC8/ASIC1/SLC17A4/SLC29A1/TRPM6/SLC4A11/GRIA3/GRIN2B/RYR1/SLC4A4/SNAP25/LRRC26/SCN7A/SLC9A9/SCN3A/SLC41A2/SLC9A2/KCNN3/SCN11A/KCNG1/RYR3/MCOLN2/SLC9A3/ATP1A2/CHRNA7/KCNK10/KCNK3/KCNH4/SLC8A3/SLC10A1/SLC11A1/KCNIP4/SLC6A14/SLC30A2/SLC17A1/SLC13A3/CACNA1A/TRPV6/KCNT2/KCNA3/TRPV4/SLC13A2/GRIN1/KCNMA1/SLC12A2/SLC5A11/SCN2B/CNGA1/SLC28A2/SLC28A3/SLC5A12/SLC38A4/CNGA3/TRPC7/GRIK5/KCNJ15/SLC17A8/SLC6A4/CACNA1H/GPM6A/SLC18A1/KCNIP3/KCNMB1/KCNB1/SCN3B/KCNA5,103
GO:0008236,serine-type peptidase activity,58/2000,150/15085,0.386666666666667,2.91643333333333,9.22195775426652,4.43944514803379e-15,5.7779766887779e-13,4.54113128989717e-13,PCSK2/MMP7/TPSG1/PCSK5/MMP1/TMPRSS5/MMP12/MMP10/PRSS22/PCSK9/TMPRSS3/CFD/MMP3/FAP/GZMB/CTSG/MMP9/KLK11/KLK10/DPP10/F12/C2/PRSS12/MMP11/CFB/PLAU/F2/CMA1/TPSAB1/TLL1/TPSB2/PRSS33/CTSV/PRRG3/RHBDL2/PRSS54/RELN/KLK1/TPSD1/TMPRSS13/CFI/KLK15/NAALAD2/KLK3/CORIN/HTRA3/GZMM/ELANE/KLKB1/HPN/OVCH1/KLK12/DPP6/MMP13/KLK6/F7/LPA/PRSS2,58
GO:0004252,serine-type endopeptidase activity,54/2000,134/15085,0.402985074626866,3.03951492537313,9.27108499342643,4.99057487514406e-15,5.7779766887779e-13,4.54113128989717e-13,PCSK2/MMP7/TPSG1/PCSK5/MMP1/TMPRSS5/MMP12/MMP10/PRSS22/PCSK9/TMPRSS3/CFD/MMP3/FAP/GZMB/CTSG/MMP9/KLK11/KLK10/F12/C2/PRSS12/MMP11/CFB/PLAU/F2/CMA1/TPSAB1/TLL1/TPSB2/PRSS33/CTSV/PRRG3/RHBDL2/PRSS54/KLK1/TPSD1/TMPRSS13/CFI/KLK15/KLK3/CORIN/HTRA3/GZMM/ELANE/KLKB1/HPN/OVCH1/KLK12/MMP13/KLK6/F7/LPA/PRSS2,54
GO:0015267,channel activity,107/2000,384/15085,0.278645833333333,2.10168619791667,8.54941656183351,1.35702272919514e-14,1.19079928640693e-12,9.35894378042825e-13,GSDMC/CLCN4/TRPV3/GRIN2A/GRIK2/CACNG8/SCNN1G/AQP8/CLIC6/AQP7/KCNA6/TRPM4/GRIK4/OCA2/GRIA4/SCN9A/TMEM37/OTOP2/KCNH8/GRIK3/BCL2A1/CHRNA1/KCNH1/GJB4/BCL2/PKD1L2/GJB3/PACC1/GRIN2D/KCNQ5/SCN4B/P2RX1/CACNG4/BEST4/LRRC8E/P2RX4/KCNG3/SCNN1B/ABCC8/ASIC1/TTYH3/TRPM6/SLC4A11/GABRP/GRIA3/TMEM63C/CLCNKB/AQP9/CLCA4/GRIN2B/RYR1/SNAP25/ANO5/P2RX6/LRRC26/CLIC5/SCN7A/GABRB3/SCN3A/FXYD1/KCNN3/SCN11A/KCNG1/BEST2/RYR3/MCOLN2/CHRNA7/KCNK10/KCNK3/KCNH4/GJB5/GSDMA/KCNIP4/FXYD3/CACNA1A/TRPV6/CLCA1/KCNT2/KCNA3/TRPV4/GRIN1/KCNMA1/SLC12A2/SCN2B/CNGA1/AQP12A/CLCA2/CNGA3/GLRA2/GJA9/TRPC7/GRIK5/KCNJ15/CLCN1/SLC17A8/SLC6A4/SLC26A7/CACNA1H/GPM6A/GABRD/KCNIP3/KCNMB1/KCNB1/PANX2/SCN3B/OTOP3/KCNA5,107
