category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,88/1067,231/7217,0.380952380952381,2.57669478288035,10.1445373152806,6.72914240260493e-19,2.30809584409349e-16,1.96915956623597e-16,2903/2898/2846/1268/7068/4852/2900/153/2893/1909/27346/2899/1134/10022/183/150/5729/9340/2149/1902/2906/5023/7433/5025/2696/6344/1511/6755/6751/2568/2892/5697/3352/1908/2641/7432/2904/4985/5540/1269/2147/100996758/9127/10874/10316/7253/2562/3363/2908/4828/9934/5028/5745/6752/140/2918/6750/5368/7425/2690/2151/1139/3360/2358/4886/51083/1813/1133/1907/5367/2902/114131/2357/2925/8862/64106/1128/6753/4543/2742/5021/2901/66004/2563/117/283869/5030/5645,88
Organismal Systems,Digestive system,hsa04976,Bile secretion,37/1067,72/7217,0.513888888888889,3.47585389982297,8.793931110159,2.48592702540684e-13,4.26336484857273e-11,3.6373037529637e-11,6548/8647/343/9429/54579/123264/54577/54659/9971/54575/54578/200931/54658/54576/54657/54600/6344/111/366/760/8671/5243/8431/7366/482/10998/6550/5567/477/7367/6554/6513/79799/1244/1576/28234/115072896,37
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,68/1067,230/7217,0.295652173913044,1.99973921193105,6.4179774506499,4.30499307304221e-09,4.92204208017826e-07,4.19925640107275e-07,1237/3627/3576/1271/8600/6373/3557/9966/3598/3570/3553/9518/3624/6374/768211/3976/3590/653/651/650/6368/4283/23495/94/51330/115650/7850/8744/6358/655/4982/2921/3977/608/2919/5008/6369/6387/8771/90865/2920/151449/56477/6846/6352/2826/2690/10913/3589/414062/9560/130399/3552/3579/6372/5196/3625/6366/51561/6355/6364/4804/3577/56832/268/3569/10803/6363,68
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,27/1067,58/7217,0.46551724137931,3.14867659890767,6.84308262257071,7.27563615346535e-09,6.16835685336505e-07,5.26255395192722e-07,54579/27306/54577/2949/4128/54659/54575/54578/2946/54658/54576/54657/54600/125/2944/7366/126/7367/2330/4129/79799/1555/2938/124/1576/130/2327,27
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,47/1067,138/7217,0.340579710144928,2.30362115099901,6.44017842019208,8.99177383872457e-09,6.16835685336505e-07,5.26255395192722e-07,2903/2898/2900/153/2767/2893/2899/150/2906/5023/5025/2788/64805/2568/2892/111/3352/63910/2904/4985/9127/2562/5579/3363/9934/5028/43/140/2918/5368/2786/5567/1139/3360/5582/1813/1133/2902/94235/2775/1128/2901/246213/6532/2563/6570/5030,47
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,25/1067,52/7217,0.480769230769231,3.25183836781775,6.78771662648904,1.15706302421447e-08,6.61454362175937e-07,5.64321966195828e-07,10170/54579/54577/54659/54575/5959/54578/54884/54658/54576/54657/54600/125/7366/126/7367/54905/79799/56603/1562/1555/124/1576/130/8608,25
Metabolism,Carbohydrate metabolism,hsa00040,Pentose and glucuronate interconversions,18/1067,31/7217,0.580645161290323,3.92738156422892,6.80314124910904,3.02465187922199e-08,1.48207942081877e-06,1.26444093597551e-06,57016/6652/54579/7358/54577/54659/54575/54578/54658/54576/54657/54600/441282/27294/7360/7366/7367/79799,18
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,23/1067,53/7217,0.433962264150943,2.93524429276229,5.88964143741288,4.63986665715417e-07,1.98934282925485e-05,1.69721438248534e-05,6799/54579/27306/54577/2949/54659/54575/54578/2946/54658/54576/54657/54600/1646/2944/7366/7367/79799/1562/5743/10/2938/1576,23
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,22/1067,50/7217,0.44,2.9760824742268,5.84001927449923,6.16516425314223e-07,2.34961259869754e-05,2.00457972207432e-05,3294/10170/79154/54579/54577/3291/54659/54575/5959/54578/54658/54576/54657/54600/1646/6820/7366/7367/79799/3284/1576/1589,22
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,24/1067,60/7217,0.4,2.70552952202437,5.5253815342058,1.58351075032102e-06,5.43144187360111e-05,4.63385251146573e-05,54579/27306/54577/2949/54659/54575/54578/2946/54658/54576/54657/54600/125/27294/2944/7366/126/7367/79799/1555/2938/124/1576/130,24
