ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-500792,GPCR ligand binding,108/1330,330/9638,0.327272727272727,2.37161995898838,10.14404307629,2.93274705158204e-19,3.90348632565569e-16,3.64278054828084e-16,CCR8/CXCL10/LPAR4/CXCL8/CNR1/CXCL11/NPY/ADRB1/EDNRA/CXCL5/INSL5/AGT/ADRA2A/SHH/PTGDR/GLP2R/F2R/LPAR1/VIPR1/ACKR2/GIPR/GNG7/CCL23/SCTR/CXCL9/SSTR5/P2RY12/SSTR1/WNT2/HCAR2/GPR143/PYY/WNT5A/HTR1D/HCAR3/EDN3/CXCL3/GCG/CXCL1/VIP/OPRD1/NPY4R/CNR2/F2/NPY4R2/WNT3/NMU/GPR55/WNT6/NMUR1/TSHR/CXCL12/HTR7/CXCL2/NMB/P2RY14/P2RY1/PTH1R/CCL28/SSTR2/ADORA3/GRM8/WNT11/XCL2/SST/PNOC/GNG4/CCL5/CCR10/F2RL2/HTR4/CCL3L3/FPR2/NPY1R/GAL/DRD2/CHRM5/EDN2/GPER1/PMCH/UCN3/FPR1/GRPR/APLN/GNG8/CXCR2/CXCL6/PF4/PTGDR2/NPFFR1/CCL21/ACKR1/CHRM1/WNT9A/SSTR3/MTNR1A/GPR17/OXTR/CCL20/CXCR1/CRHBP/SAA1/FZD10/ADCYAP1R1/CCR9/CCL19/NPW/P2RY4,108
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),86/1330,241/9638,0.356846473029046,2.5859295541759,9.97576721421667,3.64956899124826e-18,2.42878816367572e-15,2.26657442614366e-15,CCR8/CXCL10/LPAR4/CXCL8/CNR1/CXCL11/NPY/ADRB1/EDNRA/CXCL5/INSL5/AGT/ADRA2A/PTGDR/F2R/LPAR1/ACKR2/CCL23/CXCL9/SSTR5/P2RY12/SSTR1/HCAR2/GPR143/PYY/HTR1D/HCAR3/EDN3/CXCL3/CXCL1/OPRD1/NPY4R/CNR2/F2/NPY4R2/NMU/GPR55/NMUR1/TSHR/CXCL12/HTR7/CXCL2/NMB/P2RY14/P2RY1/CCL28/SSTR2/ADORA3/XCL2/SST/PNOC/CCL5/CCR10/F2RL2/HTR4/CCL3L3/FPR2/NPY1R/GAL/DRD2/CHRM5/EDN2/GPER1/PMCH/FPR1/GRPR/APLN/CXCR2/CXCL6/PF4/PTGDR2/NPFFR1/CCL21/ACKR1/CHRM1/SSTR3/MTNR1A/GPR17/OXTR/CCL20/CXCR1/SAA1/CCR9/CCL19/NPW/P2RY4,86
R-HSA-375276,Peptide ligand-binding receptors,60/1330,143/9638,0.41958041958042,3.04053840895946,9.83589341947821,8.03347399227626e-17,3.56418462790657e-14,3.3261401090828e-14,CCR8/CXCL10/CXCL8/CXCL11/NPY/EDNRA/CXCL5/INSL5/AGT/F2R/ACKR2/CCL23/CXCL9/SSTR5/SSTR1/PYY/EDN3/CXCL3/CXCL1/OPRD1/NPY4R/F2/NPY4R2/NMU/NMUR1/CXCL12/CXCL2/NMB/CCL28/SSTR2/XCL2/SST/PNOC/CCL5/CCR10/F2RL2/CCL3L3/FPR2/NPY1R/GAL/EDN2/GPER1/PMCH/FPR1/GRPR/APLN/CXCR2/CXCL6/PF4/NPFFR1/CCL21/ACKR1/SSTR3/OXTR/CCL20/CXCR1/SAA1/CCR9/CCL19/NPW,60
R-HSA-418594,G alpha (i) signalling events,81/1330,254/9638,0.318897637795276,2.31092889704576,8.47130857514936,5.32068061165805e-14,1.77045647352922e-11,1.65221134783066e-11,CCR8/CXCL10/CXCL8/PDE4C/CNR1/CXCL11/KPNA2/NPY/CAMK2A/GNA11/CXCL5/INSL5/AGT/ADRA2A/LPAR1/PDE1C/RGS9/GNG7/PRKAR2B/CCL23/CXCL9/SSTR5/P2RY12/SSTR1/HCAR2/ADCY5/PYY/HTR1D/HCAR3/CXCL3/CXCL1/OPRD1/NPY4R/CNR2/NPY4R2/NMU/GPR55/NMUR1/CXCL12/RGS16/CXCL2/P2RY14/NBEA/CCL28/SSTR2/ADORA3/GRM8/SST/PNOC/GNG4/CCL5/CCR10/PRKACB/PRKCG/FPR2/CCL4L2/NPY1R/GAL/GPER1/PMCH/FPR1/APLN/GNG8/RGS13/CXCR2/CXCL6/PF4/PTGDR2/CCL21/SSTR3/MTNR1A/GPR17/CCL20/CAMK2B/CXCR1/SAA1/RGS22/CCR9/CCL19/NPW/P2RY4,81
R-HSA-1474244,Extracellular matrix organization,84/1330,294/9638,0.285714285714286,2.07046186895811,7.45807863745088,1.41766333946385e-11,3.77381980965277e-09,3.5217741906681e-09,MMP7/NRXN1/CEACAM1/SNTB1/ITGA2/MADCAM1/MUSK/ITGA8/CEACAM6/MMP1/CD44/CAPN5/LTBP4/MMP12/MMP10/MMP3/BMP2/NCAM1/COL11A1/TNXB/CTSG/TIMP1/CAPN13/COL19A1/MMP9/LAMC2/SCUBE1/BGN/SPP1/P3H2/ADAM12/BMP7/COL4A5/SSPN/MMP11/JAM2/COL4A6/MFAP4/COL12A1/ACAN/COL28A1/COL5A2/CAPN9/CMA1/MFAP2/FBLN1/HAPLN1/TPSAB1/TLL1/COL8A1/CTSV/COL1A1/ADAMTS1/SERPINE1/ITGA11/SPARC/COL21A1/SERPINH1/P4HA3/PCOLCE2/ADAMTS2/LAMA1/COMP/COL7A1/COL1A2/FBLN2/COL4A1/LOXL2/COL10A1/SGCA/DMD/MFAP5/ELANE/MATN3/KLKB1/TTR/COL22A1/COL2A1/MMP13/VTN/CEACAM8/ADAMTS18/ACTG2/PRSS2,84
R-HSA-388396,GPCR downstream signalling,122/1330,493/9638,0.247464503042596,1.79328036114627,7.23447155813274,1.78170893043083e-11,3.95242431067239e-09,3.68845006650593e-09,CCR8/CXCL10/LPAR4/CXCL8/PDE4C/CNR1/CXCL11/KPNA2/NPY/ADRB1/CAMK2A/GNA11/EDNRA/PDE3A/CXCL5/INSL5/AGT/ADRA2A/PTGDR/GLP2R/F2R/LPAR1/VIPR1/MMP3/PDE1C/RGS9/GIPR/GNG7/PRKAR2B/CCL23/SCTR/CXCL9/GPR84/SSTR5/P2RY12/SSTR1/HCAR2/PDE7B/GPR143/ADCY5/PYY/HTR1D/HCAR3/EDN3/CXCL3/GCG/CXCL1/VIP/ECT2/OPRD1/NPY4R/CNR2/F2/NPY4R2/GPR15/NMU/GPR55/NMUR1/TSHR/CXCL12/PRKCB/HTR7/RGS16/CXCL2/NMB/P2RY14/NBEA/P2RY1/PTH1R/CCL28/SSTR2/ADORA3/GRM8/XCL2/SST/PNOC/GNG4/CCL5/CCR10/PRKACB/F2RL2/HTR4/PRKCG/PDE2A/FPR2/CCL4L2/NPY1R/GAL/CHRM5/EDN2/GPER1/PMCH/FPR1/GRPR/APLN/GNG8/RGS13/CXCR2/CXCL6/RASGRP2/PF4/PTGDR2/NPFFR1/CCL21/CHRM1/SSTR3/MTNR1A/DGKB/TRPC7/GPR17/OXTR/CCL20/ARHGEF25/CAMK2B/CXCR1/SAA1/RGS22/ADCYAP1R1/CCR9/CCL19/NPW/P2RY4,122
R-HSA-211859,Biological oxidations,57/1330,178/9638,0.320224719101124,2.32054574638844,7.11486050470763,2.62944485607746e-10,4.99970157634157e-08,4.66578184988181e-08,MAT1A/CMBL/CYP4F12/CYP27B1/SULT1A2/AHCY/UGT1A5/UGDH/HPGDS/UGT1A7/GSTM5/MAOA/UGT1A3/NR1H4/UGT1A10/UGT1A6/GSTM2/AOC1/UGT1A1/UGT1A8/UGT1A4/UGT1A9/CES2/SMOX/ADH1B/CES3/GGT6/UGP2/SULT2B1/GSTM1/CYP46A1/CHAC1/DPEP1/UGT2B15/ADH1C/UGT2B17/SULT1B1/MAOB/CYP2W1/UGT2A3/CYP26B1/CYP2C18/CYP4B1/PTGS1/SULT1C2/CYP2B6/NAT2/AOC3/GSTA1/ADH1A/CYP3A4/CYP21A2/ADH6/ACSM5/GLYATL1/FMO2/AADAC,57
R-HSA-9748784,Drug ADME,35/1330,86/9638,0.406976744186047,2.94920440636475,7.26453732076115,6.24609708873315e-10,1.03919440313798e-07,9.69788758513831e-08,ABCG2/NME1/UGT1A5/UGT1A7/HSD11B2/UGT1A3/UGT1A10/PCK1/UGT1A6/UGT1A1/UGT1A8/UGT1A4/UGT1A9/CES2/IMPDH1/SLC29A1/GGT6/ABCB1/GSTM1/SLC22A3/UGT2B15/UGT2B17/UGT2A3/ABCC2/XDH/SLC28A2/NAT2/SLC28A3/GSTA1/ADH1A/CYP3A4/BCHE/SLCO1B3/ACSM5/GLYATL1,35
R-HSA-156588,Glucuronidation,14/1330,20/9638,0.7,5.07263157894737,7.29451198100614,1.46399207780865e-08,2.16508161729257e-06,2.02048029451954e-06,UGT1A5/UGDH/UGT1A7/UGT1A3/UGT1A10/UGT1A6/UGT1A1/UGT1A8/UGT1A4/UGT1A9/UGP2/UGT2B15/UGT2B17/UGT2A3,14
R-HSA-380108,Chemokine receptors bind chemokines,24/1330,52/9638,0.461538461538462,3.34459224985541,6.78264037231736,1.63398869237999e-08,2.17483894955776e-06,2.02958595474567e-06,CCR8/CXCL10/CXCL8/CXCL11/CXCL5/ACKR2/CXCL9/CXCL3/CXCL1/CXCL12/CXCL2/CCL28/XCL2/CCL5/CCR10/CCL3L3/CXCR2/CXCL6/PF4/CCL21/CCL20/CXCR1/CCR9/CCL19,24
