ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0000280,nuclear division,63/766,404/14533,0.155940594059406,2.95859615334902,9.41753602997114,5.7618412101975e-15,2.74263641605401e-11,2.24165948556736e-11,AURKA/RACGAP1/DCAF13/KIFC1/TPX2/IL1B/UBE2C/NCAPH/BIRC5/TRIP13/MYBL2/NCAPG2/CCNB1/LIF/CDC25B/KIF2C/RAD54L/UBE2S/ANLN/CENPI/ESPL1/EREG/MKI67/CCDC86/KIF23/MAD2L1/PKMYT1/KIF4A/KIF18B/UHRF1/CKS2/NEK2/SKA3/NUSAP1/MSX2/WNT5A/RAD51AP1/RAD54B/CDT1/BUB1/PTTG1/CENPF/BMP7/BUB1B/CDC20/BRCA2/TOP2A/KIF18A/MSX1/NUF2/PLK1/MAPK15/RRS1/KIF14/CDK1/MTBP/GPR3/IL1A/MND1/DLGAP5/ASPM/SPHK1/TTK,63
GO:0051783,regulation of nuclear division,32/766,134/14533,0.238805970149254,4.53076653287089,9.68529064409989,3.12574684205801e-13,6.73274439297629e-10,5.50292420973914e-10,AURKA/IL1B/UBE2C/BIRC5/TRIP13/CCNB1/LIF/ESPL1/EREG/MKI67/MAD2L1/PKMYT1/NEK2/SKA3/NUSAP1/MSX2/WNT5A/RAD51AP1/BUB1/CENPF/BMP7/BUB1B/CDC20/MSX1/NUF2/PLK1/MTBP/GPR3/IL1A/DLGAP5/SPHK1/TTK,32
GO:0048285,organelle fission,64/766,454/14533,0.140969162995595,2.67454940706916,8.55061615428657,4.2433262980943e-13,6.73274439297629e-10,5.50292420973914e-10,AURKA/RACGAP1/DCAF13/KIFC1/TPX2/IL1B/UBE2C/NCAPH/BIRC5/TRIP13/MYBL2/NCAPG2/CCNB1/LIF/CDC25B/KIF2C/RAD54L/UBE2S/ANLN/CENPI/ESPL1/EREG/MKI67/CCDC86/KIF23/MAD2L1/PKMYT1/KIF4A/KIF18B/UHRF1/CKS2/NEK2/SKA3/NUSAP1/MSX2/WNT5A/RAD51AP1/RAD54B/CDT1/BUB1/PTTG1/CENPF/BMP7/BUB1B/CDC20/BRCA2/TOP2A/KIF18A/MSX1/NUF2/PLK1/MAPK15/MTFR2/RRS1/KIF14/CDK1/MTBP/GPR3/IL1A/MND1/DLGAP5/ASPM/SPHK1/TTK,64
GO:0090068,positive regulation of cell cycle process,43/766,241/14533,0.178423236514523,3.38514999512475,8.8071447949645,1.39511337272228e-12,1.66018491353952e-09,1.35693132252146e-09,AURKA/RACGAP1/FEN1/CCND1/CDC6/E2F7/RRM2/IL1B/UBE2C/CDC25A/NCAPH/CDK4/BIRC5/NCAPG2/CCNB1/CDC25B/DTL/ESPL1/EREG/KIF23/MAD2L1/MAP3K20/SKA3/NUSAP1/SSTR5/MSX2/LEF1/WNT5A/RAD51AP1/BUB1/ECT2/CDC20/MSX1/MAPK15/KIF14/CDK1/DRD2/MTBP/IL1A/DLGAP5/FAM83D/SPHK1/TBX20,43
GO:0140014,mitotic nuclear division,46/766,274/14533,0.167883211678832,3.18517847954108,8.61340929920409,2.15836254337632e-12,2.05476114129426e-09,1.67943325480397e-09,AURKA/RACGAP1/KIFC1/TPX2/IL1B/UBE2C/NCAPH/BIRC5/TRIP13/MYBL2/NCAPG2/CCNB1/KIF2C/UBE2S/ANLN/CENPI/ESPL1/EREG/MKI67/CCDC86/KIF23/MAD2L1/PKMYT1/KIF4A/KIF18B/UHRF1/NEK2/SKA3/NUSAP1/CDT1/BUB1/CENPF/BMP7/BUB1B/CDC20/KIF18A/NUF2/PLK1/RRS1/KIF14/CDK1/MTBP/IL1A/DLGAP5/SPHK1/TTK,46
GO:0006959,humoral immune response,38/766,206/14533,0.184466019417476,3.49979720651981,8.52350423652591,1.01103198614147e-11,8.02085375672233e-09,6.55574424698048e-09,REG1B/CXCL10/MMP7/C4BPB/CXCL8/CXCL11/C4BPA/IL1B/CXCL5/HAMP/EXO1/CXCL9/C2/SPNS2/CXCL3/CXCL1/CFB/TREM1/F2/CCL24/CXCL2/S100A9/REG3A/REG1A/CCL3L3/SLC11A1/CFI/CXCL6/DEFA6/PF4/FCN3/SPON2/H2BC10/WFDC10B/CCL20/IL6/COLEC10/PRSS2,38
GO:0098813,nuclear chromosome segregation,47/766,300/14533,0.156666666666667,2.97237162750218,8.14251509734649,1.55317350774472e-11,1.05615798526641e-08,8.63237486409698e-09,AURKA/RACGAP1/DCAF13/CDC6/DPF1/KIFC1/TPX2/UBE2C/NCAPH/BIRC5/TRIP13/MYBL2/NCAPG2/CCNB1/KIF2C/HECW2/CENPI/ESPL1/KIF23/MAD2L1/KIF4A/KIF18B/UHRF1/MAP3K20/NEK2/SKA3/NUSAP1/CDT1/BUB1/PTTG1/CENPF/ECT2/BUB1B/CDC20/TOP2A/KIF18A/NUF2/PLK1/MAPK15/RRS1/KIF14/CDK1/MND1/DLGAP5/ASPM/FAM83D/TTK,47
GO:0000819,sister chromatid segregation,40/766,230/14533,0.173913043478261,3.29957997502554,8.29194265582746,1.96575662384758e-11,1.16962519118931e-08,9.5597848443956e-09,RACGAP1/CDC6/DPF1/KIFC1/TPX2/UBE2C/NCAPH/BIRC5/TRIP13/MYBL2/NCAPG2/CCNB1/KIF2C/HECW2/CENPI/ESPL1/KIF23/MAD2L1/KIF4A/KIF18B/UHRF1/MAP3K20/NEK2/SKA3/NUSAP1/CDT1/BUB1/CENPF/BUB1B/CDC20/TOP2A/KIF18A/NUF2/PLK1/MAPK15/RRS1/KIF14/CDK1/DLGAP5/TTK,40
GO:0019730,antimicrobial humoral response,26/766,111/14533,0.234234234234234,4.44402888528215,8.59157829628313,8.40590934277e-11,4.44579205239835e-08,3.63371238957636e-08,REG1B/CXCL10/MMP7/CXCL8/CXCL11/CXCL5/HAMP/CXCL9/CXCL3/CXCL1/F2/CCL24/CXCL2/S100A9/REG3A/REG1A/CCL3L3/SLC11A1/CXCL6/DEFA6/PF4/SPON2/H2BC10/WFDC10B/CCL20/PRSS2,26
GO:0045787,positive regulation of cell cycle,46/766,305/14533,0.150819672131148,2.86143902752215,7.74968820610742,9.65184369925124e-11,4.59427760084359e-08,3.75507519078238e-08,AURKA/RACGAP1/FEN1/CCND1/CDC6/E2F7/RRM2/IL1B/UBE2C/CDC25A/NCAPH/CDK4/BIRC5/NCAPG2/CCNB1/CDC25B/DTL/ESPL1/EREG/KIF23/MAD2L1/MAP3K20/SKA3/NUSAP1/SSTR5/MSX2/LEF1/WNT5A/RAD51AP1/BUB1/PROX1/ECT2/CDC20/BRCA2/MSX1/MAPK15/KIF14/CDK1/DRD2/MTBP/IL1A/DLGAP5/FAM83D/SPHK1/SLC6A4/TBX20,46
