ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030545,signaling receptor regulator activity,71/787,426/15085,0.166666666666667,3.19462092333757,10.7800338415131,1.46984005959129e-18,6.5711803431216e-16,5.85352764429036e-16,LY6G6D/CXCL10/TG/CXCL8/TNFSF11/CXCL11/IL1RN/TNFSF15/IL1B/GDF15/INHBA/CXCL5/LIF/MACC1/AGT/CRIPTO/SHH/HAMP/EREG/PCSK9/AREG/TIMP1/CXCL9/SPP1/STC2/LY6E/WNT2/TNFSF9/WNT5A/NECTIN4/BMP7/TNFRSF11B/CXCL3/CXCL1/MIF/OSM/PLAU/F2/WNT3/CCL24/IL33/CXCL2/NMB/STC1/WNT11/JAG2/REG3A/VGF/REG1A/F2RL2/IL11/CRIPTO3/CCL3L3/GAL/PMCH/IL1A/APLN/ALKAL1/CXCL6/PF4/INHBB/FGF18/ERFE/TAFA5/IL23A/CCL20/ULBP2/AMH/IL6/DKK2/COLEC10,71
GO:0048018,receptor ligand activity,67/787,386/15085,0.173575129533679,3.32704044347591,10.8657990838501,1.61652652967321e-18,6.5711803431216e-16,5.85352764429036e-16,CXCL10/TG/CXCL8/TNFSF11/CXCL11/IL1RN/TNFSF15/IL1B/GDF15/INHBA/CXCL5/LIF/MACC1/AGT/CRIPTO/SHH/HAMP/EREG/AREG/TIMP1/CXCL9/SPP1/STC2/WNT2/TNFSF9/WNT5A/NECTIN4/BMP7/TNFRSF11B/CXCL3/CXCL1/MIF/OSM/PLAU/F2/WNT3/CCL24/IL33/CXCL2/NMB/STC1/WNT11/JAG2/REG3A/VGF/REG1A/F2RL2/IL11/CRIPTO3/CCL3L3/GAL/PMCH/IL1A/APLN/ALKAL1/CXCL6/PF4/INHBB/FGF18/ERFE/TAFA5/IL23A/CCL20/ULBP2/AMH/IL6/COLEC10,67
GO:0030546,signaling receptor activator activity,67/787,395/15085,0.169620253164557,3.25123445868785,10.6369314224299,5.63510310839773e-18,1.52711294237578e-15,1.36033366265882e-15,CXCL10/TG/CXCL8/TNFSF11/CXCL11/IL1RN/TNFSF15/IL1B/GDF15/INHBA/CXCL5/LIF/MACC1/AGT/CRIPTO/SHH/HAMP/EREG/AREG/TIMP1/CXCL9/SPP1/STC2/WNT2/TNFSF9/WNT5A/NECTIN4/BMP7/TNFRSF11B/CXCL3/CXCL1/MIF/OSM/PLAU/F2/WNT3/CCL24/IL33/CXCL2/NMB/STC1/WNT11/JAG2/REG3A/VGF/REG1A/F2RL2/IL11/CRIPTO3/CCL3L3/GAL/PMCH/IL1A/APLN/ALKAL1/CXCL6/PF4/INHBB/FGF18/ERFE/TAFA5/IL23A/CCL20/ULBP2/AMH/IL6/COLEC10,67
GO:0005125,cytokine activity,40/787,165/15085,0.242424242424242,4.64672134303646,11.0501486685339,1.34560055680393e-16,2.73493313170399e-14,2.43624521863448e-14,CXCL10/CXCL8/TNFSF11/CXCL11/IL1RN/TNFSF15/IL1B/GDF15/INHBA/CXCL5/LIF/AREG/TIMP1/CXCL9/SPP1/WNT2/TNFSF9/WNT5A/BMP7/TNFRSF11B/CXCL3/CXCL1/MIF/OSM/WNT3/CCL24/IL33/CXCL2/WNT11/IL11/CCL3L3/IL1A/ALKAL1/CXCL6/PF4/INHBB/TAFA5/IL23A/CCL20/IL6,40
GO:0004252,serine-type endopeptidase activity,34/787,134/15085,0.253731343283582,4.86345274896167,10.539035446465,6.14175865336377e-15,9.98649957036949e-13,8.89585253371426e-13,MMP7/MMP1/TMPRSS5/MMP12/MMP10/PRSS22/PCSK9/TMPRSS3/MMP3/FAP/GZMB/MMP9/KLK11/KLK10/F12/C2/MMP11/CFB/PLAU/F2/PRSS33/CTSV/PRSS54/TMPRSS13/CFI/CORIN/HTRA3/HPN/KLK12/MMP13/KLK6/F7/LPA/PRSS2,34
GO:0017171,serine hydrolase activity,35/787,156/15085,0.224358974358974,4.30045124295442,9.72138724284398,1.33278424357281e-13,1.80592265004116e-11,1.60869396417209e-11,MMP7/MMP1/TMPRSS5/MMP12/MMP10/PRSS22/PCSK9/TMPRSS3/MMP3/FAP/GZMB/MMP9/KLK11/KLK10/F12/C2/MMP11/CFB/PLAU/F2/PRSS33/CTSV/PRSS54/TMPRSS13/CFI/CORIN/HTRA3/HPN/KLK12/MMP13/KLK6/F7/AADAC/LPA/PRSS2,35
GO:0008236,serine-type peptidase activity,34/787,150/15085,0.226666666666667,4.34468445573909,9.65842139279608,2.17932031989813e-13,2.53112488582455e-11,2.25469530840589e-11,MMP7/MMP1/TMPRSS5/MMP12/MMP10/PRSS22/PCSK9/TMPRSS3/MMP3/FAP/GZMB/MMP9/KLK11/KLK10/F12/C2/MMP11/CFB/PLAU/F2/PRSS33/CTSV/PRSS54/TMPRSS13/CFI/CORIN/HTRA3/HPN/KLK12/MMP13/KLK6/F7/LPA/PRSS2,34
GO:0005539,glycosaminoglycan binding,38/787,210/15085,0.180952380952381,3.46844557390936,8.45108943785825,1.39013980500391e-11,1.41272957683523e-09,1.25844234979301e-09,REG1B/CXCL10/CXCL8/CXCL11/FGFRL1/CD44/SHH/LIPG/CEMIP/LAMC2/BGN/ANOS1/SERPINE2/HAPLN3/SULF1/BMP7/TNFRSF11B/F2/ACAN/THBS2/MPO/NOD2/LGR6/TNFAIP6/CEL/REG3A/CCN4/REG1A/COMP/HMMR/CXCL6/PF4/AMBP/REG4/SAA1/SERPINA10/VTN/LPA,38
GO:0004175,endopeptidase activity,43/787,327/15085,0.131498470948012,2.5205266000645,6.52171966944287,2.08397598762874e-08,1.8825249754913e-06,1.67693038536675e-06,MMP7/MMP1/TMPRSS5/SHH/MMP12/MMP10/PRSS22/ESPL1/PCSK9/TMPRSS3/MMP3/FAP/GZMB/MMP9/KLK11/KLK10/F12/ADAMTS12/C2/ADAM12/ADAMTS6/MMP11/CFB/PLAU/F2/PRSS33/CTSV/PRSS54/ADAMTS2/TMPRSS13/CFI/CORIN/HTRA3/MME/HPN/CPS1/KLK12/MMP13/KLK6/F7/ADAMTS18/LPA/PRSS2,43
GO:0005201,extracellular matrix structural constituent,26/787,155/15085,0.167741935483871,3.21523138090749,6.5037377648501,1.16888438598089e-07,8.8633595593301e-06,7.89537305213842e-06,CHI3L1/MUC5AC/TGFBI/CTHRC1/COL11A1/LAMC2/BGN/ANOS1/SRPX2/COL12A1/ACAN/THBS2/COL5A2/MFAP2/COL8A1/COL1A1/SPARC/ESM1/COMP/COL7A1/COL1A2/COL4A1/COL10A1/MATN3/COL22A1/VTN,26
GO:0008009,chemokine activity,13/787,42/15085,0.30952380952381,5.93286742905549,7.51043069836106,1.19922454062277e-07,8.8633595593301e-06,7.89537305213842e-06,CXCL10/CXCL8/CXCL11/CXCL5/CXCL9/CXCL3/CXCL1/CCL24/CXCL2/CCL3L3/CXCL6/PF4/CCL20,13
GO:0008083,growth factor activity,22/787,120/15085,0.183333333333333,3.51408301567133,6.48693965965305,2.22499758666104e-07,1.50743586496286e-05,1.34280556107263e-05,GDF15/INHBA/LIF/MACC1/AGT/CRIPTO/EREG/AREG/TIMP1/BMP7/CXCL1/OSM/F2/JAG2/VGF/REG1A/IL11/CRIPTO3/INHBB/FGF18/AMH/IL6,22
GO:0001664,G protein-coupled receptor binding,32/787,237/15085,0.135021097046414,2.58804733029879,5.78111511556007,7.46483157865965e-07,4.668390825731e-05,4.15854585110756e-05,CXCL10/CXCL8/CXCL11/ZNRF3/CXCL5/RNF43/AGT/CTHRC1/HOMER1/CXCL9/RPGRIP1L/WNT2/WNT5A/CXCL3/CXCL1/WNT3/NMU/CCL24/CXCL2/NMB/WNT11/CCL3L3/GAL/PMCH/FPR1/APLN/CXCL6/PF4/TAFA5/CCL20/SAA1/NPW,32
GO:0005179,hormone activity,16/787,75/15085,0.213333333333333,4.08911478187209,6.2919072629026,1.22470862128289e-06,7.1120579221642e-05,6.3353348228769e-05,TG/GDF15/INHBA/AGT/HAMP/STC2/NMB/STC1/REG3A/VGF/GAL/PMCH/APLN/INHBB/ERFE/AMH,16
