category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,39/439,230/7217,0.169565217391304,2.78759037337823,7.01158646051319,3.21300626428547e-09,1.00245795445707e-06,9.30080760714215e-07,1237/3627/3576/8600/6373/3557/9966/3598/3553/9518/3624/6374/3976/4283/51330/8744/655/4982/2921/2919/5008/6369/8771/90865/2920/10913/3589/414062/9560/3552/3579/6372/5196/3625/51561/6364/3577/268/3569,39
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,21/439,82/7217,0.25609756097561,4.21015056392022,7.43986542535844,1.04700492839935e-08,1.63332768830299e-06,1.5154018700517e-06,3627/3576/3553/4312/4586/6374/4314/4318/2921/2919/8061/2920/6280/225689/5743/6372/3934/6279/6364/3569/4322,21
Organismal Systems,Development and regeneration,hsa04382,Cornified envelope formation,26/439,131/7217,0.198473282442748,3.26282842685493,6.65145167150276,5.84681627132158e-08,6.08068892217445e-06,5.64166482320504e-06,1828/1830/9076/6282/9075/3855/144501/3918/25984/5317/3872/147409/6280/51208/1294/1282/285848/6279/23562/6273/6274/5522/29943/3854/9080/26154,26
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,28/439,157/7217,0.178343949044586,2.93190952222045,6.22822077610577,1.96114087302985e-07,1.52968988096328e-05,1.4192466844295e-05,8318/4998/595/990/4173/993/4171/4609/1019/9319/891/994/23594/9700/4085/90381/9088/113130/81620/1869/699/9232/701/991/5347/983/27085/7272,28
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,26/439,163/7217,0.159509202453988,2.62227315287114,5.33125917276249,4.80376379360062e-06,0.00025913894518779,0.000240429183288266,4316/9620/595/147495/4609/84133/54894/8549/85407/1951/51176/7472/85409/7474/8313/7473/8061/59352/7481/8840/5582/6932/147111/6424/11211/27123,26
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,18/439,89/7217,0.202247191011236,3.32487010826444,5.61616154632805,4.98344125361134e-06,0.00025913894518779,0.000240429183288266,1237/3627/3576/6373/6374/4283/2921/2919/6369/2920/414062/9560/3579/6372/5196/6364/3577/3569,18
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,17/439,86/7217,0.197674418604651,3.24969539651428,5.34106012827506,1.25868582075094e-05,0.000561014251534707,0.000520509173994752,3576/8600/3553/4312/6374/90423/4314/2921/2919/2920/3589/414062/3552/6372/51561/6364/3569,17
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,14/439,70/7217,0.2,3.2879271070615,4.89507164847191,6.41307850740891e-05,0.00250110061788947,0.00232052182833875,725/722/2149/2161/5270/717/629/5328/2147/2151/5054/3426/7448/2155,14
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,21/439,148/7217,0.141891891891892,2.33265098811796,4.16867495061539,0.000222035584967042,0.00769723361219078,0.00714149542291655,84962/595/4609/332/85407/374/51176/7472/85409/7474/7004/655/8313/7473/7481/5054/6932/7161/5522/11211/268,21
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,28/439,231/7217,0.121212121212121,1.99268309518879,3.902402539558,0.000335798386513395,0.0104769096592179,0.00972047960959829,1909/27346/183/2149/2906/6755/2568/3352/2904/4985/2147/10874/4828/2918/7425/2151/2358/51083/1813/5367/2357/2925/8862/64106/5021/2563/283869/5645,28
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,12/439,67/7217,0.17910447761194,2.94441233468194,4.06913864955758,0.000618820545817002,0.0175520009359004,0.0162847512057106,1828/717/25984/629/3872/2215/2214/2358/3426/2357/1671/2209,12
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,17/439,124/7217,0.137096774193548,2.25382100080829,3.58394340141365,0.00128193085214117,0.0329880477649449,0.0306063196199725,717/2904/92815/2215/2214/8354/8348/8356/126961/2209/85235/8346/8332/333932/128312/8335/8968,17
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,13/439,83/7217,0.156626506024096,2.57488267420479,3.67240389242029,0.00138214475035202,0.0329880477649449,0.0306063196199725,3673/960/3918/6696/7058/1277/22801/1311/3161/1278/1282/341640/7448,13
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,20/439,159/7217,0.125786163522013,2.06787868368648,3.46504909838621,0.00148023291252958,0.0329880477649449,0.0306063196199725,4233/1944/5268/595/993/4609/960/994/9493/6659/113130/4318/1789/1869/5328/7473/5582/6624/5743/54541,20
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,21/439,177/7217,0.11864406779661,1.95046523300259,3.25811402399911,0.00237618227984885,0.049424591420856,0.0458561492602409,1183/366/92815/2215/2214/4353/8354/5582/2358/8348/2357/8356/126961/2209/85235/8346/8332/333932/128312/8335/8968,21
