ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-375276,Peptide ligand-binding receptors,34/552,143/9638,0.237762237762238,4.151363129624,9.35778549616656,5.5801891014464e-13,6.23307122631563e-10,5.53319803532896e-10,CCR8/CXCL10/CXCL8/CXCL11/EDNRA/CXCL5/AGT/F2R/CXCL9/SSTR5/CXCL3/CXCL1/OPRD1/F2/NMU/CXCL2/NMB/F2RL2/CCL3L3/FPR2/GAL/PMCH/FPR1/GRPR/APLN/CXCR2/CXCL6/PF4/NPFFR1/OXTR/CCL20/CXCR1/SAA1/NPW,34
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),39/552,241/9638,0.161825726141079,2.82550063142703,7.07375473226858,2.81480431215596e-09,1.20642238845585e-06,1.07096064639816e-06,CCR8/CXCL10/CXCL8/CXCL11/EDNRA/CXCL5/AGT/F2R/CXCL9/SSTR5/HCAR2/GPR143/HTR1D/HCAR3/CXCL3/CXCL1/OPRD1/F2/NMU/CXCL2/NMB/F2RL2/CCL3L3/FPR2/GAL/DRD2/PMCH/FPR1/GRPR/APLN/CXCR2/CXCL6/PF4/NPFFR1/OXTR/CCL20/CXCR1/SAA1/NPW,39
R-HSA-1442490,Collagen degradation,18/552,60/9638,0.3,5.23804347826087,8.11629303785465,3.24016756075878e-09,1.20642238845585e-06,1.07096064639816e-06,MMP7/MMP1/MMP12/MMP10/MMP3/COL11A1/MMP9/MMP11/COL12A1/COL5A2/COL8A1/COL1A1/COL7A1/COL1A2/COL4A1/COL10A1/MMP13/PRSS2,18
R-HSA-500792,GPCR ligand binding,47/552,330/9638,0.142424242424242,2.48674791392183,6.77361054019307,4.85264558907299e-09,1.35510128074863e-06,1.20294530129125e-06,CCR8/CXCL10/CXCL8/CXCL11/EDNRA/CXCL5/AGT/SHH/F2R/CXCL9/SSTR5/WNT2/HCAR2/GPR143/WNT5A/HTR1D/HCAR3/CXCL3/CXCL1/OPRD1/F2/WNT3/NMU/CXCL2/NMB/GRM8/WNT11/GNG4/F2RL2/CCL3L3/FPR2/GAL/DRD2/PMCH/FPR1/GRPR/APLN/CXCR2/CXCL6/PF4/NPFFR1/OXTR/CCL20/CXCR1/SAA1/FZD10/NPW,47
R-HSA-1474244,Extracellular matrix organization,43/552,294/9638,0.146258503401361,2.55369466627231,6.6684826762567,1.012325009133e-08,2.26153407040311e-06,2.00760033390165e-06,MMP7/SNTB1/ITGA2/CEACAM6/MMP1/CD44/MMP12/MMP10/MMP3/COL11A1/TIMP1/MMP9/LAMC2/BGN/SPP1/ADAM12/BMP7/MMP11/COL12A1/ACAN/COL5A2/MFAP2/COL8A1/CTSV/COL1A1/SERPINE1/ITGA11/SPARC/SERPINH1/P4HA3/ADAMTS2/COMP/COL7A1/COL1A2/COL4A1/LOXL2/COL10A1/MATN3/COL22A1/MMP13/VTN/ADAMTS18/PRSS2,43
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,22/552,99/9638,0.222222222222222,3.88003220611916,7.09933417275656,2.81041128785597e-08,4.6372719615267e-06,4.11658124464793e-06,CXCL8/IL13RA2/CCND1/IL1B/MMP1/MYC/BIRC5/LIF/MMP3/TIMP1/MMP9/OSM/OPRD1/TWIST1/COL1A2/FSCN1/IL1A/PTGS2/LCN2/IL23A/SAA1/IL6,22
R-HSA-6783783,Interleukin-10 signaling,14/552,41/9638,0.341463414634146,5.96200070696359,7.84756831246321,2.90607911644466e-08,4.6372719615267e-06,4.11658124464793e-06,CXCL10/CXCL8/IL1RN/IL1B/LIF/TIMP1/CXCL1/CXCL2/CCL3L3/IL1A/FPR1/PTGS2/CCL20/IL6,14
R-HSA-1474228,Degradation of the extracellular matrix,25/552,126/9638,0.198412698412698,3.46431446974925,6.86277216251886,3.6059494649261e-08,5.03480694040307e-06,4.46947946836894e-06,MMP7/MMP1/CD44/MMP12/MMP10/MMP3/COL11A1/TIMP1/MMP9/LAMC2/SPP1/MMP11/COL12A1/ACAN/COL5A2/COL8A1/CTSV/COL1A1/COL7A1/COL1A2/COL4A1/COL10A1/MMP13/ADAMTS18/PRSS2,25
R-HSA-1474290,Collagen formation,20/552,85/9638,0.235294117647059,4.10826939471441,7.09434538865374,4.34628839028173e-08,5.39422681327188e-06,4.78854229666127e-06,MMP7/MMP3/COL11A1/MMP9/LAMC2/COL12A1/COL5A2/COL8A1/CTSV/COL1A1/SERPINH1/P4HA3/ADAMTS2/COL7A1/COL1A2/COL4A1/LOXL2/COL10A1/COL22A1/MMP13,20
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,16/552,59/9638,0.271186440677966,4.73495455662,7.09259796990077,1.18662223108728e-07,1.22310264357266e-05,1.08576797836823e-05,MMP7/MMP3/COL11A1/MMP9/LAMC2/COL12A1/COL5A2/COL8A1/CTSV/COL1A1/COL7A1/COL1A2/COL4A1/LOXL2/COL10A1/MMP13,16
