ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006814,sodium ion transport,56/1195,204/14533,0.274509803921569,3.33845270325704,10.0678566556456,2.48668776444142e-16,1.21051960373008e-12,1.07686668030653e-12,SLC22A4/SLC9A1/TRPV3/GRIN2A/SCNN1G/SLC23A1/TRPM4/CHP1/SLC22A5/SLC6A7/SLC10A4/ANK3/SCN9A/SLC6A8/SCN4B/SLC6A19/P2RX4/SLC4A10/SCNN1B/GUCA2B/SLC17A4/CLCNKB/SLC4A4/NEDD4L/OSR1/SCN7A/SLC9A9/PER1/SCN3A/SLC9A2/FXYD1/SCN11A/ATP1B2/SLC9A3/ATP1A2/KCNK3/SLC8A3/SGK1/SLC10A1/FXYD3/SLC17A1/CNTN1/SLC13A2/GRIN1/SPTBN4/SLC5A11/SCN2B/CNGA1/NKAIN3/SLC5A12/DMD/SLC38A4/CNGA3/FXYD6/SLC17A8/SCN3B,56
GO:0035725,sodium ion transmembrane transport,43/1195,148/14533,0.290540540540541,3.53341060725998,9.27220019515346,8.73435053728595e-14,2.1259409207754e-10,1.89121674265234e-10,SLC9A1/TRPV3/GRIN2A/SCNN1G/SLC23A1/TRPM4/CHP1/SLC6A7/SCN9A/SLC6A8/SCN4B/SLC6A19/SLC4A10/SCNN1B/SLC17A4/SLC4A4/NEDD4L/OSR1/SCN7A/SLC9A9/SCN3A/SLC9A2/FXYD1/SCN11A/ATP1B2/SLC9A3/ATP1A2/KCNK3/SLC8A3/FXYD3/SLC17A1/SLC13A2/GRIN1/SLC5A11/SCN2B/CNGA1/SLC5A12/DMD/SLC38A4/CNGA3/FXYD6/SLC17A8/SCN3B,43
GO:0042391,regulation of membrane potential,74/1195,386/14533,0.191709844559585,2.33148047781126,7.93592526815437,3.59556562809167e-12,5.83440449251674e-09,5.19023052419969e-09,SLC9A1/GRIN2A/GRIK2/NRXN1/CELF4/MYOC/KCNA6/TRPM4/GRIK4/ADRB1/SLC26A3/GNA11/GRIA4/ANK3/SCN9A/ABCB5/GRIK3/CHRNA1/KCNH1/BCL2/KCNQ5/SCN4B/P2RX1/CD36/P2RX4/KCNG3/ABCC8/MPP2/NTRK3/GRIA3/SLC4A4/NEDD4L/CNR2/PID1/P2RX6/MEF2C/SCN7A/GABRB3/ANK2/SCN3A/FXYD1/NTRK2/SCN11A/NLGN4X/RIMS4/KCNG1/BEST2/ATP1B2/ATP1A2/CHRNA7/KCNK3/SLC8A3/RELN/KCNA3/CASQ2/GPER1/GRIN1/KCNMA1/UCN3/FHL1/SCN2B/TMEM108/PLN/CHRM1/DMD/GLRA2/AKAP7/AKAP6/GRIK5/CACNA1H/CTNNA3/KCNB1/SCN3B/KCNA5,74
GO:0050804,modulation of chemical synaptic transmission,80/1195,445/14533,0.179775280898876,2.18633820694843,7.60790607216408,1.45401990742549e-11,1.59128287288752e-08,1.41559004866567e-08,LGI1/GRIN2A/GRIK2/NRXN1/SLITRK4/CELF4/NPY/INA/KIT/GRIK4/ADGRB1/VAMP2/CAMK2A/PRRT1/LRRTM1/PLCL2/GRIA4/ARHGAP44/PRRT2/GRIK3/CHRNA1/NEURL1/ADRA2A/NEFL/P2RX1/FAM107A/PRKAR2B/SLC4A10/SCTR/FRRS1L/PDE9A/MPP2/SYP/ITPKA/CNTN4/CA7/GRIA3/CA2/JPH4/SNAP25/CNR2/MEF2C/PRKCB/CALB2/CYP46A1/NTRK2/PTN/P2RY1/NLGN4X/RIMS4/EPHA7/ACHE/CHRDL1/SYNGR1/ADORA3/SNCG/ATP1A2/CHRNA7/SLC8A3/S100B/CACNA1A/RELN/IGF1/GPER1/GRIN1/CBLN2/GNAO1/TMEM108/CHRM1/SV2B/BCHE/GLRA2/CNTN2/AKAP7/GRIK5/SLITRK5/NGFR/CAMK2B/SYT5/KCNB1,80
GO:0099177,regulation of trans-synaptic signaling,80/1195,446/14533,0.179372197309417,2.1814361033454,7.58524653970691,1.63443187437091e-11,1.59128287288752e-08,1.41559004866567e-08,LGI1/GRIN2A/GRIK2/NRXN1/SLITRK4/CELF4/NPY/INA/KIT/GRIK4/ADGRB1/VAMP2/CAMK2A/PRRT1/LRRTM1/PLCL2/GRIA4/ARHGAP44/PRRT2/GRIK3/CHRNA1/NEURL1/ADRA2A/NEFL/P2RX1/FAM107A/PRKAR2B/SLC4A10/SCTR/FRRS1L/PDE9A/MPP2/SYP/ITPKA/CNTN4/CA7/GRIA3/CA2/JPH4/SNAP25/CNR2/MEF2C/PRKCB/CALB2/CYP46A1/NTRK2/PTN/P2RY1/NLGN4X/RIMS4/EPHA7/ACHE/CHRDL1/SYNGR1/ADORA3/SNCG/ATP1A2/CHRNA7/SLC8A3/S100B/CACNA1A/RELN/IGF1/GPER1/GRIN1/CBLN2/GNAO1/TMEM108/CHRM1/SV2B/BCHE/GLRA2/CNTN2/AKAP7/GRIK5/SLITRK5/NGFR/CAMK2B/SYT5/KCNB1,80
GO:0003012,muscle system process,73/1195,396/14533,0.184343434343434,2.24189383373484,7.49988709346239,3.4973484535862e-11,2.83751537867627e-08,2.52422658562344e-08,MYOT/SLC9A1/MYOC/KIT/TRPM4/MB/SCN9A/CHRNA1/ACACB/ADRA2A/SLC6A8/KLF4/SCN4B/P2RX1/GSTM2/P2RX4/PDE9A/SCNN1B/ABCC8/SRI/CHGA/EDN3/SSPN/RYR1/JPH4/NEDD4L/P2RX6/NMUR1/SCN7A/HTR7/ANK2/SCN3A/GSN/PI16/FXYD1/P2RY1/SCN11A/RYR3/ATP1A2/MEIS1/ATP8A2/SLC8A3/TNNI3K/HRC/CASQ2/IGF1/EDN2/GPER1/ASB2/KCNMA1/CRYAB/SCN2B/GNAO1/PLN/SGCA/MYOCD/DMD/MYH11/LMOD1/MYLK/AKAP6/HAND2/MYH4/CAMK2B/CACNA1H/CTNNA3/CNN1/DES/SYNM/JPH2/SCN3B/MYL9/KCNA5,73
GO:0042445,hormone metabolic process,47/1195,205/14533,0.229268292682927,2.78824778038575,7.71814848513508,6.92916125010826e-11,4.818736709361e-08,4.28670216284893e-08,PCSK2/HSD17B2/ANPEP/DHRS9/DHRS11/PCSK5/AKR1B10/UGT1A7/UGT1A3/BMP5/RDH5/RETSAT/UGT1A1/UGT1A8/BMP2/UGT1A9/CTSG/SCNN1B/ADH1B/AKR1B15/SLCO1C1/AKR1C2/PAPSS2/GCNT4/NR5A2/MEP1A/TPO/NR3C1/CMA1/CYP46A1/UGT2B15/ADH1C/GHR/UGT2B17/SULT1B1/CYP26B1/CYP2C18/HSD3B2/ADH1A/CYP3A4/CYP21A2/ADH6/BCHE/PCSK1N/SLC26A7/CACNA1H/CRHBP,47
GO:0010817,regulation of hormone levels,81/1195,476/14533,0.170168067226891,2.06950001758025,7.1013225736972,1.82878689229341e-10,1.11281682396054e-07,9.89951220380934e-08,PCSK2/EFNA5/HSD17B2/ANPEP/TRPM4/DHRS9/DHRS11/GNA11/PCSK5/AKR1B10/UGT1A7/ADRA2A/LTBP4/UGT1A3/BMP5/NR1H4/RDH5/RETSAT/UGT1A1/UGT1A8/BMP2/GIPR/UGT1A9/CTSG/SCNN1B/ABCC8/SMPD3/SLC17A4/ADH1B/AKR1B15/SRI/ADCY5/SLCO1C1/CHGA/AKR1C2/PAPSS2/EDN3/GCG/VIP/ABCB1/GCNT4/SNAP25/NR5A2/MEP1A/TPO/PRKCB/NR3C1/CMA1/CYP46A1/P2RY1/UGT2B15/ADH1C/CCL5/GHR/BLK/UGT2B17/SULT1B1/FAM3D/ACVR1C/TRPV6/CYP26B1/CYP2C18/C1QTNF12/GPER1/HSD3B2/UCN3/NEUROD1/GNAO1/RFX6/ADH1A/CYP3A4/CYP21A2/ADH6/BCHE/PCSK1N/ECRG4/SLC26A7/CACNA1H/CRHBP/KCNB1/KCNA5,81
GO:0006936,muscle contraction,60/1195,311/14533,0.192926045016077,2.34627130729594,7.18346099489452,3.19191854892522e-10,1.55677331676773e-07,1.38489067707097e-07,MYOT/SLC9A1/KIT/TRPM4/MB/SCN9A/CHRNA1/ADRA2A/SLC6A8/SCN4B/P2RX1/GSTM2/P2RX4/SCNN1B/SRI/CHGA/EDN3/SSPN/RYR1/JPH4/NEDD4L/P2RX6/NMUR1/SCN7A/HTR7/ANK2/SCN3A/GSN/FXYD1/SCN11A/RYR3/ATP1A2/ATP8A2/SLC8A3/TNNI3K/HRC/CASQ2/EDN2/GPER1/KCNMA1/CRYAB/SCN2B/GNAO1/PLN/SGCA/MYOCD/DMD/MYH11/LMOD1/MYLK/MYH4/CACNA1H/CTNNA3/CNN1/DES/SYNM/JPH2/SCN3B/MYL9/KCNA5,60
GO:0071294,cellular response to zinc ion,13/1195,20/14533,0.65,7.90497907949791,9.24911241600954,3.3096687858761e-10,1.55677331676773e-07,1.38489067707097e-07,MT1E/MT1M/MT1F/MT1G/P2RX4/MT1X/MT1H/GABRB3/MT2A/KCNK3/MT1A/GLRA2/MT3,13
GO:0043269,regulation of monoatomic ion transport,67/1195,367/14533,0.182561307901907,2.22022049183131,7.08678109816993,3.51777043641023e-10,1.55677331676773e-07,1.38489067707097e-07,TRPV3/GRIN2A/CHP1/VAMP2/CAMK2A/ANK3/BCL2/ADRA2A/SCN4B/P2RX1/GSTM2/RGS9/P2RX4/KCNG3/ABCC8/P2RY12/AHNAK/DPP10/SRI/CA7/CA2/EDN3/GCG/JPH4/ABCB1/NEDD4L/LRRC26/OSR1/CXCL12/PER1/ANK2/FXYD1/P2RY1/KCNG1/ATP8B1/CCL5/ATP1B2/ATP1A2/KCNIP4/FXYD3/PDZK1/PRKG2/HRC/CASQ2/CNTN1/GPER1/GRIN1/SPTBN4/FHL1/SCN2B/FCRL3/CD19/PLN/NKAIN3/CHRM1/MS4A1/DMD/MYLK/FXYD6/AKAP7/AKAP6/CAMK2B/DPP6/KCNIP3/JPH2/ADCYAP1R1/SCN3B,67
GO:0006805,xenobiotic metabolic process,31/1195,111/14533,0.279279279279279,3.39645670775378,7.58611849866295,7.52082022895025e-10,2.68483195481544e-07,2.38840086972078e-07,CMBL/ABCB11/CYP4F12/SULT1A2/UGT1A7/UGT1A3/UGT1A10/UGT1A6/GSTM2/UGT1A1/UGT1A8/UGT1A9/CES2/CES3/ABCB1/GSTM1/CYP46A1/UGT2B15/UGT2B17/FMO5/SULT1B1/UGT2A3/CYP26B1/CYP2C18/GRIN1/SLC28A2/NAT2/GSTA1/CYP3A4/BCHE/FMO2,31
GO:0010273,detoxification of copper ion,10/1195,12/14533,0.833333333333333,10.1345885634589,9.47507468371723,7.72137374022519e-10,2.68483195481544e-07,2.38840086972078e-07,MT1E/MT1M/MT1F/MT1G/MT1X/MT1H/MT2A/MT1A/MUC2/MT3,10
GO:1990169,stress response to copper ion,10/1195,12/14533,0.833333333333333,10.1345885634589,9.47507468371723,7.72137374022519e-10,2.68483195481544e-07,2.38840086972078e-07,MT1E/MT1M/MT1F/MT1G/MT1X/MT1H/MT2A/MT1A/MUC2/MT3,10
