ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0046873,metal ion transmembrane transporter activity,80/1213,358/15085,0.223463687150838,2.77901873097312,10.0735840151177,1.72085498636894e-17,1.56597803759573e-14,1.23358131128131e-14,SLC9A1/TRPV3/GRIN2A/GRIK2/SCNN1G/SLC23A1/KCNA6/TRPM4/CHP1/GRIK4/SLC6A7/SLC10A4/SCN9A/TMEM37/GRIK3/KCNH1/PKD1L2/SLC6A8/ATP2A3/SLC30A10/KCNQ5/SCN4B/P2RX1/P2RX4/KCNG3/SLC4A10/SLC30A4/SCNN1B/ABCC8/SLC17A4/TRPM6/GRIA3/RYR1/SLC4A4/SNAP25/LRRC26/SCN7A/SLC9A9/SCN3A/SLC41A2/SLC9A2/KCNN3/SCN11A/KCNG1/RYR3/MCOLN2/SLC9A3/ATP1A2/CHRNA7/KCNK10/KCNK3/SLC8A3/SLC10A1/KCNIP4/SLC17A1/CACNA1A/TRPV6/KCNT2/KCNA3/SLC13A2/GRIN1/KCNMA1/SLC5A11/SCN2B/CNGA1/SLC28A2/SLC5A12/SLC38A4/CNGA3/TRPC7/GRIK5/SLC17A8/CACNA1H/GPM6A/SLC18A1/KCNIP3/KCNMB1/KCNB1/SCN3B/KCNA5,80
GO:0005216,monoatomic ion channel activity,74/1213,340/15085,0.217647058823529,2.70668250812279,9.41215194770471,1.30372723709036e-15,5.93195892876112e-13,4.67283288662386e-13,TRPV3/GRIN2A/GRIK2/SCNN1G/CLIC6/KCNA6/TRPM4/GRIK4/GRIA4/SCN9A/TMEM37/OTOP2/GRIK3/CHRNA1/KCNH1/PKD1L2/KCNQ5/SCN4B/P2RX1/BEST4/P2RX4/KCNG3/SCNN1B/ABCC8/TRPM6/GRIA3/TMEM63C/CLCNKB/CLCA4/RYR1/SNAP25/ANO5/P2RX6/LRRC26/CLIC5/SCN7A/GABRB3/SCN3A/FXYD1/KCNN3/SCN11A/KCNG1/BEST2/RYR3/MCOLN2/CHRNA7/KCNK10/KCNK3/KCNIP4/FXYD3/CACNA1A/TRPV6/CLCA1/KCNT2/KCNA3/GRIN1/KCNMA1/SCN2B/CNGA1/CLCA2/CNGA3/GLRA2/TRPC7/GRIK5/SLC17A8/SLC26A7/CACNA1H/GPM6A/KCNIP3/KCNMB1/KCNB1/SCN3B/OTOP3/KCNA5,74
GO:0015081,sodium ion transmembrane transporter activity,42/1213,133/15085,0.315789473684211,3.92719225929622,10.0264350893818,3.18082675904398e-15,7.03803636213996e-13,5.54413275028029e-13,SLC9A1/TRPV3/GRIK2/SCNN1G/SLC23A1/TRPM4/CHP1/GRIK4/SLC6A7/SLC10A4/SCN9A/GRIK3/SLC6A8/SCN4B/SLC4A10/SCNN1B/SLC17A4/SLC4A4/SCN7A/SLC9A9/SCN3A/SLC9A2/SCN11A/SLC9A3/ATP1A2/KCNK3/SLC8A3/SLC10A1/SLC17A1/SLC13A2/GRIN1/SLC5A11/SCN2B/CNGA1/SLC28A2/SLC5A12/SLC38A4/CNGA3/GRIK5/SLC17A8/SLC18A1/SCN3B,42
GO:0015267,channel activity,79/1213,384/15085,0.205729166666667,2.55847030434185,9.14765605535688,3.86705294623075e-15,7.03803636213996e-13,5.54413275028029e-13,TRPV3/GRIN2A/GRIK2/SCNN1G/AQP8/CLIC6/AQP7/KCNA6/TRPM4/GRIK4/GRIA4/SCN9A/TMEM37/OTOP2/GRIK3/CHRNA1/KCNH1/BCL2/PKD1L2/KCNQ5/SCN4B/P2RX1/BEST4/P2RX4/KCNG3/SCNN1B/ABCC8/TRPM6/GRIA3/TMEM63C/CLCNKB/CLCA4/RYR1/SNAP25/ANO5/P2RX6/LRRC26/CLIC5/SCN7A/GABRB3/SCN3A/FXYD1/KCNN3/SCN11A/KCNG1/BEST2/RYR3/MCOLN2/CHRNA7/KCNK10/KCNK3/KCNIP4/FXYD3/CACNA1A/TRPV6/CLCA1/KCNT2/KCNA3/GRIN1/KCNMA1/SCN2B/CNGA1/AQP12A/CLCA2/CNGA3/GLRA2/GJA9/TRPC7/GRIK5/SLC17A8/SLC26A7/CACNA1H/GPM6A/KCNIP3/KCNMB1/KCNB1/SCN3B/OTOP3/KCNA5,79
GO:0022803,passive transmembrane transporter activity,79/1213,384/15085,0.205729166666667,2.55847030434185,9.14765605535688,3.86705294623075e-15,7.03803636213996e-13,5.54413275028029e-13,TRPV3/GRIN2A/GRIK2/SCNN1G/AQP8/CLIC6/AQP7/KCNA6/TRPM4/GRIK4/GRIA4/SCN9A/TMEM37/OTOP2/GRIK3/CHRNA1/KCNH1/BCL2/PKD1L2/KCNQ5/SCN4B/P2RX1/BEST4/P2RX4/KCNG3/SCNN1B/ABCC8/TRPM6/GRIA3/TMEM63C/CLCNKB/CLCA4/RYR1/SNAP25/ANO5/P2RX6/LRRC26/CLIC5/SCN7A/GABRB3/SCN3A/FXYD1/KCNN3/SCN11A/KCNG1/BEST2/RYR3/MCOLN2/CHRNA7/KCNK10/KCNK3/KCNIP4/FXYD3/CACNA1A/TRPV6/CLCA1/KCNT2/KCNA3/GRIN1/KCNMA1/SCN2B/CNGA1/AQP12A/CLCA2/CNGA3/GLRA2/GJA9/TRPC7/GRIK5/SLC17A8/SLC26A7/CACNA1H/GPM6A/KCNIP3/KCNMB1/KCNB1/SCN3B/OTOP3/KCNA5,79
GO:0022890,inorganic cation transmembrane transporter activity,92/1213,500/15085,0.184,2.28824402308326,8.66261561350947,2.68777924058504e-14,4.07646518155398e-12,3.21118888217266e-12,SLC9A1/TRPV3/GRIN2A/GRIK2/ATP6V1G2/SLC36A1/SCNN1G/SLC23A1/AQP8/KCNA6/TRPM4/CHP1/GRIK4/SLC6A7/GRIA4/SLC10A4/SCN9A/TMEM37/OTOP2/GRIK3/KCNH1/PKD1L2/SLC6A8/ATP2A3/SLC30A10/KCNQ5/SCN4B/P2RX1/P2RX4/KCNG3/SLC4A10/SLC30A4/SCNN1B/ABCC8/SLC45A2/SLC17A4/TRPM6/MT-ND6/GRIA3/TMEM63C/RYR1/SLC4A4/SNAP25/LRRC26/SCN7A/SLC9A9/ATP6V0D2/SCN3A/SLC41A2/SLC9A2/KCNN3/SCN11A/KCNG1/RYR3/MCOLN2/SLC9A3/SLC2A13/ATP1A2/CHRNA7/KCNK10/KCNK3/SLC8A3/SLC10A1/KCNIP4/SLC17A1/CACNA1A/TRPV6/KCNT2/KCNA3/SLC13A2/GRIN1/KCNMA1/SLC15A1/SLC5A11/SCN2B/CNGA1/SLC28A2/SLC5A12/SLC38A4/CNGA3/TRPC7/GRIK5/SLC17A8/CACNA1H/GPM6A/SLC18A1/KCNIP3/KCNMB1/KCNB1/SCN3B/OTOP3/KCNA5,92
GO:0005261,monoatomic cation channel activity,59/1213,259/15085,0.227799227799228,2.83293598627482,8.79841219407845,1.3257948365903e-13,1.72353328756739e-11,1.35769365972631e-11,TRPV3/GRIN2A/GRIK2/SCNN1G/KCNA6/TRPM4/GRIK4/SCN9A/TMEM37/OTOP2/GRIK3/CHRNA1/KCNH1/PKD1L2/KCNQ5/SCN4B/P2RX1/P2RX4/KCNG3/SCNN1B/ABCC8/TRPM6/GRIA3/TMEM63C/RYR1/SNAP25/P2RX6/LRRC26/SCN7A/SCN3A/KCNN3/SCN11A/KCNG1/BEST2/RYR3/MCOLN2/CHRNA7/KCNK10/KCNK3/KCNIP4/CACNA1A/TRPV6/KCNT2/KCNA3/GRIN1/KCNMA1/SCN2B/CNGA1/CNGA3/TRPC7/GRIK5/CACNA1H/GPM6A/KCNIP3/KCNMB1/KCNB1/SCN3B/OTOP3/KCNA5,59
GO:0022836,gated channel activity,53/1213,233/15085,0.227467811158798,2.82881445286931,8.31906002126762,2.5028081121188e-12,2.84694422753513e-10,2.24264779520119e-10,GRIN2A/GRIK2/SCNN1G/KCNA6/TRPM4/GRIK4/GRIA4/TMEM37/GRIK3/CHRNA1/KCNH1/KCNQ5/P2RX1/BEST4/P2RX4/KCNG3/SCNN1B/ABCC8/GRIA3/TMEM63C/CLCNKB/CLCA4/RYR1/SNAP25/ANO5/P2RX6/LRRC26/SCN7A/GABRB3/KCNN3/KCNG1/BEST2/RYR3/MCOLN2/CHRNA7/KCNK10/KCNK3/CACNA1A/CLCA1/KCNT2/KCNA3/GRIN1/KCNMA1/SCN2B/CNGA1/CLCA2/CNGA3/GLRA2/GRIK5/CACNA1H/KCNMB1/KCNB1/KCNA5,53
GO:0015276,ligand-gated monoatomic ion channel activity,35/1213,134/15085,0.261194029850746,3.24823737864675,7.72998346060214,2.52373111761646e-10,2.53548540820251e-08,1.99729966799989e-08,GRIN2A/GRIK2/SCNN1G/TRPM4/GRIK4/GRIA4/GRIK3/CHRNA1/P2RX1/BEST4/P2RX4/SCNN1B/ABCC8/GRIA3/TMEM63C/CLCA4/RYR1/ANO5/P2RX6/GABRB3/KCNN3/BEST2/RYR3/MCOLN2/CHRNA7/CLCA1/KCNT2/GRIN1/KCNMA1/CNGA1/CLCA2/CNGA3/GLRA2/GRIK5/KCNMB1,35
GO:0005272,sodium channel activity,19/1213,44/15085,0.431818181818182,5.37013790002248,8.58424780763009,2.78624770132144e-10,2.53548540820251e-08,1.99729966799989e-08,TRPV3/GRIK2/SCNN1G/TRPM4/GRIK4/SCN9A/GRIK3/SCN4B/SCNN1B/SCN7A/SCN3A/SCN11A/KCNK3/GRIN1/SCN2B/CNGA1/CNGA3/GRIK5/SCN3B,19
