category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,60/628,231/7217,0.25974025974026,2.98494499131442,9.46582574497147,2.30313722119128e-15,7.3470077356002e-13,6.25483582176159e-13,2903/2898/2846/1268/7068/4852/2900/153/2893/2899/1134/10022/150/5729/9340/1902/5023/7433/5025/2696/6344/1511/6751/2892/5697/1908/2641/7432/5540/1269/100996758/9127/10316/7253/2562/3363/2908/9934/5028/5745/6752/140/6750/5368/2690/1139/3360/4886/1133/1907/2902/114131/1128/6753/4543/2742/2901/66004/117/5030,60
Organismal Systems,Digestive system,hsa04976,Bile secretion,30/628,72/7217,0.416666666666667,4.78834925690021,9.9731757607098,3.90729570249753e-14,6.23213664548357e-12,5.30569626970718e-12,6548/8647/343/9429/54579/123264/54577/54659/9971/54575/54578/200931/54658/54576/54657/54600/6344/111/760/8671/5243/7366/482/6550/5567/477/7367/6554/79799/1576,30
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,26/628,58/7217,0.448275862068966,5.15160333845816,9.79990799600724,2.50378244019411e-13,2.66235532807307e-11,2.26658199849151e-11,54579/27306/54577/2949/4128/54659/54575/54578/2946/54658/54576/54657/54600/125/2944/7366/126/7367/2330/4129/79799/2938/124/1576/130/2327,26
Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,22/628,52/7217,0.423076923076923,4.86201616854483,8.62831501275029,7.2812208365033e-11,5.80677361711138e-09,4.94356572583645e-09,10170/54579/54577/54659/54575/5959/54578/54884/54658/54576/54657/54600/125/7366/126/7367/79799/56603/1562/124/1576/130,22
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,22/628,53/7217,0.415094339622642,4.77028001442134,8.50456456425066,1.144722363093e-10,7.30332867653333e-09,6.21764988795776e-09,6799/54579/27306/54577/2949/54659/54575/54578/2946/54658/54576/54657/54600/1646/2944/7366/7367/79799/1562/10/2938/1576,22
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,21/628,50/7217,0.42,4.82665605095541,8.38212356786484,2.34088196024495e-10,1.24456890886357e-08,1.05955709779508e-08,3294/10170/79154/54579/54577/3291/54659/54575/5959/54578/54658/54576/54657/54600/1646/7366/7367/79799/3284/1576/1589,21
Metabolism,Carbohydrate metabolism,hsa00040,Pentose and glucuronate interconversions,16/628,31/7217,0.516129032258065,5.93137456338607,8.49422110559176,7.81130484585108e-10,3.55972320832356e-08,3.03055135372869e-08,57016/54579/7358/54577/54659/54575/54578/54658/54576/54657/54600/441282/7360/7366/7367/79799,16
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,22/628,60/7217,0.366666666666667,4.21374734607219,7.71685212215303,1.94808615090308e-09,7.76799352672605e-08,6.61323982806573e-08,54579/27306/54577/2949/54659/54575/54578/2946/54658/54576/54657/54600/125/2944/7366/126/7367/79799/2938/124/1576/130,22
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,35/628,138/7217,0.253623188405797,2.91464737376535,7.01068925669379,3.79029689616067e-09,1.34344967763917e-07,1.14373871252568e-07,2903/2898/2900/153/2767/2893/2899/150/5023/5025/2788/64805/2892/111/9127/2562/5579/3363/9934/5028/43/140/5368/5567/1139/3360/1133/2902/94235/2775/1128/2901/246213/6570/5030,35
Metabolism,Carbohydrate metabolism,hsa00053,Ascorbate and aldarate metabolism,13/628,26/7217,0.5,5.74601910828026,7.48410449149814,5.21152982883981e-08,1.6624780153999e-06,1.41534178509544e-06,54579/7358/54577/54659/54575/54578/54658/54576/54657/54600/7366/7367/79799,13
