ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-211859,Biological oxidations,45/778,178/9638,0.252808988764045,3.13184194563993,8.50674281673234,2.16552562025955e-12,2.1200495822341e-09,1.94213455627488e-09,CMBL/CYP4F12/SULT1A2/UGT1A5/UGDH/HPGDS/UGT1A7/GSTM5/MAOA/UGT1A3/NR1H4/UGT1A10/UGT1A6/GSTM2/AOC1/UGT1A1/UGT1A8/UGT1A4/UGT1A9/CES2/ADH1B/CES3/GGT6/UGP2/GSTM1/CYP46A1/UGT2B15/ADH1C/UGT2B17/SULT1B1/MAOB/UGT2A3/CYP26B1/CYP2C18/CYP4B1/PTGS1/NAT2/AOC3/GSTA1/ADH1A/CYP3A4/CYP21A2/ADH6/ACSM5/FMO2,45
R-HSA-156588,Glucuronidation,14/778,20/9638,0.7,8.67172236503856,10.1767558639086,1.09353537076019e-11,5.35285563987113e-09,4.90364282046149e-09,UGT1A5/UGDH/UGT1A7/UGT1A3/UGT1A10/UGT1A6/UGT1A1/UGT1A8/UGT1A4/UGT1A9/UGP2/UGT2B15/UGT2B17/UGT2A3,14
R-HSA-9748784,Drug ADME,27/778,86/9638,0.313953488372093,3.88931069528308,7.97517425395872,3.20197724450418e-10,1.04491190745653e-07,9.57222670988619e-08,ABCG2/UGT1A5/UGT1A7/HSD11B2/UGT1A3/UGT1A10/PCK1/UGT1A6/UGT1A1/UGT1A8/UGT1A4/UGT1A9/CES2/GGT6/ABCB1/GSTM1/UGT2B15/UGT2B17/UGT2A3/XDH/SLC28A2/NAT2/GSTA1/ADH1A/CYP3A4/BCHE/ACSM5,27
R-HSA-500792,GPCR ligand binding,61/778,330/9638,0.184848484848485,2.28993534314871,7.0654624379312,4.78275767195807e-10,1.17057994021174e-07,1.0723446148706e-07,LPAR4/CNR1/NPY/ADRB1/INSL5/ADRA2A/PTGDR/GLP2R/LPAR1/VIPR1/ACKR2/GIPR/GNG7/CCL23/SCTR/P2RY12/SSTR1/PYY/EDN3/GCG/VIP/NPY4R/CNR2/NPY4R2/GPR55/WNT6/NMUR1/TSHR/CXCL12/HTR7/P2RY14/P2RY1/PTH1R/CCL28/SSTR2/ADORA3/XCL2/SST/PNOC/CCL5/CCR10/HTR4/NPY1R/CHRM5/EDN2/GPER1/UCN3/GNG8/PTGDR2/CCL21/ACKR1/CHRM1/WNT9A/SSTR3/MTNR1A/GPR17/CRHBP/ADCYAP1R1/CCR9/CCL19/P2RY4,61
R-HSA-9749641,Aspirin ADME,15/778,29/9638,0.517241379310345,6.40767662441273,8.64200438781494,9.36189668952662e-10,1.83305937180931e-07,1.67922862725825e-07,UGT1A5/UGT1A7/UGT1A3/UGT1A6/UGT1A1/UGT1A8/UGT1A4/UGT1A9/CES2/UGT2B15/UGT2B17/UGT2A3/CYP3A4/BCHE/ACSM5,15
R-HSA-112316,Neuronal System,60/778,329/9638,0.182370820668693,2.25924160617592,6.88651290223503,1.15743940720067e-09,1.88855529941576e-07,1.73006732444731e-07,TSPAN7/GRIN2A/GRIK2/SYT9/NRXN1/SLITRK4/EPB41L3/KCNA6/GRIK4/VAMP2/CAMK2A/LRRTM1/GRIA4/TUBAL3/GRIK3/CHRNA1/KCNH1/MAOA/KCNQ5/NEFL/NAAA/GNG7/PRKAR2B/KCNG3/ABCC8/NTRK3/GRIA3/ADCY5/SNAP25/GABRB3/PRKCB/LRRC4B/NBEA/KCNN3/NLGN4X/KCNG1/ACHE/RPS6KA6/PRKACB/CHRNA7/KCNK10/KCNK3/CACNA1A/KCNA3/NRG1/GRIN1/KCNMA1/PRKAA2/GNG8/BCHE/GLRA2/GRIK5/SLITRK5/TUBB4A/CAMK2B/KCNMB1/SLITRK3/KCNB1/SLITRK6/KCNA5,60
R-HSA-983712,Ion channel transport,37/778,156/9638,0.237179487179487,2.93822094786105,7.23201758950021,1.42468542125633e-09,1.99252432487136e-07,1.8253112464818e-07,TRPV3/ATP6V1G2/SCNN1G/TRPM4/CAMK2A/SGK2/ATP2A3/BEST4/SCNN1B/TRPM6/SRI/CLCNKB/CLCA4/RYR1/NEDD4L/ANO5/ATP6V0D2/FXYD1/BEST2/RYR3/MCOLN2/ATP8B1/ATP1B2/ATP1A2/ATP8A2/SGK1/ATP8A1/FXYD3/ATP13A4/TRPV6/CLCA1/CASQ2/PLN/CLCA2/FXYD6/TRPC7/CAMK2B,37
R-HSA-5660526,Response to metal ions,9/778,11/9638,0.818181818181818,10.1357793877074,8.98339151031146,6.60669919515302e-09,8.08494814006851e-07,7.40645751877681e-07,MT1E/MT1M/MT1F/MT1G/MT1X/MT1H/MT2A/MT1A/MT3,9
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),47/778,241/9638,0.195020746887967,2.41595110347844,6.59638554288462,8.79954627358416e-09,9.5719508909321e-07,8.76867067262421e-07,LPAR4/CNR1/NPY/ADRB1/INSL5/ADRA2A/PTGDR/LPAR1/ACKR2/CCL23/P2RY12/SSTR1/PYY/EDN3/NPY4R/CNR2/NPY4R2/GPR55/NMUR1/TSHR/CXCL12/HTR7/P2RY14/P2RY1/CCL28/SSTR2/ADORA3/XCL2/SST/PNOC/CCL5/CCR10/HTR4/NPY1R/CHRM5/EDN2/GPER1/PTGDR2/CCL21/ACKR1/CHRM1/SSTR3/MTNR1A/GPR17/CCR9/CCL19/P2RY4,47
R-HSA-388396,GPCR downstream signalling,76/778,493/9638,0.154158215010142,1.90973891551125,6.14458058818595,1.86605784048951e-08,1.82687062583923e-06,1.67355924220744e-06,LPAR4/PDE4C/CNR1/NPY/ADRB1/CAMK2A/GNA11/PDE3A/INSL5/ADRA2A/PTGDR/GLP2R/LPAR1/VIPR1/PDE1C/RGS9/GIPR/GNG7/PRKAR2B/CCL23/SCTR/P2RY12/SSTR1/PDE7B/ADCY5/PYY/EDN3/GCG/VIP/NPY4R/CNR2/NPY4R2/GPR15/GPR55/NMUR1/TSHR/CXCL12/PRKCB/HTR7/P2RY14/NBEA/P2RY1/PTH1R/CCL28/SSTR2/ADORA3/XCL2/SST/PNOC/CCL5/CCR10/PRKACB/HTR4/PDE2A/NPY1R/CHRM5/EDN2/GPER1/GNG8/RGS13/RASGRP2/PTGDR2/CCL21/CHRM1/SSTR3/MTNR1A/DGKB/TRPC7/GPR17/ARHGEF25/CAMK2B/RGS22/ADCYAP1R1/CCR9/CCL19/P2RY4,76
