"Cell_Type","Spearman_r","P_Value"
"Activated_CD8_T_cell",-0.107599123135906,0.00848016555547633
"MDSC",-0.0336080826239393,0.411898694107317
"Neutrophil",-0.00790853839832492,0.846919021679117
"Central_memory_CD8_T_cell",0.00209648417407106,0.959186024207271
"B_cell",0.00682563127472585,0.867672081546073
"Mast_cell",0.0320630685378136,0.433733073414349
"Type_1_T_helper_cell",0.0343316854511136,0.401900496359907
"Activated_B_cell",0.0427976421265798,0.295993456179152
"Activated_dendritic_cell",0.062908918717686,0.124347845564054
"Central_memory_CD4_T_cell",0.0687601412066446,0.0929648666646449
"Regulatory_T_cell",0.0751671826954607,0.066236133161296
"Activated_CD4_T_cell",0.0795362960047893,0.0519148863718428
"Type_17_T_helper_cell",0.106239905789662,0.00935142890365074
"Type_2_T_helper_cell",0.110047532484899,0.00709178906260679
"Monocyte",0.130066668258462,0.0014462826770626
"Effector_memory_CD4_T_cell",0.132748628205881,0.00114848948400919
"Plasmacytoid_dendritic_cell",0.139912885402327,0.000607733367108769
"T_follicular_helper_cell",0.150387366001256,0.000226952350374909
"Effector_memory_CD8_T_cell",0.159940999574676,8.72946073204893e-05
"Macrophage",0.16331727032323,6.14661562739927e-05
