"Symbol","Coefficient"
"CCNB1",0.0074414119107571
"CDC20",0.0977133784903579
"IL1B",0.212928147245
"PLK1",-0.438545944793061
"CDC45",-0.31156167139339
"DLGAP5",-0.19235955461387
"RRM2",-0.017685776729572
"KIF20A",-0.272810726341407
"CD44",0.0467776874604721
"TPX2",-0.423791310639345
"UBE2C",0.280953427193042
"MELK",-0.0937707911349807
"CENPA",0.150071493918828
"KIF4A",0.0454469700155366
"NUSAP1",0.0545197858440499
"KIF2C",-0.139747807169642
"CENPF",0.014363297457462
"CEP55",0.12384978421093
"MAD2L1",-0.275483982083641
"FOXM1",0.0981140666063652
"HJURP",0.497915455234064
"ESPL1",0.0396121796097757
"MCM10",0.584201949310272
"MYC",-0.101500459866483
"CDCA3",0.319422192655491
"CDCA5",0.269929663641465
"CDC6",-0.135491803771341
"PTTG1",-0.467322440753481
"RACGAP1",-0.256806930471905
"MMP9",-0.197420471917926
"MCM4",-0.137968666769517
"NCAPH",0.00325167391108787
"PRKACB",0.0210863541401822
"CXCL10",0.0981943009359048
"CXCL12",0.101143761255568
"CDT1",0.0811586979251133
"COL1A1",0.0406974858517499
"TRIP13",0.103613133059873
"KIF18A",0.0822877122810601
"CCND1",-0.116630992719237
"KIT",-0.0158574987636683
"MCM2",0.13875360606752
"DTL",0.124480550985494
"CXCL9",-0.381665622910667
"FCGR3A",0.224528065150348
"CXCL1",-0.0504416435793081
"CCL20",0.072784071533221
"AGT",-0.149109431918052
"CXCL2",-0.163947189031275
"ASF1B",-0.114652318666474
"BRCA2",-0.196945859422492
"SHCBP1",-0.0715359728658891
