Symbol,n_studies,method_used,pooled_log2FC,pooled_se,rem_pvalue,I2,tau2,Q,Q_pval,vote_up,vote_down,fisher_pvalue,rem_padj,fisher_padj
FAM228B,13,REML,0.876481953393291,0.0424344170812334,8.80611714671715e-95,11.4174683968042,0.00261276788846661,15.8720451937435,0.197167174731493,2,0,1.40052981696071e-114,1.42773577299725e-90,1.10227135545553e-113
LGI1,3,REML,5.35618444101456,0.260586869846587,7.04180114145186e-94,0,0,0.00844149348037088,0.995788148092658,3,0,2.15004841058181e-91,5.70843609531795e-90,1.22097144941376e-90
LY6G6D,7,REML,-4.35949822936479,0.215152663698741,2.76457107774211e-91,3.86425074938034,0.0151071537980703,7.91807622056444,0.244166921371171,0,7,1.5428765231131e-97,1.49406636278109e-87,9.54757903405831e-97
CCR8,3,REML,-2.4338012718763,0.131058974683733,5.59152878950153e-77,0,0,0.170179415640493,0.918429890362304,0,3,1.70446806979297e-74,2.26638640660471e-73,7.39089083058397e-74
RORB,2,REML,2.66384453805265,0.145754312778149,1.27888387307069e-74,0,0,0.22516486785229,0.635132416559969,2,0,2.21395263400923e-73,4.14690884681904e-71,9.42121103810804e-73
NUTM2A,12,REML,0.800610362209613,0.0439439253347382,3.65369383465728e-74,0.023664435457856,6.07152747863362e-06,10.7260881349992,0.466487929442112,0,0,7.33627437278048e-66,8.8498471821379e-71,2.78881632839132e-65
VEGFD,3,REML,3.34546864575067,0.183650874130994,3.82094185375719e-74,15.3292033228935,0.0214535123706336,1.64333630663701,0.439697559441751,3,0,2.15120621491804e-117,8.8498471821379e-71,1.75616849760655e-116
GSDMC,2,REML,-2.55374334648642,0.145687216404779,8.61516845899748e-69,0,0,0.0705549428821619,0.790530491321682,0,2,1.81970493596631e-67,1.74597157782158e-65,7.11255451466292e-67
MAML3,13,REML,0.565839625085549,0.0334498441049715,3.42587027801308e-64,1.33431632550286e-05,2.12289393523774e-09,9.24561663475161,0.681820660515376,1,0,2.70610791218723e-55,6.06699917636654e-61,8.71729139286541e-55
REG1B,5,REML,-5.95558898704846,0.35217540228207,3.74205833366221e-64,0.00120600495018121,8.94220979695347e-06,5.08821062368805,0.278365699477792,0,4,7.38232988994074e-61,6.06699917636654e-61,2.59180845616304e-60
MYOT,9,REML,2.46199717835841,0.149914604157482,1.31657127544056e-60,44.4773849870631,0.0845452921197495,15.9574171607747,0.042993674397587,9,0,5.62033837608371e-113,1.94050637170161e-57,4.32270142748791e-112
ARHGEF37,13,REML,0.912706645130364,0.0570418431607703,1.2644523445486e-57,6.59941570632364,0.00283412104818632,15.9582279411963,0.193156799987729,5,0,3.05284947620528e-58,1.70838048851386e-54,1.03288498659675e-57
SUGCT,13,REML,1.54091332961745,0.09880958975805,7.90011429879697e-55,44.2658903126809,0.0480398597337341,25.6532673849851,0.0120132068857915,11,0,6.8060729130949e-124,9.85265793279964e-52,6.1269772426434e-123
ACSL6,11,REML,-2.82804697311095,0.182132151937892,2.26214815833591e-54,57.1475952642025,0.18792331324386,23.3905843638905,0.00939315110107886,0,10,1.01072607179437e-146,2.61972914936429e-51,1.28423995313497e-145
CD80,11,REML,-0.85656223152644,0.0569154591826422,3.46651876124816e-51,0.00864027558238961,3.87028250507978e-06,14.8130311216967,0.139028546296594,0,4,2.28817189459245e-45,3.74684457840776e-48,6.19334406127336e-45
MET,13,REML,-1.55183760041735,0.104126206295089,3.13086761380745e-50,77.0255491029285,0.0914575195907502,51.0539604243038,9.11293662418275e-07,0,12,6.89422197585397e-308,3.17254728891626e-47,9.55350605936072e-306
MCEMP1,2,REML,-3.40372449886766,0.231403488011399,5.63970565166668e-49,0,0,0.418068885256006,0.517902209115084,0,2,9.6022353763888e-48,5.37862045473364e-46,2.70326518766091e-47
UBD,13,REML,-2.2154619968242,0.153254372515509,2.29403004750282e-47,49.2879363013918,0.136322544317098,23.169407194617,0.0263216764942006,0,13,3.12556215988771e-101,2.06628384223129e-44,2.03922492145913e-100
NANOS3,2,REML,-2.79918601250889,0.194397914899229,5.23009124407586e-47,0,0,0.402923163703104,0.525583461752209,0,2,5.98091340020035e-46,4.46291943895799e-44,1.63466872821052e-45
SLC2A12,13,REML,-1.12631317438358,0.0782527732982925,5.70354933279514e-47,0.00230516111128784,2.00696881411964e-06,14.1020285909658,0.294240437124993,0,9,1.77281827383221e-40,4.62358226663038e-44,4.40974266241818e-40
PHF7,12,REML,0.866104852702781,0.0610679995110967,1.17363915931504e-45,42.0909663356012,0.0159275412616966,20.0939517656226,0.0440687305722034,3,0,1.33026417119884e-104,9.06105318570229e-43,9.14267613719661e-104
FDPS,13,REML,-0.513583260378449,0.0363319320302284,2.28313578297544e-45,0.0046911014236586,8.98889757989185e-07,21.7064283746892,0.0409448306012314,0,1,6.80272904049465e-40,1.68256729315367e-42,1.67567070698176e-39
FNDC11,2,REML,-1.93184558103042,0.136752413887077,2.60446102919073e-45,0,0,0.0460482607859497,0.830088094518879,0,2,3.48122672817341e-44,1.83591855070736e-42,9.22090000716804e-44
CEP170,13,REML,-0.453180206858768,0.0323591703132766,1.45911347543715e-44,5.83418424458823,0.000822414968845517,13.537005211079,0.331245277417458,0,0,3.0941550652246e-43,9.85691949052602e-42,8.07558533040671e-43
IQCN,11,REML,2.08149905317326,0.149451826308878,4.30832833516742e-44,68.1625764185318,0.153389335481235,30.470385752819,0.000717268138620799,10,0,1.5830477027844e-172,2.79403709192277e-41,2.9983589258462e-171
RAD9B,11,REML,0.386935966073351,0.0278686633061247,7.89032721827599e-44,0.00664175007331186,6.78541656191208e-07,25.0397051738103,0.00527075121323769,0,1,1.33847148379472e-40,4.92022596884264e-41,3.33496821373349e-40
IL17RE,13,REML,0.498298737628265,0.0360031291319309,1.45337447666061e-43,0.0168035387183837,3.17594988380675e-06,15.711451333648,0.204812404627102,1,0,4.94240833755092e-37,8.72724458892537e-41,1.15263616767424e-36
SLC22A4,12,REML,1.03270294208704,0.074910867508434,3.1049666848882e-43,39.0284521260136,0.0221097496785674,21.3187002543132,0.0302156147522541,8,0,3.92594499574616e-90,1.79788660221758e-40,2.17165971395539e-89
SH2D7,8,REML,2.75430266402588,0.199935580634401,3.55670797349914e-43,56.8703752265266,0.168728619850238,15.6570551049322,0.0284410501979679,8,0,7.49059795098998e-117,1.98844504739109e-40,6.06315849123318e-116
PSPH,13,REML,-1.11436964469958,0.0810146979585733,4.74269908093856e-43,60.1118567909362,0.0429143362491355,33.6655541556029,0.000761477680357785,0,9,3.52194894152523e-155,2.56311267330856e-40,5.10745600974495e-154
BICD1,12,REML,-0.88905900581795,0.0650883039820364,1.77745963082929e-42,38.3412279037478,0.0165065034927602,19.7604656423032,0.0487359175996128,0,2,2.32928740651363e-88,9.29611386923719e-40,1.26134725189731e-87
ITGAV,13,REML,-0.407418026203479,0.0298950004330212,2.71840096460271e-42,0.023240328546123,2.96909187113474e-06,19.2265507826046,0.0832058340631029,0,0,2.63144944052734e-36,1.37729483872199e-39,6.04901315458241e-36
PCSK2,5,REML,4.1171599395405,0.302299139837338,3.06704411137882e-42,56.432839476968,0.25454813096518,9.13072340203294,0.0579137917833303,5,0,6.07006359595824e-98,1.50684806599348e-39,3.78952410786565e-97
MAT1A,4,REML,-2.85515132224238,0.209730787084793,3.33318380033685e-42,0,0,1.72983988370562,0.630320210584275,0,4,1.43098269575135e-39,1.58943849867239e-39,3.50672951121775e-39
HECA,13,REML,0.409638372402611,0.0301470015872356,4.71601552489377e-42,0.00475590217389418,6.10099751261579e-07,14.278145341193,0.283300248959946,0,0,9.26565913486983e-35,2.18459313443151e-39,2.05927527832275e-34
LVRN,2,REML,3.14965429440202,0.231907543889217,5.15535577418127e-42,23.971070944335,0.0358829532001704,1.31528881495601,0.251439314572182,2,0,9.43241072506179e-73,2.32177175463336e-39,3.97938264599081e-72
MOCOS,13,REML,-0.670912882336433,0.0495404082565058,8.74642281629351e-42,0.00784904610483729,2.74713831690789e-06,13.5340686708827,0.331445101427075,0,2,7.62259471599458e-35,3.83258792217748e-39,1.69643278147454e-34
SLC9A1,13,REML,1.09805912659618,0.0812724973589408,1.34985678408135e-41,69.6268422841951,0.0514251813817542,50.553908449933,1.1163754802402e-06,8,0,1.6654620858265e-204,5.75927053692391e-39,5.06606694137055e-203
CXCL10,13,REML,-1.91154254687061,0.142532199750276,5.1918404763626e-41,34.9741612167474,0.0820564721012015,17.4349669444107,0.133954780113242,0,10,3.6708209207149e-69,2.15834127290428e-38,1.46878133236798e-68
TDRKH,13,REML,-0.625141010297855,0.0470469225079645,2.73176193310487e-40,21.0058859070831,0.00557871341792903,17.1859899693819,0.142733920274656,0,0,3.59898314332929e-55,1.10725140553573e-37,1.15659690193851e-54
MMP7,11,REML,-5.56509610477307,0.419612299724986,3.82093125176136e-40,81.2907962292833,1.41728984031056,33.6672199616676,0.000210260413964931,0,10,1.8146068326021e-259,1.5109453264587e-37,1.26811295590421e-257
SIPA1L2,13,REML,0.933677125492202,0.0704248985909307,4.06812403657798e-40,52.1308467801653,0.0287744335754491,28.1192321716465,0.00531407923338483,5,0,2.79640448503127e-107,1.57039273821521e-37,1.99288377651921e-106
CCDC96,10,REML,0.816145937352624,0.0618077896981216,8.25583046950162e-40,10.4235855128792,0.00406199534314448,10.3322711138091,0.324261663060587,1,0,8.3286441705182e-46,3.11283207911697e-37,2.26906919738887e-45
C4BPB,13,REML,-1.27662111536057,0.0974935930591643,3.54415929462975e-39,22.312816518858,0.0255793482585128,19.3506842979904,0.0804095860972767,0,9,2.90707090411354e-52,1.30594215099618e-36,8.87781890532922e-52
NUTM2B,11,REML,0.775327364682943,0.0592589026758461,4.07931848687395e-39,17.7578495491909,0.00655128297608022,8.88238081387289,0.543301349494361,0,0,7.22092920870582e-49,1.46973312505972e-36,2.07723430200049e-48
ABO,13,REML,1.02687470888936,0.0786401408921569,5.72900096564235e-39,31.3468006453006,0.0220960841348324,17.9683109096738,0.116656103969358,8,0,7.97970387430971e-67,2.01922375339042e-36,3.07815700485804e-66
PERP,13,REML,-0.897519162494334,0.0688083256536444,6.89716113848451e-39,52.5998390135446,0.0271270191831789,25.4497152267884,0.0128298336416178,0,5,3.23667294154507e-104,2.3792270965585e-36,2.20859336705683e-103
TOX2,13,REML,0.839325688275943,0.0644994369629171,1.03324184775223e-38,13.3505933166661,0.00705076195177194,12.0127605534542,0.444655366933588,3,0,8.46870892316869e-42,3.48998959950145e-36,2.15614286701215e-41
