Symbol,Degree,Betweenness,Closeness,Eigenvector,Log2FC
CDK1,178,0.0095441496976074,0.267641996557659,1,-1.34459284448568
IL6,166,0.0441469622355167,0.32745459331403,0.0170697847264648,-1.48359798807293
CCNB1,150,0.00552278247394909,0.266324127595804,0.931062514104447,-1.34438970042282
CDC20,144,0.00134473260183514,0.240572423128989,0.909011312919097,-1.10872880079273
TOP2A,140,0.0021467715422872,0.238405519356075,0.914008899771802,-1.3424019308864
IL1B,138,0.0226987110289905,0.31437958049027,0.00859302276844352,-1.83398072143188
PLK1,138,0.00554238667442337,0.264906303236797,0.860615906725818,-1.0773146059973
BUB1,136,0.00121890249672826,0.244256823090516,0.923824792727459,-1.27516575383389
BUB1B,136,0.000520312787932493,0.236322188449848,0.909178040691199,-1.09889808619002
BIRC5,132,0.00347657716652522,0.260251046025105,0.896669579588465,-1.30622101590654
CDC45,128,0.000816933404385788,0.23772214790751,0.773512560386442,-1.30576338967208
NUF2,128,0.00031440031655299,0.235427706283119,0.891342753928325,-1.40055702310723
DLGAP5,126,0.000306214954063981,0.236232434485378,0.906303104915198,-1.09160722722926
RRM2,122,0.00282815222415286,0.24015444015444,0.804655932455401,-1.37608400867188
KIF20A,122,0.00323762419117647,0.239230769230769,0.865699886237059,-1.38090439284155
CD44,120,0.0534467008340595,0.330061024144335,0.0243877875412704,-1.05802144837809
TPX2,118,0.000681050998507583,0.235027394672209,0.863127559934533,-1.71295825797342
UBE2C,118,0.000413266233570301,0.236907255760807,0.824764296763162,-1.92217463925242
MELK,116,0.000246146239531427,0.235650691418829,0.853224281682187,-1.38635881630342
CXCL8,114,0.00436895730283326,0.28683421720083,0.00334501678317079,-3.55030961669138
ASPM,114,0.000859390144757526,0.235116235116235,0.845913132028316,-1.2400772784296
AURKA,112,0.00234497806422679,0.256019757151677,0.79894329216208,-1.34624820434769
CENPA,112,0.00106015198573396,0.241835147744946,0.782528920371337,-1.36436106563659
KIF4A,112,0.000186034181720904,0.235027394672209,0.849782493797364,-1.37210705727875
NUSAP1,112,0.000113595638212304,0.234451564266868,0.856023207409835,-1.05649069469463
KIF2C,110,0.000415610820447358,0.234761275712399,0.846011781982479,-1.34540993334959
CENPF,110,0.00017156452239488,0.234672703263535,0.832537844062896,-1.31567816749968
CEP55,108,0.000151858809626691,0.235027394672209,0.816402923539032,-1.5366238798039
EXO1,106,0.000578031097416378,0.223821518531846,0.631988165246354,-1.40232216904266
MAD2L1,106,0.000123646319583486,0.234363225320271,0.792499943582327,-1.39328434946398
TTK,106,0.000103233247687926,0.234407386470699,0.82816793371023,-1.18683449072075
HMMR,104,0.0124614826723492,0.270317253368101,0.758901059060612,-1.19315986691032
FOXM1,102,0.00268308732796868,0.258896982310094,0.72946664575317,-1.16819558275292
HJURP,100,0.000372402197209927,0.234319080806178,0.773906506700852,-1.43577966728044
KIF23,100,0.000612532336227355,0.234010534236268,0.783930104944993,-1.04836365592141
NEK2,100,9.41050776433174e-05,0.233702799173398,0.781018084862914,-1.49860061743059
ESPL1,98,0.00319188054855612,0.232610321615557,0.708113539589102,-1.037165990345
MKI67,96,0.000800589672781668,0.247562189054726,0.733453297895474,-1.08308463195551
MCM10,94,0.00114647172813793,0.245898398893062,0.529311408083855,-1.62002525012436
MYC,92,0.0315996668466973,0.311311311311311,0.16571820558693,-1.60867034075625
CDCA3,92,0.000124046991279578,0.234098607452014,0.741835232844532,-1.34253934206041
CDCA5,92,0.000123984902015731,0.233046084675909,0.720691277248487,-1.41159017305054
CDC6,90,0.00284397906218056,0.256865579186455,0.507799436547574,-1.4713872499018
CD19,90,0.0135269497626037,0.290518449322746,0.00189627748304769,1.29468796584885
PTTG1,86,0.000101767615571552,0.233527313685001,0.689002841591694,-1.25233410742246
CCL5,86,0.0017792473470813,0.28215014742572,0.00276038196326302,1.14133667646784
RACGAP1,84,3.9710315168111e-05,0.231183794833674,0.69190841836858,-1.03928827204139
KIFC1,84,0.000210712287454127,0.224386724386724,0.66937860937055,-1.12294570552399
MMP9,82,0.00821301841044722,0.302971261568437,0.0121125586593227,-1.31329004306468
MCM4,80,0.000502835240916186,0.23234964512514,0.422774347698253,-1.12577347160964
ANLN,80,0.000287379676660591,0.231012070566388,0.630023115423104,-1.75593726687145
KIF14,80,3.59168933187519e-05,0.229351032448378,0.639693036968319,-1.30862221890367
NCAPH,78,2.88435826691786e-05,0.222699606158253,0.627507286996532,-1.18345741480437
PRKACB,78,0.0348246190519579,0.298392899976013,0.00239381122383639,1.3738614330572
CXCL10,76,0.00117333874747258,0.268045679810386,0.00200533632626769,-1.91154254687061
CXCL12,76,0.00587003871263573,0.292774770534243,0.00770116331091431,1.67901873757562
CDT1,74,0.000294863770953825,0.224629830263633,0.394992122043087,-1.06383019874412
COL1A1,72,0.00605389937718772,0.276505890197822,0.00137340990503243,-1.66564284607089
TRIP13,70,5.86962252088248e-06,0.229902051376825,0.62178592203788,-1.8756344096622
CDKN3,70,9.29221711821846e-05,0.231743666169896,0.590686536137682,-1.18810430083738
H3C12,70,0.0114078582166425,0.279299506061967,0.175912980548357,-1.39945447679796
KIF18A,68,0.000215840258353087,0.222023915759415,0.52728434080458,-1.20180693693366
IGF1,68,0.0168213385754112,0.308455244235061,0.00724407203945331,1.14300901403296
CYP3A4,68,0.00671923983018401,0.234716981132075,3.35557340557973e-05,2.0597765454406
BCL2,66,0.0225675166189663,0.314459049544995,0.0659295595346919,1.17176316272726
IL1A,66,0.000597242013753298,0.276444444444444,0.00251515360095943,-2.21074238074069
CXCR2,66,0.00158903518850109,0.276998441327099,0.00235896630247655,-1.67265122663811
NCAM1,64,0.014504602569097,0.282791543532621,0.00126349230785114,1.81367027123061
RAD51AP1,62,0.00028102909480486,0.232393050625817,0.423786964701456,-1.18749669541657
ECT2,62,8.38360172862212e-06,0.229224249124747,0.548846678569346,-1.46235954491589
CCND1,60,0.00969638803912862,0.291334894613583,0.165727514353324,-1.03186819436792
SST,60,0.0087232433871778,0.268682505399568,0.000317322487624257,4.39213459726685
KIT,58,0.0117769893648095,0.299254269906182,0.00717904481644322,1.2333515710738
MCM2,58,0.000501260247438351,0.231355774595499,0.222198412196344,-1.23492428715788
DTL,58,0.00220484612914125,0.220567375886525,0.378926262065628,-1.17784388341191
CXCL9,58,0.00096402377304039,0.262890955198648,0.00150201007629439,-1.35888624069903
FCGR3A,58,0.00665752143918404,0.28997668997669,0.00189177081625991,-1.48729819145842
CXCR1,58,0.000398285332424008,0.260414486079129,0.00150234004393106,-1.78960125446337
NPY,56,0.0078516789635227,0.272747204560403,0.000506186237678613,3.17083484639702
CXCL1,56,0.000244384064568211,0.26167437946992,0.00198888670190223,-2.09921463812889
CCL20,56,0.000486066265133818,0.256336286832887,0.00148979958470543,-1.1261990894319
AGT,54,0.0091394980713168,0.282727272727273,0.0014685946983548,-1.57394270714362
CXCL2,54,0.000223443043642705,0.259058725531029,0.00161328858616635,-1.55129494735816
CCL21,54,0.000543187314667887,0.241553398058252,0.00124045144652655,1.49291446118422
CCR8,52,0.0011178972874095,0.238131699846861,0.000857354428870624,-2.4338012718763
GCG,52,0.0131143787118107,0.288631090487239,0.000739804145606903,4.31481716362519
CKAP2L,52,9.90181375486165e-06,0.227588730332967,0.437075225461997,-1.34870386053673
CXCL11,50,0.000325422437734625,0.256653600165051,0.00142461007667369,-2.51627291959698
ASF1B,50,0.000141774040338768,0.230114687384388,0.357574289037399,-1.03922046504671
CD36,50,0.01358418598226,0.295767950546838,0.00157864855206294,1.73364294529196
BRCA2,50,0.00310859227818884,0.257770410277663,0.191316320263408,-1.32999771585619
CCR10,50,9.98183327383256e-05,0.237858508604207,0.0008727887113205,1.50703457651738
COL1A2,50,0.00284000300964897,0.270082501085541,0.0011903486559597,-1.14118991790641
CCL19,50,0.000329880538733851,0.261949884186144,0.00144005448197851,1.23337000955094
SHCBP1,48,2.50596692331211e-06,0.214187327823691,0.395780562373248,-1.28434816121885
FEN1,48,0.00011495478078623,0.219516499029469,0.229850098231926,-1.03188865779946
CXCL5,48,0.000137502633314471,0.25787728026534,0.00168330615059972,-3.62626920079179
KIF18B,48,4.69851306562091e-06,0.216272600834492,0.404849111737993,-1.22973721902678
TROAP,48,0.00568972784690185,0.219322990126939,0.381914500222083,-1.21879316249782
ADCY5,48,0.0100024149472897,0.24974904637623,0.000927561870869398,2.04468127692919
ACAN,48,0.00979217578602193,0.273346517248956,0.00123586653201617,-2.61810644580415
FCGR3B,48,0.00371506444546401,0.289100627469208,0.00183531020568177,-1.75817461067676
CCR9,48,0.000206759736692214,0.241412769260625,0.000853517921575468,1.24220960969512
SKA3,46,2.42046655042683e-05,0.227380734783403,0.366186385076676,-1.50441751433147
CYP2B6,46,0.00526258011298359,0.235650691418829,0.000169113313271239,-1.01641351983017
ITGA2,44,0.00948888332352258,0.279613396268825,0.000905282401085045,-1.36255237605658
CDC25A,44,0.000539836931106374,0.25264012997563,0.230708705435294,-1.00934316759027
CDK4,44,0.00244756002006568,0.263336155800169,0.216532169967278,-1.04496440011809
MYBL2,44,0.000684223413952109,0.237767584097859,0.32499764316602,-1.83756083234707
UGT1A6,44,0.000419076344760927,0.209181099714142,9.53508842936148e-06,1.62155530634063
UGT1A1,44,0.000412807140096176,0.211241297334013,9.76371473735532e-06,2.15060895013423
CKS2,44,4.98939355468532e-05,0.22667638483965,0.351584829247804,-1.41083439800647
E2F1,44,0.00200606012877936,0.263838812301167,0.169830781721384,-1.2343849577655
F2,44,0.00918224416711637,0.265132139812447,0.00057513657837099,-2.91609975247514
PPARGC1A,44,0.0127772594266975,0.291062236780533,0.00228686859257897,1.64832257574507
CD79A,44,0.00329084757515583,0.268972972972973,0.00200112117694591,1.35916628033061
MMP1,42,0.00153825416777714,0.271912568306011,0.00154893948422578,-3.90297763630939
NCAPG2,42,2.53203229678272e-05,0.23019985196151,0.327376836067743,-1.11830450026995
UGT1A8,42,0.000340641447805371,0.211133740665309,9.4799530433523e-06,2.24386972911489
UGT1A4,42,0.000367628627218575,0.209110774920155,9.42949505965466e-06,2.05466964792163
SPP1,42,0.00417764805846529,0.284537968892955,0.00154951510993492,-2.87952866404611
ADH1B,42,0.000911950897507796,0.215822345593338,1.38081940846909e-05,2.83642307009552
CXCL3,42,6.1911413048208e-05,0.255651459103987,0.00138508182388218,-2.03342384752875
ADH1C,42,0.000973560298262707,0.215822345593338,1.36202398187305e-05,2.73364006234534
CXCL6,42,6.08815229968215e-05,0.255756578947368,0.0013829833901067,-1.77250588361118
GSTA1,42,0.00170893512379775,0.234938621340888,7.01192836921092e-05,1.44957064056296
RFC3,40,5.88412453933151e-05,0.218360540635422,0.193332926636169,-1.39672743090388
BMP2,40,0.00365688070055386,0.258520365752286,0.000604993832388746,1.30150729414825
TIMP1,40,0.000670640468041841,0.275038691134203,0.00202247119908318,-1.58952802779894
UBE2T,40,6.21038831825272e-05,0.21522491349481,0.308790319417895,-1.18017175168372
SERPINE1,40,0.00256377416832512,0.270023876709355,0.00161258808005713,-1.71244625241193
MND1,40,0.00122682018381576,0.22821500642084,0.267304102481536,-1.00185248853207
MME,40,0.00411458965089579,0.276875139105275,0.00562050033297648,-1.18966558778404
MET,38,0.00237452645415636,0.279362227711655,0.00241201653264137,-1.55183760041735
KPNA2,38,0.00128009098294039,0.248452166966247,0.272350252994305,-1.21109345237951
ORC1,38,0.000184223020141412,0.231012070566388,0.173385457074819,-1.05567391335138
UGT1A10,38,0.000214233653901519,0.20799197458619,9.03296976369806e-06,2.28018271673174
SYP,38,0.00928893039361997,0.264287231782452,0.000483144884978705,1.33567366830512
GRIN2B,38,0.0102331569388711,0.274553078790554,0.000270886201233378,-2.09860506291153
CKAP2,38,3.08434927090626e-08,0.215972222222222,0.347228514147962,-1.25503034228922
ERCC6L,38,0.000548198425407224,0.218513964517829,0.300510763609051,-1.44796682387809
CYP2C18,38,0.00123788684830592,0.215299411561094,1.28440763055931e-05,1.27471541805097
PF4,38,6.14913155560656e-05,0.239046887009992,0.000731998220640125,-1.15841716272629
CCL8,38,5.76419871405061e-05,0.228971102521627,0.000595171686451016,1.55043655979521
ADH6,38,0.0008813965749654,0.215747485258411,1.33556518722193e-05,1.23659310285043
UGT1A7,36,0.000189460450609835,0.207852965747703,8.97878555640214e-06,2.06865764822927
SHH,36,0.00501107371448855,0.266952789699571,0.00179452473887507,-1.46522183125407
CENPI,36,8.25090772614009e-05,0.220645619013835,0.265465484087444,-1.18383520997389
GTSE1,36,8.49443822134156e-06,0.218130808346484,0.317223928503963,-1.0324609215585
CCNF,36,9.03828742653446e-06,0.221273568125222,0.289127299072929,-1.17888153999643
DEPDC1B,36,1.29456682702927e-05,0.227297642974603,0.286930146382741,-1.06028210351931
ITGA11,36,0.00187419419991114,0.240945186906837,0.000245616759638008,-1.10048303964147
PTGS2,36,0.00755957464518941,0.283565078641441,0.0062975928804573,-1.1202696970971
MS4A1,36,0.00120974082100456,0.241647241647242,0.000369313403657025,1.68077360840081
ADH1A,36,0.000782715538639543,0.215672676837725,1.34200585011414e-05,2.34693750110872
ITGA8,34,0.000912369261579721,0.238359839049626,0.000242727685685453,1.30455174756553
HPGDS,34,0.00241384834385347,0.236546872028903,0.000214958665242464,1.86300380808413
MMP3,34,0.000241828118150465,0.262115465655289,0.00142972658009204,-4.02475208227198
UHRF1,34,0.000405644132666937,0.229689807976366,0.183312826484251,-1.47243991525676
CLSPN,34,9.45859808708528e-05,0.219787985865724,0.151772985142986,-1.0048212855859
SOX9,34,0.00542805660905042,0.267296948861195,0.00109312483457939,-1.2981173365201
LEF1,34,0.00705132150467775,0.270258527047578,0.012803230971758,-1.46704345851285
WNT5A,34,0.00625742543399128,0.2479569463823,0.000639421359729977,-1.13879734692157
PAX5,34,0.00138814963347239,0.259328747133625,0.00431739386463421,1.5930650727486
GRIN2A,32,0.00190220024291469,0.24512315270936,6.90662600172204e-05,2.48280288010058
FGFR2,32,0.00109808530108694,0.267757210503659,0.00137119860419072,1.54393099960427
CAMK2A,32,0.00187383592343204,0.233922527265889,3.95434979187061e-05,1.57440556177872
UGT1A3,32,0.000157351725379304,0.207264245251583,7.00390695282742e-06,2.06948840031465
FGF9,32,0.00153876110929764,0.282791543532621,0.00148577786039712,1.79623098359996
MPO,32,0.00174074144383956,0.273166447079491,0.00523906487543718,-1.33824689018306
GSTM1,32,0.00237246372427675,0.241976269208325,0.000100486228983977,1.24494343502304
CCL3L3,32,0.000141489042322211,0.254448762528124,0.00106075677453434,-1.08134291014144
DRD2,32,0.0046443674337036,0.251719951436665,0.000741471266966055,-1.30429570068536
COL4A1,32,0.000526381027876677,0.262558041367666,0.000951352077122077,-1.25473703746411
FGF10,32,0.00183683510897445,0.283048919226394,0.00146456252623081,1.13153010393971
IGLL5,32,0.00813284126335178,0.268856710611627,0.00414148759847877,1.08506508979349
VTN,32,0.00276343718184281,0.272329246935201,0.00119572336083576,-1.57246967434457
ANPEP,30,0.00248130768699331,0.2784866800985,0.00120650226632411,2.9216948133184
UBE2S,30,0.000879163365602111,0.219982316534041,0.191936158251041,-1.30759050124549
BGN,30,0.00164365744305843,0.255546425636812,0.000700162736381797,-1.88019214836869
GPX3,30,0.00659509667917875,0.277245375529307,0.00209012003461886,1.52128512145154
NTRK2,30,0.003874026734029,0.256283477544293,0.000336472534829736,1.64802077988505
XCL2,30,2.87505371923861e-06,0.233133433283358,0.00057160577631803,1.40669367106821
CD22,30,0.00125352242939853,0.262115465655289,0.00188174241847025,1.42669407048364
FOXP3,30,0.00217790535557092,0.28690036900369,0.00286167009891598,-1.08608495971071
RECQL4,30,0.000122362742872304,0.202671880091235,0.0834350573015228,-1.01304597417823
HSD3B2,30,0.0021005640362545,0.216385458340581,7.50929376713348e-06,3.98943275468932
GRIN1,30,0.00313630162431396,0.248402555910543,7.56321667260511e-05,1.27535194203187
H3C14,30,0.000214127218420975,0.223902087832973,0.0266700056939651,-1.26849491702503
FGF18,30,0.00134961116766755,0.280369619112013,0.0014618475330286,-1.67303279581848
H3C15,30,0.000214127218420975,0.223902087832973,0.0266700056939651,-1.42746498419946
COL2A1,30,0.00116888018674354,0.260851331516041,0.000690055288384625,1.36219511959254
FLNC,30,0.00718126592552519,0.233352091540049,2.82176455666341e-05,1.03208773688701
IL6R,28,0.00018692061289922,0.257610271277697,0.00114974182247409,1.55405002498946
GNA11,28,0.00524679086939295,0.250705360741636,0.000168856377092683,1.15349443987582
GRIA4,28,0.00155388328439994,0.245510163805013,9.50565248425203e-05,1.97618704886391
SHMT2,28,0.00526332083096533,0.240479412333269,0.000372026487221195,-1.15824106169861
GINS1,28,1.17693742939347e-05,0.217444502709317,0.150663168826344,-1.45868434859482
MAOA,28,0.00347483504481591,0.242731707317073,3.67545735012388e-05,1.46468657315544
UGT1A9,28,6.91686322365519e-05,0.202969489313102,6.55692367316018e-06,2.04509152593922
GZMB,28,0.00168557934599448,0.261070304302204,0.00109508944902607,-1.7629638244515
AKR1C2,28,0.000336486597879457,0.177359566581123,2.05550455835652e-06,1.06622986049316
