Symbol,Module,Degree,Log2FC
PRKACB,1,78,1.3738614330572
ADCY5,1,48,2.04468127692919
GRIN2B,1,38,-2.09860506291153
GRIN2A,1,32,2.48280288010058
CAMK2A,1,32,1.57440556177872
GRIN1,1,30,1.27535194203187
GRIA4,1,28,1.97618704886391
PRKCG,1,28,-1.95029615939797
SLC9A1,1,26,1.09805912659618
CACNG8,1,26,-3.26452737061374
GRIN2D,1,26,-3.36503123562921
SCN4B,1,26,1.36854094460681
GRIA3,1,26,1.5694318680996
PRKCB,1,24,1.38312147872881
TRPM4,1,22,1.02654585468559
CACNG4,1,22,-2.62327150311774
RYR1,1,22,1.33114595599649
CAMK2B,1,22,1.94362203585615
NRXN1,1,20,3.75888719612683
NEFL,1,20,2.68832059112819
ANK2,1,20,1.9604092159993
SCN3B,1,20,1.46082439866988
P2RX1,1,18,1.61448260278544
P2RX4,1,18,1.02111606719786
PRKG2,1,18,2.54572233420124
SCN2B,1,18,1.7959620041839
PLN,1,18,1.41203127695655
GRIK2,1,16,1.55693579462883
SCNN1G,1,16,3.43250973416615
ANK3,1,16,1.16861500813451
L1CAM,1,16,1.39637376637965
SCNN1B,1,16,3.16035353989344
ATP1A2,1,16,3.06970975570656
CACNA1H,1,16,1.05427603859433
SCN9A,1,14,2.5473950224906
P2RY12,1,14,1.93180871789089
P2RX6,1,14,1.18377782203997
NR3C2,1,14,1.79093034946562
SCN7A,1,14,3.12828230248412
LGI1,1,12,5.35618444101456
KIF5C,1,12,2.06077356419885
SCN3A,1,12,1.22740898075071
SCN11A,1,12,2.06623496172308
KIF5A,1,12,1.12963169032795
NEFM,1,12,2.89026007192863
ATP1B2,1,12,1.79504696979066
TRPV4,1,12,-1.19896301595134
GRIK4,1,10,1.13939997798795
GRIK3,1,10,2.37514246955048
SPTBN2,1,10,-1.97197900184558
LRRC7,1,10,2.4839704144343
CA2,1,10,3.15166430126498
PLXNA1,1,10,-1.02270308748881
FXYD1,1,10,2.61096055638688
KCNN3,1,10,1.26012102063599
SLC9A3,1,10,1.53260450909965
KIF1A,1,10,2.43251027543186
KCNMA1,1,10,1.50831984525413
SPTBN4,1,10,1.24876625280892
CNTN2,1,10,2.11024653712346
AKAP7,1,10,1.02747492102353
GRIK5,1,10,1.34963199074749
KCNMB1,1,10,1.12069193542616
PLCD1,1,8,1.60483363408002
SMPD1,1,8,1.08743927798605
PLCE1,1,8,1.53545402919588
CTNNA2,1,8,1.87802181391096
PRKAR2B,1,8,1.37189731209487
HOMER1,1,8,-1.3756792097729
DPP10,1,8,2.31154804035267
SLC4A4,1,8,3.27713738672933
NEDD4L,1,8,1.19700359233697
CA1,1,8,4.57024432059085
P2RY1,1,8,1.53567597935554
SGK1,1,8,1.55450617969475
CDH23,1,8,1.05291000456547
CASQ2,1,8,3.17591859908287
SPHK1,1,8,-1.10967381491677
TRAT1,1,8,1.03200576324279
DES,1,8,1.9156687355586
P2RY4,1,8,1.32793201087904
TRPV3,1,6,2.33185632584709
PLCD3,1,6,1.22144074614964
PDE3A,1,6,1.5084284856523
DNER,1,6,2.11859885679082
NAALADL1,1,6,2.05810881065769
P2RY14,1,6,1.40290071652091
NLGN4X,1,6,1.43191993578618
PDE2A,1,6,1.35003348894792
DGKB,1,6,1.08718139855945
AKAP6,1,6,1.02808204929378
DPP6,1,6,2.54712863890618
INA,1,4,1.86871339290694
CHP1,1,4,1.02364711999959
LRRTM1,1,4,2.00539537899523
PDE5A,1,4,1.17902558547139
CDHR5,1,4,1.75808347502249
HBD,1,4,1.774592216601
TRIM29,1,4,-2.93477878652334
PTPN21,1,4,1.11315739673625
FXYD5,1,4,-1.33967219827706
CA4,1,4,3.41329804001545
ATP2A3,1,4,1.23898324328655
GTF2IRD1,1,4,-1.66415486604416
MPP2,1,4,1.51511458468084
PTCHD1,1,4,2.23077265401725
TRPM6,1,4,2.88707558860734
ITPKA,1,4,1.40310694923657
CNTN4,1,4,1.60446801849021
CA7,1,4,4.25094174233602
LRRC26,1,4,1.06749092946301
PRPH,1,4,2.546487003879
RYR3,1,4,1.30144100880929
SLC8A3,1,4,1.53505161505563
TRPV6,1,4,1.08575502073392
TRIM9,1,4,1.72572769542707
FXYD6,1,4,1.19559022693329
PACSIN3,1,4,-1.03523577059281
ADGRV1,1,4,1.50073295793419
ADD2,1,4,1.14891139756241
SYNM,1,4,1.62636888381942
JPH2,1,4,1.32323064037706
SLC38A5,1,2,-1.47370822348408
PDE4C,1,2,1.71317676252917
TESC,1,2,-2.7689440110111
SEMA6A,1,2,1.62987914518548
SGK2,1,2,1.2994638356907
CDHR2,1,2,1.44257895866322
ACSF2,1,2,1.15244896833522
SEMA6D,1,2,1.85259112860984
TMPRSS3,1,2,-1.70336595449842
PDE1C,1,2,1.00206688246185
DUSP4,1,2,-1.67570002004406
PDE9A,1,2,2.01234894899557
SMPD3,1,2,1.08208073518413
ASIC1,1,2,-1.44615061684492
TLX2,1,2,1.54744250906741
SEMA3E,1,2,2.90639605986578
PDE7B,1,2,1.46156986609661
JPH1,1,2,-1.08232681840596
SPNS2,1,2,-1.19026624153187
PRSS12,1,2,1.09855235271706
JPH4,1,2,1.50287333495798
PLEKHG4,1,2,-1.21295922804271
GRIP2,1,2,-1.61978032606918
ADAM33,1,2,1.88399176915818
SLC41A2,1,2,1.01988731323262
ADAM28,1,2,1.19862357786309
TRIM36,1,2,1.16672908631923
PACSIN1,1,2,1.08966711725575
KCNIP4,1,2,1.0506895831146
FXYD3,1,2,1.22331234269917
HRC,1,2,1.06250486760191
NPTX2,1,2,-1.23212523662734
SEMA3D,1,2,1.80082371301125
SLC12A2,1,2,-1.02356597111297
CNKSR2,1,2,1.9655595869022
HBG1,1,2,1.26351650555189
GLDN,1,2,1.72371486206993
SLC38A4,1,2,1.13337691928203
GPR17,1,2,1.21749530487705
UCHL1,1,2,1.18187537573814
SPEG,1,2,1.43834375046207
CTNNA3,1,2,1.92464722766201
KCNIP3,1,2,1.16239295751738
NXPH4,1,2,-2.51690686121133
LY6G6D,2,2,-4.35949822936479
LY6G6C,2,2,-2.09842584394835
IL6,3,166,-1.48359798807293
IL1B,3,138,-1.83398072143188
CXCL8,3,114,-3.55030961669138
CCL5,3,86,1.14133667646784
MMP9,3,82,-1.31329004306468
CXCL10,3,76,-1.91154254687061
CXCL12,3,76,1.67901873757562
IL1A,3,66,-2.21074238074069
CXCR2,3,66,-1.67265122663811
CXCL9,3,58,-1.35888624069903
FCGR3A,3,58,-1.48729819145842
CXCR1,3,58,-1.78960125446337
CXCL1,3,56,-2.09921463812889
CCL20,3,56,-1.1261990894319
AGT,3,54,-1.57394270714362
CXCL2,3,54,-1.55129494735816
CCL21,3,54,1.49291446118422
CCR8,3,52,-2.4338012718763
CXCL11,3,50,-2.51627291959698
CCR10,3,50,1.50703457651738
CCL19,3,50,1.23337000955094
CXCL5,3,48,-3.62626920079179
FCGR3B,3,48,-1.75817461067676
CCR9,3,48,1.24220960969512
F2,3,44,-2.91609975247514
MMP1,3,42,-3.90297763630939
CXCL3,3,42,-2.03342384752875
CXCL6,3,42,-1.77250588361118
TIMP1,3,40,-1.58952802779894
SERPINE1,3,40,-1.71244625241193
PF4,3,38,-1.15841716272629
CCL8,3,38,1.55043655979521
PTGS2,3,36,-1.1202696970971
MMP3,3,34,-4.02475208227198
MPO,3,32,-1.33824689018306
CCL3L3,3,32,-1.08134291014144
XCL2,3,30,1.40669367106821
FOXP3,3,30,-1.08608495971071
IL6R,3,28,1.55405002498946
GZMB,3,28,-1.7629638244515
CCL24,3,28,-1.69584739246049
SAA1,3,28,-1.34328882150572
MMP7,3,26,-5.56509610477307
LIF,3,26,-1.04571218579593
ACKR2,3,26,1.80599132007121
PLAU,3,26,-1.67063641583981
CCL28,3,26,1.51547519865596
CLU,3,26,1.41950342159457
LCN2,3,26,-1.47755659395304
IL11,3,22,-2.82115613054466
OSM,3,20,-2.49240758915472
SELE,3,20,-1.40673084590769
CEACAM8,3,20,1.02058219198761
F2R,3,18,-1.01351834765166
ORM1,3,18,-2.81714737211213
TLR3,3,18,1.19562686928798
TNFAIP6,3,18,-1.4372703946563
ELANE,3,18,3.04323261281841
IL1RN,3,16,-1.71142200511884
LPAR1,3,16,1.40640891276711
NOD2,3,16,-1.08237335538346
SAA2,3,16,-1.94293813783115
APOC2,3,16,-1.72599205998746
CNTFR,3,14,3.15865785055502
MMP12,3,14,-2.03261808648203
IL11RA,3,14,1.00705684493014
LIFR,3,14,2.07410252447159
MIF,3,14,-1.01331209985457
VLDLR,3,14,1.11525893016604
CCL4L2,3,14,-1.05010919265536
PTGS1,3,14,1.05934007655575
