"Symbol","n","n_events","HR","HR_lo","HR_hi","pvalue","z","padj","pooled_log2FC","rem_padj","n_studies","Direction","Risk_aligned"
"MAD2L1",598,124,0.73059173181541,0.596396793304207,0.894981805049345,0.002433618407678,-3.03147528723982,0.201804699061262,-1.39328434946398,4.14592204398648e-13,13,"Down","Down-Protective"
"CCNB1",598,124,0.725092312883219,0.574132717053244,0.915744472638332,0.00695548356870198,-2.69896813573849,0.201804699061262,-1.34438970042282,9.9857120800048e-16,13,"Down","Down-Protective"
"HMMR",597,124,0.820638427808398,0.709378650321605,0.949348318969741,0.0078319970091692,-2.65922787740261,0.201804699061262,-1.19315986691032,9.80316820627568e-06,12,"Down","Down-Protective"
"MCM4",598,124,0.710730420876756,0.544628201676675,0.927490955489544,0.0119304185079175,-2.51419577536445,0.201804699061262,-1.12577347160964,1.22216962237817e-17,13,"Down","Down-Protective"
"CXCL1",598,124,0.861727462603503,0.766766064628491,0.968449510301241,0.0124851795242674,-2.4981260366996,0.201804699061262,-2.09921463812889,1.35283061101848e-09,13,"Down","Down-Protective"
"RACGAP1",598,124,0.676469445413647,0.491945481176057,0.930206553547907,0.0161657858836058,-2.405150971111,0.201804699061262,-1.03928827204139,7.32332576433726e-24,13,"Down","Down-Protective"
"PLK1",598,124,0.736274737934599,0.57156885832099,0.948443012296203,0.0178034343468399,-2.36968108667015,0.201804699061262,-1.0773146059973,5.99587333143775e-07,13,"Down","Down-Protective"
"PTTG1",598,124,0.759117844890241,0.603417802094431,0.954993207742026,0.0186143265624295,-2.35316591126508,0.201804699061262,-1.25233410742246,6.98163527065239e-10,13,"Down","Down-Protective"
"CDC45",598,124,0.767894975120999,0.614127878454312,0.960162717739165,0.0205286516762287,-2.3165427761008,0.201804699061262,-1.30576338967208,1.34252820556549e-21,13,"Down","Down-Protective"
"KIF20A",598,124,0.742750728037132,0.575646097938673,0.958364255356183,0.0221955389674087,-2.28700486782779,0.201804699061262,-1.38090439284155,4.6362586374558e-16,13,"Down","Down-Protective"
"CXCL2",598,124,0.87297230670726,0.776722811823281,0.98114879166338,0.0226515478538151,-2.27926111851755,0.201804699061262,-1.55129494735816,4.38801070910479e-08,13,"Down","Down-Protective"
"KIF2C",598,124,0.730055607329477,0.55269592059541,0.964329878206881,0.0267083809206975,-2.21575361301632,0.20669540129736,-1.34540993334959,1.06630905242029e-14,13,"Down","Down-Protective"
"TTK",596,124,0.789483987852158,0.637557448032726,0.977613811897548,0.0301907125956062,-2.16757926754038,0.20669540129736,-1.18683449072075,0.00103039224621884,13,"Down","Down-Protective"
"RRM2",598,124,0.754036864540009,0.582761845318576,0.975649997769689,0.0317551140778096,-2.14747966892386,0.20669540129736,-1.37608400867188,2.02250205905309e-17,13,"Down","Down-Protective"
"BIRC5",597,124,0.766219220667591,0.599259465308957,0.979695654565532,0.0337077150518416,-2.12355089908681,0.20669540129736,-1.30622101590654,1.89722477877956e-16,13,"Down","Down-Protective"
"ADCY5",592,123,1.09796649891375,1.0055917306754,1.19882691549902,0.037130863371036,2.08432226543697,0.20669540129736,2.04468127692919,1.85312226087268e-10,13,"Up","Up-High risk"
"CKAP2L",598,124,0.789499844067843,0.632026795949975,0.986208192085078,0.0373135350668668,-2.08231688003073,0.20669540129736,-1.34870386053673,1.05925616953293e-08,13,"Down","Down-Protective"
"TPX2",598,124,0.766355717442339,0.594754387743523,0.987468268850881,0.0396412772534255,-2.05746750807901,0.20669540129736,-1.71295825797342,2.95878038554392e-18,13,"Down","Down-Protective"
"CDC20",598,124,0.778642629417912,0.613197056264486,0.988726769238329,0.0400735982107126,-2.05298947580202,0.20669540129736,-1.10872880079273,2.12559534161996e-09,13,"Down","Down-Protective"
"TOP2A",598,124,0.832319600444091,0.693182741023513,0.999384255096323,0.0492335502191643,-1.9665635405328,0.240106217493909,-1.3424019308864,1.55603473542734e-07,13,"Down","Down-Protective"
"DLGAP5",598,124,0.829147241953076,0.686674327233543,1.00118079498926,0.0514513323201233,-1.94769613947823,0.240106217493909,-1.09160722722925,3.70895955211351e-05,13,"Down","Down-Protective"
"SHCBP1",598,124,0.775012884926075,0.597670076536469,1.00497748738269,0.0545413382892142,-1.92251221343207,0.242956870561045,-1.28434816121885,2.30084966836426e-22,13,"Down","Down-Protective"
"CDC6",598,124,0.80483297814781,0.64266355417688,1.00792415954553,0.0585958930521813,-1.89121317702451,0.24722904744722,-1.4713872499018,5.31860445063387e-19,13,"Down","Down-Protective"
"BRCA2",598,124,0.842651289596412,0.70227551763962,1.01108635859191,0.0655659288453026,-1.84137974557314,0.24722904744722,-1.32999771585619,9.64507330611817e-08,13,"Down","Down-Protective"
"BUB1",598,124,0.790195025627685,0.614492651040187,1.01613612053743,0.0664747461081554,-1.83520887867294,0.24722904744722,-1.27516575383389,5.61534188836862e-10,13,"Down","Down-Protective"
"CXCL11",597,124,0.92319927680865,0.847060642998643,1.00618168456373,0.06881473651478,-1.81963415631118,0.24722904744722,-2.51627291959698,2.23071196621761e-24,10,"Down","Down-Protective"
"MYC",598,124,0.812020004773326,0.648244583879325,1.01717238300107,0.070014751564993,-1.81181522661262,0.24722904744722,-1.60867034075625,8.62235507499008e-17,13,"Down","Down-Protective"
"ECT2",597,124,0.8456336319425,0.705075427206949,1.0142123975374,0.0706368706992057,-1.80780490118886,0.24722904744722,-1.46235954491589,1.55702556320933e-09,13,"Down","Down-Protective"
"AURKA",598,124,0.78789335598241,0.603403733531914,1.02879035362878,0.07987129852695,-1.75143331534017,0.269909905366934,-1.34624820434769,9.98572744625684e-27,13,"Down","Down-Protective"
"ASF1B",598,124,0.782355644554141,0.592172638494238,1.03361809509151,0.0841185604977093,-1.72727347542398,0.27478729762585,-1.03922046504671,5.64623943180604e-18,13,"Down","Down-Protective"
"CCR8",565,119,0.907719161100672,0.812248864535932,1.01441086765946,0.0877079643477323,-1.70761413239447,0.277270338905734,-2.4338012718763,2.26638640660471e-73,3,"Down","Down-Protective"
"CENPA",598,124,0.818682387420877,0.641971268237437,1.04403558949503,0.106830890341558,-1.61260252143252,0.327169601671023,-1.36436106563659,9.76678523959013e-16,13,"Down","Down-Protective"
"EXO1",597,124,0.826849678506095,0.651242606439914,1.04980906360388,0.118545094271832,-1.5609095475792,0.351346630450998,-1.40232216904266,1.68010507541812e-13,13,"Down","Down-Protective"
"NCAPH",598,124,0.787857288029492,0.582426146942239,1.06574732188791,0.121895769748306,-1.54686513518575,0.351346630450998,-1.18345741480437,1.20923800644352e-16,13,"Down","Down-Protective"
"TRIP13",598,124,0.802968507935118,0.603628447317359,1.06813790436978,0.131755318703487,-1.50721592851613,0.367255688338824,-1.8756344096622,1.89765566146104e-16,13,"Down","Down-Protective"
"MELK",598,124,0.837773734747206,0.662827661747918,1.05889490004298,0.138573984119617,-1.48112230875156,0.367255688338824,-1.38635881630342,1.15567655745591e-12,13,"Down","Down-Protective"
"AGT",598,124,0.911463568841392,0.806215567183539,1.03045124795508,0.138657759883025,-1.48080794085526,0.367255688338824,-1.57394270714362,5.97764226138451e-15,13,"Down","Down-Protective"
"NEK2",598,124,0.832109020889047,0.642597734663427,1.07750990284394,0.163371785040954,-1.39382060259926,0.421327235105618,-1.49860061743059,2.46452532742133e-11,13,"Down","Down-Protective"
"IL1A",591,122,0.938891999423526,0.856794767122245,1.02885570781705,0.176814770679755,-1.35062755105691,0.435579467617398,-2.21074238074069,2.06811867598506e-05,9,"Down","Down-Protective"
"CCR10",595,123,1.08407299702264,0.963982105463933,1.21912456280301,0.17778753780302,1.34759854817004,0.435579467617398,1.50703457651738,6.79138643610799e-07,6,"Up","Up-High risk"
"CDKN3",598,124,0.868731644130342,0.695035230172806,1.08583656878194,0.216306211708813,-1.23640997086099,0.517024603596676,-1.18810430083738,5.84947275438605e-12,13,"Down","Down-Protective"
"RAD51AP1",597,124,0.884597316776328,0.72396735321187,1.08086698851305,0.230386180570207,-1.19936466586183,0.537567754663817,-1.18749669541657,3.09601491617257e-10,13,"Down","Down-Protective"
"IL6",595,123,1.05022945521338,0.966709547454851,1.14096515494413,0.246388841329559,1.15916522979472,0.545472082214749,-1.48359798807293,0.0116153368819737,10,"Down","Down-High risk"
