Symbol,n_studies,method_used,pooled_log2FC,pooled_se,rem_pvalue,I2,tau2,Q,Q_pval,vote_up,vote_down,fisher_pvalue,rem_padj,fisher_padj
ESM1,8,REML,-3.97072891090361,0.341565717412677,3.07304090297432e-31,80.903811576206,0.739648631435396,45.0213930348331,1.35458816747669e-07,0,8,6.24096134768022e-175,5.2533634236346e-27,4.82756716011735e-173
CCDC160,4,REML,2.3725000312685,0.241867554072366,1.02894655001514e-22,0,0,3.07381498257052,0.380383785917654,2,0,4.54940638291999e-20,3.51796825450178e-19,1.07390364700383e-19
DLEU1-AS1,4,REML,-2.41097422092904,0.250876815094702,7.24142235679642e-22,0,0,0.477560537916451,0.923792871785961,0,4,1.86656961614503e-19,2.06320191982391e-18,4.28999833127174e-19
TREM2,14,REML,-3.05211359934626,0.327674218693283,1.22556143151208e-20,86.533456689674,1.14611362412717,76.3634448079843,5.30075167912388e-11,0,11,1.11292100421502e-168,2.61887158396238e-17,7.70258484496186e-167
HOXA10,14,REML,-3.03078645974633,0.325907974077127,1.41086285109483e-20,85.1854785645441,1.15209623836555,111.355054556526,1.01353682546347e-17,0,12,5.45513756021689e-134,2.67985560438513e-17,2.19942397622424e-132
GPAT3,15,REML,1.22108874875062,0.13280331503738,3.75986913747658e-20,53.9395252161929,0.130509750019413,29.5162210788591,0.00889138535528519,10,0,6.89506649676673e-43,6.42749629051621e-17,3.47600005196778e-42
OR13H1,2,REML,-3.99912984621065,0.446830916463825,3.55531773048177e-19,0,0,0.210467342712313,0.64640135197597,0,2,2.5665990116042e-18,4.67524281558353e-16,5.62729384421878e-18
CFHR4,2,REML,-5.89535293926121,0.660977150300319,4.69889645172619e-19,0,0,0.061695541810019,0.80383586302686,0,2,3.54017827202046e-18,5.73768820301852e-16,7.7143846475704e-18
RHEBL1,12,REML,-1.28438663339472,0.144532336260419,6.30639465584265e-19,52.4666211345443,0.107574182224388,23.397177597606,0.0155284175405305,0,8,2.82369772177691e-42,7.18718777610867e-16,1.39391026721849e-41
SECISBP2L,15,REML,1.13154255080051,0.135757920884971,7.7496840928708e-17,90.467803120897,0.225408868163344,185.530641701787,4.87771186285528e-32,10,0,1.16091890908002e-131,5.76003693772288e-14,4.47988910851534e-130
POGLUT2,15,REML,-1.1157429120007,0.134136980901656,8.95078154608416e-17,77.721740922624,0.176093860803178,46.9664259776418,1.94673717943427e-05,0,11,1.29325911922308e-88,5.88513886655034e-14,2.10554901363034e-87
SPINDOC,15,REML,-1.12518864150227,0.136658924764218,1.81739345119126e-16,85.2497988103671,0.217165144496157,80.7604122618817,2.04443973227482e-11,0,10,3.77910465480482e-111,1.15067929807832e-13,1.00472463567478e-109
CCDC178,6,REML,1.49099692556734,0.182110927425585,2.67150084878249e-16,18.0960316773543,0.0373870994957179,5.33320025847339,0.37658278975591,4,0,6.38157849828198e-20,1.63104667892631e-13,1.49668108695473e-19
AHNAK,16,REML,1.11589625222618,0.136948025472941,3.69016646103514e-16,87.9152333179676,0.240207148371973,155.673773483862,1.79380561583802e-25,9,0,4.32338049377756e-131,2.17528950522054e-13,1.64606212786475e-129
LANCL3,15,REML,1.18660876366881,0.147761141754836,9.70070766342839e-16,62.8312389652361,0.187207735987296,37.0559681231259,0.000723487832201164,7,0,4.20989415326221e-38,4.87745875018554e-13,1.8303189356566e-37
PDCD4,15,REML,1.27686224886471,0.160573599472262,1.83699800775723e-15,90.3026186840929,0.330954284497712,137.819172510801,1.92406131327207e-22,11,0,1.52672614213024e-158,8.38267430596199e-13,9.32120835704158e-157
KIAA0232,16,REML,1.02108496394773,0.128676590862651,2.1001851840712e-15,91.3974940590456,0.218509006541577,225.687345407137,1.22209660809918e-39,10,0,2.58723893808184e-132,8.65682180115834e-13,1.00520112832975e-130
LOC105377622,11,REML,1.73948923969601,0.219252801727032,2.12685882216233e-15,67.4495537220575,0.32328864709273,28.449213961148,0.0015290903716256,8,0,3.09519871653932e-47,8.65682180115834e-13,1.76492401798664e-46
