ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0006261,DNA-templated DNA replication,164,-0.641602224265724,-2.46450231246485,1e-10,2.54708333333333e-08,2.18070175438596e-08,3708,"tags=60%, list=22%, signal=47%",8099/7158/5976/898/345643/51343/91607/6117/5932/6240/57418/5422/10714/7013/5427/54962/84893/348654/54107/59343/604/57697/5557/11284/84083/5426/4999/11232/10721/80198/63901/5001/144455/545/5591/11073/55159/4175/79915/9134/10926/5983/378708/64863/4172/8317/26271/1763/54108/253714/56652/6596/90381/92667/5111/11169/84515/146956/222229/9156/4998/1663/51053/4173/80174/29980/142/983/58525/3978/10293/675/23649/8914/641/672/9837/23594/81620/5984/5558/5428/4171/4174/4796/1017/4176/7083/5982/84296/990/2237/8318/5888/55388/5424/9093/51750
GO:0006260,DNA replication,279,-0.594900231425205,-2.45256598829123,1e-10,2.54708333333333e-08,2.18070175438596e-08,3308,"tags=49%, list=19%, signal=41%",6117/5932/6240/57418/5422/10714/7126/7013/64785/5427/54962/84893/348654/54107/59343/604/6418/84464/57697/23338/79596/5557/11284/84083/5928/11198/5426/4999/1660/11232/10721/80198/63901/57695/51008/5001/29844/144455/253980/8208/157570/545/5591/11073/9768/55159/4175/4678/79915/9134/2736/10856/10926/5983/378708/374393/64863/10919/890/4172/8317/26271/1763/27000/54108/253714/83743/163859/56652/6596/90381/92667/5111/11169/6119/84515/5763/146956/23560/9401/222229/9156/4998/1663/51053/4173/80174/86/29980/142/51514/1111/27101/983/58525/246243/116028/10535/2735/3978/10293/675/23649/8914/1877/641/51659/993/672/9837/23594/81620/5984/5558/79913/6749/10036/5428/4171/4174/4796/1017/4176/7083/5982/84296/990/2237/8607/8318/116447/5888/55388/63922/5424/79075/9093/51750
GO:0006310,DNA recombination,335,-0.538084499236431,-2.24741944366127,1e-10,2.54708333333333e-08,2.18070175438596e-08,3791,"tags=46%, list=22%, signal=36%",92797/126549/79677/55183/7158/8940/5395/10538/3008/3575/5885/56160/55086/6421/6944/83933/3007/6117/5932/6502/3148/548593/27301/119392/79008/8295/7374/55345/84893/348654/55010/493861/2072/604/958/84464/51548/4439/158401/5889/57697/79728/5890/8089/5130/118460/7979/63979/27336/10721/80198/9907/29893/84057/7518/55317/55693/78996/29844/51176/25788/9466/165918/28990/9656/5591/11073/64919/83990/2187/7517/2956/55159/6832/328/4175/2177/56941/79915/3070/7037/10856/79000/8971/378708/7156/4172/8317/253714/5892/26168/6119/84515/146956/9401/84717/23028/9156/4173/50943/86/7153/142/4841/1111/3014/3329/64110/116028/4436/3978/5896/675/2068/55135/5347/8914/641/51659/672/7515/80119/7516/7468/79913/3149/3838/4171/4174/4796/4176/84296/2237/2521/6929/84787/8607/8318/8438/5888/115004/10635/11077/29128/78995/79035/9319/3276/79447/57820/55257/10459/51750
GO:0000070,mitotic sister chromatid segregation,191,-0.566834941828084,-2.22447342254474,1e-10,2.54708333333333e-08,2.18070175438596e-08,2003,"tags=42%, list=12%, signal=38%",79598/54984/126353/83540/3832/10592/56992/9184/7272/10726/891/1062/29127/29098/64151/7517/51203/8379/54908/1063/7283/9918/701/84861/24137/26271/9735/11130/9787/57082/64105/3835/9928/283489/699/4751/29781/27436/57405/152185/83903/4085/221150/9493/983/440145/49856/3833/55143/81930/90417/126731/54892/23397/22974/2491/9055/147841/9212/11044/5347/146909/991/11004/91272/10615/220134/81620/9371/332/84722/11065/23636/23212/55055/29128/10403/4605/9319/11200/10459
GO:0002181,cytoplasmic translation,203,0.557116193630701,2.22224665330087,1e-10,2.54708333333333e-08,2.18070175438596e-08,3662,"tags=49%, list=22%, signal=39%",132864/22849/51386/6122/6139/6194/8665/7375/9045/1938/6138/6124/6228/1975/6125/6154/6159/6203/6164/6230/6189/3921/6130/80315/23521/7812/6128/4736/6207/6137/6161/388524/6202/6141/6206/8664/6208/6144/6146/26986/6157/6135/6133/6142/6234/6160/9147/6451/10670/54505/6209/6168/10399/8531/6175/6188/6050/6205/6147/2107/7311/6222/6229/6218/6191/51389/6134/6171/6181/6204/6193/10641/6158/6199/9567/8890/5563/6166/11224/6176/6217/221662/6136/8661/9349/25873/3646/208/6301/6210/6143/8667/85451/27335/64506/6152/7458/6223/64121
GO:0000819,sister chromatid segregation,230,-0.551830770435052,-2.21505332591059,1e-10,2.54708333333333e-08,2.18070175438596e-08,2003,"tags=40%, list=12%, signal=35%",79598/54984/126353/83540/3832/9274/10592/56992/9184/5977/7272/10726/891/1062/29127/29098/64151/7517/51203/8379/6602/54908/1063/7283/9918/701/84861/24137/8193/26271/9735/11130/9787/57082/64105/3835/9928/283489/699/4751/29781/27436/57405/152185/83903/4085/86/7153/221150/9493/983/440145/49856/3833/55143/81930/90417/126731/116028/54892/23397/22974/2491/9055/147841/9212/11044/5347/146909/991/11004/10460/91272/10615/220134/81620/9371/332/84722/990/11065/23636/605/23212/55055/29128/10403/4605/9319/11200/10459
GO:0006302,double-strand break repair,322,-0.529242863145548,-2.20247427241978,1e-10,2.54708333333333e-08,2.18070175438596e-08,3350,"tags=40%, list=20%, signal=33%",6944/5371/6117/5932/6502/5422/3148/548593/151636/119392/79008/8295/25913/55345/51567/84893/348654/55010/493861/286257/55775/2072/84464/7913/51548/5889/57697/79728/5890/11284/8089/7979/63979/27336/6598/10721/27339/7291/80198/9907/7518/55317/55693/78996/9274/5977/25788/165918/28990/9656/157570/545/5591/11073/83990/2187/7517/55159/4175/2177/56941/6602/3070/10856/79000/8091/7156/8193/4172/8317/1763/253714/5892/26168/6119/84515/146956/9401/84717/23028/9112/1663/4173/86/142/1111/3014/64110/116028/4436/675/11044/55135/5347/8914/3297/641/51659/672/7515/7516/7468/79913/2305/4171/4174/4796/4176/84296/2237/2521/84787/5536/8607/605/8318/8438/5888/113130/115004/10635/11077/29128/79035/9319/11200/3276/55257/10459/51750
GO:0000725,recombinational repair,197,-0.553621716402919,-2.19012878969887,1e-10,2.54708333333333e-08,2.18070175438596e-08,3864,"tags=50%, list=23%, signal=39%",286053/57634/92797/126549/79677/55183/7158/5885/56160/55086/6421/6944/6117/5932/6502/548593/119392/79008/8295/55345/84893/348654/55010/493861/2072/84464/51548/5889/57697/79728/5890/8089/7979/63979/27336/10721/80198/9907/55317/55693/25788/28990/9656/5591/11073/2187/7517/55159/4175/3070/10856/79000/7156/4172/8317/253714/5892/26168/6119/84515/9401/84717/23028/4173/86/142/1111/3014/64110/116028/675/55135/5347/8914/641/51659/672/7516/4171/4174/4796/4176/84296/2237/2521/8607/8318/8438/5888/115004/10635/29128/78995/79035/3276/55257/10459/51750
GO:0000724,double-strand break repair via homologous recombination,192,-0.552246492607995,-2.16950574102388,1e-10,2.54708333333333e-08,2.18070175438596e-08,3864,"tags=50%, list=23%, signal=39%",286053/57634/92797/126549/79677/55183/7158/5885/56160/55086/6421/6944/6117/5932/6502/548593/119392/79008/8295/84893/348654/55010/493861/2072/84464/51548/5889/57697/79728/5890/8089/7979/63979/27336/10721/80198/9907/55317/55693/25788/28990/9656/5591/11073/2187/7517/55159/4175/3070/10856/79000/7156/4172/8317/253714/5892/26168/6119/84515/9401/84717/23028/4173/86/142/1111/3014/64110/116028/675/55135/5347/8914/641/51659/672/7516/4171/4174/4796/4176/84296/2237/2521/8607/8318/8438/5888/115004/10635/29128/79035/3276/55257/10459/51750
GO:1903046,meiotic cell cycle process,200,-0.547100673170176,-2.16401088739005,1e-10,2.54708333333333e-08,2.18070175438596e-08,3635,"tags=44%, list=21%, signal=35%",7589/225689/10361/23236/3976/130951/898/5885/284071/51343/10388/27175/23310/7013/1642/149986/2072/84464/4439/158401/5889/9232/57697/10734/5890/4487/63979/151648/80198/9897/29893/84057/54888/259266/83540/11022/10592/9633/25788/7272/83990/29988/2956/2177/9134/7283/9918/378708/84930/10919/26271/11130/57082/5892/55706/146956/29781/5810/7153/221150/81930/23397/4488/995/9133/675/5347/2175/3297/991/993/10018/220134/2827/10609/1164/8438/9088/5888/6790/10635/11077/10403/54456/9319/994/57820
