ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,200,-0.732116735454319,-2.88949791022674,1e-10,1.25e-09,6.8421052631579e-10,2063,"tags=56%, list=12%, signal=50%",3015/81624/84312/10606/4830/1503/10733/55635/6628/4001/6941/5591/1062/29127/6426/4175/4678/10797/3070/4288/7037/7283/9918/701/5983/24137/4172/81611/253714/9787/9125/55646/3835/79019/5111/6119/57122/11113/57405/83461/5810/55723/4173/4085/7884/29028/7153/3161/29980/1111/6241/84844/3014/983/55143/4436/10535/27338/9833/3925/3978/1033/147841/9133/9212/675/1163/3609/23649/5347/146909/10212/8914/991/11004/203068/10460/993/672/9221/9837/10615/23594/10528/5558/6749/3149/332/79077/1786/3838/5902/4171/4174/4176/7083/5982/84296/1164/6790/9238/10635/29089/4605/5424/9319/994/11200/6839/1019/79075/5631/197335
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,199,-0.645905359482803,-2.54590632387011,1e-10,1.25e-09,6.8421052631579e-10,2546,"tags=53%, list=15%, signal=45%",7514/9232/6434/10951/7027/5426/10772/10721/2130/3015/4331/5001/7371/10733/3832/10592/56992/9184/4001/7290/7272/4953/1062/29127/6426/51203/4175/4678/4288/1063/10926/24137/890/4172/8317/26271/55872/57082/5933/3835/699/4751/1871/9156/4085/7153/3161/1874/9493/1111/3014/983/10432/10024/6632/27338/3925/22974/10293/9055/1033/9133/9212/675/1163/3609/11044/23649/5347/10212/991/11004/4957/10460/51659/993/9221/22809/1736/23594/899/7468/5558/3149/10036/332/1841/3838/3226/4171/4174/1058/6491/990/11065/1164/8318/8438/6790/10403/4605/1869/994/6839/1019
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,58,-0.777447007673879,-2.5310598294665,1e-10,1.25e-09,6.8421052631579e-10,2096,"tags=66%, list=12%, signal=58%",1844/10733/6723/27346/23160/9136/6832/5245/7965/81887/83743/23481/10244/92856/79050/51154/4173/3329/64216/11335/4839/79711/5347/23082/9221/705/10528/79077/4174/80324/8886/3336/9238/23223/6949/6573/1019/56342
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,-0.572888743298825,-2.26106131220609,1e-10,1.25e-09,6.8421052631579e-10,4295,"tags=52%, list=25%, signal=40%",5645/10409/3909/3678/10272/7128/1296/2200/2619/290/7456/1809/2817/2335/1292/4982/50509/5817/30008/11010/3956/3915/7412/1307/50863/5021/4837/627/1303/813/3487/5654/25878/26585/51330/5329/6678/2026/649/2919/4487/5118/22795/5744/4017/5352/5270/6695/5396/7422/4323/4148/7076/1284/1290/3624/3918/5054/2201/5159/6591/3685/3371/8985/1278/56937/1462/1289/10631/1294/6535/4313/3576/6372/3486/4060/4312/1293/1277/1282/6424/7045/2882/1281/2191/284217/4016/7070/8038/7058/131578/1009/4015/1301/633/5217/4232/4176/871/79709/115908/6696/4314/64175/5351
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,200,-0.502229431577899,-1.98218511163819,7.29919733945363e-09,7.29919733945363e-08,3.99535012264831e-08,2838,"tags=41%, list=17%, signal=35%",7284/3608/54107/6633/3181/6418/52/7913/51690/7307/7514/7411/6434/7027/11260/4999/10574/5688/10576/3068/3015/4830/1503/6059/10575/9184/3326/5690/6723/4953/6741/6629/9136/2079/5685/10236/6426/10054/328/4175/5634/10856/5245/5691/7965/56910/890/22948/57819/26121/22916/7203/5111/8662/3251/4173/4085/6626/3329/6632/6637/11335/991/9221/10528/5984/3838/5902/4171/4174/1017/8886/4176/790/65005/7298/5709/6627/8318/3336/10921/1019
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,187,0.462403044232484,1.81266087124726,1.17588870184158e-06,9.79907251534646e-06,5.36370285050543e-06,2768,"tags=31%, list=16%, signal=26%",10181/8780/831/51274/2035/8850/22936/2309/210/23052/8945/2145/26020/56674/23002/51257/4005/1182/25893/645/129642/23365/79269/8031/80344/10133/25901/50865/4891/3005/63891/6397/55030/51646/4601/51094/571/5606/66008/7504/360/80148/56180/8991/26268/25796/118/847/26130/7001/9663/644/10098/2532/115201/9958/2995/220972
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,152,0.480703706348488,1.84411678145788,1.63688868873328e-06,1.16920620623806e-05,6.39986554993464e-06,2977,"tags=34%, list=17%, signal=28%",3248/51/2110/3032/37/8801/11343/84263/5162/224/34/210/58476/3295/1376/4128/54884/30/594/1384/223/9380/79602/84693/1892/6281/3155/8803/1718/1666/3422/1149/4056/4199/2752/218/9588/131/5910/33/6392/644/57515/3157/874/8802/50814/26275/23417/2052/92840
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,195,0.449632365001868,1.77151087993186,2.46565811078985e-06,1.54103631924366e-05,8.4351461684916e-06,3658,"tags=35%, list=21%, signal=28%",27250/8780/51/26994/79071/6239/2878/11343/7263/34/901/5236/26353/1376/1629/54884/6342/7316/10140/2053/6888/6623/1384/539/593/58472/6453/79602/1580/217/1892/2632/65124/28512/1737/84895/51727/112/1666/1149/56894/4056/4199/10124/5860/10580/847/64859/33/7905/84919/1431/8802/27069/26275/92840/27089/5211/7384/1351/2101/10975/84173/226/57017/3991/6391/2820/54996
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,150,-0.478359077311231,-1.82605405914969,2.79186778130667e-06,1.55103765628148e-05,8.48989032911969e-06,3408,"tags=39%, list=20%, signal=32%",4059/10309/100/55290/11047/5422/10714/5432/9328/1642/5435/6621/23204/2072/5557/29927/9533/1687/552900/8237/2071/10623/3704/10063/6895/1716/4830/1479/2967/5983/9883/5142/8480/11130/7372/22916/5111/6119/10189/3251/5433/51497/3978/2068/23649/10946/5440/5984/6749/5982/7298/5437/2237/5436/5888/6878/286075/5424/29901
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,36,-0.695279388731055,-2.09427704867472,4.81086716255311e-06,2.40543358127656e-05,1.31665838133033e-05,3641,"tags=58%, list=21%, signal=46%",3764/4043/4023/4973/4487/5154/8829/7422/7076/1290/6781/3685/7410/3714/1462/5747/10631/6372/4060/1281/6696
