ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
hsa04110,Cell cycle,157,-0.580566748304499,-2.23001079434103,1e-10,3.53e-08,2.54736842105263e-08,2537,"tags=40%, list=15%, signal=34%",9232/7027/7042/1021/4999/151648/5001/9184/7272/5528/157570/545/5591/10393/891/8379/4175/9134/10926/701/890/4172/8317/26271/57082/5933/90381/5111/699/27085/1871/4998/1663/4173/4085/80174/1874/55869/1111/983/995/9133/9212/5347/991/993/23594/81620/4171/4174/1017/4176/990/8318/9088/113130/10403/9319/1869/994/11200/1019/10459
hsa04382,Cornified envelope formation,185,0.517893724834802,2.05937442943624,2.56098395477928e-10,4.52013668018542e-08,3.2618848266136e-08,2614,"tags=35%, list=15%, signal=30%",9517/7082/26285/2312/100506658/51099/5525/5493/3860/6785/5520/29943/6707/6703/3851/5516/126410/196374/6701/388697/84283/6700/2053/140576/388698/338785/7053/823/2125/57402/55304/23254/6698/192666/6705/6704/7051/10558/7357/6281/1828/9333/3882/5515/5652/147409/121214/6283/3713/79852/64834/3866/6279/3850/3883/11187/5046/6280/5518/1832/6699/6271/10999/5519/204219
hsa03040,Spliceosome,144,-0.552881374249651,-2.09246714451494,1.92136878564228e-09,2.26081060443908e-07,1.63147805658046e-07,2771,"tags=39%, list=16%, signal=33%",6633/4670/51690/7307/4809/6434/102724594/10772/9416/27339/24148/10465/7919/6628/9129/10713/9128/6629/6426/23350/10450/57461/10992/25804/4116/8563/57819/26121/8449/22916/9343/6636/10189/6631/51634/10262/84844/6626/6632/6637/11338/84991/51645/23658/10946/6635/9092/8175/10523/22827/2521/6627/100534599/9410/6100/25766
hsa04140,Autophagy - animal,163,0.515198127394271,2.0000417446099,6.75066227532855e-09,5.95745945797744e-07,4.29910597534081e-07,3366,"tags=37%, list=20%, signal=30%",8897/5580/9842/10241/58476/5289/5595/55014/23001/5594/5516/8887/5567/8417/5894/7316/3476/285973/51100/57724/64689/10133/58528/23339/53349/22863/10670/55823/5728/64798/5515/11345/9342/7311/8837/8673/11337/5588/7189/5604/4077/6199/5563/5599/83734/664/64419/84557/115201/55255/5605/83452/3708/2081/8678/3845/208/598/56270/203228/5170
hsa03030,DNA replication,36,-0.750250070269838,-2.26925242200321,4.79224335889727e-08,3.38332381138147e-06,2.44152187969082e-06,3308,"tags=72%, list=19%, signal=58%",6117/5422/10714/5427/54107/5557/5426/4175/5983/4172/1763/5111/6119/4173/246243/10535/3978/23649/5984/5558/4171/4174/4176/5982/2237/5424
hsa04144,Endocytosis,246,0.439420923300824,1.79815983775285,1.39134141628658e-07,8.18572533248602e-06,5.90709864458511e-06,3962,"tags=38%, list=23%, signal=29%",8766/60682/58513/10015/9525/5869/79720/2060/55040/80230/116984/8411/100526767/56904/10254/1212/30845/10890/5868/387/9267/27243/6642/51100/51652/382/8976/56288/10109/83737/6455/51028/5867/92421/80223/7251/8724/5337/84440/5338/25978/6643/55737/55616/642517/1785/22905/9559/84612/9101/381/7189/84364/51699/147179/27183/128866/55680/10094/998/3579/23550/9230/3133/22841/10093/137492/112936/79643/11021/51510/832/408/29082/9744/829/23111/9372/387680/6456/10938/375/9798/4087/51534/10096/51019/93343/23396/653857/116983/5119/29924
hsa00071,Fatty acid degradation,43,0.705769954082386,2.23395754200171,3.8105759325326e-07,1.92161900597715e-05,1.38670582807953e-05,2439,"tags=44%, list=14%, signal=38%",51/3030/3032/37/2181/224/34/1376/8310/30/38/223/501/217/1892/125/131/33/36
hsa03013,Nucleocytoplasmic transport,104,-0.53577158235757,-1.94515294924603,8.98445672358515e-07,3.6179996314538e-05,2.61087195709503e-05,4111,"tags=51%, list=24%, signal=39%",53371/22985/9818/3836/51068/8086/348995/9984/55746/65109/5976/23225/23165/5901/79228/7329/55110/9670/1434/2733/25909/23214/59343/81929/7514/5905/11260/6612/79023/55308/23279/9688/57510/7919/129401/100101267/9883/9631/8480/4116/8563/22916/10189/57122/55706/11097/79711/29107/79902/3838/23636/55705/10921
hsa03010,Ribosome,170,0.470956791833514,1.84377580687641,9.22436166659608e-07,3.6179996314538e-05,2.61087195709503e-05,2991,"tags=40%, list=18%, signal=33%",6122/6139/6194/100526842/9045/6138/6124/6228/6125/6154/6159/6203/6164/6230/6189/3921/6130/23521/6128/4736/6207/6137/6161/388524/26589/6202/6141/6206/6208/92259/6144/6146/6157/6135/6133/6142/6234/6160/23107/6209/6168/10399/6175/6188/6205/55173/6147/7311/6222/6229/6218/6191/6134/6171/64432/6181/6204/6193/100529239/6158/51023/6166/11224/6176/6217/54148/6136/6192
hsa00982,Drug metabolism - cytochrome P450,58,0.627928935056391,2.08170717128987,1.24401436955844e-06,4.35387012641598e-05,3.14190120946076e-05,4604,"tags=62%, list=27%, signal=45%",1577/4128/2327/4129/1557/1558/4258/1559/373156/1571/27306/221/4257/125/2953/218/131/54577/1576/119391/653689/54600/127/54579/54657/54659/54576/54658/222/124/54575/4259/316/2950/2949/54578
