ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0045229,external encapsulating structure organization,92/1895,309/15250,0.297734627831715,2.396017453527,9.33863922951948,2.37541075384234e-16,8.20306093379102e-13,7.34546960860117e-13,PLOD1/MMP12/P3H1/MMP13/MMP3/MMP11/P3H4/MELTF/COLGALT1/SERPINH1/ERO1A/ZNF469/FSCN1/COL11A1/LOX/SPINK5/QSOX1/THSD4/ADAMTS12/ADAMTS2/MPZL3/LAMA1/COL27A1/FAP/OLFML2B/PDPN/P4HA3/COL3A1/TGFBI/ADAMTS14/COL4A1/COL1A1/MMP1/LUM/SULF1/VIT/MMP2/FKBP10/TGM1/ADAMTSL4/POSTN/COL5A1/RUNX1/COL1A2/PLOD3/CMA1/GFOD2/PXDN/MMP9/ADAMTS4/COL5A2/COL4A2/SPINT1/EGFL6/ADAMTS20/MATN3/MMP14/LAMB1/ELF3/ANTXR1/LOXL2/MMP10/PHLDB2/HAS2/CTSG/CTSK/ADAMTS7/NID2/ADAMTS6/MMP7/GREM1/COL19A1/MMP27/COL12A1/AEBP1/COL6A1/HAS3/MMP16/DPT/NID1/TNXB/DMP1/TNFRSF11B/DPP4/LOXL4/EMILIN1/TCF15/ADAMTS19/HPSE2/ADAMTS18/CREB3L1/WNT3A,92
GO:0008544,epidermis development,102/1895,363/15250,0.28099173553719,2.26127913822805,9.16145122958884,4.29075526827642e-16,8.20306093379102e-13,7.34546960860117e-13,PLOD1/TRIM16/FLG/EMP1/TMC1/ETV4/KPRP/PPL/GRHL1/ANXA1/SCEL/HOXC13/SPINK5/SPRR3/CSTA/MSX2/SPRR2D/STMN1/IL18/GLI1/KRT4/CYSRT1/GRHL3/KRT17/ACER1/KRT78/SPRR2B/DKK4/TMEM79/EXPH5/LIPM/FLG2/KRT79/TGM3/EVPL/CNFN/TMPRSS11F/SLC39A2/SFRP4/ALOX15B/KAZN/SPRR1A/ZNF750/HOXA7/SULT2B1/SPRR2F/SPRR2E/TGM1/MAFF/COL7A1/CDH3/GLI2/PLOD3/LAMC2/ALOX12/INHBA/TCHH/MET/TGM5/KRT32/LAMB3/SNAI1/DSG4/SPINT1/FST/AQP3/IVL/EPHA2/ZFP36/KRT15/CRABP2/KRT3/PTHLH/PDGFA/PKP3/GSDME/SPRR1B/KRTDAP/KRT14/FOXE1/CERS3/LGR5/TP63/COL6A1/ABCA12/USH2A/SOX21/KRT76/CST6/HOXB13/CYP27B1/SPRR2G/ZBED2/EREG/PITX2/DCT/KRT7/KRT2/KRT6C/KRT36/KRT80/CDSN,102
GO:0030198,extracellular matrix organization,91/1895,307/15250,0.296416938110749,2.38541335418941,9.23704378483419,4.70819943308869e-16,8.20306093379102e-13,7.34546960860117e-13,PLOD1/MMP12/P3H1/MMP13/MMP3/MMP11/P3H4/MELTF/COLGALT1/SERPINH1/ERO1A/ZNF469/FSCN1/COL11A1/LOX/SPINK5/QSOX1/THSD4/ADAMTS12/ADAMTS2/MPZL3/LAMA1/COL27A1/FAP/OLFML2B/PDPN/P4HA3/COL3A1/TGFBI/ADAMTS14/COL4A1/COL1A1/MMP1/LUM/SULF1/VIT/MMP2/FKBP10/ADAMTSL4/POSTN/COL5A1/RUNX1/COL1A2/PLOD3/CMA1/GFOD2/PXDN/MMP9/ADAMTS4/COL5A2/COL4A2/SPINT1/EGFL6/ADAMTS20/MATN3/MMP14/LAMB1/ELF3/ANTXR1/LOXL2/MMP10/PHLDB2/HAS2/CTSG/CTSK/ADAMTS7/NID2/ADAMTS6/MMP7/GREM1/COL19A1/MMP27/COL12A1/AEBP1/COL6A1/HAS3/MMP16/DPT/NID1/TNXB/DMP1/TNFRSF11B/DPP4/LOXL4/EMILIN1/TCF15/ADAMTS19/HPSE2/ADAMTS18/CREB3L1/WNT3A,91
GO:0043062,extracellular structure organization,91/1895,308/15250,0.295454545454545,2.37766850563684,9.20066176979325,5.88877310394187e-16,8.20306093379102e-13,7.34546960860117e-13,PLOD1/MMP12/P3H1/MMP13/MMP3/MMP11/P3H4/MELTF/COLGALT1/SERPINH1/ERO1A/ZNF469/FSCN1/COL11A1/LOX/SPINK5/QSOX1/THSD4/ADAMTS12/ADAMTS2/MPZL3/LAMA1/COL27A1/FAP/OLFML2B/PDPN/P4HA3/COL3A1/TGFBI/ADAMTS14/COL4A1/COL1A1/MMP1/LUM/SULF1/VIT/MMP2/FKBP10/ADAMTSL4/POSTN/COL5A1/RUNX1/COL1A2/PLOD3/CMA1/GFOD2/PXDN/MMP9/ADAMTS4/COL5A2/COL4A2/SPINT1/EGFL6/ADAMTS20/MATN3/MMP14/LAMB1/ELF3/ANTXR1/LOXL2/MMP10/PHLDB2/HAS2/CTSG/CTSK/ADAMTS7/NID2/ADAMTS6/MMP7/GREM1/COL19A1/MMP27/COL12A1/AEBP1/COL6A1/HAS3/MMP16/DPT/NID1/TNXB/DMP1/TNFRSF11B/DPP4/LOXL4/EMILIN1/TCF15/ADAMTS19/HPSE2/ADAMTS18/CREB3L1/WNT3A,91
GO:0043588,skin development,87/1895,300/15250,0.29,2.33377308707124,8.78871384148077,8.76137260850392e-15,9.76367363491677e-12,8.74292761353865e-12,TRIM16/FLG/ETV4/KPRP/PPL/GRHL1/ANXA1/RIPK4/SCEL/HOXC13/SPINK5/SPRR3/ADAMTS2/CSTA/MSX2/SPRR2D/STMN1/IL18/KRT4/CYSRT1/GRHL3/KRT17/ACER1/KRT78/SPRR2B/DKK4/TMEM79/EXPH5/LIPM/FLG2/KRT79/TGM3/COL3A1/EVPL/CNFN/TMPRSS11F/SLC39A2/ALOX15B/COL1A1/KAZN/SPRR1A/ZNF750/HOXA7/SPRR2F/SPRR2E/TGM1/CDH3/COL5A1/GLI2/COL1A2/ALOX12/INHBA/TCHH/MET/COL5A2/SNAI1/DSG4/TFAP2B/FST/AQP3/IVL/EPHA2/ZFP36/KRT3/PDGFA/PKP3/SPRR1B/ITGA6/KRT14/FOXE1/CERS3/LGR5/TP63/COL6A1/ABCA12/SOX21/KRT76/CYP27B1/SPRR2G/ZBED2/EREG/KRT7/KRT2/KRT6C/KRT36/KRT80/CDSN,87
GO:0031424,keratinization,32/1895,61/15250,0.524590163934426,4.22163588390501,9.49686192012112,4.65119279028253e-14,4.31940770457571e-11,3.86783400455074e-11,PPL/SPRR3/SPRR2D/KRT4/KRT17/KRT78/SPRR2B/TMEM79/LIPM/KRT79/TGM3/EVPL/CNFN/KAZN/SPRR1A/SPRR2F/SPRR2E/TGM1/CDH3/TCHH/IVL/KRT3/SPRR1B/CERS3/ABCA12/KRT76/SPRR2G/KRT7/KRT2/KRT6C/KRT80/CDSN,32
GO:0007088,regulation of mitotic nuclear division,46/1895,116/15250,0.396551724137931,3.19124738422346,8.92373949363441,9.77048823620548e-14,6.82379686082619e-11,6.11040108820723e-11,MAD2L2/TOM1L2/TRIP13/NDC80/AURKA/PKMYT1/UBE2C/BIRC5/SKA1/EPGN/CDC20/PLK1/AURKB/CDC25C/CDCA8/MAD2L1/BTC/HASPIN/MTBP/SPC25/NEK2/BUB1/EDN3/CDCA2/KNL1/DLGAP5/ZWINT/KNTC1/FBXO5/BUB1B/CENPF/MKI67/NUSAP1/PDGFRB/CCNB1/TTK/NUF2/HOXA13/CCDC8/DUSP1/IGF2/EGF/ESPL1/FBXO43/EREG/IL1A,46
GO:0030216,keratinocyte differentiation,55/1895,155/15250,0.354838709677419,2.8555621755043,8.74637602625478,9.79726756758965e-14,6.82379686082619e-11,6.11040108820723e-11,TRIM16/FLG/ETV4/PPL/GRHL1/ANXA1/SCEL/SPRR3/CSTA/MSX2/SPRR2D/KRT4/KRT17/ACER1/KRT78/SPRR2B/TMEM79/EXPH5/LIPM/KRT79/TGM3/EVPL/CNFN/SLC39A2/ALOX15B/KAZN/SPRR1A/HOXA7/SPRR2F/SPRR2E/TGM1/CDH3/TCHH/DSG4/AQP3/IVL/EPHA2/ZFP36/KRT3/SPRR1B/KRT14/CERS3/TP63/ABCA12/KRT76/CYP27B1/SPRR2G/ZBED2/EREG/KRT7/KRT2/KRT6C/KRT36/KRT80/CDSN,55
GO:0051783,regulation of nuclear division,50/1895,138/15250,0.36231884057971,2.91575847959925,8.51574543599329,5.18053988444982e-13,3.20732980401715e-10,2.87201860260727e-10,MAD2L2/TOM1L2/TRIP13/NDC80/RAD51AP1/AURKA/PKMYT1/UBE2C/GPR3/BIRC5/SKA1/EPGN/CDC20/PLK1/AURKB/CDC25C/MSX2/CDCA8/MAD2L1/BTC/HASPIN/MTBP/SPC25/NEK2/BUB1/EDN3/CDCA2/KNL1/DLGAP5/ZWINT/KNTC1/FBXO5/BUB1B/CENPF/MKI67/NUSAP1/PDGFRB/CCNB1/TTK/NUF2/HOXA13/CCDC8/DUSP1/LIF/IGF2/EGF/ESPL1/FBXO43/EREG/IL1A,50
GO:0030199,collagen fibril organization,33/1895,70/15250,0.471428571428571,3.79381831888428,8.82499845599365,9.51575175185182e-13,5.30217687613184e-10,4.74785929513449e-10,PLOD1/P3H1/MMP11/P3H4/COLGALT1/SERPINH1/ERO1A/COL11A1/LOX/ADAMTS12/ADAMTS2/P4HA3/COL3A1/ADAMTS14/COL1A1/LUM/FKBP10/COL5A1/COL1A2/PLOD3/PXDN/COL5A2/LOXL2/ADAMTS7/GREM1/COL12A1/AEBP1/COL6A1/DPT/TNXB/LOXL4/EMILIN1/ADAMTS19,33
