ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030312,external encapsulating structure,154/1993,458/16088,0.336244541484716,2.7142509700984,13.9954315353974,2.40270415013827e-33,1.40317922368075e-30,1.24181867128199e-30,ESM1/PLOD1/MFAP2/WNT2/MMP12/P3H1/MMP13/MMP3/HAPLN3/MMP11/FLG/CTHRC1/SERPINB1/SERPINH1/AGRN/BGN/ANXA1/CRISP3/COL11A1/LOX/ECM1/ANOS1/THBS2/THSD4/CSTB/ADAMTS12/ADAMTS2/CLIC3/ANXA11/ANGPTL1/MDK/LAMA1/CCN4/COL27A1/OLFML2B/LEFTY2/ENAM/LGALS3/CCBE1/C1QB/LAMB4/SERPINB6/COL3A1/ADAMDEC1/TGFBI/ADAMTS14/APOE/CTSZ/COL4A1/COL1A1/COL6A3/MMP1/SLPI/ASPN/CHI3L1/LUM/COL8A1/SULF1/VIT/MMP2/SERPINB12/ADAMTSL4/COL7A1/POSTN/COL5A1/CTSC/VCAN/S100A10/ACAN/COL1A2/PLOD3/TNC/CMA1/GFOD2/FBN2/SERPINE1/LAMC2/PXDN/COL10A1/MMP9/ADAMTS4/LAMB3/SFRP1/COL5A2/CTSL/COL4A2/EGFL6/ADAMTS20/TIMP1/MATN3/MMP14/LAMB1/PKHD1L1/COL9A3/SPOCK1/LOXL2/S100A8/MMP10/CTSG/ADAMTS7/NID2/COL9A2/PCOLCE/S100A9/ADAMTS6/SPARC/MMP7/CLEC3B/GDF10/EMILIN2/GREM1/IGFBP7/MXRA5/COL19A1/RELN/FCGBP/COL24A1/FIBCD1/HTRA1/EMID1/COCH/MMP27/MMRN1/COL12A1/AEBP1/COL6A1/USH2A/IGFBPL1/MMP16/DPT/COL22A1/NID1/TNXB/DMP1/LGALS1/FREM2/CCN5/AMELX/SERPINA1/TNFRSF11B/RARRES2/COL6A2/COL25A1/FN1/EMILIN1/ADAMTS19/HPSE2/FBN1/CSPG4/ADAMTS18/VWC2/THBS1/FGA/CDH2,154
GO:0031012,extracellular matrix,153/1993,457/16088,0.334792122538293,2.70252667706777,13.8840856547655,6.88011914373672e-33,2.00899478997112e-30,1.77796763135512e-30,ESM1/PLOD1/MFAP2/WNT2/MMP12/P3H1/MMP13/MMP3/HAPLN3/MMP11/FLG/CTHRC1/SERPINB1/SERPINH1/AGRN/BGN/ANXA1/CRISP3/COL11A1/LOX/ECM1/ANOS1/THBS2/THSD4/CSTB/ADAMTS12/ADAMTS2/CLIC3/ANXA11/ANGPTL1/MDK/LAMA1/CCN4/COL27A1/OLFML2B/LEFTY2/ENAM/LGALS3/CCBE1/C1QB/LAMB4/SERPINB6/COL3A1/ADAMDEC1/TGFBI/ADAMTS14/APOE/CTSZ/COL4A1/COL1A1/COL6A3/MMP1/SLPI/ASPN/CHI3L1/LUM/COL8A1/SULF1/VIT/MMP2/SERPINB12/ADAMTSL4/COL7A1/POSTN/COL5A1/CTSC/VCAN/S100A10/ACAN/COL1A2/PLOD3/TNC/CMA1/GFOD2/FBN2/SERPINE1/LAMC2/PXDN/COL10A1/MMP9/ADAMTS4/LAMB3/SFRP1/COL5A2/CTSL/COL4A2/EGFL6/ADAMTS20/TIMP1/MATN3/MMP14/LAMB1/COL9A3/SPOCK1/LOXL2/S100A8/MMP10/CTSG/ADAMTS7/NID2/COL9A2/PCOLCE/S100A9/ADAMTS6/SPARC/MMP7/CLEC3B/GDF10/EMILIN2/GREM1/IGFBP7/MXRA5/COL19A1/RELN/FCGBP/COL24A1/FIBCD1/HTRA1/EMID1/COCH/MMP27/MMRN1/COL12A1/AEBP1/COL6A1/USH2A/IGFBPL1/MMP16/DPT/COL22A1/NID1/TNXB/DMP1/LGALS1/FREM2/CCN5/AMELX/SERPINA1/TNFRSF11B/RARRES2/COL6A2/COL25A1/FN1/EMILIN1/ADAMTS19/HPSE2/FBN1/CSPG4/ADAMTS18/VWC2/THBS1/FGA/CDH2,153
GO:0001533,cornified envelope,35/1993,58/16088,0.603448275862069,4.87118708583491,11.1058048050104,6.68634073086339e-18,1.30160766227474e-15,1.15192747328208e-15,FLG/PPL/ANXA1/SCEL/DSC2/SPRR3/CSTA/SPRR2D/CYSRT1/KRT17/SPRR2B/SPRR2A/FLG2/EVPL/CNFN/KAZN/SPRR1A/SPRR2F/SPRR2E/SERPINB2/TGM1/SERPINB12/TCHH/DSG1/DSG2/DSG4/IVL/RPTN/PKP3/SPRR1B/KRT14/CST6/SPRR2G/KRT2/CDSN,35
GO:0005788,endoplasmic reticulum lumen,87/1993,299/16088,0.290969899665552,2.34878261205188,8.85235619646327,6.13014647444865e-15,8.95001385269502e-13,7.92079452356391e-13,POGLUT2/P3H1/SPP1/MELTF/COLGALT1/SERPINH1/ERO1A/COL11A1/QSOX1/MAPK3/STC2/DNAJB11/EVA1A/GPX8/COL27A1/ENAM/PCSK9/P4HA3/COL3A1/APOE/CTSZ/COL4A1/COL1A1/COL6A3/CES2/COL8A1/IGFBP3/FKBP10/CHRDL1/SCG3/ARSI/ADAMTSL4/COL7A1/COL5A1/CTSC/VCAN/ACE2/RCN3/COL1A2/PLOD3/TNC/COL10A1/NOTUM/PDIA5/COL5A2/COL4A2/TMEM132A/TIMP1/MATN3/LAMB1/GPC3/C4A/COL9A3/PROC/IGFBP1/IL12A/PDGFA/ADAMTS7/COL9A2/CASQ2/PLAUR/IGFBP7/COL19A1/CERCAM/COL24A1/COL12A1/COL6A1/TF/APOL1/COL22A1/PTGS2/DMP1/ARSF/LGALS1/AMELX/PRSS23/SERPINA1/WNT7B/COL6A2/COL25A1/FN1/FBN1/WNT3A/THBS1/FSTL1/FGA/CDH2,87
GO:0005581,collagen trimer,34/1993,77/16088,0.441558441558442,3.56437140380944,8.48155922946974,4.09249442866316e-12,4.78003349267857e-10,4.23034687257602e-10,CTHRC1/COL11A1/LOX/COL27A1/C1QTNF5/CCBE1/C1QB/COL3A1/COL4A1/COL1A1/COL6A3/LUM/COL8A1/COL7A1/MSR1/COL5A1/COL1A2/C1QTNF6/COL10A1/COL5A2/COL4A2/COL9A3/COL9A2/EMILIN2/COL19A1/COL24A1/EMID1/COL12A1/COL6A1/COL22A1/COL6A2/COL25A1/EMILIN1/C1QTNF7,34
GO:0098644,complex of collagen trimers,16/1993,27/16088,0.592592592592593,4.78355726524317,7.39868508760407,9.85853931208556e-09,9.59564493042995e-07,8.49218035479651e-07,COL11A1/COL27A1/COL3A1/COL4A1/COL1A1/LUM/COL8A1/COL7A1/COL5A1/COL1A2/COL10A1/COL5A2/COL4A2/COL9A3/COL9A2/COL12A1,16
GO:0016324,apical plasma membrane,85/1993,388/16088,0.219072164948454,1.76840591554979,5.7612321604902,7.92837367063367e-08,6.61452889092866e-06,5.85388191320471e-06,SLC19A1/ATP6V0A4/LMO7/SCNN1B/PLET1/OCLN/SORBS2/MAL/DUOX1/STK39/ANXA1/EPCAM/LRRC15/SCNN1A/PLLP/THY1/RAB27B/SCNN1G/RHCG/CLCA4/SAPCD2/ATP1B3/C1QTNF5/MFRP/SHROOM3/PDPN/SLC5A12/SLCO1A2/MUC1/ERBB3/ENPP3/ECRG4/ANO1/GABRP/SLC29A4/CYP4F12/ACE2/SLC2A1/CEACAM1/MUC20/PDGFRB/FAT1/DSG1/STC1/GNA12/CEACAM5/FXYD1/ENPEP/CTSL/CEACAM7/SLC7A11/DSG2/SLC16A1/UPK1A/ASPM/F2RL2/SLC39A14/CTSK/SLC9A4/CEACAM6/SLC5A1/NRG1/KCNB1/USH2A/GJB6/TF/SLC34A3/P2RX2/ABCC5/GPIHBP1/DUOX2/UPK2/ATP12A/PDZK1IP1/PTPRH/DPP4/FN1/CNTFR/KCNA5/CSPG4/TRPA1/ATP2B2/SLC38A3/CYP4A11/CDH2,85
GO:0045095,keratin filament,22/1993,54/16088,0.407407407407407,3.28869561985468,6.33464991984604,1.46498721489302e-07,1.06944066687191e-05,9.46458845411151e-06,EPPK1/KRTAP3-2/KRT13/KRT4/KRT17/KRT78/KRT79/KRT24/KRT32/KRT15/KRT3/KRT33A/KRT8/KRT14/KRT76/KRT37/KRT7/KRT2/KRT6C/KRT36/KRT35/KRT80,22
GO:0005604,basement membrane,31/1993,98/16088,0.316326530612245,2.55346774936769,5.80028973202435,4.34609723628001e-07,2.82013420665281e-05,2.49582893919706e-05,AGRN/THBS2/LAMA1/LAMB4/TGFBI/COL4A1/COL8A1/COL7A1/COL5A1/TNC/LAMC2/PXDN/LAMB3/COL4A2/EGFL6/TIMP1/LAMB1/COL9A3/LOXL2/NID2/SPARC/COL24A1/COL6A1/USH2A/COL22A1/NID1/FREM2/AMELX/FN1/FBN1/VWC2,31
GO:0009897,external side of plasma membrane,76/1993,357/16088,0.212885154061625,1.71846279906845,5.16201032183879,1.23975666221491e-06,7.24017890733509e-05,6.40758443313182e-05,TNFRSF18/IL2RA/SCNN1B/TMC1/PLET1/CTLA4/TNFRSF4/FCGR3A/LY6G6C/SCNN1A/CD276/ITGAX/CD80/THY1/SCNN1G/FCER1A/ULBP1/RAET1E/RAET1L/CD40LG/PCSK9/FCER1G/ECE1/ENPP3/CD207/CD24/CD1C/FCGR3B/FCGR2A/TFRC/XCR1/ACKR3/ENPEP/CLEC4F/PLAU/NRCAM/CSF3R/AQP4/CXCL9/CD1E/TCN2/ANTXR1/CXCR4/CCR1/CTSK/IL13RA2/RAET1G/PLAUR/CLEC10A/ALCAM/CXCL10/CXCR2/TNFRSF9/CCRL2/SELE/CLEC4E/GPIHBP1/IL31RA/CD163/VCAM1/LY6G6D/GFRA1/ADGRE1/SLC2A4/FCER2/ANPEP/CCR8/CNTFR/P2RX1/CD1A/FCRL1/ITGA5/ASTN1/EPHA5/THBS1/FGA,76
