category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Development and regeneration,hsa04382,Cornified envelope formation,74/988,185/7548,0.4,3.05587044534413,10.9867169216796,1.5972789631441e-20,5.39880289542706e-18,5.01041190544149e-18,26285/2312/100506658/51099/5493/3860/6785/29943/6707/6703/3851/126410/3872/196374/6701/84283/6700/2053/140576/388698/338785/7053/2125/1282/57402/55304/23254/6698/192666/6705/6704/7051/1294/6281/3918/7062/1828/9333/3882/5652/3914/1284/1829/147409/121214/6283/3713/79852/3866/6279/3850/3883/11187/6280/6699/3655/3856/3861/204219/26154/51350/1366/338324/23562/6706/9071/8688/3855/3849/286887/8689/3886/144501/1041,74
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,32/988,95/7548,0.336842105263158,2.57336458555295,5.98879352413248,1.77039592643117e-07,2.69426795221989e-05,2.50044176194807e-05,1301/117247/85301/483/1281/1282/1277/1293/1295/1294/1289/59272/1278/5646/477/1300/1290/1284/9056/4311/1299/1298/1310/255631/1303/6547/1291/7512/169044/1292/84570/1803,32
Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,30/988,87/7548,0.344827586206897,2.63437107357253,5.95011693915591,2.39136208776913e-07,2.69426795221989e-05,2.50044176194807e-05,6696/375790/7058/284217/3161/22798/1282/1277/1293/1278/3371/3918/3914/1284/3912/1299/22801/1298/51206/3655/5649/9900/1291/7148/1758/341640/1292/2335/3678/7057,30
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,59/988,247/7548,0.238866396761134,1.82486190562048,5.11507819434295,1.88817685302866e-06,0.000159550944080922,0.00014807281636909,8784/3559/7293/5008/284340/3557/27177/3606/27179/6375/353500/959/6348/151449/26525/3625/6372/3576/8808/2829/130399/57007/3624/414062/146433/1441/4283/6373/8600/970/6362/7852/1230/3592/3598/3589/6351/2919/2662/51330/3627/9560/3579/3604/10344/133396/6358/10563/4982/3976/1237/1271/90865/10850/2660/23495/11009/3552/6355,59
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,26/988,79/7548,0.329113924050633,2.5143237841439,5.25067076036442,4.106249287209e-06,0.000277582451815328,0.00025761311317648,2359/2214/728/3860/2357/3872/717/713/192666/2215/719/2212/1675/1828/3882/721/720/3866/3883/2358/716/3861/1672/8688/8689/3886,26
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,24/988,75/7548,0.32,2.4446963562753,4.87947891410869,1.64165642465752e-05,0.000924799785890404,0.000858269499206915,10877/728/3687/717/730/713/5055/719/1675/10544/5054/5328/2151/2149/721/720/5624/716/5329/623/729/9002/5265/2243,24
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,27/988,91/7548,0.296703296703297,2.26671708857944,4.71771804467374,2.33967810940217e-05,0.00112973028711133,0.00104845725804789,3559/3606/6375/6348/6372/3576/2829/57007/414062/146433/4283/6373/6362/7852/1230/6351/2919/3627/9560/3579/10344/6358/10563/1237/10850/11009/6355,27
Environmental Information Processing,Signaling molecules and interaction,hsa04519,Cadherin signaling,76/988,380/7548,0.2,1.52793522267206,4.09814353958635,7.02060558204689e-05,0.00296620585841481,0.00275281639927628,7004/7472/4301/117531/1951/1824/1009/2556/6300/3860/5595/2535/2557/3851/29964/23286/3872/196374/56126/51421/338785/56127/8463/5097/55740/192666/2568/56124/57717/1001/27253/7410/56128/259236/5159/2195/1828/4233/3882/2563/1829/147409/55879/2570/2569/1006/6327/3866/56130/3850/10095/29119/3883/11187/56125/3856/3861/28513/64405/10184/10451/51350/2560/79905/7477/1674/1014/8688/89780/3855/3849/286887/8689/3886/1000/144501,76
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,48/988,216/7548,0.222222222222222,1.69770580296896,4.0373993628246,0.00012114842555115,0.00454979642625429,0.00422248313616872,270/29766/375790/10529/633/1301/1824/7058/284217/85301/483/64236/1281/58529/1282/1277/1293/4703/1289/1462/1278/2201/477/1290/1284/4001/1829/1299/22801/114793/22795/51778/1298/3655/255631/1291/11155/4811/8736/7137/171024/56203/1292/2335/1674/2200/3678/7057,48
Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,27/988,100/7548,0.27,2.06271255060729,4.15154455531159,0.000141987537370048,0.00479917876310762,0.00445392485644993,284217/5275/383/22798/5269/1281/6317/1282/1277/7097/911/3576/1278/3918/3914/1284/9630/3912/913/2769/1511/3592/2919/2335/4843/6318/909,27
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,36/988,153/7548,0.235294117647059,1.79757085020243,3.8677609715229,0.000261959725528843,0.00800925110168496,0.00743306393118069,6696/7058/3687/284217/5228/22798/1282/1277/1293/1278/3371/5159/3918/4233/3914/1284/3912/1299/22801/5154/1298/3655/5649/1291/7148/1758/7412/341640/1292/1950/2335/2200/3678/7057/2243/8174,36
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,18/988,58/7548,0.310344827586207,2.37093396621527,4.06727326633008,0.000284352110118993,0.00800925110168496,0.00743306393118069,1577/2327/4129/1557/4258/1559/1571/221/125/2953/218/131/54577/1576/653689/127/222/124,18
Human Diseases,Substance dependence,hsa05033,Nicotine addiction,11/988,31/7548,0.354838709677419,2.71085281441818,3.70411914845959,0.00127187033931827,0.0330686288222752,0.0306896648677608,2906/2556/2557/2568/2563/774/55879/2570/2569/2560/2903,11
