ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1474244,Extracellular matrix organization,101/1270,306/10031,0.330065359477124,2.6069965519016,10.8694192373911,4.23661150206454e-21,5.59656379422726e-18,5.20880235201198e-18,PLOD1/CAST/MFAP2/MMP12/P3H1/MMP13/MMP3/MMP11/SPP1/COLGALT1/SERPINH1/AGRN/BGN/CAPN5/COL11A1/LOX/ADAMTS2/ADAM12/ITGAX/LAMA1/COL27A1/P4HA3/COL3A1/ADAMTS14/CAPN14/COL4A1/COL1A1/COL6A3/NRXN1/MMP1/ASPN/LUM/COL8A1/MMP2/COL7A1/COL5A1/VCAN/ACAN/COL1A2/PLOD3/TNC/CMA1/CEACAM1/FBN2/SERPINE1/LAMC2/PXDN/COL10A1/MMP9/ADAMTS4/LAMB3/COL5A2/CTSL/CAPNS2/COL4A2/TIMP1/MATN3/MMP14/LAMB1/COL9A3/ITGA11/LOXL2/MMP10/CTSG/CTSK/PDGFA/P3H3/NID2/COL9A2/PCOLCE/SPARC/MMP7/ITGA6/EMILIN2/SNTG2/CEACAM6/COL19A1/COL24A1/HTRA1/COL12A1/COL6A1/MMP16/COL22A1/NID1/TNXB/MUSK/DMP1/VCAM1/SCUBE3/COL6A2/COL25A1/FN1/LOXL4/EMILIN1/CAPN6/FBN1/ADAMTS18/ITGA5/THBS1/FGA/MADCAM1,101
R-HSA-6809371,Formation of the cornified envelope,49/1270,99/10031,0.494949494949495,3.90932156207747,11.0755793873404,3.90340642479471e-19,2.16658915355142e-16,2.01647566145907e-16,FLG/PPL/DSC2/SPINK5/KRT13/SPRR3/CSTA/SPRR2D/KRT4/KLK12/KRT17/KRT78/SPRR2B/SPRR2A/LIPM/KRT79/EVPL/KLK13/KAZN/SPRR1A/KRT24/SPRR2F/SPRR2E/TGM1/TCHH/TGM5/KRT32/PRSS8/DSG4/IVL/RPTN/KRT15/KRT3/KRT33A/PKP3/SPRR1B/KRT8/KRT14/SPINK6/KRT76/SPRR2G/KRT37/KRT7/KRT2/KRT6C/KRT36/KRT35/KRT80/CDSN,49
R-HSA-6805567,Keratinization,50/1270,103/10031,0.485436893203884,3.83418698876233,11.0075765628968,4.92033872873147e-19,2.16658915355142e-16,2.01647566145907e-16,KRTAP3-2/FLG/PPL/DSC2/SPINK5/KRT13/SPRR3/CSTA/SPRR2D/KRT4/KLK12/KRT17/KRT78/SPRR2B/SPRR2A/LIPM/KRT79/EVPL/KLK13/KAZN/SPRR1A/KRT24/SPRR2F/SPRR2E/TGM1/TCHH/TGM5/KRT32/PRSS8/DSG4/IVL/RPTN/KRT15/KRT3/KRT33A/PKP3/SPRR1B/KRT8/KRT14/SPINK6/KRT76/SPRR2G/KRT37/KRT7/KRT2/KRT6C/KRT36/KRT35/KRT80/CDSN,50
R-HSA-1474290,Collagen formation,44/1270,87/10031,0.505747126436782,3.99460584668296,10.6805649036282,8.92980400851263e-18,2.9490677738113e-15,2.74473975840599e-15,PLOD1/P3H1/MMP13/MMP3/COLGALT1/SERPINH1/COL11A1/LOX/ADAMTS2/COL27A1/P4HA3/COL3A1/ADAMTS14/COL4A1/COL1A1/COL6A3/COL8A1/COL7A1/COL5A1/COL1A2/PLOD3/LAMC2/PXDN/COL10A1/MMP9/LAMB3/COL5A2/CTSL/COL4A2/COL9A3/LOXL2/P3H3/COL9A2/PCOLCE/MMP7/ITGA6/COL19A1/COL24A1/COL12A1/COL6A1/COL22A1/COL6A2/COL25A1/LOXL4,44
R-HSA-1474228,Degradation of the extracellular matrix,53/1270,132/10031,0.401515151515151,3.17133738964448,9.5607970881443,1.24618500967536e-15,3.29242079556229e-13,3.06430335010698e-13,CAST/MMP12/MMP13/MMP3/MMP11/SPP1/CAPN5/COL11A1/COL3A1/CAPN14/COL4A1/COL1A1/COL6A3/MMP1/COL8A1/MMP2/COL7A1/COL5A1/ACAN/COL1A2/CMA1/FBN2/LAMC2/COL10A1/MMP9/ADAMTS4/LAMB3/COL5A2/CTSL/CAPNS2/COL4A2/TIMP1/MMP14/LAMB1/COL9A3/MMP10/CTSG/CTSK/COL9A2/MMP7/COL19A1/HTRA1/COL12A1/COL6A1/MMP16/NID1/SCUBE3/COL6A2/COL25A1/FN1/CAPN6/FBN1/ADAMTS18,53
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,32/1270,59/10031,0.542372881355932,4.28389163219004,9.63161633866453,2.06559539615006e-14,4.54775253052372e-12,4.23265863632153e-12,MMP13/MMP3/COL11A1/LOX/COL27A1/COL3A1/COL4A1/COL1A1/COL6A3/COL8A1/COL7A1/COL5A1/COL1A2/LAMC2/PXDN/COL10A1/MMP9/LAMB3/COL5A2/CTSL/COL4A2/COL9A3/LOXL2/COL9A2/PCOLCE/MMP7/ITGA6/COL24A1/COL12A1/COL6A1/COL6A2/LOXL4,32
R-HSA-1442490,Collagen degradation,31/1270,62/10031,0.5,3.9492125984252,8.86852948030979,9.63407058199722e-13,1.81808674840262e-10,1.69211946462748e-10,MMP12/MMP13/MMP3/MMP11/COL11A1/COL3A1/COL4A1/COL1A1/COL6A3/MMP1/COL8A1/MMP2/COL7A1/COL5A1/COL1A2/COL10A1/MMP9/COL5A2/CTSL/COL4A2/MMP14/COL9A3/MMP10/CTSK/COL9A2/MMP7/COL19A1/COL12A1/COL6A1/COL6A2/COL25A1,31
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,32/1270,66/10031,0.484848484848485,3.82953948938201,8.78060746292458,1.22304881801918e-12,2.01955936075417e-10,1.87963292032421e-10,PLOD1/P3H1/COLGALT1/SERPINH1/COL11A1/ADAMTS2/COL27A1/P4HA3/COL3A1/ADAMTS14/COL4A1/COL1A1/COL6A3/COL8A1/COL7A1/COL5A1/COL1A2/PLOD3/COL10A1/COL5A2/COL4A2/COL9A3/P3H3/COL9A2/PCOLCE/COL19A1/COL24A1/COL12A1/COL6A1/COL22A1/COL6A2/COL25A1,32
R-HSA-9734767,Developmental Cell Lineages,49/1270,138/10031,0.355072463768116,2.80451329453384,8.12664168460209,3.62360928053693e-12,5.31865317732142e-10,4.9501469469791e-10,FLG/KPRP/ANXA1/EPCAM/COL11A1/SPINK5/KRT17/LAMA1/ANXA3/KRT78/COL27A1/DLX5/SPRR2A/COL3A1/HOPX/MUC1/COL1A1/KRT24/SLPI/CD24/COL5A1/TFRC/SBSN/COL1A2/PRSS3/LAMC2/LAMB3/COL5A2/AQP3/MME/DMKN/IVL/LAMB1/SLC4A4/KRT15/CXCR4/ITGA6/KRTDAP/KRT8/KRT14/COL24A1/PLA2G1B/EGF/FN1/ALDH1A3/CLDN10/AMY2A/CSPG4/KRT7,49
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),41/1270,113/10031,0.36283185840708,2.86580029266253,7.59395140078955,9.73927994569378e-11,1.28655888082615e-08,1.19741883963898e-08,SPP1/MELTF/QSOX1/STC2/EVA1A/ENAM/PCSK9/APOE/KLK13/MMP1/IGFBP3/MMP2/CHRDL1/SCG3/VCAN/TNC/NOTUM/TMEM132A/TIMP1/MATN3/LAMB1/C4B/GPC3/C4A/PROC/IGFBP1/CTSG/IGFBP7/TF/APOL1/DMP1/LGALS1/AMELX/PRSS23/SERPINA1/IGF2/FN1/FBN1/FSTL1/FGA/CDH2,41
