ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030198,extracellular matrix organization,73/935,307/15250,0.237785016286645,3.87831176296399,13.0202383193792,1.88471868323308e-24,4.6994765204927e-21,3.89464680000007e-21,PLOD1/MMP12/P3H1/MMP13/MMP3/MMP11/P3H4/MELTF/COLGALT1/SERPINH1/ZNF469/FSCN1/COL11A1/LOX/ADAMTS12/ADAMTS2/LAMA1/COL27A1/FAP/OLFML2B/PDPN/P4HA3/COL3A1/TGFBI/ADAMTS14/COL4A1/COL1A1/MMP1/LUM/SULF1/MMP2/FKBP10/POSTN/COL5A1/RUNX1/COL1A2/PLOD3/PXDN/MMP9/ADAMTS4/COL5A2/COL4A2/EGFL6/ADAMTS20/MATN3/MMP14/LAMB1/ANTXR1/LOXL2/MMP10/PHLDB2/HAS2/CTSK/ADAMTS7/NID2/ADAMTS6/MMP7/GREM1/COL12A1/AEBP1/COL6A1/HAS3/MMP16/NID1/DMP1/TNFRSF11B/DPP4/LOXL4/EMILIN1/TCF15/ADAMTS18/CREB3L1/WNT3A,73
GO:0043062,extracellular structure organization,73/935,308/15250,0.237012987012987,3.86571984165567,12.984808060781,2.33009561638655e-24,4.6994765204927e-21,3.89464680000007e-21,PLOD1/MMP12/P3H1/MMP13/MMP3/MMP11/P3H4/MELTF/COLGALT1/SERPINH1/ZNF469/FSCN1/COL11A1/LOX/ADAMTS12/ADAMTS2/LAMA1/COL27A1/FAP/OLFML2B/PDPN/P4HA3/COL3A1/TGFBI/ADAMTS14/COL4A1/COL1A1/MMP1/LUM/SULF1/MMP2/FKBP10/POSTN/COL5A1/RUNX1/COL1A2/PLOD3/PXDN/MMP9/ADAMTS4/COL5A2/COL4A2/EGFL6/ADAMTS20/MATN3/MMP14/LAMB1/ANTXR1/LOXL2/MMP10/PHLDB2/HAS2/CTSK/ADAMTS7/NID2/ADAMTS6/MMP7/GREM1/COL12A1/AEBP1/COL6A1/HAS3/MMP16/NID1/DMP1/TNFRSF11B/DPP4/LOXL4/EMILIN1/TCF15/ADAMTS18/CREB3L1/WNT3A,73
GO:0045229,external encapsulating structure organization,73/935,309/15250,0.236245954692557,3.85320942145614,12.9495258741669,2.87781783251237e-24,4.6994765204927e-21,3.89464680000007e-21,PLOD1/MMP12/P3H1/MMP13/MMP3/MMP11/P3H4/MELTF/COLGALT1/SERPINH1/ZNF469/FSCN1/COL11A1/LOX/ADAMTS12/ADAMTS2/LAMA1/COL27A1/FAP/OLFML2B/PDPN/P4HA3/COL3A1/TGFBI/ADAMTS14/COL4A1/COL1A1/MMP1/LUM/SULF1/MMP2/FKBP10/POSTN/COL5A1/RUNX1/COL1A2/PLOD3/PXDN/MMP9/ADAMTS4/COL5A2/COL4A2/EGFL6/ADAMTS20/MATN3/MMP14/LAMB1/ANTXR1/LOXL2/MMP10/PHLDB2/HAS2/CTSK/ADAMTS7/NID2/ADAMTS6/MMP7/GREM1/COL12A1/AEBP1/COL6A1/HAS3/MMP16/NID1/DMP1/TNFRSF11B/DPP4/LOXL4/EMILIN1/TCF15/ADAMTS18/CREB3L1/WNT3A,73
GO:0051783,regulation of nuclear division,42/935,138/15250,0.304347826086957,4.96396186933271,11.9547046337936,8.4206903911765e-19,1.03132405565934e-15,8.54700074704414e-16,MAD2L2/TRIP13/NDC80/RAD51AP1/AURKA/PKMYT1/UBE2C/GPR3/BIRC5/SKA1/CDC20/PLK1/AURKB/CDC25C/MSX2/CDCA8/MAD2L1/HASPIN/MTBP/SPC25/NEK2/BUB1/CDCA2/KNL1/DLGAP5/ZWINT/KNTC1/FBXO5/BUB1B/CENPF/MKI67/NUSAP1/PDGFRB/CCNB1/TTK/NUF2/HOXA13/CCDC8/LIF/IGF2/EGF/FBXO43,42
GO:0007088,regulation of mitotic nuclear division,38/935,116/15250,0.327586206896552,5.34298358841969,11.9997204723905,2.33157977913738e-18,2.2844818675988e-15,1.89324278065955e-15,MAD2L2/TRIP13/NDC80/AURKA/PKMYT1/UBE2C/BIRC5/SKA1/CDC20/PLK1/AURKB/CDC25C/CDCA8/MAD2L1/HASPIN/MTBP/SPC25/NEK2/BUB1/CDCA2/KNL1/DLGAP5/ZWINT/KNTC1/FBXO5/BUB1B/CENPF/MKI67/NUSAP1/PDGFRB/CCNB1/TTK/NUF2/HOXA13/CCDC8/IGF2/EGF/FBXO43,38
GO:0030199,collagen fibril organization,29/935,70/15250,0.414285714285714,6.75706646294882,12.3380120177664,1.62992603075134e-17,1.33083460410847e-14,1.10291661414174e-14,PLOD1/P3H1/MMP11/P3H4/COLGALT1/SERPINH1/COL11A1/LOX/ADAMTS12/ADAMTS2/P4HA3/COL3A1/ADAMTS14/COL1A1/LUM/FKBP10/COL5A1/COL1A2/PLOD3/PXDN/COL5A2/LOXL2/ADAMTS7/GREM1/COL12A1/AEBP1/COL6A1/LOXL4/EMILIN1,29
GO:0140014,mitotic nuclear division,58/935,276/15250,0.210144927536232,3.42749748120592,10.4010031057655,6.02631291007149e-17,4.21755813520574e-14,3.49526148784146e-14,MAD2L2/TRIP13/MYBL2/NDC80/UHRF1/AURKA/PKMYT1/UBE2C/BIRC5/CDT1/SKA1/SPAG5/KIF2C/CDC20/KIF18B/PLK1/AURKB/PRC1/CDC25C/CENPI/TPX2/NCAPH/KNSTRN/KIF18A/CDCA8/KIFC1/CDK1/KIF23/MAD2L1/HASPIN/MTBP/SPC25/NEK2/BUB1/ANLN/CDCA2/KIF14/KNL1/DLGAP5/ZWINT/KNTC1/FBXO5/KIF4A/BUB1B/CENPF/MKI67/NUSAP1/PDGFRB/CENPE/CCNB1/TTK/NUF2/MISP/HOXA13/CCDC8/IGF2/EGF/FBXO43,58
GO:0000280,nuclear division,74/935,421/15250,0.175771971496437,2.86686905381889,9.92726884731255,1.04005087468854e-16,6.36901154387392e-14,5.27825818904432e-14,MAD2L2/CDC25B/TRIP13/MOV10L1/MYBL2/NDC80/UHRF1/RAD51AP1/AURKA/RAD51/PKMYT1/RAD54L/CKS2/P3H4/UBE2C/GPR3/BIRC5/CDT1/SKA1/SPAG5/KIF2C/CDC20/KIF18B/PLK1/AURKB/CCNB2/PRC1/CDC25C/MSX2/CENPI/TPX2/NCAPH/KNSTRN/KIF18A/CDCA8/KIFC1/CDK1/KIF23/TOP2A/MAD2L1/HASPIN/MTBP/SPC25/NEK2/BUB1/ANLN/CDCA2/KIF14/KNL1/DLGAP5/ZWINT/KNTC1/FBXO5/KIF4A/BUB1B/CENPF/MKI67/NUSAP1/PDGFRB/CENPE/CCNB1/TTK/NUF2/ASPM/MISP/MND1/SHOC1/HOXA13/CCDC8/M1AP/LIF/IGF2/EGF/FBXO43,74
GO:0000819,sister chromatid segregation,51/935,230/15250,0.221739130434783,3.61660079051383,10.2187372250401,4.64645879219011e-16,2.52922240254882e-13,2.09606918847687e-13,MAD2L2/TRIP13/MYBL2/NDC80/UHRF1/UBE2C/CDC6/BIRC5/CDT1/SKA1/SPAG5/TACC3/KIF2C/CDC20/KIF18B/PLK1/AURKB/PRC1/CENPI/TPX2/NCAPH/KNSTRN/KIF18A/CDCA8/KIFC1/CDK1/KIF23/TOP2A/ACTL6A/MAD2L1/HASPIN/SPC25/NEK2/BUB1/KIF14/KNL1/DLGAP5/ZWINT/KNTC1/FBXO5/DPF1/KIF4A/BUB1B/CENPF/NUSAP1/CENPE/CCNB1/TTK/NUF2/MISP/NEK6,51
GO:0032963,collagen metabolic process,33/935,103/15250,0.320388349514563,5.22558537978298,10.9969687861369,8.56455734779235e-16,4.19577664468347e-13,3.47721028320369e-13,MMP12/P3H1/MMP13/MMP3/MMP11/P3H4/SERPINH1/ADAMTS2/FAP/ADAMTS14/COL1A1/MMP1/MMP2/COL5A1/RUNX1/RCN3/COL1A2/PLOD3/INHBA/MMP9/TRAM2/CTSL/MMP14/F2R/MMP10/CTSK/P3H3/PCOLCE/MMP7/COL6A1/MMP16/EMILIN1/CREB3L1,33
